N,Database,Accession,Type
1,ENA,ERR2184202,RUN
2,ENA,ERR2184203,RUN
3,ENA,ERR2184204,RUN
4,ENA,ERR2184205,RUN
5,ENA,ERR2184206,RUN
6,ENA,ERR2184207,RUN
7,ENA,ERR2184208,RUN
8,ENA,ERR2184209,RUN
9,ENA,ERR2184210,RUN
10,ENA,ERR2184211,RUN
11,ENA,ERR2184212,RUN
12,ENA,ERR2184213,RUN
13,ENA,ERR2184214,RUN
14,ENA,ERR2184215,RUN
15,ENA,ERR2184216,RUN
16,ENA,ERR2184217,RUN
17,ENA,ERR2184218,RUN
18,ENA,ERR2184219,RUN
19,ENA,ERR2184220,RUN
20,ENA,ERR2184221,RUN
21,ENA,ERR2184222,RUN
22,ENA,ERR2184223,RUN
23,ENA,ERR2184224,RUN
24,ENA,ERR2184225,RUN
25,ENA,ERR2184226,RUN
26,ENA,ERR2184227,RUN
27,ENA,ERR2184228,RUN
28,ENA,ERR2184229,RUN
29,ENA,ERR2184230,RUN
30,ENA,ERR2184231,RUN
31,ENA,ERR2184232,RUN
32,ENA,ERR2184233,RUN
33,ENA,ERR2184234,RUN
34,ENA,ERR2184235,RUN
35,ENA,ERR2184236,RUN
36,ENA,ERR2184237,RUN
37,ENA,ERR2184238,RUN
38,ENA,ERR2184240,RUN
39,ENA,ERR2184241,RUN
40,ENA,ERR2184242,RUN
41,ENA,ERR2184243,RUN
42,ENA,ERR2184244,RUN
43,ENA,ERR2184245,RUN
44,ENA,ERR2184246,RUN
45,ENA,ERR2184247,RUN
46,ENA,ERR2184248,RUN
47,ENA,ERR2184249,RUN
48,ENA,ERR2184250,RUN
49,ENA,ERR2184251,RUN
50,ENA,ERR2184252,RUN
51,ENA,ERR2184253,RUN
52,ENA,ERR2184254,RUN
53,ENA,ERR2184255,RUN
54,ENA,ERR2184256,RUN
55,ENA,ERR2184257,RUN
56,ENA,ERR2184258,RUN
57,ENA,ERR2184259,RUN
58,ENA,ERR2184261,RUN
59,ENA,ERR2184262,RUN
60,ENA,ERR2184264,RUN
61,ENA,ERR2184265,RUN
62,ENA,ERR2184266,RUN
63,ENA,ERR2184267,RUN
64,ENA,ERR2184268,RUN
65,ENA,ERR2184269,RUN
66,ENA,ERR2184270,RUN
67,ENA,ERR2184271,RUN
68,ENA,ERR2184272,RUN
69,ENA,ERR2184275,RUN
70,ENA,ERR2184276,RUN
71,ENA,ERR2184277,RUN
72,ENA,ERR2184278,RUN
73,ENA,ERR2184279,RUN
74,ENA,ERR2184280,RUN
75,ENA,ERR2184281,RUN
76,ENA,ERR2184282,RUN
77,ENA,ERR2184283,RUN
78,ENA,ERR2184284,RUN
79,ENA,ERR2184285,RUN
80,ENA,ERR2184286,RUN
81,ENA,ERR2184287,RUN
82,ENA,ERR2184288,RUN
83,ENA,ERR2184289,RUN
84,ENA,ERR2184290,RUN
85,ENA,ERR2184291,RUN
86,ENA,ERR2184292,RUN
87,ENA,ERR2184293,RUN
88,ENA,ERR2184294,RUN
89,ENA,ERR2184295,RUN
90,ENA,ERR2184296,RUN
91,ENA,ERR2184297,RUN
92,ENA,ERR2184298,RUN
93,ENA,ERR2184299,RUN
94,ENA,ERR2184300,RUN
95,ENA,ERR2184301,RUN
96,ENA,ERR2184302,RUN
97,ENA,ERR2184303,RUN
98,ENA,ERR2184304,RUN
99,ENA,ERR2184305,RUN
100,ENA,ERR2184306,RUN
101,ENA,ERR2184307,RUN
102,ENA,ERR2184308,RUN
103,ENA,ERR2184309,RUN
104,ENA,ERR2184310,RUN
105,ENA,ERR2184311,RUN
106,ENA,ERR2184312,RUN
107,ENA,ERR2184313,RUN
108,ENA,ERR2184314,RUN
109,ENA,ERR2184315,RUN
110,ENA,ERR2184316,RUN
111,ENA,ERR2184317,RUN
112,ENA,ERR2184318,RUN
113,ENA,ERR2184319,RUN
114,ENA,ERR2184320,RUN
115,ENA,ERR2184321,RUN
116,ENA,ERR2184322,RUN
117,ENA,ERR2184323,RUN
118,ENA,ERR2184324,RUN
119,ENA,ERR2184325,RUN
120,ENA,ERR2184326,RUN
121,ENA,ERR2184327,RUN
122,ENA,ERR2184328,RUN
123,ENA,ERR2184329,RUN
124,ENA,ERR2184330,RUN
125,ENA,ERR2184331,RUN
126,ENA,ERR2184332,RUN
127,ENA,ERR2184333,RUN
128,ENA,ERR2184334,RUN
129,ENA,ERR2184335,RUN
130,ENA,ERR2184336,RUN
131,ENA,ERR2184337,RUN
132,ENA,ERR2184338,RUN
133,ENA,ERR2184339,RUN
134,ENA,ERR2184340,RUN
135,ENA,ERR2184341,RUN
136,ENA,ERR2184342,RUN
137,ENA,ERR2184343,RUN
138,ENA,ERR2184344,RUN
139,ENA,ERR2184345,RUN
140,ENA,ERR2184346,RUN
141,ENA,ERR2184347,RUN
142,ENA,ERR2184348,RUN
143,ENA,ERR2184349,RUN
144,ENA,ERR2184350,RUN
145,ENA,ERR2184351,RUN
146,ENA,ERR2184352,RUN
147,ENA,ERR2184353,RUN
148,ENA,ERR2184354,RUN
149,ENA,ERR2184355,RUN
150,ENA,ERR2184356,RUN
151,ENA,ERR2184357,RUN
152,ENA,ERR2184358,RUN
153,ENA,ERR2184359,RUN
154,ENA,ERR2184360,RUN
155,ENA,ERR2184361,RUN
156,ENA,ERR2184362,RUN
157,ENA,ERR2184363,RUN
158,ENA,ERR2184364,RUN
159,ENA,ERR2184365,RUN
160,ENA,ERR2184366,RUN
161,ENA,ERR2184367,RUN
162,ENA,ERR2184368,RUN
163,ENA,ERR2184369,RUN
164,ENA,ERR2184370,RUN
165,ENA,ERR2184371,RUN
166,ENA,ERR2184372,RUN
167,ENA,ERR2184373,RUN
168,ENA,ERR2184374,RUN
169,ENA,ERR2184375,RUN
170,ENA,ERR2184376,RUN
171,ENA,ERR2184377,RUN
172,ENA,ERR2184378,RUN
173,ENA,ERR2184379,RUN
174,ENA,ERR2184380,RUN
175,ENA,ERR2184381,RUN
176,ENA,ERR2184382,RUN
177,ENA,ERR2184383,RUN
178,ENA,ERR2184384,RUN
179,ENA,ERR2184385,RUN
180,ENA,ERR2184386,RUN
181,ENA,ERR2184387,RUN
182,ENA,ERR2184388,RUN
183,ENA,ERR2184389,RUN
184,ENA,ERR2184390,RUN
185,ENA,ERR2184391,RUN
186,ENA,ERR2184392,RUN
187,ENA,ERR2184393,RUN
188,ENA,ERR2184394,RUN
189,ENA,ERR2184395,RUN
190,ENA,ERR2184396,RUN
191,ENA,ERR2184397,RUN
192,ENA,ERR2184398,RUN
193,ENA,ERR2184399,RUN
194,ENA,ERR2184400,RUN
195,ENA,ERR2184401,RUN
196,ENA,ERR2184402,RUN
197,ENA,ERR2184403,RUN
198,ENA,ERR2184404,RUN
199,ENA,ERR2184405,RUN
200,ENA,ERR2184406,RUN
201,ENA,ERR2184407,RUN
202,ENA,ERR2184408,RUN
203,ENA,ERR2184409,RUN
204,ENA,ERR2184410,RUN
205,ENA,ERR2184411,RUN
206,ENA,ERR2184412,RUN
207,ENA,ERR2184413,RUN
208,ENA,ERR2184414,RUN
209,ENA,ERR2184415,RUN
210,ENA,ERR2184416,RUN
211,ENA,ERR2184417,RUN
212,ENA,ERR2184418,RUN
213,ENA,ERR2184419,RUN
214,ENA,ERR2184420,RUN
215,ENA,ERR2184421,RUN
216,ENA,ERR2184422,RUN
217,ENA,ERR2184423,RUN
218,ENA,ERR2184424,RUN
219,ENA,ERR2184425,RUN
220,ENA,ERR2184426,RUN
221,ENA,ERR2184427,RUN
222,ENA,ERR2184428,RUN
223,ENA,ERR2184429,RUN
224,ENA,ERR2184430,RUN
225,ENA,ERR2184431,RUN
226,ENA,ERR2184432,RUN
227,ENA,ERR2184433,RUN
228,ENA,ERR2184434,RUN
229,ENA,ERR2184435,RUN
230,ENA,ERR2184436,RUN
231,ENA,ERR2184437,RUN
232,ENA,ERR2184438,RUN
233,ENA,ERR2184439,RUN
234,ENA,ERR2184440,RUN
235,ENA,ERR2184441,RUN
236,ENA,ERR2184442,RUN
237,ENA,ERR2184443,RUN
238,ENA,ERR2184444,RUN
239,ENA,ERR2184445,RUN
240,ENA,ERR2184446,RUN
241,ENA,ERR2184447,RUN
242,ENA,ERR2184448,RUN
243,ENA,ERR2184449,RUN
244,ENA,ERR2184450,RUN
245,ENA,ERR2184451,RUN
246,ENA,ERR2184452,RUN
247,ENA,ERR2184453,RUN
248,ENA,ERR2184454,RUN
249,ENA,ERR2184455,RUN
250,ENA,ERR2184456,RUN
251,ENA,ERR2184457,RUN
252,ENA,ERR2184458,RUN
253,ENA,ERR2184459,RUN
254,ENA,ERR2184460,RUN
255,ENA,ERR2184461,RUN
256,ENA,ERR2184462,RUN
257,ENA,ERR2184463,RUN
258,ENA,ERR2184464,RUN
259,ENA,ERR2184465,RUN
260,ENA,ERR2184466,RUN
261,ENA,ERR2184467,RUN
262,ENA,ERR2184468,RUN
263,ENA,ERR2184469,RUN
264,ENA,ERR2184470,RUN
265,ENA,ERR2184471,RUN
266,ENA,ERR2184472,RUN
267,ENA,ERR2184473,RUN
268,ENA,ERR2184474,RUN
269,ENA,ERR2184475,RUN
270,ENA,ERR2184476,RUN
271,ENA,ERR2184477,RUN
272,ENA,ERR2184478,RUN
273,ENA,ERR2184479,RUN
274,ENA,ERR2184480,RUN
275,ENA,ERR2184481,RUN
276,ENA,ERR2184482,RUN
277,ENA,ERR2184483,RUN
278,ENA,ERR2184484,RUN
279,ENA,ERR2184485,RUN
280,ENA,ERR2184486,RUN
281,ENA,ERR2184487,RUN
282,ENA,ERR2184488,RUN
283,ENA,ERR2184489,RUN
284,ENA,ERR2184490,RUN
285,ENA,ERR2184491,RUN
286,ENA,ERR2184492,RUN
287,ENA,ERR2184493,RUN
288,ENA,ERR2184494,RUN
289,ENA,ERR2184495,RUN
290,ENA,ERR2184496,RUN
291,ENA,ERR2184497,RUN
292,ENA,ERR2184498,RUN
293,ENA,ERR2184499,RUN
294,ENA,ERR2184500,RUN
295,ENA,ERR2184502,RUN
296,ENA,ERR2184503,RUN
297,ENA,ERR2184504,RUN
298,ENA,ERR2184505,RUN
299,ENA,ERR2184506,RUN
300,ENA,ERR2184507,RUN
301,ENA,ERR2184508,RUN
302,ENA,ERR2184509,RUN
303,ENA,ERR2184510,RUN
304,ENA,ERR2184511,RUN
305,ENA,ERR2184512,RUN
306,ENA,ERR2184513,RUN
307,ENA,ERR2184514,RUN
308,ENA,ERR2184515,RUN
309,ENA,ERR2184517,RUN
310,ENA,ERR2184518,RUN
311,ENA,ERR2184519,RUN
312,ENA,ERR2184520,RUN
313,ENA,ERR2184521,RUN
314,ENA,ERR2184522,RUN
315,ENA,ERR2184523,RUN
316,ENA,ERR2184524,RUN
317,ENA,ERR2184525,RUN
318,ENA,ERR2184526,RUN
319,ENA,ERR2184527,RUN
320,ENA,ERR2184528,RUN
321,ENA,ERR2184529,RUN
322,ENA,ERR2184530,RUN
323,ENA,ERR2184531,RUN
324,ENA,ERR2184532,RUN
325,ENA,ERR2184533,RUN
326,ENA,ERR2184534,RUN
327,ENA,ERR2184535,RUN
328,ENA,ERR2184536,RUN
329,ENA,ERR2184537,RUN
330,ENA,ERR2184538,RUN
331,ENA,ERR2184539,RUN
332,ENA,ERR2184540,RUN
333,ENA,ERR2184541,RUN
334,ENA,ERR2184542,RUN
335,ENA,ERR2184543,RUN
336,ENA,ERR2184544,RUN
337,ENA,ERR2184545,RUN
338,ENA,ERR2184546,RUN
339,ENA,ERR2184547,RUN
340,ENA,ERR2184548,RUN
341,ENA,ERR2184549,RUN
342,ENA,ERR2184550,RUN
343,ENA,ERR2184551,RUN
344,ENA,ERR2184552,RUN
345,ENA,ERR2184553,RUN
346,ENA,ERR2184554,RUN
347,ENA,ERR2184555,RUN
348,ENA,ERR2184556,RUN
349,ENA,ERR2184557,RUN
350,ENA,ERR2184558,RUN
351,ENA,ERR2184559,RUN
352,ENA,ERR2184560,RUN
353,ENA,ERR2184561,RUN
354,ENA,ERR2184562,RUN
355,ENA,ERR2184563,RUN
356,ENA,ERR2184564,RUN
357,ENA,ERR2184565,RUN
358,ENA,ERR2184566,RUN
359,ENA,ERR2184568,RUN
360,ENA,ERR2184569,RUN
361,ENA,ERR2184570,RUN
362,ENA,ERR2184571,RUN
363,ENA,ERR2184572,RUN
364,ENA,ERR2184573,RUN
365,ENA,ERR2184574,RUN
366,ENA,ERR2184575,RUN
367,ENA,ERR2184576,RUN
368,ENA,ERR2184577,RUN
369,ENA,ERR2184578,RUN
370,ENA,ERR2184579,RUN
371,ENA,ERR2184580,RUN
372,ENA,ERR2184581,RUN
373,ENA,ERR2184582,RUN
374,ENA,ERR2184583,RUN
375,ENA,ERR2184584,RUN
376,ENA,ERR2184585,RUN
377,ENA,ERR2184586,RUN
378,ENA,ERR2184587,RUN
379,ENA,ERR2184588,RUN
380,ENA,ERR2184589,RUN
381,ENA,ERR2184590,RUN
382,ENA,ERR2184591,RUN
383,ENA,ERR2184592,RUN
384,ENA,ERR2184593,RUN
385,ENA,ERR2184594,RUN
386,ENA,ERR2184595,RUN
387,ENA,ERR2184596,RUN
388,ENA,ERR2184597,RUN
389,ENA,ERR2184598,RUN
390,ENA,ERR2184599,RUN
391,ENA,ERR2184600,RUN
392,ENA,ERR2184601,RUN
393,ENA,ERR2184602,RUN
394,ENA,ERR2184603,RUN
395,ENA,ERR2184604,RUN
396,ENA,ERR2184605,RUN
397,ENA,ERR2184606,RUN
398,ENA,ERR2184607,RUN
399,ENA,ERR2184608,RUN
400,ENA,ERR2184609,RUN
401,ENA,ERR2184610,RUN
402,ENA,ERR2184611,RUN
403,ENA,ERR2184612,RUN
404,ENA,ERR2184613,RUN
405,ENA,ERR2184614,RUN
406,ENA,ERR2184615,RUN
407,ENA,ERR2184616,RUN
408,ENA,ERR2184617,RUN
409,ENA,ERR2184618,RUN
410,ENA,ERR2184619,RUN
411,ENA,ERR2184620,RUN
412,ENA,ERR2184621,RUN
413,ENA,ERR2184622,RUN
414,ENA,ERR2184623,RUN
415,ENA,ERR2184624,RUN
416,ENA,ERR2184625,RUN
417,ENA,ERR2184626,RUN
418,ENA,ERR2184627,RUN
419,ENA,ERR2184628,RUN
420,ENA,ERR2184629,RUN
421,ENA,ERR2184630,RUN
422,ENA,ERR2184631,RUN
423,ENA,ERR2184632,RUN
424,ENA,ERR2184633,RUN
425,ENA,ERR2184634,RUN
426,ENA,ERR2184635,RUN
427,ENA,ERR2184636,RUN
428,ENA,ERR2184637,RUN
429,ENA,ERR2184638,RUN
430,ENA,ERR2184639,RUN
431,ENA,ERR2184640,RUN
432,ENA,ERR2184641,RUN
433,ENA,ERR2184642,RUN
434,ENA,ERR2184643,RUN
435,ENA,ERR2184644,RUN
436,ENA,ERR2184645,RUN
437,ENA,ERR2184646,RUN
438,ENA,ERR2184647,RUN
439,ENA,ERR2184648,RUN
440,ENA,ERR2184649,RUN
441,ENA,ERR2184650,RUN
442,ENA,ERR2184651,RUN
443,ENA,ERR2184652,RUN
444,ENA,ERR2184653,RUN
445,ENA,ERR2184654,RUN
446,ENA,ERR2184655,RUN
447,ENA,ERR2184656,RUN
448,ENA,ERR2184657,RUN
449,ENA,ERR2184658,RUN
450,ENA,ERR2184659,RUN
451,ENA,ERR2184660,RUN
452,ENA,ERR2184661,RUN
453,ENA,ERR2184662,RUN
454,ENA,ERR2184663,RUN
455,ENA,ERR2184664,RUN
456,ENA,ERR2184665,RUN
457,ENA,ERR2184666,RUN
458,ENA,ERR2184667,RUN
459,ENA,ERR2184668,RUN
460,ENA,ERR2184669,RUN
461,ENA,ERR2184670,RUN
462,ENA,ERR2184671,RUN
463,ENA,ERR2184672,RUN
464,ENA,ERR2184673,RUN
465,ENA,ERR2184674,RUN
466,ENA,ERR2184675,RUN
467,ENA,ERR2184676,RUN
468,ENA,ERR2184677,RUN
469,ENA,ERR2184678,RUN
470,ENA,ERR2184679,RUN
471,ENA,ERR2184680,RUN
472,ENA,ERR2184681,RUN
473,ENA,ERR2184682,RUN
474,ENA,ERR2184683,RUN
475,ENA,ERR2184684,RUN
476,ENA,ERR2184685,RUN
477,ENA,ERR2184686,RUN
478,ENA,ERR2184687,RUN
479,ENA,ERR2184688,RUN
480,ENA,ERR2184689,RUN
481,ENA,ERR2184690,RUN
482,ENA,ERR9029914,RUN
483,ENA,ERR9029915,RUN
484,ENA,ERR9029916,RUN
485,ENA,ERR9029917,RUN
486,ENA,ERR9029918,RUN
487,ENA,ERR9029919,RUN
488,ENA,ERR9029920,RUN
489,ENA,ERR9029921,RUN
490,ENA,ERR9029922,RUN
491,ENA,ERR9029923,RUN
492,ENA,ERR9029924,RUN
493,ENA,ERR9029925,RUN
494,ENA,ERR9029926,RUN
495,ENA,ERR9029927,RUN
496,ENA,ERR9029928,RUN
497,ENA,ERR9029929,RUN
498,ENA,ERR9029930,RUN
499,ENA,ERR9029931,RUN
500,ENA,ERR9029932,RUN
501,ENA,ERR2510243,RUN
502,ENA,ERR2510244,RUN
503,ENA,ERR2510245,RUN
504,ENA,ERR2510246,RUN
505,ENA,ERR2510247,RUN
506,ENA,ERR2510248,RUN
507,ENA,ERR2510249,RUN
508,ENA,ERR2510250,RUN
509,ENA,ERR2510251,RUN
510,ENA,ERR2510252,RUN
511,ENA,ERR2510253,RUN
512,ENA,ERR2510254,RUN
513,ENA,ERR2510255,RUN
514,ENA,ERR2510256,RUN
515,ENA,ERR2510257,RUN
516,ENA,ERR2510258,RUN
517,ENA,ERR2510259,RUN
518,ENA,ERR2510260,RUN
519,ENA,ERR2510261,RUN
520,ENA,ERR2510262,RUN
521,ENA,ERR2510263,RUN
522,ENA,ERR2510265,RUN
523,ENA,ERR2510266,RUN
524,ENA,ERR2510267,RUN
525,ENA,ERR2510268,RUN
526,ENA,ERR2510269,RUN
527,ENA,ERR2510270,RUN
528,ENA,ERR2510271,RUN
529,ENA,ERR2510272,RUN
530,ENA,ERR2510273,RUN
