N,Database,Accession,Type
1,ENA,ERR2799052,RUN
2,ENA,ERR2799053,RUN
3,ENA,ERR2799054,RUN
4,ENA,ERR2799055,RUN
5,ENA,ERR2799056,RUN
6,ENA,ERR2799057,RUN
7,ENA,ERR2799058,RUN
8,ENA,ERR2799059,RUN
9,ENA,ERR2799060,RUN
10,ENA,ERR2799061,RUN
11,ENA,ERR2799062,RUN
12,ENA,ERR2799063,RUN
13,ENA,ERR2799064,RUN
14,ENA,ERR2799065,RUN
15,ENA,ERR2799066,RUN
16,ENA,ERR2799067,RUN
17,ENA,ERR2799068,RUN
18,ENA,ERR2799069,RUN
19,ENA,ERR2799070,RUN
20,ENA,ERR2799071,RUN
21,ENA,ERR2799072,RUN
22,ENA,ERR2799073,RUN
23,ENA,ERR2799074,RUN
24,ENA,ERR2799075,RUN
25,ENA,ERR2799076,RUN
26,ENA,ERR2799078,RUN
27,ENA,ERR2799080,RUN
28,ENA,ERR2799081,RUN
29,ENA,ERR2799082,RUN
30,ENA,ERR2799083,RUN
31,ENA,ERR2799084,RUN
32,ENA,ERR2799085,RUN
33,ENA,ERR2799086,RUN
34,ENA,ERR2799087,RUN
35,ENA,ERR2799088,RUN
36,ENA,ERR2799089,RUN
37,ENA,ERR2799090,RUN
38,ENA,ERR2799091,RUN
39,ENA,ERR2799092,RUN
40,ENA,ERR2799093,RUN
41,ENA,ERR2799094,RUN
42,ENA,ERR2799095,RUN
43,ENA,ERR2799096,RUN
44,ENA,ERR2799097,RUN
45,ENA,ERR2799098,RUN
46,ENA,ERR2799099,RUN
47,ENA,ERR2799100,RUN
48,ENA,ERR2799101,RUN
49,ENA,ERR2799102,RUN
50,ENA,ERR2799103,RUN
51,ENA,ERR2799104,RUN
52,ENA,ERR2799105,RUN
53,ENA,ERR2799106,RUN
54,ENA,ERR2799107,RUN
55,ENA,ERR2799108,RUN
56,ENA,ERR2799109,RUN
57,ENA,ERR2799110,RUN
58,ENA,ERR2799111,RUN
59,ENA,ERR2799112,RUN
60,ENA,ERR2799113,RUN
61,ENA,ERR2799114,RUN
62,ENA,ERR2799115,RUN
63,ENA,ERR6109820,RUN
64,ENA,ERR2799116,RUN
65,ENA,ERR2799117,RUN
66,ENA,ERR2799118,RUN
67,ENA,ERR2799119,RUN
68,ENA,ERR2799120,RUN
69,ENA,ERR2799121,RUN
70,ENA,ERR2799122,RUN
71,ENA,ERR2799123,RUN
72,ENA,ERR2799124,RUN
73,ENA,ERR2799125,RUN
74,ENA,ERR2799126,RUN
75,ENA,ERR2799127,RUN
76,ENA,ERR2799128,RUN
77,ENA,ERR2799129,RUN
78,ENA,ERR2799130,RUN
79,ENA,ERR2799131,RUN
80,ENA,ERR2799037,RUN
81,ENA,ERR2799132,RUN
82,ENA,ERR2799038,RUN
83,ENA,ERR2799133,RUN
84,ENA,ERR2799134,RUN
85,ENA,ERR2799135,RUN
86,ENA,ERR2799136,RUN
87,ENA,ERR2799137,RUN
88,ENA,ERR2799039,RUN
89,ENA,ERR2799138,RUN
90,ENA,ERR2799139,RUN
91,ENA,ERR2799140,RUN
92,ENA,ERR2799141,RUN
93,ENA,ERR2799142,RUN
94,ENA,ERR2799143,RUN
95,ENA,ERR2799144,RUN
96,ENA,ERR2799145,RUN
97,ENA,ERR2799146,RUN
98,ENA,ERR2799147,RUN
99,ENA,ERR2799148,RUN
100,ENA,ERR2799149,RUN
101,ENA,ERR2799150,RUN
102,ENA,ERR2799151,RUN
103,ENA,ERR2799152,RUN
104,ENA,ERR2799153,RUN
105,ENA,ERR2799040,RUN
106,ENA,ERR2799154,RUN
107,ENA,ERR2799155,RUN
108,ENA,ERR2799156,RUN
109,ENA,ERR2799157,RUN
110,ENA,ERR2799158,RUN
111,ENA,ERR2799159,RUN
112,ENA,ERR2799160,RUN
113,ENA,ERR2799161,RUN
114,ENA,ERR2799162,RUN
115,ENA,ERR2799163,RUN
116,ENA,ERR2799164,RUN
117,ENA,ERR2799166,RUN
118,ENA,ERR2799167,RUN
119,ENA,ERR2799168,RUN
120,ENA,ERR2799169,RUN
121,ENA,ERR2799170,RUN
122,ENA,ERR2799171,RUN
123,ENA,ERR2799173,RUN
124,ENA,ERR2799174,RUN
125,ENA,ERR2799175,RUN
126,ENA,ERR2799176,RUN
127,ENA,ERR2799177,RUN
128,ENA,ERR2799178,RUN
129,ENA,ERR2799179,RUN
130,ENA,ERR2799180,RUN
131,ENA,ERR2799181,RUN
132,ENA,ERR2799182,RUN
133,ENA,ERR2799183,RUN
134,ENA,ERR2799041,RUN
135,ENA,ERR2799184,RUN
136,ENA,ERR2799185,RUN
137,ENA,ERR2799186,RUN
138,ENA,ERR2799187,RUN
139,ENA,ERR2799188,RUN
140,ENA,ERR2799189,RUN
141,ENA,ERR2799190,RUN
142,ENA,ERR2799191,RUN
143,ENA,ERR2799192,RUN
144,ENA,ERR2799193,RUN
145,ENA,ERR2799194,RUN
146,ENA,ERR2799195,RUN
147,ENA,ERR2799196,RUN
148,ENA,ERR2799042,RUN
