N,Database,Accession,Type
1,ENA,ERR2560733,RUN
2,ENA,ERR2560731,RUN
3,ENA,ERR2560747,RUN
4,ENA,ERR2560753,RUN
5,ENA,ERR2560745,RUN
6,ENA,ERR2560719,RUN
7,ENA,ERR2560769,RUN
8,ENA,ERR2560727,RUN
9,ENA,ERR2560697,RUN
10,ENA,ERR2560725,RUN
11,ENA,ERR2560773,RUN
12,ENA,ERR2560761,RUN
13,ENA,ERR2560777,RUN
14,ENA,ERR2560763,RUN
15,ENA,ERR2560696,RUN
16,ENA,ERR2560739,RUN
17,ENA,ERR2560771,RUN
18,ENA,ERR2560702,RUN
19,ENA,ERR2560780,RUN
20,ENA,ERR2560705,RUN
21,ENA,ERR2560742,RUN
22,ENA,ERR2560768,RUN
23,ENA,ERR2560704,RUN
24,ENA,ERR2560706,RUN
25,ENA,ERR2560740,RUN
26,ENA,ERR2560766,RUN
27,ENA,ERR2560711,RUN
28,ENA,ERR2560751,RUN
29,ENA,ERR2560765,RUN
30,ENA,ERR2560759,RUN
31,ENA,ERR2560707,RUN
32,ENA,ERR2560722,RUN
33,ENA,ERR2560750,RUN
34,ENA,ERR2560735,RUN
35,ENA,ERR2560729,RUN
36,ENA,ERR2560774,RUN
37,ENA,ERR2560718,RUN
38,ENA,ERR2560732,RUN
39,ENA,ERR2560720,RUN
40,ENA,ERR2560755,RUN
41,ENA,ERR2560716,RUN
42,ENA,ERR2560756,RUN
43,ENA,ERR2560717,RUN
44,ENA,ERR2560775,RUN
45,ENA,ERR2560708,RUN
46,ENA,ERR2560757,RUN
47,ENA,ERR2560734,RUN
48,ENA,ERR2560713,RUN
49,ENA,ERR2560741,RUN
50,ENA,ERR2560754,RUN
51,ENA,ERR2560781,RUN
52,ENA,ERR2560698,RUN
53,ENA,ERR2560772,RUN
54,ENA,ERR2560703,RUN
55,ENA,ERR2560758,RUN
56,ENA,ERR2560762,RUN
57,ENA,ERR2560764,RUN
58,ENA,ERR2560783,RUN
59,ENA,ERR2560709,RUN
60,ENA,ERR2560779,RUN
61,NCBI,SRR12805669,RUN
62,NCBI,SRR12805668,RUN
63,NCBI,SRR12805655,RUN
64,NCBI,SRR12805644,RUN
65,NCBI,SRR12805590,RUN
66,NCBI,SRR12805684,RUN
67,NCBI,SRR12805683,RUN
68,NCBI,SRR12805681,RUN
69,NCBI,SRR12805671,RUN
70,NCBI,SRR12805667,RUN
71,NCBI,SRR12805656,RUN
72,NCBI,SRR12805649,RUN
73,NCBI,SRR12805648,RUN
74,NCBI,SRR12805646,RUN
75,NCBI,SRR12805645,RUN
76,NCBI,SRR12805605,RUN
77,NCBI,SRR12805596,RUN
78,NCBI,SRR12805685,RUN
79,NCBI,SRR12805637,RUN
80,NCBI,SRR12805607,RUN
