N,Database,Accession,Type
1,NCBI,SRR10003127,RUN
2,NCBI,SRR10003404,RUN
3,NCBI,SRR10003417,RUN
4,NCBI,SRR10003565,RUN
5,NCBI,SRR10003599,RUN
6,NCBI,SRR10006707,RUN
7,NCBI,SRR10006726,RUN
8,NCBI,SRR10010260,RUN
9,NCBI,SRR10010264,RUN
10,NCBI,SRR10010850,RUN
11,NCBI,SRR10010851,RUN
12,NCBI,SRR10010854,RUN
13,NCBI,SRR10010860,RUN
14,NCBI,SRR10010865,RUN
15,NCBI,SRR10010866,RUN
16,NCBI,SRR10016421,RUN
17,NCBI,SRR10018508,RUN
18,NCBI,SRR10018565,RUN
19,NCBI,SRR10019144,RUN
20,NCBI,SRR10026573,RUN
21,NCBI,SRR10026575,RUN
22,NCBI,SRR10029629,RUN
23,NCBI,SRR10030045,RUN
24,NCBI,SRR10030299,RUN
25,NCBI,SRR10034748,RUN
26,NCBI,SRR10034750,RUN
27,NCBI,SRR10034860,RUN
28,NCBI,SRR10037008,RUN
29,NCBI,SRR10037022,RUN
30,NCBI,SRR10037029,RUN
31,NCBI,SRR10051008,RUN
32,NCBI,SRR10062811,RUN
33,NCBI,SRR10062885,RUN
34,NCBI,SRR10062886,RUN
35,NCBI,SRR10062900,RUN
36,NCBI,SRR10062902,RUN
37,NCBI,SRR10063333,RUN
38,NCBI,SRR10063337,RUN
39,NCBI,SRR10063342,RUN
40,NCBI,SRR10063351,RUN
41,NCBI,SRR10070971,RUN
42,NCBI,SRR10081010,RUN
43,NCBI,SRR10081014,RUN
44,NCBI,SRR10084746,RUN
45,NCBI,SRR10087900,RUN
46,NCBI,SRR10089965,RUN
47,NCBI,SRR10103061,RUN
48,NCBI,SRR10119326,RUN
49,NCBI,SRR10131195,RUN
50,NCBI,SRR10131198,RUN
51,NCBI,SRR10131488,RUN
52,NCBI,SRR10131495,RUN
53,NCBI,SRR10153082,RUN
54,NCBI,SRR10158335,RUN
55,NCBI,SRR10158338,RUN
56,NCBI,SRR10164018,RUN
57,NCBI,SRR10164019,RUN
58,NCBI,SRR10164020,RUN
59,NCBI,SRR10164021,RUN
60,NCBI,SRR10164023,RUN
61,NCBI,SRR10172964,RUN
62,NCBI,SRR10178399,RUN
63,NCBI,SRR10178404,RUN
64,NCBI,SRR10178408,RUN
65,NCBI,SRR10190316,RUN
66,NCBI,SRR10190320,RUN
67,NCBI,SRR10190413,RUN
68,NCBI,SRR10190439,RUN
69,NCBI,SRR10190492,RUN
70,NCBI,SRR10190808,RUN
71,NCBI,SRR10190822,RUN
72,NCBI,SRR10190958,RUN
73,NCBI,SRR10190963,RUN
74,NCBI,SRR10194534,RUN
75,NCBI,SRR10194539,RUN
76,NCBI,SRR10194542,RUN
77,NCBI,SRR10194548,RUN
78,NCBI,SRR10204412,RUN
79,NCBI,SRR10204429,RUN
80,NCBI,SRR10204478,RUN
81,NCBI,SRR10204480,RUN
82,NCBI,SRR10204481,RUN
83,NCBI,SRR10204482,RUN
84,NCBI,SRR10204485,RUN
85,NCBI,SRR10204486,RUN
86,NCBI,SRR10210060,RUN
87,NCBI,SRR10210267,RUN
88,NCBI,SRR10213004,RUN
89,NCBI,SRR10213005,RUN
90,NCBI,SRR10213007,RUN
91,NCBI,SRR10213010,RUN
92,NCBI,SRR10224931,RUN
93,NCBI,SRR10231323,RUN
94,NCBI,SRR10245478,RUN
95,NCBI,SRR10245481,RUN
96,NCBI,SRR10246774,RUN
97,NCBI,SRR10246776,RUN
98,NCBI,SRR10254841,RUN
99,NCBI,SRR10254849,RUN
100,NCBI,SRR10254850,RUN
101,NCBI,SRR10254855,RUN
102,NCBI,SRR10254858,RUN
103,NCBI,SRR10258970,RUN
104,NCBI,SRR10258972,RUN
105,NCBI,SRR10267086,RUN
106,NCBI,SRR10270585,RUN
107,NCBI,SRR10270586,RUN
108,NCBI,SRR10273634,RUN
109,NCBI,SRR10286855,RUN
110,NCBI,SRR10298336,RUN
111,NCBI,SRR10302265,RUN
112,NCBI,SRR10302277,RUN
113,NCBI,SRR10303235,RUN
114,NCBI,SRR10303242,RUN
115,NCBI,SRR10303245,RUN
116,NCBI,SRR10303247,RUN
117,NCBI,SRR10312174,RUN
118,NCBI,SRR10312215,RUN
119,NCBI,SRR10312221,RUN
120,NCBI,SRR10312228,RUN
121,NCBI,SRR10312231,RUN
122,NCBI,SRR10323969,RUN
123,NCBI,SRR10324701,RUN
124,NCBI,SRR10324704,RUN
125,NCBI,SRR10324706,RUN
126,NCBI,SRR10337445,RUN
127,NCBI,SRR10338046,RUN
128,NCBI,SRR10338047,RUN
129,NCBI,SRR10338048,RUN
130,NCBI,SRR10338049,RUN
131,NCBI,SRR10338050,RUN
132,NCBI,SRR10338051,RUN
133,NCBI,SRR10338052,RUN
134,NCBI,SRR10338053,RUN
135,NCBI,SRR10338054,RUN
136,NCBI,SRR10338055,RUN
137,NCBI,SRR10338056,RUN
138,NCBI,SRR10338057,RUN
139,NCBI,SRR10338058,RUN
140,NCBI,SRR10338059,RUN
141,NCBI,SRR10338060,RUN
142,NCBI,SRR10338061,RUN
143,NCBI,SRR10338062,RUN
144,NCBI,SRR10348695,RUN
145,NCBI,SRR10348698,RUN
146,NCBI,SRR10348711,RUN
147,NCBI,SRR10348728,RUN
148,NCBI,SRR10349457,RUN
149,NCBI,SRR10349460,RUN
150,NCBI,SRR10364706,RUN
151,NCBI,SRR10364917,RUN
152,NCBI,SRR10392051,RUN
153,NCBI,SRR10395206,RUN
154,NCBI,SRR10395207,RUN
155,NCBI,SRR10395210,RUN
156,NCBI,SRR10403583,RUN
157,NCBI,SRR10403589,RUN
158,NCBI,SRR10403592,RUN
159,NCBI,SRR10403813,RUN
160,NCBI,SRR10403814,RUN
161,NCBI,SRR10403818,RUN
162,NCBI,SRR10403819,RUN
163,NCBI,SRR10403821,RUN
164,NCBI,SRR10403826,RUN
165,NCBI,SRR10403828,RUN
166,NCBI,SRR10403873,RUN
167,NCBI,SRR10403877,RUN
168,NCBI,SRR10403894,RUN
169,NCBI,SRR10403897,RUN
170,NCBI,SRR10419232,RUN
171,NCBI,SRR10426623,RUN
172,NCBI,SRR10426624,RUN
173,NCBI,SRR10426625,RUN
174,NCBI,SRR10431639,RUN
175,NCBI,SRR10431640,RUN
176,NCBI,SRR10432413,RUN
177,NCBI,SRR10437518,RUN
178,NCBI,SRR10442247,RUN
179,NCBI,SRR10442248,RUN
180,NCBI,SRR10442258,RUN
181,NCBI,SRR10442261,RUN
182,NCBI,SRR10442263,RUN
183,NCBI,SRR10442264,RUN
184,NCBI,SRR10444563,RUN
185,NCBI,SRR10445066,RUN
186,NCBI,SRR10445067,RUN
187,NCBI,SRR10479238,RUN
188,NCBI,SRR10479239,RUN
189,NCBI,SRR10490446,RUN
190,NCBI,SRR10490507,RUN
191,NCBI,SRR10490510,RUN
192,NCBI,SRR10490516,RUN
193,NCBI,SRR10490522,RUN
194,NCBI,SRR10500363,RUN
195,NCBI,SRR10500364,RUN
196,NCBI,SRR10500379,RUN
197,NCBI,SRR10505490,RUN
198,NCBI,SRR10513321,RUN
199,NCBI,SRR10513329,RUN
200,NCBI,SRR10524160,RUN
201,NCBI,SRR10524218,RUN
202,NCBI,SRR10532705,RUN
203,NCBI,SRR10532711,RUN
204,NCBI,SRR10568981,RUN
205,NCBI,SRR10571005,RUN
206,NCBI,SRR10571007,RUN
207,NCBI,SRR10571875,RUN
208,NCBI,SRR10604640,RUN
209,NCBI,SRR10607604,RUN
210,NCBI,SRR10611182,RUN
211,NCBI,SRR10619373,RUN
212,NCBI,SRR10619376,RUN
213,NCBI,SRR10619378,RUN
214,NCBI,SRR10695695,RUN
215,NCBI,SRR10695696,RUN
216,NCBI,SRR10699561,RUN
217,NCBI,SRR10699563,RUN
218,NCBI,SRR10699565,RUN
219,NCBI,SRR10699569,RUN
220,NCBI,SRR10699571,RUN
221,NCBI,SRR10699575,RUN
222,NCBI,SRR10699578,RUN
223,NCBI,SRR10699581,RUN
224,NCBI,SRR10699583,RUN
225,NCBI,SRR10716755,RUN
226,NCBI,SRR10729008,RUN
227,NCBI,SRR10746216,RUN
228,NCBI,SRR10746217,RUN
229,NCBI,SRR10746218,RUN
230,NCBI,SRR10746221,RUN
231,NCBI,SRR10746226,RUN
232,NCBI,SRR10746227,RUN
