N,Database,Accession,Type
1,NCBI,SRR10001032,RUN
2,NCBI,SRR10014033,RUN
3,NCBI,SRR10017990,RUN
4,NCBI,SRR10026531,RUN
5,NCBI,SRR10037099,RUN
6,NCBI,SRR10061062,RUN
7,NCBI,SRR10063255,RUN
8,NCBI,SRR10075811,RUN
9,NCBI,SRR10085250,RUN
10,NCBI,SRR10095307,RUN
11,NCBI,SRR10115857,RUN
12,NCBI,SRR10129656,RUN
13,NCBI,SRR10132385,RUN
14,NCBI,SRR10153093,RUN
15,NCBI,SRR10156351,RUN
16,NCBI,SRR10158980,RUN
17,NCBI,SRR10174185,RUN
18,NCBI,SRR10175834,RUN
19,NCBI,SRR10207507,RUN
20,NCBI,SRR10225352,RUN
21,NCBI,SRR10247447,RUN
22,NCBI,SRR10270044,RUN
23,NCBI,SRR10274366,RUN
24,NCBI,SRR10276123,RUN
25,NCBI,SRR10302533,RUN
26,NCBI,SRR10307598,RUN
27,NCBI,SRR10321124,RUN
28,NCBI,SRR10322599,RUN
29,NCBI,SRR10326101,RUN
30,NCBI,SRR10326398,RUN
31,NCBI,SRR10334091,RUN
32,NCBI,SRR10335782,RUN
33,NCBI,SRR10336944,RUN
34,NCBI,SRR10336946,RUN
35,NCBI,SRR10349465,RUN
36,NCBI,SRR10366808,RUN
37,NCBI,SRR10396457,RUN
38,NCBI,SRR10396458,RUN
39,NCBI,SRR10405216,RUN
40,NCBI,SRR10412077,RUN
41,NCBI,SRR10413219,RUN
42,NCBI,SRR10414480,RUN
43,NCBI,SRR10418228,RUN
44,NCBI,SRR10418233,RUN
45,NCBI,SRR10418234,RUN
46,NCBI,SRR10418236,RUN
47,NCBI,SRR10418237,RUN
48,NCBI,SRR10418238,RUN
49,NCBI,SRR10418239,RUN
50,NCBI,SRR10418240,RUN
51,NCBI,SRR10418241,RUN
52,NCBI,SRR10418242,RUN
53,NCBI,SRR10418243,RUN
54,NCBI,SRR10418244,RUN
55,NCBI,SRR10418245,RUN
56,NCBI,SRR10418246,RUN
57,NCBI,SRR10418247,RUN
58,NCBI,SRR10418248,RUN
59,NCBI,SRR10418249,RUN
60,NCBI,SRR10418250,RUN
61,NCBI,SRR10418251,RUN
62,NCBI,SRR10418252,RUN
63,NCBI,SRR10418256,RUN
64,NCBI,SRR10418263,RUN
65,NCBI,SRR10418264,RUN
66,NCBI,SRR10418265,RUN
67,NCBI,SRR10418271,RUN
68,NCBI,SRR10418272,RUN
69,NCBI,SRR10418273,RUN
70,NCBI,SRR10418274,RUN
71,NCBI,SRR10437594,RUN
72,NCBI,SRR10437596,RUN
73,NCBI,SRR10437597,RUN
74,NCBI,SRR10437598,RUN
75,NCBI,SRR10437599,RUN
76,NCBI,SRR10437984,RUN
77,NCBI,SRR10437986,RUN
78,NCBI,SRR10437987,RUN
79,NCBI,SRR10437988,RUN
80,NCBI,SRR10437989,RUN
81,NCBI,SRR10437990,RUN
82,NCBI,SRR10437991,RUN
83,NCBI,SRR10437992,RUN
84,NCBI,SRR10437993,RUN
85,NCBI,SRR10437994,RUN
86,NCBI,SRR10437995,RUN
87,NCBI,SRR10438059,RUN
88,NCBI,SRR10438060,RUN
89,NCBI,SRR10438061,RUN
90,NCBI,SRR10438062,RUN
91,NCBI,SRR10438063,RUN
92,NCBI,SRR10438064,RUN
93,NCBI,SRR10438065,RUN
94,NCBI,SRR10438066,RUN
95,NCBI,SRR10438067,RUN
96,NCBI,SRR10438068,RUN
97,NCBI,SRR10438069,RUN
98,NCBI,SRR10438070,RUN
99,NCBI,SRR10438071,RUN
100,NCBI,SRR10438072,RUN
101,NCBI,SRR10438073,RUN
102,NCBI,SRR10438074,RUN
103,NCBI,SRR10438075,RUN
104,NCBI,SRR10438076,RUN
105,NCBI,SRR10438077,RUN
106,NCBI,SRR10438078,RUN
107,NCBI,SRR10438079,RUN
108,NCBI,SRR10438080,RUN
109,NCBI,SRR10438082,RUN
110,NCBI,SRR10438083,RUN
111,NCBI,SRR10438613,RUN
112,NCBI,SRR10438614,RUN
113,NCBI,SRR10438615,RUN
114,NCBI,SRR10438628,RUN
115,NCBI,SRR10438629,RUN
116,NCBI,SRR10438630,RUN
117,NCBI,SRR10438632,RUN
118,NCBI,SRR10438634,RUN
119,NCBI,SRR10438635,RUN
120,NCBI,SRR10438637,RUN
121,NCBI,SRR10438639,RUN
122,NCBI,SRR10441990,RUN
123,NCBI,SRR10441992,RUN
124,NCBI,SRR10441993,RUN
125,NCBI,SRR10441994,RUN
126,NCBI,SRR10441995,RUN
127,NCBI,SRR10441996,RUN
128,NCBI,SRR10441997,RUN
129,NCBI,SRR10441998,RUN
130,NCBI,SRR10448290,RUN
131,NCBI,SRR10491300,RUN
132,NCBI,SRR10491773,RUN
133,NCBI,SRR10512648,RUN
134,NCBI,SRR10513094,RUN
135,NCBI,SRR10530572,RUN
136,NCBI,SRR10536146,RUN
137,NCBI,SRR10541238,RUN
138,NCBI,SRR10541250,RUN
139,NCBI,SRR10559592,RUN
140,NCBI,SRR10579235,RUN
141,NCBI,SRR10600462,RUN
142,NCBI,SRR10608833,RUN
143,NCBI,SRR10688429,RUN
144,NCBI,SRR10729018,RUN
145,NCBI,SRR10748669,RUN
146,NCBI,SRR10751985,RUN
147,NCBI,SRR10761148,RUN
148,NCBI,SRR10764365,RUN
149,NCBI,SRR10836553,RUN
150,NCBI,SRR10842876,RUN
151,NCBI,SRR10881626,RUN
152,NCBI,SRR10883975,RUN
153,NCBI,SRR10884014,RUN
154,NCBI,SRR10919003,RUN
155,NCBI,SRR10919025,RUN
156,NCBI,SRR10919681,RUN
157,NCBI,SRR10919698,RUN
158,NCBI,SRR10952774,RUN
159,NCBI,SRR10961053,RUN
160,NCBI,SRR10962280,RUN
161,NCBI,SRR10963172,RUN
162,NCBI,SRR10967487,RUN
163,NCBI,SRR10971008,RUN
164,NCBI,SRR10971388,RUN
165,NCBI,SRR10982262,RUN
166,NCBI,SRR10982264,RUN
167,NCBI,SRR10987331,RUN
168,NCBI,SRR11035896,RUN
169,NCBI,SRR11035900,RUN
170,NCBI,SRR11035904,RUN
171,NCBI,SRR11087859,RUN
172,NCBI,SRR11089456,RUN
173,NCBI,SRR11089507,RUN
174,NCBI,SRR11091487,RUN
175,NCBI,SRR11091488,RUN
176,NCBI,SRR11108106,RUN
177,NCBI,SRR11176069,RUN
178,NCBI,SRR11179977,RUN
179,NCBI,SRR11198005,RUN
180,NCBI,SRR11216056,RUN
181,NCBI,SRR11301515,RUN
182,NCBI,SRR11305497,RUN
183,NCBI,SRR11451550,RUN
184,NCBI,SRR11455618,RUN
185,NCBI,SRR11516609,RUN
186,NCBI,SRR11574452,RUN
187,NCBI,SRR11596076,RUN
188,NCBI,SRR11625185,RUN
189,NCBI,SRR11635668,RUN
190,NCBI,SRR11712597,RUN
191,NCBI,SRR11772262,RUN
192,NCBI,SRR11772697,RUN
193,NCBI,SRR11777592,RUN
194,NCBI,SRR11818065,RUN
195,NCBI,SRR11866726,RUN
196,NCBI,SRR11878286,RUN
197,NCBI,SRR11925990,RUN
198,NCBI,SRR11945634,RUN
199,NCBI,SRR12066865,RUN
200,NCBI,SRR12070931,RUN
201,NCBI,SRR12071748,RUN
202,NCBI,SRR12119109,RUN
203,NCBI,SRR12128989,RUN
204,NCBI,SRR12145911,RUN
205,NCBI,SRR12160601,RUN
206,NCBI,SRR12232603,RUN
207,NCBI,SRR12232608,RUN
208,NCBI,SRR12263229,RUN
209,NCBI,SRR12282830,RUN
210,NCBI,SRR12283164,RUN
211,NCBI,SRR12314139,RUN
212,NCBI,SRR12314147,RUN
213,NCBI,SRR12330724,RUN
214,NCBI,SRR12383626,RUN
215,NCBI,SRR12385458,RUN
216,NCBI,SRR12395478,RUN
217,NCBI,SRR12411260,RUN
218,NCBI,SRR12424845,RUN
219,NCBI,SRR12455100,RUN
220,NCBI,SRR12544336,RUN
221,NCBI,SRR12553631,RUN
222,NCBI,SRR12553635,RUN
223,NCBI,SRR12580495,RUN
224,NCBI,SRR12633964,RUN
225,NCBI,SRR12642632,RUN
226,NCBI,SRR12653617,RUN
227,NCBI,SRR12653619,RUN
228,NCBI,SRR12653622,RUN
229,NCBI,SRR12664382,RUN
230,NCBI,SRR12697318,RUN
231,NCBI,SRR12704106,RUN
232,NCBI,SRR12705728,RUN
233,NCBI,SRR12740643,RUN
234,NCBI,SRR12748540,RUN
235,NCBI,SRR12762960,RUN
236,NCBI,SRR12766674,RUN
237,NCBI,SRR12766690,RUN
238,NCBI,SRR12775649,RUN
239,NCBI,SRR12781278,RUN
240,NCBI,SRR12798571,RUN
241,NCBI,SRR12798572,RUN
242,NCBI,SRR12798573,RUN
243,NCBI,SRR12798581,RUN
244,NCBI,SRR12798585,RUN
245,NCBI,SRR12798588,RUN
246,NCBI,SRR12798594,RUN
247,NCBI,SRR12798604,RUN
248,NCBI,SRR12823449,RUN
249,NCBI,SRR12823528,RUN
250,NCBI,SRR12823539,RUN
251,NCBI,SRR12823547,RUN
252,NCBI,SRR12823548,RUN
253,NCBI,SRR12827402,RUN
254,NCBI,SRR12827716,RUN
255,NCBI,SRR12841124,RUN
256,NCBI,SRR12865047,RUN
257,NCBI,SRR12876668,RUN
258,NCBI,SRR12900372,RUN
259,NCBI,SRR12901901,RUN
260,NCBI,SRR12916375,RUN
261,NCBI,SRR12916377,RUN
262,NCBI,SRR12916380,RUN
263,NCBI,SRR12916936,RUN
264,NCBI,SRR12936044,RUN
265,NCBI,SRR12951694,RUN
266,NCBI,SRR13067462,RUN
267,NCBI,SRR13084575,RUN
268,NCBI,SRR13092326,RUN
269,NCBI,SRR13110231,RUN
270,NCBI,SRR13211879,RUN
271,NCBI,SRR13242378,RUN
272,NCBI,SRR13270111,RUN
273,NCBI,SRR13288873,RUN
274,NCBI,SRR13310522,RUN
275,NCBI,SRR13389668,RUN
276,NCBI,SRR13447431,RUN
277,NCBI,SRR13485000,RUN
278,NCBI,SRR13532098,RUN
279,NCBI,SRR13532100,RUN
280,NCBI,SRR13577438,RUN
281,NCBI,SRR13602805,RUN
282,NCBI,SRR13605047,RUN
283,NCBI,SRR13620496,RUN
284,NCBI,SRR13642589,RUN
285,NCBI,SRR13706095,RUN
286,NCBI,SRR13708595,RUN
287,NCBI,SRR13721336,RUN
288,NCBI,SRR13723714,RUN
289,NCBI,SRR13762673,RUN
290,NCBI,SRR13795601,RUN
291,NCBI,SRR13866802,RUN
292,NCBI,SRR13889020,RUN
293,NCBI,SRR13890420,RUN
294,NCBI,SRR13925103,RUN
295,NCBI,SRR13957224,RUN
296,NCBI,SRR13971533,RUN
297,NCBI,SRR14061547,RUN
298,NCBI,SRR14071710,RUN
299,NCBI,SRR14092548,RUN
300,NCBI,SRR14142015,RUN
301,NCBI,SRR14230551,RUN
302,NCBI,SRR14276922,RUN
303,NCBI,SRR14296641,RUN
304,NCBI,SRR14362956,RUN
305,NCBI,SRR14401828,RUN
306,NCBI,SRR14467042,RUN
307,NCBI,SRR14480830,RUN
308,NCBI,SRR14567302,RUN
309,NCBI,SRR14568866,RUN
310,NCBI,SRR14679165,RUN
311,NCBI,SRR14687277,RUN
312,NCBI,SRR14746657,RUN
313,NCBI,SRR14761672,RUN
314,NCBI,SRR14883118,RUN
315,NCBI,SRR14936431,RUN
316,NCBI,SRR14979272,RUN
317,NCBI,SRR15012790,RUN
318,NCBI,SRR15013051,RUN
319,NCBI,SRR15024309,RUN
320,NCBI,SRR15049763,RUN
321,NCBI,SRR15055856,RUN
322,NCBI,SRR15142513,RUN
323,NCBI,SRR15192816,RUN
324,NCBI,SRR15194625,RUN
325,NCBI,SRR15194892,RUN
326,NCBI,SRR15217871,RUN
327,NCBI,SRR15300602,RUN
328,NCBI,SRR15306176,RUN
329,NCBI,SRR15325104,RUN
330,NCBI,SRR15328299,RUN
331,NCBI,SRR15345934,RUN
332,NCBI,SRR15356746,RUN
333,NCBI,SRR15367833,RUN
334,NCBI,SRR15374238,RUN
335,NCBI,SRR15376337,RUN
336,NCBI,SRR15402276,RUN
337,NCBI,SRR15420417,RUN
338,NCBI,SRR15483599,RUN
339,NCBI,SRR15488748,RUN
340,NCBI,SRR15496956,RUN
341,NCBI,SRR15571332,RUN
342,NCBI,SRR15632875,RUN
343,NCBI,SRR15670798,RUN
344,NCBI,SRR15673059,RUN
345,NCBI,SRR15688740,RUN
346,NCBI,SRR15692616,RUN
347,NCBI,SRR15711772,RUN
348,NCBI,SRR15713872,RUN
349,NCBI,SRR15839593,RUN
350,NCBI,SRR15845247,RUN
351,NCBI,SRR15905097,RUN
352,NCBI,SRR15908210,RUN
353,NCBI,SRR15942379,RUN
354,NCBI,SRR15943378,RUN
355,NCBI,SRR16092793,RUN
356,NCBI,SRR16114569,RUN
357,NCBI,SRR16149280,RUN
358,NCBI,SRR16206898,RUN
359,NCBI,SRR16216582,RUN
360,NCBI,SRR16230391,RUN
361,NCBI,SRR16248887,RUN
362,NCBI,SRR16264710,RUN
363,NCBI,SRR16482964,RUN
364,NCBI,SRR16493545,RUN
365,NCBI,SRR16493578,RUN
366,NCBI,SRR16493585,RUN
367,NCBI,SRR16539877,RUN
368,NCBI,SRR16949326,RUN
369,NCBI,SRR16981131,RUN
370,NCBI,SRR17100249,RUN
371,NCBI,SRR17244160,RUN
372,NCBI,SRR17549346,RUN
373,NCBI,SRR1758758,RUN
374,NCBI,SRR18911902,RUN
375,NCBI,SRR1914953,RUN
376,NCBI,SRR2015206,RUN
377,NCBI,SRR3156763,RUN
378,NCBI,SRR3158825,RUN
379,NCBI,SRR3178058,RUN
380,NCBI,SRR3180494,RUN
381,NCBI,SRR3205721,RUN
382,NCBI,SRR3205733,RUN
383,NCBI,SRR3222562,RUN
384,NCBI,SRR3371801,RUN
385,NCBI,SRR3371809,RUN
386,NCBI,SRR3371825,RUN
387,NCBI,SRR3657541,RUN
388,NCBI,SRR3715459,RUN
389,NCBI,SRR4101382,RUN
390,NCBI,SRR4256153,RUN
391,NCBI,SRR4256215,RUN
392,NCBI,SRR4320863,RUN
393,NCBI,SRR4923154,RUN
394,NCBI,SRR4923164,RUN
395,NCBI,SRR5004319,RUN
396,NCBI,SRR5004437,RUN
397,NCBI,SRR5054523,RUN
398,NCBI,SRR5100905,RUN
399,NCBI,SRR5110985,RUN
400,NCBI,SRR5152378,RUN
401,NCBI,SRR5159135,RUN
402,NCBI,SRR5223000,RUN
403,NCBI,SRR5223012,RUN
404,NCBI,SRR5223141,RUN
405,NCBI,SRR5264182,RUN
406,NCBI,SRR5283175,RUN
407,NCBI,SRR5289383,RUN
408,NCBI,SRR5292129,RUN
409,NCBI,SRR5292143,RUN
410,NCBI,SRR5312160,RUN
411,NCBI,SRR5379222,RUN
412,NCBI,SRR5434862,RUN
413,NCBI,SRR5434894,RUN
414,NCBI,SRR5434996,RUN
415,NCBI,SRR5435053,RUN
416,NCBI,SRR5486141,RUN
417,NCBI,SRR5486144,RUN
418,NCBI,SRR5516030,RUN
419,NCBI,SRR5588447,RUN
420,NCBI,SRR5642802,RUN
421,NCBI,SRR5765341,RUN
422,NCBI,SRR5781895,RUN
423,NCBI,SRR5787729,RUN
424,NCBI,SRR5828259,RUN
425,NCBI,SRR5832226,RUN
426,NCBI,SRR5864520,RUN
427,NCBI,SRR5864561,RUN
428,NCBI,SRR5870546,RUN
429,NCBI,SRR5876442,RUN
430,NCBI,SRR5934645,RUN
431,NCBI,SRR5944138,RUN
432,NCBI,SRR5944300,RUN
433,NCBI,SRR5944307,RUN
434,NCBI,SRR5944595,RUN
435,NCBI,SRR5944895,RUN
436,NCBI,SRR5951661,RUN
437,NCBI,SRR6011644,RUN
438,NCBI,SRR6039460,RUN
439,NCBI,SRR6039599,RUN
440,NCBI,SRR6060716,RUN
441,NCBI,SRR6060742,RUN
442,NCBI,SRR6069473,RUN
443,NCBI,SRR6069477,RUN
444,NCBI,SRR6072240,RUN
445,NCBI,SRR6114106,RUN
446,NCBI,SRR6128598,RUN
447,NCBI,SRR6164656,RUN
448,NCBI,SRR6164688,RUN
449,NCBI,SRR6177989,RUN
450,NCBI,SRR6178051,RUN
451,NCBI,SRR6181315,RUN
452,NCBI,SRR6189759,RUN
453,NCBI,SRR6207520,RUN
454,NCBI,SRR6216419,RUN
455,NCBI,SRR6252840,RUN
456,NCBI,SRR6252859,RUN
457,NCBI,SRR6293185,RUN
458,NCBI,SRR6293252,RUN
459,NCBI,SRR6293285,RUN
460,NCBI,SRR6302414,RUN
461,NCBI,SRR6302423,RUN
462,NCBI,SRR6302432,RUN
463,NCBI,SRR6302434,RUN
464,NCBI,SRR6309187,RUN
465,NCBI,SRR6309199,RUN
466,NCBI,SRR6342048,RUN
467,NCBI,SRR6342082,RUN
468,NCBI,SRR6342322,RUN
469,NCBI,SRR6359323,RUN
470,NCBI,SRR6359363,RUN
471,NCBI,SRR6371944,RUN
472,NCBI,SRR6385000,RUN
473,NCBI,SRR6385001,RUN
474,NCBI,SRR6385004,RUN
475,NCBI,SRR6388779,RUN
476,NCBI,SRR6396322,RUN
477,NCBI,SRR6396368,RUN
478,NCBI,SRR6410631,RUN
479,NCBI,SRR6439851,RUN
480,NCBI,SRR6484673,RUN
481,NCBI,SRR6484741,RUN
482,NCBI,SRR6484758,RUN
483,NCBI,SRR6490559,RUN
484,NCBI,SRR6507037,RUN
485,NCBI,SRR6507044,RUN
486,NCBI,SRR6507192,RUN
487,NCBI,SRR6658337,RUN
488,NCBI,SRR6689545,RUN
489,NCBI,SRR6689562,RUN
490,NCBI,SRR6690729,RUN
491,NCBI,SRR6690755,RUN
492,NCBI,SRR6743536,RUN
493,NCBI,SRR6743543,RUN
494,NCBI,SRR6743547,RUN
495,NCBI,SRR6743550,RUN
496,NCBI,SRR6743558,RUN
497,NCBI,SRR6743563,RUN
498,NCBI,SRR6766901,RUN
499,NCBI,SRR6766931,RUN
500,NCBI,SRR6766971,RUN
501,NCBI,SRR6786701,RUN
502,NCBI,SRR6813892,RUN
503,NCBI,SRR6813894,RUN
504,NCBI,SRR6870016,RUN
505,NCBI,SRR6870021,RUN
506,NCBI,SRR6870024,RUN
507,NCBI,SRR6870045,RUN
508,NCBI,SRR6875511,RUN
509,NCBI,SRR6880692,RUN
510,NCBI,SRR6896688,RUN
511,NCBI,SRR6945211,RUN
512,NCBI,SRR6949550,RUN
513,NCBI,SRR6949558,RUN
514,NCBI,SRR7048440,RUN
515,NCBI,SRR7048442,RUN
516,NCBI,SRR7048446,RUN
517,NCBI,SRR7048463,RUN
518,NCBI,SRR7050027,RUN
519,NCBI,SRR7050046,RUN
520,NCBI,SRR7073007,RUN
521,NCBI,SRR7073046,RUN
522,NCBI,SRR7073108,RUN
523,NCBI,SRR7074913,RUN
524,NCBI,SRR7094062,RUN
525,NCBI,SRR7094141,RUN
526,NCBI,SRR7094167,RUN
527,NCBI,SRR7119590,RUN
528,NCBI,SRR7119591,RUN
529,NCBI,SRR7119596,RUN
530,NCBI,SRR7133086,RUN
531,NCBI,SRR7133480,RUN
532,NCBI,SRR7152992,RUN
533,NCBI,SRR7155574,RUN
534,NCBI,SRR7178174,RUN
535,NCBI,SRR7178215,RUN
536,NCBI,SRR7188634,RUN
537,NCBI,SRR7233626,RUN
538,NCBI,SRR7244093,RUN
539,NCBI,SRR7244098,RUN
540,NCBI,SRR7244113,RUN
541,NCBI,SRR7244136,RUN
542,NCBI,SRR7248755,RUN
543,NCBI,SRR7248757,RUN
544,NCBI,SRR7248763,RUN
545,NCBI,SRR7271426,RUN
546,NCBI,SRR7271431,RUN
547,NCBI,SRR7271450,RUN
548,NCBI,SRR7300444,RUN
549,NCBI,SRR7346148,RUN
550,NCBI,SRR7414450,RUN
551,NCBI,SRR7414498,RUN
552,NCBI,SRR7439119,RUN
553,NCBI,SRR7456301,RUN
554,NCBI,SRR7456382,RUN
555,NCBI,SRR7464617,RUN
556,NCBI,SRR7464621,RUN
557,NCBI,SRR7465147,RUN
558,NCBI,SRR7503824,RUN
559,NCBI,SRR7505603,RUN
560,NCBI,SRR7505605,RUN
561,NCBI,SRR7505634,RUN
562,NCBI,SRR7537977,RUN
563,NCBI,SRR7540723,RUN
564,NCBI,SRR7540800,RUN
565,NCBI,SRR7540826,RUN
566,NCBI,SRR7620605,RUN
567,NCBI,SRR7620608,RUN
568,NCBI,SRR7620703,RUN
569,NCBI,SRR7631851,RUN
570,NCBI,SRR7641408,RUN
571,NCBI,SRR7641439,RUN
572,NCBI,SRR7641448,RUN
573,NCBI,SRR7641456,RUN
574,NCBI,SRR7656124,RUN
575,NCBI,SRR7656176,RUN
576,NCBI,SRR7656201,RUN
577,NCBI,SRR7656229,RUN
578,NCBI,SRR7656245,RUN
579,NCBI,SRR7664199,RUN
580,NCBI,SRR7664251,RUN
581,NCBI,SRR7664289,RUN
582,NCBI,SRR7664292,RUN
583,NCBI,SRR7691695,RUN
584,NCBI,SRR7735984,RUN
585,NCBI,SRR7736010,RUN
586,NCBI,SRR7738070,RUN
587,NCBI,SRR7739449,RUN
588,NCBI,SRR7739469,RUN
589,NCBI,SRR7749767,RUN
590,NCBI,SRR7767491,RUN
591,NCBI,SRR7804303,RUN
592,NCBI,SRR7821554,RUN
593,NCBI,SRR7825849,RUN
594,NCBI,SRR7825866,RUN
595,NCBI,SRR7878664,RUN
596,NCBI,SRR7894986,RUN
597,NCBI,SRR7894997,RUN
598,NCBI,SRR7895074,RUN
599,NCBI,SRR7908895,RUN
600,NCBI,SRR7909712,RUN
