N,Database,Accession,Type
1,NCBI,SRR10000883,RUN
2,NCBI,SRR10001039,RUN
3,NCBI,SRR10001083,RUN
4,NCBI,SRR10001084,RUN
5,NCBI,SRR10001145,RUN
6,NCBI,SRR10001202,RUN
7,NCBI,SRR10003116,RUN
8,NCBI,SRR10003436,RUN
9,NCBI,SRR10003447,RUN
10,NCBI,SRR10003637,RUN
11,NCBI,SRR10003647,RUN
12,NCBI,SRR10003651,RUN
13,NCBI,SRR10003664,RUN
14,NCBI,SRR10003684,RUN
15,NCBI,SRR10007514,RUN
16,NCBI,SRR10007521,RUN
17,NCBI,SRR10007616,RUN
18,NCBI,SRR10009853,RUN
19,NCBI,SRR10010210,RUN
20,NCBI,SRR10010411,RUN
21,NCBI,SRR10011110,RUN
22,NCBI,SRR10012239,RUN
23,NCBI,SRR10012344,RUN
24,NCBI,SRR10012399,RUN
25,NCBI,SRR10012575,RUN
26,NCBI,SRR10013586,RUN
27,NCBI,SRR10013589,RUN
28,NCBI,SRR10013602,RUN
29,NCBI,SRR10014032,RUN
30,NCBI,SRR10015722,RUN
31,NCBI,SRR10016012,RUN
32,NCBI,SRR10016057,RUN
33,NCBI,SRR10017198,RUN
34,NCBI,SRR10018024,RUN
35,NCBI,SRR10018198,RUN
36,NCBI,SRR10018570,RUN
37,NCBI,SRR10024590,RUN
38,NCBI,SRR10024627,RUN
39,NCBI,SRR10024674,RUN
40,NCBI,SRR10024924,RUN
41,NCBI,SRR10026073,RUN
42,NCBI,SRR10026078,RUN
43,NCBI,SRR10026530,RUN
44,NCBI,SRR10029990,RUN
45,NCBI,SRR10030195,RUN
46,NCBI,SRR10030333,RUN
47,NCBI,SRR10031128,RUN
48,NCBI,SRR10031135,RUN
49,NCBI,SRR10031136,RUN
50,NCBI,SRR10031154,RUN
51,NCBI,SRR10031163,RUN
52,NCBI,SRR10031175,RUN
53,NCBI,SRR10034000,RUN
54,NCBI,SRR10035399,RUN
55,NCBI,SRR10036102,RUN
56,NCBI,SRR10036107,RUN
57,NCBI,SRR10036390,RUN
58,NCBI,SRR10036406,RUN
59,NCBI,SRR10036407,RUN
60,NCBI,SRR10037289,RUN
61,NCBI,SRR10037316,RUN
62,NCBI,SRR10037347,RUN
63,NCBI,SRR10038951,RUN
64,NCBI,SRR10038973,RUN
65,NCBI,SRR10042390,RUN
66,NCBI,SRR10049707,RUN
67,NCBI,SRR10050115,RUN
68,NCBI,SRR10050151,RUN
69,NCBI,SRR10059800,RUN
70,NCBI,SRR10061431,RUN
71,NCBI,SRR10063101,RUN
72,NCBI,SRR10063102,RUN
73,NCBI,SRR10063222,RUN
74,NCBI,SRR10066066,RUN
75,NCBI,SRR10066668,RUN
76,NCBI,SRR10066837,RUN
77,NCBI,SRR10067758,RUN
78,NCBI,SRR10067796,RUN
79,NCBI,SRR10068193,RUN
80,NCBI,SRR10068920,RUN
81,NCBI,SRR10068973,RUN
82,NCBI,SRR10069026,RUN
83,NCBI,SRR10070453,RUN
84,NCBI,SRR10071614,RUN
85,NCBI,SRR10072440,RUN
86,NCBI,SRR10075128,RUN
87,NCBI,SRR10078147,RUN
88,NCBI,SRR10079560,RUN
89,NCBI,SRR10079561,RUN
90,NCBI,SRR10079574,RUN
91,NCBI,SRR10080215,RUN
92,NCBI,SRR10084381,RUN
93,NCBI,SRR10084948,RUN
94,NCBI,SRR10087893,RUN
95,NCBI,SRR10088414,RUN
96,NCBI,SRR10088428,RUN
97,NCBI,SRR10088464,RUN
98,NCBI,SRR10092495,RUN
99,NCBI,SRR10093186,RUN
100,NCBI,SRR10095322,RUN
101,NCBI,SRR10095977,RUN
102,NCBI,SRR10096047,RUN
103,NCBI,SRR10096564,RUN
104,NCBI,SRR10096996,RUN
105,NCBI,SRR10097571,RUN
106,NCBI,SRR10097576,RUN
107,NCBI,SRR10098753,RUN
108,NCBI,SRR10100105,RUN
109,NCBI,SRR10100146,RUN
110,NCBI,SRR10100150,RUN
111,NCBI,SRR10100423,RUN
112,NCBI,SRR10100541,RUN
113,NCBI,SRR10106556,RUN
114,NCBI,SRR10107514,RUN
115,NCBI,SRR10109389,RUN
116,NCBI,SRR10113032,RUN
117,NCBI,SRR10113038,RUN
118,NCBI,SRR10113224,RUN
119,NCBI,SRR10117783,RUN
120,NCBI,SRR10118814,RUN
121,NCBI,SRR10120225,RUN
122,NCBI,SRR10123353,RUN
123,NCBI,SRR10126381,RUN
124,NCBI,SRR10130120,RUN
125,NCBI,SRR10131302,RUN
126,NCBI,SRR10132372,RUN
127,NCBI,SRR10135916,RUN
128,NCBI,SRR10135938,RUN
129,NCBI,SRR10138201,RUN
130,NCBI,SRR10138203,RUN
131,NCBI,SRR10138341,RUN
132,NCBI,SRR10148511,RUN
133,NCBI,SRR10148676,RUN
134,NCBI,SRR10152542,RUN
135,NCBI,SRR10152611,RUN
136,NCBI,SRR10155200,RUN
137,NCBI,SRR10155270,RUN
138,NCBI,SRR10155273,RUN
139,NCBI,SRR10155282,RUN
140,NCBI,SRR10156258,RUN
141,NCBI,SRR10156706,RUN
142,NCBI,SRR10158217,RUN
143,NCBI,SRR10158246,RUN
144,NCBI,SRR10160698,RUN
145,NCBI,SRR10162235,RUN
146,NCBI,SRR10162241,RUN
147,NCBI,SRR10162246,RUN
148,NCBI,SRR10162632,RUN
149,NCBI,SRR10163362,RUN
150,NCBI,SRR10168862,RUN
151,NCBI,SRR10169038,RUN
152,NCBI,SRR10172234,RUN
153,NCBI,SRR10175042,RUN
154,NCBI,SRR10176058,RUN
155,NCBI,SRR10177401,RUN
156,NCBI,SRR10177418,RUN
157,NCBI,SRR10177420,RUN
158,NCBI,SRR10178612,RUN
159,NCBI,SRR10182643,RUN
160,NCBI,SRR10182647,RUN
161,NCBI,SRR10189175,RUN
162,NCBI,SRR10190027,RUN
163,NCBI,SRR10190619,RUN
164,NCBI,SRR10191013,RUN
165,NCBI,SRR10192153,RUN
166,NCBI,SRR10196031,RUN
167,NCBI,SRR10196059,RUN
168,NCBI,SRR10196072,RUN
169,NCBI,SRR10196325,RUN
170,NCBI,SRR10202206,RUN
171,NCBI,SRR10202821,RUN
172,NCBI,SRR10203285,RUN
173,NCBI,SRR10204404,RUN
174,NCBI,SRR10205357,RUN
175,NCBI,SRR10205841,RUN
176,NCBI,SRR10206131,RUN
177,NCBI,SRR10207381,RUN
178,NCBI,SRR10210072,RUN
179,NCBI,SRR10210213,RUN
180,NCBI,SRR10210595,RUN
181,NCBI,SRR10211148,RUN
182,NCBI,SRR10212326,RUN
183,NCBI,SRR10215873,RUN
184,NCBI,SRR10216318,RUN
185,NCBI,SRR10224616,RUN
186,NCBI,SRR10225062,RUN
187,NCBI,SRR10228894,RUN
188,NCBI,SRR10228897,RUN
189,NCBI,SRR10231607,RUN
190,NCBI,SRR10231971,RUN
191,NCBI,SRR10239235,RUN
192,NCBI,SRR10244380,RUN
193,NCBI,SRR10244482,RUN
194,NCBI,SRR10247467,RUN
195,NCBI,SRR10249864,RUN
196,NCBI,SRR10250686,RUN
197,NCBI,SRR10250980,RUN
198,NCBI,SRR10251584,RUN
199,NCBI,SRR10254715,RUN
200,NCBI,SRR10254863,RUN
201,NCBI,SRR10257000,RUN
202,NCBI,SRR10258185,RUN
203,NCBI,SRR10258855,RUN
204,NCBI,SRR10267381,RUN
205,NCBI,SRR10267835,RUN
206,NCBI,SRR10269933,RUN
207,NCBI,SRR10273585,RUN
208,NCBI,SRR10276198,RUN
209,NCBI,SRR10278398,RUN
210,NCBI,SRR10278950,RUN
211,NCBI,SRR10279847,RUN
212,NCBI,SRR10281046,RUN
213,NCBI,SRR10281894,RUN
214,NCBI,SRR10281902,RUN
215,NCBI,SRR10291484,RUN
216,NCBI,SRR10292485,RUN
217,NCBI,SRR10293977,RUN
218,NCBI,SRR10298124,RUN
219,NCBI,SRR10302587,RUN
220,NCBI,SRR10302634,RUN
221,NCBI,SRR10309567,RUN
222,NCBI,SRR10309672,RUN
223,NCBI,SRR10309681,RUN
224,NCBI,SRR10309749,RUN
225,NCBI,SRR10310222,RUN
226,NCBI,SRR10312968,RUN
227,NCBI,SRR10322541,RUN
228,NCBI,SRR10325380,RUN
229,NCBI,SRR10325410,RUN
230,NCBI,SRR10325514,RUN
231,NCBI,SRR10325518,RUN
232,NCBI,SRR10326213,RUN
233,NCBI,SRR10326397,RUN
234,NCBI,SRR10334742,RUN
235,NCBI,SRR10334750,RUN
236,NCBI,SRR10336449,RUN
237,NCBI,SRR10337434,RUN
238,NCBI,SRR10340478,RUN
239,NCBI,SRR10341107,RUN
240,NCBI,SRR10341852,RUN
241,NCBI,SRR10342705,RUN
242,NCBI,SRR10345176,RUN
243,NCBI,SRR10354690,RUN
244,NCBI,SRR10356375,RUN
245,NCBI,SRR10360077,RUN
246,NCBI,SRR10360412,RUN
247,NCBI,SRR10364017,RUN
248,NCBI,SRR10368069,RUN
249,NCBI,SRR10375924,RUN
250,NCBI,SRR10377297,RUN
251,NCBI,SRR10377504,RUN
252,NCBI,SRR10380930,RUN
253,NCBI,SRR10382632,RUN
254,NCBI,SRR10382641,RUN
255,NCBI,SRR10383481,RUN
256,NCBI,SRR10384078,RUN
257,NCBI,SRR10384081,RUN
258,NCBI,SRR10384339,RUN
259,NCBI,SRR10392540,RUN
260,NCBI,SRR10392549,RUN
261,NCBI,SRR10392712,RUN
262,NCBI,SRR10392727,RUN
263,NCBI,SRR10393059,RUN
264,NCBI,SRR10393362,RUN
265,NCBI,SRR10395556,RUN
266,NCBI,SRR10396465,RUN
267,NCBI,SRR10396518,RUN
268,NCBI,SRR10397467,RUN
269,NCBI,SRR10397495,RUN
270,NCBI,SRR10403183,RUN
271,NCBI,SRR10403333,RUN
272,NCBI,SRR10403853,RUN
273,NCBI,SRR10405343,RUN
274,NCBI,SRR10413718,RUN
275,NCBI,SRR10414529,RUN
276,NCBI,SRR10418283,RUN
277,NCBI,SRR10418286,RUN
278,NCBI,SRR10418739,RUN
279,NCBI,SRR10419482,RUN
280,NCBI,SRR10419483,RUN
281,NCBI,SRR10419573,RUN
282,NCBI,SRR10420102,RUN
283,NCBI,SRR10429159,RUN
284,NCBI,SRR10429167,RUN
285,NCBI,SRR10429186,RUN
286,NCBI,SRR10430219,RUN
287,NCBI,SRR10430467,RUN
288,NCBI,SRR10431051,RUN
289,NCBI,SRR10435674,RUN
290,NCBI,SRR10435690,RUN
291,NCBI,SRR10435698,RUN
292,NCBI,SRR10435761,RUN
293,NCBI,SRR10435948,RUN
294,NCBI,SRR10436916,RUN
295,NCBI,SRR10438663,RUN
296,NCBI,SRR10442775,RUN
297,NCBI,SRR10442776,RUN
298,NCBI,SRR10442801,RUN
299,NCBI,SRR10442803,RUN
300,NCBI,SRR10444417,RUN
301,NCBI,SRR10448703,RUN
302,NCBI,SRR10451688,RUN
303,NCBI,SRR10454476,RUN
304,NCBI,SRR10479246,RUN
305,NCBI,SRR10482302,RUN
306,NCBI,SRR10482361,RUN
307,NCBI,SRR10482806,RUN
308,NCBI,SRR10482917,RUN
309,NCBI,SRR10484076,RUN
310,NCBI,SRR10484601,RUN
311,NCBI,SRR10489607,RUN
312,NCBI,SRR10489872,RUN
313,NCBI,SRR10489875,RUN
314,NCBI,SRR10490217,RUN
315,NCBI,SRR10490527,RUN
316,NCBI,SRR10490530,RUN
317,NCBI,SRR10490544,RUN
318,NCBI,SRR10490673,RUN
319,NCBI,SRR10491349,RUN
320,NCBI,SRR10491365,RUN
321,NCBI,SRR10491768,RUN
322,NCBI,SRR10492772,RUN
323,NCBI,SRR10499198,RUN
324,NCBI,SRR10500089,RUN
325,NCBI,SRR10500351,RUN
326,NCBI,SRR10500386,RUN
327,NCBI,SRR10506973,RUN
328,NCBI,SRR10512725,RUN
329,NCBI,SRR10512728,RUN
330,NCBI,SRR10513034,RUN
331,NCBI,SRR10513078,RUN
332,NCBI,SRR10513412,RUN
333,NCBI,SRR10513438,RUN
334,NCBI,SRR10513668,RUN
335,NCBI,SRR10523775,RUN
336,NCBI,SRR10524185,RUN
337,NCBI,SRR10527200,RUN
338,NCBI,SRR10527414,RUN
339,NCBI,SRR10531330,RUN
340,NCBI,SRR10531351,RUN
341,NCBI,SRR10531396,RUN
342,NCBI,SRR10532673,RUN
343,NCBI,SRR10532708,RUN
344,NCBI,SRR10533006,RUN
345,NCBI,SRR10533017,RUN
346,NCBI,SRR10533020,RUN
347,NCBI,SRR10533088,RUN
348,NCBI,SRR10533115,RUN
349,NCBI,SRR10533117,RUN
