N,Database,Accession,Type
1,NCBI,SRR10001072,RUN
2,NCBI,SRR10035470,RUN
3,NCBI,SRR10036105,RUN
4,NCBI,SRR10037103,RUN
5,NCBI,SRR10044620,RUN
6,NCBI,SRR10072889,RUN
7,NCBI,SRR10080211,RUN
8,NCBI,SRR10093163,RUN
9,NCBI,SRR10096068,RUN
10,NCBI,SRR10099755,RUN
11,NCBI,SRR10119189,RUN
12,NCBI,SRR10119201,RUN
13,NCBI,SRR10119301,RUN
14,NCBI,SRR10130874,RUN
15,NCBI,SRR10136249,RUN
16,NCBI,SRR10143749,RUN
17,NCBI,SRR10152461,RUN
18,NCBI,SRR10153659,RUN
19,NCBI,SRR10158978,RUN
20,NCBI,SRR10158981,RUN
21,NCBI,SRR10167975,RUN
22,NCBI,SRR10178636,RUN
23,NCBI,SRR10182558,RUN
24,NCBI,SRR10192619,RUN
25,NCBI,SRR10224431,RUN
26,NCBI,SRR10250946,RUN
27,NCBI,SRR10250966,RUN
28,NCBI,SRR10276149,RUN
29,NCBI,SRR10276523,RUN
30,NCBI,SRR10286769,RUN
31,NCBI,SRR10312176,RUN
32,NCBI,SRR10324749,RUN
33,NCBI,SRR10326105,RUN
34,NCBI,SRR10366825,RUN
35,NCBI,SRR10386866,RUN
36,NCBI,SRR10392238,RUN
37,NCBI,SRR10395222,RUN
38,NCBI,SRR10418197,RUN
39,NCBI,SRR10418211,RUN
40,NCBI,SRR10418212,RUN
41,NCBI,SRR10418213,RUN
42,NCBI,SRR10418214,RUN
43,NCBI,SRR10418215,RUN
44,NCBI,SRR10418216,RUN
45,NCBI,SRR10418217,RUN
46,NCBI,SRR10418218,RUN
47,NCBI,SRR10418219,RUN
48,NCBI,SRR10418220,RUN
49,NCBI,SRR10418221,RUN
50,NCBI,SRR10418222,RUN
51,NCBI,SRR10418223,RUN
52,NCBI,SRR10418224,RUN
53,NCBI,SRR10418225,RUN
54,NCBI,SRR10418226,RUN
55,NCBI,SRR10418227,RUN
56,NCBI,SRR10418229,RUN
57,NCBI,SRR10418230,RUN
58,NCBI,SRR10418231,RUN
59,NCBI,SRR10418232,RUN
60,NCBI,SRR10418235,RUN
61,NCBI,SRR10418254,RUN
62,NCBI,SRR10418255,RUN
63,NCBI,SRR10418257,RUN
64,NCBI,SRR10418258,RUN
65,NCBI,SRR10418259,RUN
66,NCBI,SRR10418260,RUN
67,NCBI,SRR10418261,RUN
68,NCBI,SRR10418266,RUN
69,NCBI,SRR10418267,RUN
70,NCBI,SRR10418268,RUN
71,NCBI,SRR10418269,RUN
72,NCBI,SRR10418270,RUN
73,NCBI,SRR10418432,RUN
74,NCBI,SRR10437582,RUN
75,NCBI,SRR10438081,RUN
76,NCBI,SRR10438084,RUN
77,NCBI,SRR10438087,RUN
78,NCBI,SRR10438090,RUN
79,NCBI,SRR10438091,RUN
80,NCBI,SRR10438092,RUN
81,NCBI,SRR10438095,RUN
82,NCBI,SRR10438096,RUN
83,NCBI,SRR10438097,RUN
84,NCBI,SRR10438100,RUN
85,NCBI,SRR10438101,RUN
86,NCBI,SRR10438104,RUN
87,NCBI,SRR10438105,RUN
88,NCBI,SRR10438106,RUN
89,NCBI,SRR10438107,RUN
90,NCBI,SRR10438109,RUN
91,NCBI,SRR10438110,RUN
92,NCBI,SRR10438111,RUN
93,NCBI,SRR10438112,RUN
94,NCBI,SRR10438113,RUN
95,NCBI,SRR10438114,RUN
96,NCBI,SRR10438115,RUN
97,NCBI,SRR10438116,RUN
98,NCBI,SRR10438117,RUN
99,NCBI,SRR10438118,RUN
100,NCBI,SRR10438119,RUN
101,NCBI,SRR10438120,RUN
102,NCBI,SRR10438121,RUN
103,NCBI,SRR10438122,RUN
104,NCBI,SRR10438123,RUN
105,NCBI,SRR10438124,RUN
106,NCBI,SRR10438125,RUN
107,NCBI,SRR10438126,RUN
108,NCBI,SRR10438127,RUN
109,NCBI,SRR10438128,RUN
110,NCBI,SRR10438164,RUN
111,NCBI,SRR10438165,RUN
112,NCBI,SRR10438189,RUN
113,NCBI,SRR10438190,RUN
114,NCBI,SRR10438191,RUN
115,NCBI,SRR10438192,RUN
116,NCBI,SRR10438193,RUN
117,NCBI,SRR10438194,RUN
118,NCBI,SRR10438195,RUN
119,NCBI,SRR10438196,RUN
120,NCBI,SRR10438197,RUN
121,NCBI,SRR10438198,RUN
122,NCBI,SRR10438215,RUN
123,NCBI,SRR10438216,RUN
124,NCBI,SRR10438217,RUN
125,NCBI,SRR10438218,RUN
126,NCBI,SRR10438219,RUN
127,NCBI,SRR10438220,RUN
128,NCBI,SRR10438221,RUN
129,NCBI,SRR10438222,RUN
130,NCBI,SRR10438223,RUN
131,NCBI,SRR10438233,RUN
132,NCBI,SRR10438234,RUN
133,NCBI,SRR10438245,RUN
134,NCBI,SRR10438247,RUN
135,NCBI,SRR10438248,RUN
136,NCBI,SRR10438249,RUN
137,NCBI,SRR10438251,RUN
138,NCBI,SRR10438253,RUN
139,NCBI,SRR10438256,RUN
140,NCBI,SRR10438258,RUN
141,NCBI,SRR10438259,RUN
142,NCBI,SRR10438266,RUN
143,NCBI,SRR10438273,RUN
144,NCBI,SRR10438275,RUN
145,NCBI,SRR10438276,RUN
146,NCBI,SRR10438278,RUN
147,NCBI,SRR10438302,RUN
148,NCBI,SRR10438304,RUN
149,NCBI,SRR10438306,RUN
150,NCBI,SRR10438307,RUN
151,NCBI,SRR10438308,RUN
152,NCBI,SRR10438309,RUN
153,NCBI,SRR10438310,RUN
154,NCBI,SRR10438311,RUN
155,NCBI,SRR10438312,RUN
156,NCBI,SRR10438313,RUN
157,NCBI,SRR10438314,RUN
158,NCBI,SRR10438315,RUN
159,NCBI,SRR10438316,RUN
160,NCBI,SRR10438317,RUN
161,NCBI,SRR10438318,RUN
162,NCBI,SRR10438319,RUN
163,NCBI,SRR10438320,RUN
164,NCBI,SRR10438336,RUN
165,NCBI,SRR10438337,RUN
166,NCBI,SRR10438338,RUN
167,NCBI,SRR10438339,RUN
168,NCBI,SRR10438340,RUN
169,NCBI,SRR10438341,RUN
170,NCBI,SRR10438342,RUN
171,NCBI,SRR10438343,RUN
172,NCBI,SRR10438605,RUN
173,NCBI,SRR10438606,RUN
174,NCBI,SRR10438607,RUN
175,NCBI,SRR10438608,RUN
176,NCBI,SRR10438609,RUN
177,NCBI,SRR10438610,RUN
178,NCBI,SRR10438611,RUN
179,NCBI,SRR10438612,RUN
180,NCBI,SRR10438631,RUN
181,NCBI,SRR10438636,RUN
182,NCBI,SRR10438638,RUN
183,NCBI,SRR10438640,RUN
184,NCBI,SRR10438641,RUN
185,NCBI,SRR10438642,RUN
186,NCBI,SRR10438643,RUN
187,NCBI,SRR10438644,RUN
188,NCBI,SRR10438645,RUN
189,NCBI,SRR10441984,RUN
190,NCBI,SRR10441985,RUN
191,NCBI,SRR10441986,RUN
192,NCBI,SRR10441987,RUN
193,NCBI,SRR10441988,RUN
194,NCBI,SRR10441991,RUN
195,NCBI,SRR10448288,RUN
196,NCBI,SRR10489905,RUN
197,NCBI,SRR10500137,RUN
198,NCBI,SRR10532849,RUN
199,NCBI,SRR10604635,RUN
200,NCBI,SRR10616150,RUN
201,NCBI,SRR10674492,RUN
202,NCBI,SRR10687210,RUN
203,NCBI,SRR10687271,RUN
204,NCBI,SRR10688357,RUN
205,NCBI,SRR10704726,RUN
206,NCBI,SRR10709290,RUN
207,NCBI,SRR10738392,RUN
208,NCBI,SRR10751980,RUN
209,NCBI,SRR10806323,RUN
210,NCBI,SRR10810407,RUN
211,NCBI,SRR10824932,RUN
212,NCBI,SRR10908170,RUN
213,NCBI,SRR10911987,RUN
214,NCBI,SRR10919406,RUN
215,NCBI,SRR10919436,RUN
216,NCBI,SRR10920919,RUN
217,NCBI,SRR10953133,RUN
218,NCBI,SRR10960967,RUN
219,NCBI,SRR10961873,RUN
220,NCBI,SRR10967484,RUN
221,NCBI,SRR10980168,RUN
222,NCBI,SRR10990349,RUN
223,NCBI,SRR11015424,RUN
224,NCBI,SRR11020188,RUN
225,NCBI,SRR11037666,RUN
226,NCBI,SRR11067562,RUN
227,NCBI,SRR11069245,RUN
228,NCBI,SRR11113180,RUN
229,NCBI,SRR11198174,RUN
230,NCBI,SRR11216049,RUN
231,NCBI,SRR11241271,RUN
232,NCBI,SRR11252502,RUN
233,NCBI,SRR11255963,RUN
234,NCBI,SRR11289452,RUN
235,NCBI,SRR11321361,RUN
236,NCBI,SRR11414080,RUN
237,NCBI,SRR11450576,RUN
238,NCBI,SRR11471294,RUN
239,NCBI,SRR11486436,RUN
240,NCBI,SRR11553923,RUN
241,NCBI,SRR11612234,RUN
242,NCBI,SRR11625186,RUN
243,NCBI,SRR11676181,RUN
244,NCBI,SRR11772272,RUN
245,NCBI,SRR11772626,RUN
246,NCBI,SRR11778432,RUN
247,NCBI,SRR11799573,RUN
248,NCBI,SRR11951881,RUN
249,NCBI,SRR12017978,RUN
250,NCBI,SRR12122973,RUN
251,NCBI,SRR12212821,RUN
252,NCBI,SRR12235332,RUN
253,NCBI,SRR12264807,RUN
254,NCBI,SRR12341394,RUN
255,NCBI,SRR12398694,RUN
256,NCBI,SRR12412762,RUN
257,NCBI,SRR12448047,RUN
258,NCBI,SRR12467723,RUN
259,NCBI,SRR12467724,RUN
260,NCBI,SRR12467725,RUN
261,NCBI,SRR12467726,RUN
262,NCBI,SRR12467728,RUN
263,NCBI,SRR12475515,RUN
264,NCBI,SRR12515122,RUN
265,NCBI,SRR12515370,RUN
266,NCBI,SRR12541361,RUN
267,NCBI,SRR12648392,RUN
268,NCBI,SRR12672037,RUN
269,NCBI,SRR12692354,RUN
270,NCBI,SRR12727715,RUN
271,NCBI,SRR12807928,RUN
272,NCBI,SRR12827703,RUN
273,NCBI,SRR12844853,RUN
274,NCBI,SRR12886145,RUN
275,NCBI,SRR12951675,RUN
276,NCBI,SRR12951688,RUN
277,NCBI,SRR12967802,RUN
278,NCBI,SRR13011682,RUN
279,NCBI,SRR13059653,RUN
280,NCBI,SRR13068790,RUN
281,NCBI,SRR13091556,RUN
282,NCBI,SRR13092320,RUN
283,NCBI,SRR13147438,RUN
284,NCBI,SRR13168806,RUN
285,NCBI,SRR13232395,RUN
286,NCBI,SRR13234351,RUN
287,NCBI,SRR13298166,RUN
288,NCBI,SRR13334817,RUN
289,NCBI,SRR13375871,RUN
290,NCBI,SRR13439115,RUN
291,NCBI,SRR13455284,RUN
292,NCBI,SRR13491523,RUN
293,NCBI,SRR13492903,RUN
294,NCBI,SRR13498112,RUN
295,NCBI,SRR13500720,RUN
296,NCBI,SRR13508982,RUN
297,NCBI,SRR13518747,RUN
298,NCBI,SRR13566300,RUN
299,NCBI,SRR13577437,RUN
300,NCBI,SRR13602808,RUN
301,NCBI,SRR13620556,RUN
302,NCBI,SRR13626333,RUN
303,NCBI,SRR13627914,RUN
304,NCBI,SRR13630771,RUN
305,NCBI,SRR13630775,RUN
306,NCBI,SRR13686175,RUN
307,NCBI,SRR13687503,RUN
308,NCBI,SRR13690614,RUN
309,NCBI,SRR13721410,RUN
310,NCBI,SRR13733113,RUN
311,NCBI,SRR13778773,RUN
312,NCBI,SRR13785543,RUN
313,NCBI,SRR13796899,RUN
314,NCBI,SRR13815787,RUN
315,NCBI,SRR13926679,RUN
316,NCBI,SRR13943232,RUN
317,NCBI,SRR13978603,RUN
318,NCBI,SRR13979377,RUN
319,NCBI,SRR14095150,RUN
320,NCBI,SRR14109619,RUN
321,NCBI,SRR14131081,RUN
322,NCBI,SRR14147642,RUN
323,NCBI,SRR14200898,RUN
324,NCBI,SRR14213588,RUN
325,NCBI,SRR14241034,RUN
326,NCBI,SRR14243177,RUN
327,NCBI,SRR14255503,RUN
328,NCBI,SRR14277005,RUN
329,NCBI,SRR14286318,RUN
330,NCBI,SRR14296994,RUN
331,NCBI,SRR14306443,RUN
332,NCBI,SRR14420352,RUN
333,NCBI,SRR14569515,RUN
334,NCBI,SRR14682206,RUN
335,NCBI,SRR14737027,RUN
336,NCBI,SRR15030688,RUN
337,NCBI,SRR15089633,RUN
338,NCBI,SRR15183718,RUN
339,NCBI,SRR15222634,RUN
340,NCBI,SRR15488746,RUN
341,NCBI,SRR15526534,RUN
342,NCBI,SRR15528897,RUN
343,NCBI,SRR15529669,RUN
344,NCBI,SRR15793046,RUN
345,NCBI,SRR15801651,RUN
346,NCBI,SRR15879407,RUN
347,NCBI,SRR15942488,RUN
348,NCBI,SRR15972967,RUN
349,NCBI,SRR16025572,RUN
350,NCBI,SRR16151728,RUN
351,NCBI,SRR16212157,RUN
352,NCBI,SRR16292054,RUN
353,NCBI,SRR16634204,RUN
354,NCBI,SRR16692938,RUN
355,NCBI,SRR17223028,RUN
356,NCBI,SRR17253089,RUN
357,NCBI,SRR17532287,RUN
358,NCBI,SRR1823717,RUN
359,NCBI,SRR2081183,RUN
360,NCBI,SRR2081186,RUN
361,NCBI,SRR2087720,RUN
362,NCBI,SRR3158627,RUN
363,NCBI,SRR3158628,RUN
364,NCBI,SRR3158634,RUN
365,NCBI,SRR3158639,RUN
366,NCBI,SRR3213906,RUN
367,NCBI,SRR3213913,RUN
368,NCBI,SRR3545270,RUN
369,NCBI,SRR3991642,RUN
370,NCBI,SRR4929018,RUN
371,NCBI,SRR5054638,RUN
372,NCBI,SRR5054648,RUN
373,NCBI,SRR5057459,RUN
374,NCBI,SRR5063836,RUN
375,NCBI,SRR5121087,RUN
376,NCBI,SRR5152358,RUN
377,NCBI,SRR5160230,RUN
378,NCBI,SRR5160543,RUN
379,NCBI,SRR5223131,RUN
380,NCBI,SRR5264135,RUN
381,NCBI,SRR5282094,RUN
382,NCBI,SRR5293243,RUN
383,NCBI,SRR5293246,RUN
384,NCBI,SRR5293290,RUN
385,NCBI,SRR5293320,RUN
386,NCBI,SRR5293423,RUN
387,NCBI,SRR5306521,RUN
388,NCBI,SRR5306528,RUN
389,NCBI,SRR5306536,RUN
390,NCBI,SRR5306538,RUN
391,NCBI,SRR5306563,RUN
392,NCBI,SRR5306568,RUN
393,NCBI,SRR5306572,RUN
394,NCBI,SRR5306573,RUN
395,NCBI,SRR5306575,RUN
396,NCBI,SRR5306576,RUN
397,NCBI,SRR5306578,RUN
398,NCBI,SRR5306580,RUN
399,NCBI,SRR5306599,RUN
400,NCBI,SRR5365072,RUN
401,NCBI,SRR5365082,RUN
402,NCBI,SRR5434925,RUN
403,NCBI,SRR5434950,RUN
404,NCBI,SRR5435001,RUN
405,NCBI,SRR5436264,RUN
406,NCBI,SRR5457766,RUN
407,NCBI,SRR5482794,RUN
408,NCBI,SRR5485309,RUN
409,NCBI,SRR5503865,RUN
410,NCBI,SRR5516026,RUN
411,NCBI,SRR5588290,RUN
412,NCBI,SRR5632901,RUN
413,NCBI,SRR5642702,RUN
414,NCBI,SRR5765336,RUN
415,NCBI,SRR5781561,RUN
416,NCBI,SRR5787942,RUN
417,NCBI,SRR5788519,RUN
418,NCBI,SRR5790146,RUN
419,NCBI,SRR5805598,RUN
420,NCBI,SRR5806425,RUN
421,NCBI,SRR5892888,RUN
422,NCBI,SRR5892893,RUN
423,NCBI,SRR5951611,RUN
424,NCBI,SRR5951652,RUN
425,NCBI,SRR5973191,RUN
426,NCBI,SRR5995941,RUN
427,NCBI,SRR6039598,RUN
428,NCBI,SRR6069469,RUN
429,NCBI,SRR6077286,RUN
430,NCBI,SRR6108631,RUN
431,NCBI,SRR6128636,RUN
432,NCBI,SRR6163699,RUN
433,NCBI,SRR6163709,RUN
434,NCBI,SRR6163713,RUN
435,NCBI,SRR6180825,RUN
436,NCBI,SRR6181645,RUN
437,NCBI,SRR6181671,RUN
438,NCBI,SRR6242025,RUN
439,NCBI,SRR6253017,RUN
440,NCBI,SRR6297340,RUN
441,NCBI,SRR6309789,RUN
442,NCBI,SRR6326220,RUN
443,NCBI,SRR6344634,RUN
444,NCBI,SRR6359172,RUN
445,NCBI,SRR6359303,RUN
446,NCBI,SRR6440142,RUN
447,NCBI,SRR6484709,RUN
448,NCBI,SRR6484785,RUN
449,NCBI,SRR6490594,RUN
450,NCBI,SRR6656725,RUN
451,NCBI,SRR6658357,RUN
452,NCBI,SRR6658377,RUN
453,NCBI,SRR6690761,RUN
454,NCBI,SRR6690772,RUN
455,NCBI,SRR6743496,RUN
456,NCBI,SRR6743498,RUN
457,NCBI,SRR6761089,RUN
458,NCBI,SRR6787001,RUN
