N,Database,Accession,Type
1,NCBI,SRR10003400,RUN
2,NCBI,SRR10003540,RUN
3,NCBI,SRR10010211,RUN
4,NCBI,SRR10012297,RUN
5,NCBI,SRR10012345,RUN
6,NCBI,SRR10012569,RUN
7,NCBI,SRR10013585,RUN
8,NCBI,SRR10017616,RUN
9,NCBI,SRR10018517,RUN
10,NCBI,SRR10024588,RUN
11,NCBI,SRR10026499,RUN
12,NCBI,SRR10026508,RUN
13,NCBI,SRR10029298,RUN
14,NCBI,SRR10029657,RUN
15,NCBI,SRR10031160,RUN
16,NCBI,SRR10031286,RUN
17,NCBI,SRR10036394,RUN
18,NCBI,SRR10036414,RUN
19,NCBI,SRR10037315,RUN
20,NCBI,SRR10038629,RUN
21,NCBI,SRR10045162,RUN
22,NCBI,SRR10045168,RUN
23,NCBI,SRR10045169,RUN
24,NCBI,SRR10063085,RUN
25,NCBI,SRR10065863,RUN
26,NCBI,SRR10066838,RUN
27,NCBI,SRR10074423,RUN
28,NCBI,SRR10075118,RUN
29,NCBI,SRR10075144,RUN
30,NCBI,SRR10078168,RUN
31,NCBI,SRR10078190,RUN
32,NCBI,SRR10082190,RUN
33,NCBI,SRR10088466,RUN
34,NCBI,SRR10088549,RUN
35,NCBI,SRR10093208,RUN
36,NCBI,SRR10093210,RUN
37,NCBI,SRR10096554,RUN
38,NCBI,SRR10097580,RUN
39,NCBI,SRR10097581,RUN
40,NCBI,SRR10103833,RUN
41,NCBI,SRR10107509,RUN
42,NCBI,SRR10131153,RUN
43,NCBI,SRR10131179,RUN
44,NCBI,SRR10133204,RUN
45,NCBI,SRR10134384,RUN
46,NCBI,SRR10135931,RUN
47,NCBI,SRR10143263,RUN
48,NCBI,SRR10148487,RUN
49,NCBI,SRR10148500,RUN
50,NCBI,SRR10158249,RUN
51,NCBI,SRR10163882,RUN
52,NCBI,SRR10164010,RUN
53,NCBI,SRR10166516,RUN
54,NCBI,SRR10174451,RUN
55,NCBI,SRR10175708,RUN
56,NCBI,SRR10177397,RUN
57,NCBI,SRR10177507,RUN
58,NCBI,SRR10177507,RUN
59,NCBI,SRR10179703,RUN
60,NCBI,SRR10186578,RUN
61,NCBI,SRR10186579,RUN
62,NCBI,SRR10186582,RUN
63,NCBI,SRR10186931,RUN
64,NCBI,SRR10189386,RUN
65,NCBI,SRR10189406,RUN
66,NCBI,SRR10196049,RUN
67,NCBI,SRR10202209,RUN
68,NCBI,SRR10203287,RUN
69,NCBI,SRR10207375,RUN
70,NCBI,SRR10207466,RUN
71,NCBI,SRR10207466,RUN
72,NCBI,SRR10209636,RUN
73,NCBI,SRR10210567,RUN
74,NCBI,SRR10211383,RUN
75,NCBI,SRR10212888,RUN
76,NCBI,SRR10215600,RUN
77,NCBI,SRR10215844,RUN
78,NCBI,SRR10224795,RUN
79,NCBI,SRR10231459,RUN
80,NCBI,SRR10231949,RUN
81,NCBI,SRR10231962,RUN
82,NCBI,SRR10244255,RUN
83,NCBI,SRR10248550,RUN
84,NCBI,SRR10251587,RUN
85,NCBI,SRR10257888,RUN
86,NCBI,SRR10258276,RUN
87,NCBI,SRR10258315,RUN
88,NCBI,SRR10274236,RUN
89,NCBI,SRR10276521,RUN
90,NCBI,SRR10281257,RUN
91,NCBI,SRR10281259,RUN
92,NCBI,SRR10286828,RUN
93,NCBI,SRR10309657,RUN
94,NCBI,SRR10309884,RUN
95,NCBI,SRR10310223,RUN
96,NCBI,SRR10310248,RUN
97,NCBI,SRR10310250,RUN
98,NCBI,SRR10310278,RUN
99,NCBI,SRR10325113,RUN
100,NCBI,SRR10325411,RUN
101,NCBI,SRR10354631,RUN
102,NCBI,SRR10375942,RUN
103,NCBI,SRR10383476,RUN
104,NCBI,SRR10384062,RUN
105,NCBI,SRR10393360,RUN
106,NCBI,SRR10397383,RUN
107,NCBI,SRR10405305,RUN
108,NCBI,SRR10415387,RUN
109,NCBI,SRR10420831,RUN
110,NCBI,SRR10429382,RUN
111,NCBI,SRR10438662,RUN
112,NCBI,SRR10438668,RUN
113,NCBI,SRR10451671,RUN
114,NCBI,SRR10451690,RUN
115,NCBI,SRR10452778,RUN
116,NCBI,SRR10482288,RUN
117,NCBI,SRR10484353,RUN
118,NCBI,SRR10484550,RUN
119,NCBI,SRR10484550,RUN
120,NCBI,SRR10489402,RUN
121,NCBI,SRR10491524,RUN
122,NCBI,SRR10499190,RUN
123,NCBI,SRR10500295,RUN
124,NCBI,SRR10504959,RUN
125,NCBI,SRR10569412,RUN
126,NCBI,SRR10579086,RUN
127,NCBI,SRR10598880,RUN
128,NCBI,SRR10598881,RUN
