N,Database,Accession,Type
1,NCBI,SRR3138666,RUN
2,NCBI,SRR3138667,RUN
3,NCBI,SRR3138668,RUN
4,NCBI,SRR3138669,RUN
5,NCBI,SRR3138670,RUN
6,NCBI,SRR3138671,RUN
7,NCBI,SRR3138672,RUN
8,NCBI,SRR3138673,RUN
9,NCBI,SRR3138674,RUN
10,NCBI,SRR3138675,RUN
11,NCBI,SRR3138676,RUN
12,NCBI,SRR3138680,RUN
13,NCBI,SRR3138681,RUN
14,NCBI,SRR3138683,RUN
15,NCBI,SRR3138686,RUN
16,NCBI,SRR3138688,RUN
17,NCBI,SRR3138689,RUN
18,NCBI,SRR3138690,RUN
19,NCBI,SRR3138692,RUN
20,NCBI,SRR3147789,RUN
21,NCBI,SRR3147790,RUN
22,NCBI,SRR3147787,RUN
23,NCBI,SRR3147874,RUN
24,NCBI,SRR3147788,RUN
25,NCBI,SRR3147791,RUN
26,NCBI,SRR3147792,RUN
27,NCBI,SRR3148205,RUN
28,NCBI,SRR3148206,RUN
29,NCBI,SRR3148207,RUN
30,NCBI,SRR3148208,RUN
31,NCBI,SRR3148209,RUN
32,NCBI,SRR3148210,RUN
33,NCBI,SRR3148211,RUN
34,NCBI,SRR3148212,RUN
35,NCBI,SRR3148213,RUN
36,NCBI,SRR3148215,RUN
37,NCBI,SRR3148216,RUN
38,NCBI,SRR3148239,RUN
39,NCBI,SRR3148242,RUN
40,NCBI,SRR3148243,RUN
41,NCBI,SRR3148303,RUN
42,NCBI,SRR3148313,RUN
43,NCBI,SRR3148323,RUN
44,NCBI,SRR3148332,RUN
45,NCBI,SRR3170074,RUN
46,NCBI,SRR3171607,RUN
47,NCBI,SRR3171747,RUN
48,NCBI,SRR3171748,RUN
49,NCBI,SRR3171750,RUN
50,NCBI,SRR3171751,RUN
51,NCBI,SRR3171752,RUN
52,NCBI,SRR3171753,RUN
53,NCBI,SRR3171754,RUN
54,NCBI,SRR3171755,RUN
55,NCBI,SRR3171757,RUN
56,NCBI,SRR3171758,RUN
57,NCBI,SRR3171759,RUN
58,NCBI,SRR3171760,RUN
59,NCBI,SRR3171761,RUN
60,NCBI,SRR3171764,RUN
61,NCBI,SRR3183447,RUN
62,NCBI,SRR3183448,RUN
63,NCBI,SRR3183449,RUN
64,NCBI,SRR3183450,RUN
65,NCBI,SRR3183451,RUN
66,NCBI,SRR3183453,RUN
67,NCBI,SRR3183454,RUN
68,NCBI,SRR3183455,RUN
69,NCBI,SRR3183456,RUN
70,NCBI,SRR3183457,RUN
71,NCBI,SRR3183458,RUN
72,NCBI,SRR3183459,RUN
73,NCBI,SRR3183460,RUN
74,NCBI,SRR3183461,RUN
75,NCBI,SRR3183462,RUN
76,NCBI,SRR3183463,RUN
77,NCBI,SRR3183464,RUN
78,NCBI,SRR3183465,RUN
79,NCBI,SRR3183466,RUN
80,NCBI,SRR3183467,RUN
81,NCBI,SRR3183468,RUN
82,NCBI,SRR3183469,RUN
83,NCBI,SRR3183470,RUN
84,NCBI,SRR3183471,RUN
