N,Database,Accession,Type
1,NCBI,SRR2449301,RUN
2,NCBI,SRR2544783,RUN
3,NCBI,SRR3057127,RUN
4,NCBI,SRR3095377,RUN
5,NCBI,SRR3290093,RUN
6,NCBI,SRR3982095,RUN
7,NCBI,SRR3982096,RUN
8,NCBI,SRR3982101,RUN
9,NCBI,SRR3982102,RUN
10,NCBI,SRR3982283,RUN
11,NCBI,SRR3982284,RUN
12,NCBI,SRR3987106,RUN
13,NCBI,SRR3987107,RUN
14,NCBI,SRR3996247,RUN
15,NCBI,SRR3996257,RUN
16,NCBI,SRR3996263,RUN
17,NCBI,SRR3996264,RUN
18,NCBI,SRR3996267,RUN
19,NCBI,SRR3996269,RUN
20,NCBI,SRR4017815,RUN
21,NCBI,SRR4017816,RUN
22,NCBI,SRR4017818,RUN
23,NCBI,SRR4017819,RUN
24,NCBI,SRR4017858,RUN
25,NCBI,SRR4017884,RUN
26,NCBI,SRR4017907,RUN
27,NCBI,SRR4017910,RUN
28,NCBI,SRR4017911,RUN
29,NCBI,SRR4017912,RUN
30,NCBI,SRR4017913,RUN
31,NCBI,SRR4017917,RUN
32,NCBI,SRR4025842,RUN
33,NCBI,SRR4019405,RUN
34,NCBI,SRR4035127,RUN
35,NCBI,SRR4035128,RUN
36,NCBI,SRR4035129,RUN
37,NCBI,SRR4035130,RUN
38,NCBI,SRR4035131,RUN
39,NCBI,SRR4035132,RUN
40,NCBI,SRR4065648,RUN
41,NCBI,SRR4065665,RUN
42,NCBI,SRR4065672,RUN
43,NCBI,SRR4065674,RUN
44,NCBI,SRR4065701,RUN
45,NCBI,SRR4065705,RUN
46,NCBI,SRR4069217,RUN
47,NCBI,SRR4069218,RUN
48,NCBI,SRR4294849,RUN
49,NCBI,SRR5093708,RUN
50,NCBI,SRR5120208,RUN
51,NCBI,SRR5120213,RUN
52,NCBI,SRR5237404,RUN
53,NCBI,SRR5420061,RUN
54,NCBI,SRR5420066,RUN
55,NCBI,SRR5445914,RUN
56,NCBI,SRR5445920,RUN
57,NCBI,SRR5806878,RUN
58,NCBI,SRR5810507,RUN
59,NCBI,SRR5810508,RUN
60,NCBI,SRR5862470,RUN
61,NCBI,SRR5862479,RUN
62,NCBI,SRR13301923,RUN
63,NCBI,SRR13301956,RUN
64,NCBI,SRR13301963,RUN
65,NCBI,SRR13301970,RUN
66,NCBI,SRR13301978,RUN
67,NCBI,SRR13302019,RUN
68,NCBI,SRR13302020,RUN
69,NCBI,SRR13302022,RUN
70,NCBI,SRR13302023,RUN
71,NCBI,SRR13302026,RUN
72,NCBI,SRR13302036,RUN
73,NCBI,SRR13302051,RUN
74,NCBI,SRR13302165,RUN
75,NCBI,SRR13302166,RUN
76,NCBI,SRR13338342,RUN
77,NCBI,SRR13338346,RUN
78,NCBI,SRR13338361,RUN
79,NCBI,SRR13338364,RUN
80,NCBI,SRR13338368,RUN
81,NCBI,SRR13357513,RUN
82,NCBI,SRR19524229,RUN
83,NCBI,SRR19524230,RUN
