N,Database,Accession,Type
1,NCBI,SRR2134675,RUN
2,NCBI,SRR2134681,RUN
3,NCBI,SRR2976832,RUN
4,NCBI,SRR2976833,RUN
5,NCBI,SRR2976834,RUN
6,NCBI,SRR2976836,RUN
7,NCBI,SRR2449036,RUN
8,NCBI,SRR2449085,RUN
9,NCBI,SRR2449109,RUN
10,NCBI,SRR2449140,RUN
11,NCBI,SRR2449141,RUN
12,NCBI,SRR2449142,RUN
13,NCBI,SRR2449143,RUN
14,NCBI,SRR2449204,RUN
15,NCBI,SRR2449248,RUN
16,NCBI,SRR2449254,RUN
17,NCBI,SRR2544780,RUN
18,NCBI,SRR2544769,RUN
19,NCBI,SRR2544770,RUN
20,NCBI,SRR2544772,RUN
21,NCBI,SRR2544775,RUN
22,NCBI,SRR2544776,RUN
23,NCBI,SRR2544777,RUN
24,NCBI,SRR2927307,RUN
25,NCBI,SRR2927308,RUN
26,NCBI,SRR2927303,RUN
27,NCBI,SRR2927304,RUN
28,NCBI,SRR2927305,RUN
29,NCBI,SRR2544773,RUN
30,NCBI,SRR2544774,RUN
31,NCBI,SRR2927306,RUN
32,NCBI,SRR2544771,RUN
33,NCBI,SRR2544778,RUN
34,NCBI,SRR3057119,RUN
35,NCBI,SRR3057120,RUN
36,NCBI,SRR3057121,RUN
37,NCBI,SRR3057122,RUN
38,NCBI,SRR3057123,RUN
39,NCBI,SRR3057124,RUN
40,NCBI,SRR3057125,RUN
41,NCBI,SRR3057126,RUN
42,NCBI,SRR3057131,RUN
43,NCBI,SRR3057133,RUN
44,NCBI,SRR3057134,RUN
45,NCBI,SRR3057135,RUN
46,NCBI,SRR3095378,RUN
47,NCBI,SRR3095379,RUN
48,NCBI,SRR3095380,RUN
49,NCBI,SRR3095382,RUN
50,NCBI,SRR3095384,RUN
51,NCBI,SRR3095385,RUN
52,NCBI,SRR3095387,RUN
53,NCBI,SRR3095388,RUN
54,NCBI,SRR3095389,RUN
55,NCBI,SRR3095390,RUN
56,NCBI,SRR3095391,RUN
57,NCBI,SRR3144197,RUN
58,NCBI,SRR3144229,RUN
59,NCBI,SRR3144766,RUN
60,NCBI,SRR3171609,RUN
61,NCBI,SRR3171745,RUN
62,NCBI,SRR3168634,RUN
63,NCBI,SRR3168641,RUN
64,NCBI,SRR3168643,RUN
65,NCBI,SRR3185912,RUN
66,NCBI,SRR3194369,RUN
67,NCBI,SRR3194378,RUN
68,NCBI,SRR3194382,RUN
69,NCBI,SRR3199589,RUN
