N,Database,Accession,Type
1,NCBI,SRR2134674,RUN
2,NCBI,SRR2134679,RUN
3,NCBI,SRR2134680,RUN
4,NCBI,SRR2449251,RUN
5,NCBI,SRR2449299,RUN
6,NCBI,SRR2449365,RUN
7,NCBI,SRR3057129,RUN
8,NCBI,SRR3057130,RUN
9,NCBI,SRR3095383,RUN
10,NCBI,SRR3168635,RUN
11,NCBI,SRR3168636,RUN
12,NCBI,SRR3168637,RUN
13,NCBI,SRR3185093,RUN
14,NCBI,SRR3185094,RUN
15,NCBI,SRR3185095,RUN
16,NCBI,SRR3185096,RUN
17,NCBI,SRR3185097,RUN
18,NCBI,SRR3185098,RUN
19,NCBI,SRR3242006,RUN
20,NCBI,SRR3242015,RUN
21,NCBI,SRR3242028,RUN
22,NCBI,SRR3222204,RUN
23,NCBI,SRR3222121,RUN
24,NCBI,SRR3222198,RUN
25,NCBI,SRR3222075,RUN
26,NCBI,SRR3221782,RUN
27,NCBI,SRR3221942,RUN
28,NCBI,SRR3221987,RUN
29,NCBI,SRR3222424,RUN
30,NCBI,SRR3222446,RUN
31,NCBI,SRR3222447,RUN
32,NCBI,SRR3222390,RUN
33,NCBI,SRR3222406,RUN
34,NCBI,SRR3222408,RUN
35,NCBI,SRR3222415,RUN
36,NCBI,SRR3219826,RUN
37,NCBI,SRR3219827,RUN
38,NCBI,SRR3219817,RUN
39,NCBI,SRR3219271,RUN
40,NCBI,SRR3219834,RUN
41,NCBI,SRR3219835,RUN
42,NCBI,SRR3221668,RUN
43,NCBI,SRR3221675,RUN
44,NCBI,SRR3221676,RUN
45,NCBI,SRR3221684,RUN
46,NCBI,SRR3618629,RUN
47,NCBI,SRR3981083,RUN
48,NCBI,SRR3981084,RUN
49,NCBI,SRR3981085,RUN
50,NCBI,SRR3981086,RUN
51,NCBI,SRR3981087,RUN
52,NCBI,SRR3982097,RUN
53,NCBI,SRR3982098,RUN
54,NCBI,SRR3982100,RUN
55,NCBI,SRR3982129,RUN
56,NCBI,SRR3982131,RUN
57,NCBI,SRR3982178,RUN
58,NCBI,SRR3982216,RUN
59,NCBI,SRR3982229,RUN
60,NCBI,SRR3982230,RUN
61,NCBI,SRR3982253,RUN
62,NCBI,SRR3982254,RUN
63,NCBI,SRR3982316,RUN
64,NCBI,SRR3982346,RUN
65,NCBI,SRR3982400,RUN
66,NCBI,SRR3987108,RUN
67,NCBI,SRR3987109,RUN
68,NCBI,SRR3987110,RUN
69,NCBI,SRR3987111,RUN
70,NCBI,SRR3987112,RUN
71,NCBI,SRR3987113,RUN
72,NCBI,SRR3987114,RUN
73,NCBI,SRR3987115,RUN
74,NCBI,SRR3987116,RUN
75,NCBI,SRR3987117,RUN
76,NCBI,SRR3987118,RUN
77,NCBI,SRR3987119,RUN
78,NCBI,SRR3987120,RUN
79,NCBI,SRR3987121,RUN
80,NCBI,SRR3987122,RUN
81,NCBI,SRR3987123,RUN
82,NCBI,SRR3987124,RUN
83,NCBI,SRR3987125,RUN
84,NCBI,SRR3987126,RUN
