N,Database,Accession,Type
1,NCBI,SRR2449005,RUN
2,NCBI,SRR2449253,RUN
3,NCBI,SRR3290087,RUN
4,NCBI,SRR3618630,RUN
5,NCBI,SRR3932416,RUN
6,NCBI,SRR3932417,RUN
7,NCBI,SRR4019400,RUN
8,NCBI,SRR4294838,RUN
9,NCBI,SRR4294852,RUN
10,NCBI,SRR4417549,RUN
11,NCBI,SRR4417550,RUN
12,NCBI,SRR4417551,RUN
13,NCBI,SRR4417552,RUN
14,NCBI,SRR4417554,RUN
15,NCBI,SRR4417555,RUN
16,NCBI,SRR4417556,RUN
17,NCBI,SRR4417557,RUN
18,NCBI,SRR4417558,RUN
19,NCBI,SRR4417559,RUN
20,NCBI,SRR4417560,RUN
21,NCBI,SRR4417562,RUN
22,NCBI,SRR4417563,RUN
23,NCBI,SRR4417530,RUN
24,NCBI,SRR4417532,RUN
25,NCBI,SRR4417533,RUN
26,NCBI,SRR4417534,RUN
27,NCBI,SRR4417535,RUN
28,NCBI,SRR4417536,RUN
29,NCBI,SRR4417537,RUN
30,NCBI,SRR4417538,RUN
31,NCBI,SRR4417539,RUN
32,NCBI,SRR4417540,RUN
33,NCBI,SRR4417541,RUN
34,NCBI,SRR4417543,RUN
35,NCBI,SRR4417544,RUN
36,NCBI,SRR4417545,RUN
37,NCBI,SRR4417546,RUN
38,NCBI,SRR4417547,RUN
39,NCBI,SRR4417548,RUN
40,NCBI,SRR5093682,RUN
41,NCBI,SRR5120220,RUN
42,NCBI,SRR5120225,RUN
43,NCBI,SRR5122323,RUN
44,NCBI,SRR5122325,RUN
45,NCBI,SRR5122326,RUN
46,NCBI,SRR5122327,RUN
47,NCBI,SRR5122328,RUN
48,NCBI,SRR5122329,RUN
49,NCBI,SRR5122330,RUN
50,NCBI,SRR5122331,RUN
51,NCBI,SRR5122332,RUN
52,NCBI,SRR5237405,RUN
53,NCBI,SRR5901137,RUN
54,NCBI,SRR13300988,RUN
55,NCBI,SRR13300990,RUN
56,NCBI,SRR13300991,RUN
57,NCBI,SRR13300992,RUN
58,NCBI,SRR13300993,RUN
59,NCBI,SRR13301010,RUN
60,NCBI,SRR13301011,RUN
61,NCBI,SRR13301012,RUN
62,NCBI,SRR13300989,RUN
63,NCBI,SRR13301929,RUN
64,NCBI,SRR13301930,RUN
65,NCBI,SRR13301931,RUN
66,NCBI,SRR13301932,RUN
67,NCBI,SRR13301957,RUN
68,NCBI,SRR13301958,RUN
69,NCBI,SRR13301959,RUN
70,NCBI,SRR13301960,RUN
71,NCBI,SRR13301961,RUN
72,NCBI,SRR13301962,RUN
73,NCBI,SRR13302053,RUN
74,NCBI,SRR13302054,RUN
75,NCBI,SRR13302056,RUN
76,NCBI,SRR13302078,RUN
77,NCBI,SRR13302079,RUN
78,NCBI,SRR13302139,RUN
79,NCBI,SRR13302140,RUN
80,NCBI,SRR13302141,RUN
81,NCBI,SRR13302142,RUN
82,NCBI,SRR13302146,RUN
83,NCBI,SRR13302147,RUN
84,NCBI,SRR13302148,RUN
85,NCBI,SRR13302149,RUN
86,NCBI,SRR13302158,RUN
87,NCBI,SRR13302160,RUN
88,NCBI,SRR13302161,RUN
89,NCBI,SRR13302162,RUN
90,NCBI,SRR13302163,RUN
91,NCBI,SRR13302164,RUN
92,NCBI,SRR18507854,RUN
93,NCBI,SRR18507855,RUN
94,NCBI,SRR18508010,RUN
95,NCBI,SRR18508011,RUN
96,NCBI,SRR18508012,RUN
97,NCBI,SRR18508013,RUN
98,NCBI,SRR19524223,RUN
99,NCBI,SRR19524224,RUN
100,NCBI,SRR19524225,RUN
101,NCBI,SRR19524227,RUN
