N,Database,Accession,Type
1,NCBI,SRR1177285,RUN
2,NCBI,SRR1177331,RUN
3,NCBI,SRR1177360,RUN
4,NCBI,SRR1177315,RUN
5,NCBI,SRR1177356,RUN
6,NCBI,SRR1177324,RUN
7,NCBI,SRR1177369,RUN
8,NCBI,SRR1177316,RUN
9,NCBI,SRR1177335,RUN
10,NCBI,SRR1177265,RUN
11,NCBI,SRR1177339,RUN
12,NCBI,SRR1181525,RUN
13,NCBI,SRR1181530,RUN
14,NCBI,SRR1181526,RUN
15,NCBI,SRR1181520,RUN
16,NCBI,SRR1181528,RUN
17,NCBI,SRR1181531,RUN
18,NCBI,SRR1181532,RUN
19,NCBI,SRR1181529,RUN
20,NCBI,SRR1181521,RUN
21,NCBI,SRR1181546,RUN
22,NCBI,SRR1181566,RUN
23,NCBI,SRR1181559,RUN
24,NCBI,SRR1181551,RUN
25,NCBI,SRR1181547,RUN
26,NCBI,SRR1181564,RUN
27,NCBI,SRR1181560,RUN
28,NCBI,SRR1185785,RUN
29,NCBI,SRR1185819,RUN
30,NCBI,SRR1185790,RUN
31,NCBI,SRR1185855,RUN
32,NCBI,SRR1185828,RUN
33,NCBI,SRR1185791,RUN
34,NCBI,SRR1185810,RUN
35,NCBI,SRR1185804,RUN
36,NCBI,SRR1185820,RUN
37,NCBI,SRR1185781,RUN
38,NCBI,SRR1185842,RUN
39,NCBI,SRR1185856,RUN
40,NCBI,SRR1185798,RUN
41,NCBI,SRR1185859,RUN
42,NCBI,SRR1185839,RUN
43,NCBI,SRR1185792,RUN
44,NCBI,SRR1195625,RUN
45,NCBI,SRR1195631,RUN
46,NCBI,SRR1195641,RUN
47,NCBI,SRR1195626,RUN
48,NCBI,SRR1195649,RUN
49,NCBI,SRR1195642,RUN
50,NCBI,SRR1195634,RUN
51,NCBI,SRR1195643,RUN
52,NCBI,SRR1195644,RUN
53,NCBI,SRR1195655,RUN
54,NCBI,SRR1195659,RUN
55,NCBI,SRR1195663,RUN
56,NCBI,SRR1195666,RUN
57,NCBI,SRR1195667,RUN
58,NCBI,SRR1195671,RUN
59,NCBI,SRR1195672,RUN
60,NCBI,SRR1198905,RUN
61,NCBI,SRR1198922,RUN
62,NCBI,SRR1198909,RUN
63,NCBI,SRR1198883,RUN
64,NCBI,SRR1198889,RUN
65,NCBI,SRR1198890,RUN
66,NCBI,SRR1198898,RUN
67,NCBI,SRR1198875,RUN
68,NCBI,SRR1198930,RUN
69,NCBI,SRR1198931,RUN
70,NCBI,SRR1198942,RUN
71,NCBI,SRR1198961,RUN
72,NCBI,SRR1198972,RUN
73,NCBI,SRR1198932,RUN
74,NCBI,SRR1198956,RUN
75,NCBI,SRR1198962,RUN
76,NCBI,SRR1200764,RUN
77,NCBI,SRR1200765,RUN
78,NCBI,SRR1200752,RUN
79,NCBI,SRR1200753,RUN
80,NCBI,SRR1200766,RUN
81,NCBI,SRR1200761,RUN
82,NCBI,SRR1200762,RUN
83,NCBI,SRR1200757,RUN
84,NCBI,SRR1200758,RUN
85,NCBI,SRR1200754,RUN
86,NCBI,SRR1200747,RUN
87,NCBI,SRR1200748,RUN
88,NCBI,SRR1200749,RUN
89,NCBI,SRR1200767,RUN
90,NCBI,SRR1200759,RUN
91,NCBI,SRR1200760,RUN
92,NCBI,SRR1202993,RUN
93,NCBI,SRR1202996,RUN
94,NCBI,SRR1202982,RUN
95,NCBI,SRR1202983,RUN
96,NCBI,SRR1203000,RUN
97,NCBI,SRR1203013,RUN
98,NCBI,SRR1203028,RUN
99,NCBI,SRR1203034,RUN
100,NCBI,SRR1202997,RUN
101,NCBI,SRR1203044,RUN
102,NCBI,SRR1203017,RUN
103,NCBI,SRR1203018,RUN
104,NCBI,SRR1203019,RUN
105,NCBI,SRR1203020,RUN
106,NCBI,SRR1202988,RUN
107,NCBI,SRR1203014,RUN
108,NCBI,SRR1220811,RUN
109,NCBI,SRR1220770,RUN
110,NCBI,SRR1220713,RUN
111,NCBI,SRR1220744,RUN
112,NCBI,SRR1220721,RUN
113,NCBI,SRR1220702,RUN
114,NCBI,SRR1220705,RUN
115,NCBI,SRR1220800,RUN
116,NCBI,SRR1220731,RUN
117,NCBI,SRR1220706,RUN
118,NCBI,SRR1220745,RUN
119,NCBI,SRR1220782,RUN
120,NCBI,SRR1220739,RUN
121,NCBI,SRR1220766,RUN
122,NCBI,SRR1220732,RUN
123,NCBI,SRR1220722,RUN
124,NCBI,SRR1257278,RUN
125,NCBI,SRR1257312,RUN
126,NCBI,SRR1257306,RUN
127,NCBI,SRR1257300,RUN
128,NCBI,SRR1257307,RUN
129,NCBI,SRR1257273,RUN
130,NCBI,SRR1257294,RUN
131,NCBI,SRR1257274,RUN
132,NCBI,SRR1257289,RUN
133,NCBI,SRR1257301,RUN
134,NCBI,SRR1448884,RUN
135,NCBI,SRR1257308,RUN
136,NCBI,SRR1257279,RUN
137,NCBI,SRR1257319,RUN
138,NCBI,SRR1257280,RUN
139,NCBI,SRR1272488,RUN
140,NCBI,SRR1272895,RUN
141,NCBI,SRR1272853,RUN
142,NCBI,SRR1272854,RUN
143,NCBI,SRR1272788,RUN
144,NCBI,SRR1272872,RUN
145,NCBI,SRR1272805,RUN
146,NCBI,SRR1272911,RUN
147,NCBI,SRR1272524,RUN
148,NCBI,SRR1272809,RUN
149,NCBI,SRR1272810,RUN
150,NCBI,SRR1272862,RUN
151,NCBI,SRR1272782,RUN
152,NCBI,SRR1272768,RUN
153,NCBI,SRR1272495,RUN
154,NCBI,SRR1292273,RUN
155,NCBI,SRR1292319,RUN
156,NCBI,SRR1299216,RUN
157,NCBI,SRR1299273,RUN
158,NCBI,SRR1299277,RUN
159,NCBI,SRR1299278,RUN
160,NCBI,SRR1299279,RUN
161,NCBI,SRR1299284,RUN
162,NCBI,SRR1299285,RUN
163,NCBI,SRR1299301,RUN
164,NCBI,SRR1299305,RUN
165,NCBI,SRR1299309,RUN
166,NCBI,SRR1299310,RUN
167,NCBI,SRR1299314,RUN
168,NCBI,SRR1299315,RUN
169,NCBI,SRR1299355,RUN
170,NCBI,SRR1299357,RUN
171,NCBI,SRR1299361,RUN
172,NCBI,SRR1299362,RUN
173,NCBI,SRR1299364,RUN
174,NCBI,SRR1299366,RUN
175,NCBI,SRR1299367,RUN
176,NCBI,SRR1299372,RUN
177,NCBI,SRR1299373,RUN
178,NCBI,SRR1299378,RUN
179,NCBI,SRR1299379,RUN
180,NCBI,SRR1299380,RUN
181,NCBI,SRR1299393,RUN
