N,Database,Accession,Type
1,NCBI,SRR3168638,RUN
2,NCBI,SRR4417445,RUN
3,NCBI,SRR5237408,RUN
4,NCBI,SRR8526659,RUN
5,NCBI,SRR8526660,RUN
6,NCBI,SRR8526661,RUN
7,NCBI,SRR8526662,RUN
8,NCBI,SRR8526663,RUN
9,NCBI,SRR8526664,RUN
10,NCBI,SRR8526665,RUN
11,NCBI,SRR8526666,RUN
12,NCBI,SRR8526667,RUN
13,NCBI,SRR8526668,RUN
14,NCBI,SRR8526669,RUN
15,NCBI,SRR8526670,RUN
16,NCBI,SRR8526671,RUN
17,NCBI,SRR8526672,RUN
18,NCBI,SRR8526673,RUN
19,NCBI,SRR8526674,RUN
20,NCBI,SRR8526675,RUN
21,NCBI,SRR10591299,RUN
22,NCBI,SRR10591300,RUN
23,NCBI,SRR10591301,RUN
24,NCBI,SRR10591302,RUN
25,NCBI,SRR10591303,RUN
26,NCBI,SRR10591304,RUN
27,NCBI,SRR10591305,RUN
28,NCBI,SRR10591306,RUN
29,NCBI,SRR10591307,RUN
30,NCBI,SRR10591308,RUN
31,NCBI,SRR10591309,RUN
32,NCBI,SRR10591310,RUN
33,NCBI,SRR10591311,RUN
34,NCBI,SRR10591312,RUN
35,NCBI,SRR10591313,RUN
36,NCBI,SRR10591314,RUN
37,NCBI,SRR10591315,RUN
38,NCBI,SRR10591316,RUN
39,NCBI,SRR10591317,RUN
40,NCBI,SRR10591318,RUN
41,NCBI,SRR10591319,RUN
42,NCBI,SRR10591320,RUN
43,NCBI,SRR10591321,RUN
44,NCBI,SRR10591322,RUN
45,NCBI,SRR10591323,RUN
46,NCBI,SRR10591324,RUN
47,NCBI,SRR10591325,RUN
48,NCBI,SRR10591326,RUN
49,NCBI,SRR10591327,RUN
50,NCBI,SRR10591328,RUN
51,NCBI,SRR13301919,RUN
52,NCBI,SRR13301920,RUN
53,NCBI,SRR13301922,RUN
54,NCBI,SRR13301937,RUN
55,NCBI,SRR13301938,RUN
56,NCBI,SRR13301939,RUN
57,NCBI,SRR13301940,RUN
58,NCBI,SRR13301941,RUN
59,NCBI,SRR13301942,RUN
60,NCBI,SRR13301943,RUN
61,NCBI,SRR13301944,RUN
62,NCBI,SRR13301945,RUN
63,NCBI,SRR13301971,RUN
64,NCBI,SRR13301972,RUN
65,NCBI,SRR13301973,RUN
66,NCBI,SRR13301974,RUN
67,NCBI,SRR13301979,RUN
68,NCBI,SRR13301980,RUN
69,NCBI,SRR13301981,RUN
70,NCBI,SRR13301982,RUN
71,NCBI,SRR13301983,RUN
72,NCBI,SRR13301984,RUN
73,NCBI,SRR13301985,RUN
74,NCBI,SRR13301991,RUN
75,NCBI,SRR13301992,RUN
76,NCBI,SRR13301993,RUN
77,NCBI,SRR13301994,RUN
78,NCBI,SRR13301995,RUN
79,NCBI,SRR13301996,RUN
80,NCBI,SRR13301997,RUN
81,NCBI,SRR13301998,RUN
82,NCBI,SRR19032633,RUN
83,NCBI,SRR13302000,RUN
84,NCBI,SRR13302001,RUN
85,NCBI,SRR13302002,RUN
86,NCBI,SRR13302003,RUN
87,NCBI,SRR13302004,RUN
88,NCBI,SRR13302005,RUN
89,NCBI,SRR13302006,RUN
90,NCBI,SRR13302007,RUN
91,NCBI,SRR13302008,RUN
92,NCBI,SRR13302100,RUN
93,NCBI,SRR13302101,RUN
94,NCBI,SRR13302118,RUN
95,NCBI,SRR13302119,RUN
96,NCBI,SRR13302120,RUN
97,NCBI,SRR13302121,RUN
98,NCBI,SRR13302122,RUN
99,NCBI,SRR13302123,RUN
100,NCBI,SRR13302124,RUN
101,NCBI,SRR13302125,RUN
102,NCBI,SRR18507860,RUN
103,NCBI,SRR18507866,RUN
104,NCBI,SRR18507868,RUN
