N,Database,Accession,Type
1,NCBI,SRR2072210,RUN
2,NCBI,SRR2072211,RUN
3,NCBI,SRR2072212,RUN
4,NCBI,SRR2072213,RUN
5,NCBI,SRR2072214,RUN
6,NCBI,SRR2072215,RUN
7,NCBI,SRR2072216,RUN
8,NCBI,SRR2072217,RUN
9,NCBI,SRR2072218,RUN
10,NCBI,SRR2072220,RUN
11,NCBI,SRR2072221,RUN
12,NCBI,SRR2072222,RUN
13,NCBI,SRR2072223,RUN
14,NCBI,SRR2072224,RUN
15,NCBI,SRR2072225,RUN
16,NCBI,SRR2072226,RUN
17,NCBI,SRR2072227,RUN
18,NCBI,SRR2072228,RUN
19,NCBI,SRR2072229,RUN
20,NCBI,SRR2072230,RUN
21,NCBI,SRR2072231,RUN
22,NCBI,SRR2072233,RUN
23,NCBI,SRR2072234,RUN
24,NCBI,SRR2072235,RUN
25,NCBI,SRR2072236,RUN
26,NCBI,SRR2072237,RUN
27,NCBI,SRR2072238,RUN
28,NCBI,SRR2072239,RUN
29,NCBI,SRR2072240,RUN
30,NCBI,SRR2072242,RUN
31,NCBI,SRR2072243,RUN
32,NCBI,SRR2072244,RUN
33,NCBI,SRR2072245,RUN
34,NCBI,SRR2072246,RUN
35,NCBI,SRR2072247,RUN
36,NCBI,SRR2072248,RUN
37,NCBI,SRR2072249,RUN
38,NCBI,SRR2072250,RUN
39,NCBI,SRR2072252,RUN
40,NCBI,SRR2072253,RUN
41,NCBI,SRR2072254,RUN
42,NCBI,SRR2072255,RUN
43,NCBI,SRR2072256,RUN
44,NCBI,SRR2072257,RUN
45,NCBI,SRR2072258,RUN
46,NCBI,SRR2072259,RUN
47,NCBI,SRR2072260,RUN
48,NCBI,SRR2072261,RUN
49,NCBI,SRR2072262,RUN
50,NCBI,SRR2072265,RUN
51,NCBI,SRR2072266,RUN
52,NCBI,SRR2072267,RUN
53,NCBI,SRR2072268,RUN
54,NCBI,SRR2072269,RUN
55,NCBI,SRR2072270,RUN
56,NCBI,SRR2072271,RUN
57,NCBI,SRR2072272,RUN
58,NCBI,SRR2072274,RUN
59,NCBI,SRR2072275,RUN
60,NCBI,SRR2072276,RUN
61,NCBI,SRR2072277,RUN
62,NCBI,SRR2072278,RUN
63,NCBI,SRR2072279,RUN
64,NCBI,SRR2072280,RUN
65,NCBI,SRR2072281,RUN
66,NCBI,SRR2072283,RUN
67,NCBI,SRR2072284,RUN
68,NCBI,SRR2072285,RUN
69,NCBI,SRR2072286,RUN
70,NCBI,SRR2072287,RUN
71,NCBI,SRR2072288,RUN
72,NCBI,SRR2072289,RUN
73,NCBI,SRR2072290,RUN
74,NCBI,SRR2072291,RUN
75,NCBI,SRR2072292,RUN
76,NCBI,SRR2072293,RUN
77,NCBI,SRR2072294,RUN
78,NCBI,SRR2072295,RUN
79,NCBI,SRR2072296,RUN
80,NCBI,SRR2072297,RUN
81,NCBI,SRR2072300,RUN
82,NCBI,SRR2072301,RUN
83,NCBI,SRR2072302,RUN
84,NCBI,SRR2072303,RUN
85,NCBI,SRR2072304,RUN
86,NCBI,SRR2072305,RUN
87,NCBI,SRR2072307,RUN
88,NCBI,SRR2072308,RUN
89,NCBI,SRR2072309,RUN
90,NCBI,SRR2072310,RUN
91,NCBI,SRR2072311,RUN
92,NCBI,SRR2072312,RUN
93,NCBI,SRR2072313,RUN
94,NCBI,SRR2072314,RUN
95,NCBI,SRR2072315,RUN
96,NCBI,SRR2072316,RUN
97,NCBI,SRR2072317,RUN
98,NCBI,SRR2072318,RUN
99,NCBI,SRR2072319,RUN
