N,Database,Accession,Type
1,ENA,ERR133691,RUN
2,ENA,ERR133692,RUN
3,ENA,ERR133693,RUN
4,ENA,ERR133694,RUN
5,ENA,ERR133695,RUN
6,ENA,ERR036099,RUN
7,ENA,ERR036103,RUN
8,ENA,ERR036104,RUN
9,ENA,ERR133698,RUN
10,ENA,ERR133699,RUN
11,ENA,ERR133700,RUN
12,ENA,ERR036105,RUN
13,ENA,ERR133701,RUN
14,ENA,ERR036106,RUN
15,ENA,ERR036107,RUN
16,ENA,ERR036108,RUN
17,ENA,ERR133702,RUN
18,ENA,ERR036109,RUN
19,ENA,ERR133703,RUN
20,ENA,ERR036110,RUN
21,ENA,ERR036100,RUN
22,ENA,ERR133704,RUN
23,ENA,ERR036101,RUN
24,ENA,ERR036102,RUN
25,ENA,ERR133705,RUN
26,ENA,ERR133708,RUN
27,ENA,ERR133709,RUN
28,ENA,ERR133710,RUN
29,ENA,ERR133711,RUN
30,ENA,ERR133712,RUN
31,ENA,ERR133713,RUN
32,ENA,ERR133714,RUN
33,ENA,ERR133715,RUN
34,ENA,ERR133716,RUN
35,ENA,ERR133717,RUN
36,ENA,ERR133718,RUN
37,ENA,ERR133719,RUN
38,ENA,ERR133720,RUN
39,ENA,ERR133721,RUN
40,ENA,ERR133722,RUN
41,ENA,ERR133723,RUN
42,ENA,ERR133724,RUN
43,ENA,ERR036112,RUN
44,ENA,ERR036116,RUN
45,ENA,ERR133725,RUN
46,ENA,ERR133726,RUN
47,ENA,ERR036118,RUN
48,ENA,ERR133727,RUN
49,ENA,ERR133728,RUN
50,ENA,ERR133729,RUN
51,ENA,ERR133730,RUN
52,ENA,ERR133731,RUN
53,ENA,ERR133732,RUN
54,ENA,ERR133733,RUN
55,ENA,ERR133734,RUN
56,ENA,ERR036119,RUN
57,ENA,ERR036120,RUN
58,ENA,ERR036121,RUN
59,ENA,ERR133735,RUN
60,ENA,ERR036122,RUN
61,ENA,ERR036113,RUN
62,ENA,ERR036114,RUN
63,ENA,ERR036115,RUN
64,ENA,ERR133736,RUN
65,ENA,ERR133737,RUN
66,ENA,ERR133738,RUN
