N,Database,Accession,Type
1,ENA,ERR418318,RUN
2,ENA,ERR418319,RUN
3,ENA,ERR418320,RUN
4,ENA,ERR418321,RUN
5,ENA,ERR418322,RUN
6,ENA,ERR418323,RUN
7,ENA,ERR418324,RUN
8,ENA,ERR418325,RUN
9,ENA,ERR418326,RUN
10,ENA,ERR418327,RUN
11,ENA,ERR418328,RUN
12,ENA,ERR418329,RUN
13,ENA,ERR418330,RUN
14,ENA,ERR418331,RUN
15,ENA,ERR418332,RUN
16,ENA,ERR418333,RUN
17,ENA,ERR418334,RUN
18,ENA,ERR418335,RUN
19,ENA,ERR418336,RUN
20,ENA,ERR418337,RUN
21,ENA,ERR418338,RUN
22,ENA,ERR418339,RUN
23,ENA,ERR418340,RUN
24,ENA,ERR418341,RUN
25,ENA,ERR418342,RUN
26,ENA,ERR418343,RUN
27,ENA,ERR418344,RUN
28,ENA,ERR418345,RUN
29,ENA,ERR418346,RUN
30,ENA,ERR418347,RUN
31,ENA,ERR418348,RUN
32,ENA,ERR418349,RUN
33,ENA,ERR418350,RUN
34,ENA,ERR418351,RUN
35,ENA,ERR418352,RUN
36,ENA,ERR418353,RUN
37,ENA,ERR418354,RUN
38,ENA,ERR418355,RUN
39,ENA,ERR418356,RUN
40,ENA,ERR418357,RUN
41,ENA,ERR418358,RUN
42,ENA,ERR418359,RUN
43,ENA,ERR418360,RUN
44,ENA,ERR418361,RUN
45,ENA,ERR418362,RUN
46,ENA,ERR418363,RUN
47,ENA,ERR418364,RUN
48,ENA,ERR418365,RUN
49,ENA,ERR418366,RUN
50,ENA,ERR418367,RUN
51,ENA,ERR418368,RUN
52,ENA,ERR418369,RUN
53,ENA,ERR418370,RUN
54,ENA,ERR418371,RUN
55,ENA,ERR418372,RUN
56,ENA,ERR418373,RUN
57,ENA,ERR418374,RUN
58,ENA,ERR418375,RUN
59,ENA,ERR418376,RUN
60,ENA,ERR418377,RUN
61,ENA,ERR418378,RUN
62,ENA,ERR418379,RUN
63,ENA,ERR418380,RUN
64,ENA,ERR418381,RUN
65,ENA,ERR418382,RUN
66,ENA,ERR418383,RUN
67,ENA,ERR418384,RUN
68,ENA,ERR418385,RUN
69,ENA,ERR418386,RUN
70,ENA,ERR418387,RUN
71,ENA,ERR418388,RUN
72,ENA,ERR418389,RUN
73,ENA,ERR418390,RUN
74,ENA,ERR418391,RUN
75,ENA,ERR418392,RUN
76,ENA,ERR418393,RUN
77,ENA,ERR418394,RUN
78,ENA,ERR418395,RUN
79,ENA,ERR418396,RUN
80,ENA,ERR418397,RUN
81,ENA,ERR418398,RUN
82,ENA,ERR418399,RUN
83,ENA,ERR418400,RUN
84,ENA,ERR418401,RUN
85,ENA,ERR418402,RUN
86,ENA,ERR418403,RUN
87,ENA,ERR418404,RUN
88,ENA,ERR418405,RUN
89,ENA,ERR418406,RUN
90,ENA,ERR418407,RUN
91,ENA,ERR418408,RUN
92,ENA,ERR418409,RUN
93,ENA,ERR418410,RUN
94,ENA,ERR418411,RUN
95,ENA,ERR418412,RUN
96,ENA,ERR418413,RUN
97,ENA,ERR418414,RUN
98,ENA,ERR418415,RUN
99,ENA,ERR418416,RUN
100,ENA,ERR418417,RUN
101,ENA,ERR418418,RUN
102,ENA,ERR418419,RUN
103,ENA,ERR418420,RUN
104,ENA,ERR418421,RUN
105,ENA,ERR418422,RUN
106,ENA,ERR418423,RUN
107,ENA,ERR418424,RUN
108,ENA,ERR418425,RUN
109,ENA,ERR418426,RUN
110,ENA,ERR418427,RUN
