N,Database,Accession,Type
1,ENA,ERR400307,RUN
2,ENA,ERR400308,RUN
3,ENA,ERR400309,RUN
4,ENA,ERR400311,RUN
5,ENA,ERR400312,RUN
6,ENA,ERR400313,RUN
7,ENA,ERR400314,RUN
8,ENA,ERR400316,RUN
9,ENA,ERR400317,RUN
10,ENA,ERR400318,RUN
11,ENA,ERR400319,RUN
12,ENA,ERR400324,RUN
13,ENA,ERR400325,RUN
14,ENA,ERR400327,RUN
15,ENA,ERR400328,RUN
16,ENA,ERR400329,RUN
17,ENA,ERR400330,RUN
18,ENA,ERR400331,RUN
19,ENA,ERR400332,RUN
20,ENA,ERR400333,RUN
21,ENA,ERR400334,RUN
22,ENA,ERR400337,RUN
23,ENA,ERR400338,RUN
24,ENA,ERR400339,RUN
25,ENA,ERR400340,RUN
26,ENA,ERR400341,RUN
27,ENA,ERR400342,RUN
28,ENA,ERR400343,RUN
29,ENA,ERR400347,RUN
30,ENA,ERR400348,RUN
31,ENA,ERR400351,RUN
32,ENA,ERR400352,RUN
33,ENA,ERR400353,RUN
34,ENA,ERR400354,RUN
35,ENA,ERR400357,RUN
36,ENA,ERR400358,RUN
37,ENA,ERR400364,RUN
38,ENA,ERR400368,RUN
39,ENA,ERR400369,RUN
40,ENA,ERR400370,RUN
41,ENA,ERR400375,RUN
42,ENA,ERR400376,RUN
43,ENA,ERR400377,RUN
44,ENA,ERR400378,RUN
45,ENA,ERR400379,RUN
46,ENA,ERR400380,RUN
47,ENA,ERR400381,RUN
48,ENA,ERR400382,RUN
49,ENA,ERR400383,RUN
50,ENA,ERR400386,RUN
51,ENA,ERR400387,RUN
52,ENA,ERR400389,RUN
53,ENA,ERR400390,RUN
54,ENA,ERR400391,RUN
55,ENA,ERR400392,RUN
56,ENA,ERR400393,RUN
57,ENA,ERR400394,RUN
58,ENA,ERR400395,RUN
59,ENA,ERR400396,RUN
60,ENA,ERR400397,RUN
61,ENA,ERR400398,RUN
62,ENA,ERR400399,RUN
63,ENA,ERR400400,RUN
64,ENA,ERR400401,RUN
65,ENA,ERR400402,RUN
66,ENA,ERR400403,RUN
67,ENA,ERR400404,RUN
68,ENA,ERR400405,RUN
69,ENA,ERR400406,RUN
70,ENA,ERR400407,RUN
71,ENA,ERR400408,RUN
72,ENA,ERR400409,RUN
73,ENA,ERR400411,RUN
74,ENA,ERR400413,RUN
75,ENA,ERR400414,RUN
76,ENA,ERR400415,RUN
77,ENA,ERR400416,RUN
78,ENA,ERR400417,RUN
79,ENA,ERR400418,RUN
80,ENA,ERR400419,RUN
81,ENA,ERR400421,RUN
82,ENA,ERR400422,RUN
83,ENA,ERR400423,RUN
84,ENA,ERR400424,RUN
85,ENA,ERR400425,RUN
86,ENA,ERR400426,RUN
87,ENA,ERR400427,RUN
88,ENA,ERR400429,RUN
89,ENA,ERR400430,RUN
90,ENA,ERR400431,RUN
91,ENA,ERR400432,RUN
92,ENA,ERR400433,RUN
93,ENA,ERR400434,RUN
94,ENA,ERR400435,RUN
95,ENA,ERR400436,RUN
96,ENA,ERR400437,RUN
97,ENA,ERR400439,RUN
98,ENA,ERR400440,RUN
99,ENA,ERR400441,RUN
100,ENA,ERR400442,RUN
101,ENA,ERR400443,RUN
102,ENA,ERR400444,RUN
103,ENA,ERR400445,RUN
104,ENA,ERR400446,RUN
105,ENA,ERR400447,RUN
106,ENA,ERR400448,RUN
107,ENA,ERR400449,RUN
108,ENA,ERR400450,RUN
109,ENA,ERR400451,RUN
110,ENA,ERR400452,RUN
111,ENA,ERR400453,RUN
112,ENA,ERR400454,RUN
113,ENA,ERR400455,RUN
114,ENA,ERR400457,RUN
115,ENA,ERR400458,RUN
116,ENA,ERR400459,RUN
117,ENA,ERR400460,RUN
118,ENA,ERR400461,RUN
119,ENA,ERR400462,RUN
120,ENA,ERR400463,RUN
121,ENA,ERR400464,RUN
122,ENA,ERR400465,RUN
123,ENA,ERR400466,RUN
124,ENA,ERR400467,RUN
125,ENA,ERR400468,RUN
126,ENA,ERR400469,RUN
127,ENA,ERR400470,RUN
128,ENA,ERR400471,RUN
129,ENA,ERR400472,RUN
130,ENA,ERR400473,RUN
131,ENA,ERR400474,RUN
132,ENA,ERR400475,RUN
133,ENA,ERR400476,RUN
134,ENA,ERR400477,RUN
135,ENA,ERR400478,RUN
136,ENA,ERR400479,RUN
137,ENA,ERR400480,RUN
138,ENA,ERR400481,RUN
139,ENA,ERR400483,RUN
140,ENA,ERR400487,RUN
141,ENA,ERR400489,RUN
142,ENA,ERR400490,RUN
143,ENA,ERR400491,RUN
144,ENA,ERR400492,RUN
145,ENA,ERR400493,RUN
146,ENA,ERR400494,RUN
147,ENA,ERR400497,RUN
148,ENA,ERR400498,RUN
149,ENA,ERR400500,RUN
150,ENA,ERR400504,RUN
151,ENA,ERR400505,RUN
152,ENA,ERR400506,RUN
153,ENA,ERR400507,RUN
154,ENA,ERR400509,RUN
155,ENA,ERR400510,RUN
156,ENA,ERR400511,RUN
157,ENA,ERR400512,RUN
158,ENA,ERR400513,RUN
159,ENA,ERR400514,RUN
160,ENA,ERR400515,RUN
161,ENA,ERR400516,RUN
162,ENA,ERR400517,RUN
163,ENA,ERR400518,RUN
164,ENA,ERR400519,RUN
165,ENA,ERR400520,RUN
166,ENA,ERR400521,RUN
167,ENA,ERR400522,RUN
168,ENA,ERR400523,RUN
169,ENA,ERR400524,RUN
170,ENA,ERR400525,RUN
171,ENA,ERR400526,RUN
172,ENA,ERR400527,RUN
173,ENA,ERR400528,RUN
174,ENA,ERR400529,RUN
175,ENA,ERR400530,RUN
176,ENA,ERR400531,RUN
177,ENA,ERR400532,RUN
178,ENA,ERR400533,RUN
179,ENA,ERR400534,RUN
