N,Database,Accession,Type
1,NCBI,SRR3050845,RUN
2,NCBI,SRR3050846,RUN
3,NCBI,SRR3050847,RUN
4,NCBI,SRR3050848,RUN
5,NCBI,SRR3050849,RUN
6,NCBI,SRR3050850,RUN
7,NCBI,SRR3050851,RUN
8,NCBI,SRR3050852,RUN
9,NCBI,SRR3050853,RUN
10,NCBI,SRR3050854,RUN
11,NCBI,SRR3050855,RUN
12,NCBI,SRR3050856,RUN
13,NCBI,SRR3050857,RUN
14,NCBI,SRR3050858,RUN
15,NCBI,SRR3050859,RUN
16,NCBI,SRR3050860,RUN
17,NCBI,SRR3050861,RUN
18,NCBI,SRR3050862,RUN
19,NCBI,SRR3050863,RUN
20,NCBI,SRR3050864,RUN
21,NCBI,SRR3050865,RUN
22,NCBI,SRR3050866,RUN
23,NCBI,SRR3050867,RUN
24,NCBI,SRR3050868,RUN
25,NCBI,SRR3050869,RUN
26,NCBI,SRR3050870,RUN
27,NCBI,SRR3050871,RUN
28,NCBI,SRR3050872,RUN
29,NCBI,SRR3050873,RUN
30,NCBI,SRR3050874,RUN
31,NCBI,SRR3050875,RUN
32,NCBI,SRR3050876,RUN
33,NCBI,SRR3050877,RUN
34,NCBI,SRR3050878,RUN
35,NCBI,SRR3050879,RUN
36,NCBI,SRR3050880,RUN
37,NCBI,SRR3050881,RUN
38,NCBI,SRR3050882,RUN
39,NCBI,SRR3050883,RUN
40,NCBI,SRR3050884,RUN
41,NCBI,SRR3050885,RUN
42,NCBI,SRR3050886,RUN
43,NCBI,SRR3050887,RUN
44,NCBI,SRR3050888,RUN
45,NCBI,SRR3050889,RUN
46,NCBI,SRR3050890,RUN
47,NCBI,SRR3050891,RUN
48,NCBI,SRR3050892,RUN
49,NCBI,SRR3050893,RUN
50,NCBI,SRR3050894,RUN
51,NCBI,SRR3050895,RUN
52,NCBI,SRR3050896,RUN
53,NCBI,SRR3050897,RUN
54,NCBI,SRR3050898,RUN
55,NCBI,SRR3050899,RUN
56,NCBI,SRR3050900,RUN
57,NCBI,SRR3050901,RUN
58,NCBI,SRR3050902,RUN
59,NCBI,SRR3050903,RUN
60,NCBI,SRR3050904,RUN
