N,Database,Accession,Type
1,NCBI,SRR3051086,RUN
2,NCBI,SRR3051087,RUN
3,NCBI,SRR3051088,RUN
4,NCBI,SRR3051089,RUN
5,NCBI,SRR3051090,RUN
6,NCBI,SRR3051091,RUN
7,NCBI,SRR3051092,RUN
8,NCBI,SRR3051093,RUN
9,NCBI,SRR3051094,RUN
10,NCBI,SRR3051095,RUN
11,NCBI,SRR3051096,RUN
12,NCBI,SRR3051097,RUN
13,NCBI,SRR3051098,RUN
14,NCBI,SRR3051099,RUN
15,NCBI,SRR3051100,RUN
16,NCBI,SRR3051101,RUN
17,NCBI,SRR3051102,RUN
18,NCBI,SRR3051103,RUN
19,NCBI,SRR3051104,RUN
20,NCBI,SRR3051105,RUN
21,NCBI,SRR3051106,RUN
22,NCBI,SRR3051107,RUN
23,NCBI,SRR3051108,RUN
24,NCBI,SRR3051109,RUN
25,NCBI,SRR3051110,RUN
26,NCBI,SRR3051111,RUN
27,NCBI,SRR3051112,RUN
28,NCBI,SRR3051113,RUN
29,NCBI,SRR3051114,RUN
30,NCBI,SRR3051115,RUN
31,NCBI,SRR3051116,RUN
32,NCBI,SRR3051117,RUN
33,NCBI,SRR3051118,RUN
34,NCBI,SRR3051119,RUN
35,NCBI,SRR3051120,RUN
36,NCBI,SRR3051121,RUN
37,NCBI,SRR3051122,RUN
38,NCBI,SRR3051123,RUN
39,NCBI,SRR3051124,RUN
40,NCBI,SRR3051125,RUN
41,NCBI,SRR3051126,RUN
42,NCBI,SRR3051127,RUN
43,NCBI,SRR3051128,RUN
44,NCBI,SRR3051129,RUN
45,NCBI,SRR3051130,RUN
46,NCBI,SRR3051131,RUN
47,NCBI,SRR3051132,RUN
48,NCBI,SRR3051133,RUN
49,NCBI,SRR3051134,RUN
50,NCBI,SRR3051135,RUN
51,NCBI,SRR3051136,RUN
52,NCBI,SRR3051137,RUN
53,NCBI,SRR3051138,RUN
54,NCBI,SRR3051139,RUN
55,NCBI,SRR3051140,RUN
56,NCBI,SRR3051141,RUN
57,NCBI,SRR3051142,RUN
58,NCBI,SRR3051143,RUN
59,NCBI,SRR3051144,RUN
60,NCBI,SRR3051145,RUN
61,NCBI,SRR3051146,RUN
62,NCBI,SRR3051147,RUN
63,NCBI,SRR3051148,RUN
64,NCBI,SRR3051149,RUN
65,NCBI,SRR3051150,RUN
66,NCBI,SRR3051151,RUN
67,NCBI,SRR3051152,RUN
68,NCBI,SRR3051153,RUN
69,NCBI,SRR3051154,RUN
70,NCBI,SRR3051155,RUN
71,NCBI,SRR3051156,RUN
72,NCBI,SRR3051157,RUN
73,NCBI,SRR3051158,RUN
74,NCBI,SRR3051159,RUN
75,NCBI,SRR3051160,RUN
76,NCBI,SRR3051161,RUN
77,NCBI,SRR3051162,RUN
78,NCBI,SRR3051163,RUN
79,NCBI,SRR3051164,RUN
80,NCBI,SRR3051165,RUN
81,NCBI,SRR3051166,RUN
82,NCBI,SRR3051167,RUN
83,NCBI,SRR3051168,RUN
84,NCBI,SRR3051169,RUN
85,NCBI,SRR3051170,RUN
86,NCBI,SRR3051171,RUN
87,NCBI,SRR3051172,RUN
88,NCBI,SRR3051173,RUN
89,NCBI,SRR3051174,RUN
90,NCBI,SRR3051175,RUN
91,NCBI,SRR3051176,RUN
92,NCBI,SRR3051177,RUN
93,NCBI,SRR3051178,RUN
94,NCBI,SRR3051179,RUN
95,NCBI,SRR3051180,RUN
96,NCBI,SRR3051181,RUN
97,NCBI,SRR3051182,RUN
98,NCBI,SRR3051183,RUN
99,NCBI,SRR3051184,RUN
100,NCBI,SRR3051185,RUN
101,NCBI,SRR3051186,RUN
