N,Database,Accession,Type
1,NCBI,SRR5470347,RUN
2,NCBI,SRR5470266,RUN
3,NCBI,SRR5470265,RUN
4,NCBI,SRR5470264,RUN
5,NCBI,SRR5470263,RUN
6,NCBI,SRR5470252,RUN
7,NCBI,SRR5470250,RUN
8,NCBI,SRR5470249,RUN
9,NCBI,SRR5470248,RUN
10,NCBI,SRR5470247,RUN
11,NCBI,SRR5470246,RUN
12,NCBI,SRR5470245,RUN
13,NCBI,SRR5470244,RUN
14,NCBI,SRR5470242,RUN
15,NCBI,SRR5470241,RUN
16,NCBI,SRR5470240,RUN
17,NCBI,SRR5470239,RUN
18,NCBI,SRR5470237,RUN
19,NCBI,SRR5470236,RUN
20,NCBI,SRR5470235,RUN
21,NCBI,SRR5470234,RUN
22,NCBI,SRR5470233,RUN
23,NCBI,SRR5470232,RUN
24,NCBI,SRR5470231,RUN
25,NCBI,SRR5470230,RUN
26,NCBI,SRR5470229,RUN
27,NCBI,SRR5470227,RUN
28,NCBI,SRR5470226,RUN
29,NCBI,SRR5470225,RUN
30,NCBI,SRR5470224,RUN
31,NCBI,SRR5470222,RUN
32,NCBI,SRR5470221,RUN
33,NCBI,SRR5470220,RUN
34,NCBI,SRR5470219,RUN
35,NCBI,SRR5470218,RUN
36,NCBI,SRR5470217,RUN
37,NCBI,SRR5470216,RUN
38,NCBI,SRR5470215,RUN
39,NCBI,SRR5470166,RUN
40,NCBI,SRR5470165,RUN
41,NCBI,SRR5470164,RUN
42,NCBI,SRR5470162,RUN
43,NCBI,SRR5470161,RUN
44,NCBI,SRR5470160,RUN
45,NCBI,SRR5470159,RUN
46,NCBI,SRR5470158,RUN
47,NCBI,SRR5470157,RUN
48,NCBI,SRR5470155,RUN
49,NCBI,SRR5470154,RUN
50,NCBI,SRR5035021,RUN
51,NCBI,SRR5035015,RUN
52,NCBI,SRR5035009,RUN
53,NCBI,SRR5034998,RUN
54,NCBI,SRR5034997,RUN
55,NCBI,SRR5034997,RUN
56,NCBI,SRR5034994,RUN
57,NCBI,SRR5034981,RUN
58,NCBI,SRR5031195,RUN
59,NCBI,SRR5031167,RUN
60,NCBI,SRR5030830,RUN
61,NCBI,SRR5030812,RUN
62,NCBI,SRR5030794,RUN
63,NCBI,SRR5030787,RUN
64,NCBI,SRR5024249,RUN
65,NCBI,SRR5024242,RUN
66,NCBI,SRR5024242,RUN
67,NCBI,SRR5024189,RUN
68,NCBI,SRR5023954,RUN
69,NCBI,SRR5023893,RUN
70,NCBI,SRR5018318,RUN
71,NCBI,SRR5006410,RUN
72,NCBI,SRR5006351,RUN
73,NCBI,SRR5006351,RUN
74,NCBI,SRR5005541,RUN
75,NCBI,SRR5005419,RUN
76,NCBI,SRR5005419,RUN
77,NCBI,SRR4897829,RUN
78,NCBI,SRR4897754,RUN
79,NCBI,SRR4897740,RUN
80,NCBI,SRR4897696,RUN
81,NCBI,SRR4897691,RUN
82,NCBI,SRR4897658,RUN
83,NCBI,SRR4897658,RUN
84,NCBI,SRR4897325,RUN
85,NCBI,SRR4897325,RUN
86,NCBI,SRR4897286,RUN
87,NCBI,SRR4897286,RUN
88,NCBI,SRR4897128,RUN
89,NCBI,SRR4897052,RUN
90,NCBI,SRR4788322,RUN
91,NCBI,SRR4788322,RUN
92,NCBI,SRR4788299,RUN
93,NCBI,SRR4788224,RUN
94,NCBI,SRR4788224,RUN
95,NCBI,SRR4788201,RUN
96,NCBI,SRR4788162,RUN
97,NCBI,SRR4788122,RUN
98,NCBI,SRR4788122,RUN
99,NCBI,SRR4787797,RUN
100,NCBI,SRR4787774,RUN
101,NCBI,SRR4787770,RUN
102,NCBI,SRR4787298,RUN
103,NCBI,SRR4787196,RUN
104,NCBI,SRR4787196,RUN
105,NCBI,SRR4787165,RUN
106,NCBI,SRR4184844,RUN
107,NCBI,SRR3581398,RUN
108,NCBI,SRR3581397,RUN
109,NCBI,SRR3581393,RUN
110,NCBI,SRR3581362,RUN
111,NCBI,SRR3579381,RUN
112,NCBI,SRR3579302,RUN
113,NCBI,SRR3579204,RUN
114,NCBI,SRR3578958,RUN
115,NCBI,SRR3578948,RUN
116,NCBI,SRR3578937,RUN
117,NCBI,SRR3578934,RUN
118,NCBI,SRR3578918,RUN
119,NCBI,SRR3578911,RUN
120,NCBI,SRR3578910,RUN
121,NCBI,SRR3578796,RUN
122,NCBI,SRR3578792,RUN
123,NCBI,SRR3578766,RUN
124,NCBI,SRR3578667,RUN
125,NCBI,SRR3578662,RUN
126,NCBI,SRR3578658,RUN
127,NCBI,SRR3578644,RUN
128,NCBI,SRR3578644,RUN
129,NCBI,SRR3578628,RUN
130,NCBI,SRR3578627,RUN
131,NCBI,SRR3578615,RUN
132,NCBI,SRR3578613,RUN
133,NCBI,SRR3578602,RUN
134,NCBI,SRR3578158,RUN
135,NCBI,SRR3574337,RUN
136,NCBI,SRR3574331,RUN
137,NCBI,SRR3574317,RUN
138,NCBI,SRR3574315,RUN
139,NCBI,SRR3574310,RUN
140,NCBI,SRR3574308,RUN
141,NCBI,SRR3574300,RUN
142,NCBI,SRR3574284,RUN
143,NCBI,SRR3574280,RUN
144,NCBI,SRR3574271,RUN
145,NCBI,SRR3574255,RUN
146,NCBI,SRR3574249,RUN
147,NCBI,SRR3574247,RUN
148,NCBI,SRR3574244,RUN
149,NCBI,SRR3574232,RUN
150,NCBI,SRR3574231,RUN
151,NCBI,SRR3574028,RUN
152,NCBI,SRR3574027,RUN
