N,Database,Accession,Type
1,NCBI,SRR5386858,RUN
2,NCBI,SRR5386458,RUN
3,NCBI,SRR5386457,RUN
4,NCBI,SRR5386456,RUN
5,NCBI,SRR5386454,RUN
6,NCBI,SRR5386452,RUN
7,NCBI,SRR5386449,RUN
8,NCBI,SRR5386448,RUN
9,NCBI,SRR5386442,RUN
10,NCBI,SRR5386441,RUN
11,NCBI,SRR5386440,RUN
12,NCBI,SRR5386439,RUN
13,NCBI,SRR5386438,RUN
14,NCBI,SRR5386437,RUN
15,NCBI,SRR5386436,RUN
16,NCBI,SRR5386433,RUN
17,NCBI,SRR5386432,RUN
18,NCBI,SRR5386431,RUN
19,NCBI,SRR5386430,RUN
20,NCBI,SRR5386429,RUN
21,NCBI,SRR5386427,RUN
22,NCBI,SRR5386425,RUN
23,NCBI,SRR5386424,RUN
24,NCBI,SRR5386423,RUN
25,NCBI,SRR5386422,RUN
26,NCBI,SRR5386421,RUN
27,NCBI,SRR5386420,RUN
28,NCBI,SRR5386418,RUN
29,NCBI,SRR5386417,RUN
30,NCBI,SRR5386416,RUN
31,NCBI,SRR5386413,RUN
32,NCBI,SRR5386412,RUN
33,NCBI,SRR5386411,RUN
34,NCBI,SRR5386410,RUN
35,NCBI,SRR5386409,RUN
36,NCBI,SRR5386408,RUN
37,NCBI,SRR5386407,RUN
38,NCBI,SRR5386406,RUN
39,NCBI,SRR5386405,RUN
40,NCBI,SRR5386404,RUN
41,NCBI,SRR5386401,RUN
42,NCBI,SRR5386399,RUN
43,NCBI,SRR5386398,RUN
44,NCBI,SRR5386397,RUN
45,NCBI,SRR5386395,RUN
46,NCBI,SRR5386394,RUN
47,NCBI,SRR5386393,RUN
48,NCBI,SRR5386392,RUN
49,NCBI,SRR5386391,RUN
50,NCBI,SRR5386390,RUN
51,NCBI,SRR5386389,RUN
52,NCBI,SRR5386388,RUN
53,NCBI,SRR5386387,RUN
54,NCBI,SRR5386386,RUN
55,NCBI,SRR5386383,RUN
56,NCBI,SRR5386381,RUN
57,NCBI,SRR5386380,RUN
58,NCBI,SRR5386378,RUN
59,NCBI,SRR5386377,RUN
60,NCBI,SRR5386376,RUN
61,NCBI,SRR5386375,RUN
62,NCBI,SRR5386373,RUN
63,NCBI,SRR5386372,RUN
64,NCBI,SRR5386371,RUN
65,NCBI,SRR5386370,RUN
66,NCBI,SRR5386369,RUN
67,NCBI,SRR5386368,RUN
68,NCBI,SRR5386367,RUN
69,NCBI,SRR5386366,RUN
70,NCBI,SRR5386365,RUN
71,NCBI,SRR5386364,RUN
72,NCBI,SRR5386363,RUN
73,NCBI,SRR5386362,RUN
74,NCBI,SRR5386361,RUN
75,NCBI,SRR5386359,RUN
76,NCBI,SRR5386358,RUN
77,NCBI,SRR5386357,RUN
78,NCBI,SRR5386355,RUN
79,NCBI,SRR5386354,RUN
80,NCBI,SRR5386353,RUN
81,NCBI,SRR5386352,RUN
82,NCBI,SRR5386351,RUN
83,NCBI,SRR5386350,RUN
84,NCBI,SRR5386349,RUN
85,NCBI,SRR5386347,RUN
86,NCBI,SRR5386346,RUN
87,NCBI,SRR5386345,RUN
88,NCBI,SRR5386344,RUN
89,NCBI,SRR5386343,RUN
90,NCBI,SRR5386342,RUN
91,NCBI,SRR5386341,RUN
92,NCBI,SRR5386340,RUN
93,NCBI,SRR5386339,RUN
94,NCBI,SRR5386338,RUN
95,NCBI,SRR5386337,RUN
96,NCBI,SRR5386336,RUN
97,NCBI,SRR5386335,RUN
98,NCBI,SRR5386334,RUN
99,NCBI,SRR5386332,RUN
100,NCBI,SRR5386331,RUN
101,NCBI,SRR5386330,RUN
102,NCBI,SRR5386329,RUN
103,NCBI,SRR5386328,RUN
104,NCBI,SRR5386327,RUN
105,NCBI,SRR5386326,RUN
106,NCBI,SRR5386325,RUN
107,NCBI,SRR5386324,RUN
108,NCBI,SRR5386323,RUN
109,NCBI,SRR5386322,RUN
110,NCBI,SRR5386319,RUN
111,NCBI,SRR5386317,RUN
112,NCBI,SRR5386315,RUN
113,NCBI,SRR5386314,RUN
114,NCBI,SRR5386313,RUN
115,NCBI,SRR5386312,RUN
116,NCBI,SRR5386311,RUN
117,NCBI,SRR5386310,RUN
118,NCBI,SRR5386309,RUN
119,NCBI,SRR5386307,RUN
120,NCBI,SRR5386306,RUN
121,NCBI,SRR5386305,RUN
122,NCBI,SRR5386304,RUN
123,NCBI,SRR5386303,RUN
124,NCBI,SRR5386302,RUN
125,NCBI,SRR5386301,RUN
126,NCBI,SRR5386300,RUN
127,NCBI,SRR5386299,RUN
128,NCBI,SRR5386298,RUN
129,NCBI,SRR5386297,RUN
130,NCBI,SRR5386295,RUN
131,NCBI,SRR5386291,RUN
132,NCBI,SRR5386290,RUN
133,NCBI,SRR5386289,RUN
134,NCBI,SRR5386287,RUN
135,NCBI,SRR5386286,RUN
136,NCBI,SRR5386284,RUN
137,NCBI,SRR5386283,RUN
138,NCBI,SRR5386282,RUN
139,NCBI,SRR5386281,RUN
140,NCBI,SRR5386280,RUN
141,NCBI,SRR5386277,RUN
142,NCBI,SRR5386276,RUN
143,NCBI,SRR5386275,RUN
144,NCBI,SRR5386274,RUN
145,NCBI,SRR5386273,RUN
146,NCBI,SRR5386272,RUN
147,NCBI,SRR5386271,RUN
148,NCBI,SRR5386269,RUN
149,NCBI,SRR5386268,RUN
150,NCBI,SRR5386267,RUN
151,NCBI,SRR5386266,RUN
152,NCBI,SRR5386265,RUN
153,NCBI,SRR5386262,RUN
154,NCBI,SRR5386261,RUN
155,NCBI,SRR5386260,RUN
156,NCBI,SRR5386259,RUN
157,NCBI,SRR5386258,RUN
158,NCBI,SRR5386257,RUN
159,NCBI,SRR5386256,RUN
160,NCBI,SRR5386255,RUN
161,NCBI,SRR5386254,RUN
162,NCBI,SRR5386252,RUN
163,NCBI,SRR5386251,RUN
164,NCBI,SRR5386250,RUN
165,NCBI,SRR5386248,RUN
166,NCBI,SRR5386245,RUN
167,NCBI,SRR5386243,RUN
168,NCBI,SRR5386242,RUN
169,NCBI,SRR5386241,RUN
170,NCBI,SRR5386240,RUN
171,NCBI,SRR5386236,RUN
172,NCBI,SRR5386234,RUN
173,NCBI,SRR5386233,RUN
174,NCBI,SRR5386232,RUN
175,NCBI,SRR5386231,RUN
176,NCBI,SRR5386230,RUN
177,NCBI,SRR5386228,RUN
178,NCBI,SRR5386227,RUN
179,NCBI,SRR5386226,RUN
180,NCBI,SRR5386225,RUN
181,NCBI,SRR5386224,RUN
182,NCBI,SRR5386223,RUN
183,NCBI,SRR5386222,RUN
184,NCBI,SRR5386221,RUN
185,NCBI,SRR5386220,RUN
186,NCBI,SRR5386219,RUN
187,NCBI,SRR5386217,RUN
188,NCBI,SRR5386216,RUN
189,NCBI,SRR5386215,RUN
190,NCBI,SRR5386213,RUN
191,NCBI,SRR5386212,RUN
192,NCBI,SRR5386211,RUN
193,NCBI,SRR5386210,RUN
194,NCBI,SRR5386207,RUN
195,NCBI,SRR5386205,RUN
196,NCBI,SRR5386204,RUN
197,NCBI,SRR5386203,RUN
198,NCBI,SRR5386202,RUN
199,NCBI,SRR5386201,RUN
200,NCBI,SRR5386200,RUN
201,NCBI,SRR5386199,RUN
202,NCBI,SRR5386198,RUN
203,NCBI,SRR5386197,RUN
204,NCBI,SRR5386196,RUN
205,NCBI,SRR5386195,RUN
206,NCBI,SRR5386194,RUN
207,NCBI,SRR5386193,RUN
208,NCBI,SRR5386192,RUN
209,NCBI,SRR5386191,RUN
210,NCBI,SRR5386190,RUN
211,NCBI,SRR5386189,RUN
212,NCBI,SRR5386185,RUN
213,NCBI,SRR5386183,RUN
214,NCBI,SRR5386182,RUN
215,NCBI,SRR5386180,RUN
216,NCBI,SRR5386179,RUN
217,NCBI,SRR5386178,RUN
218,NCBI,SRR5386177,RUN
219,NCBI,SRR5386176,RUN
220,NCBI,SRR5386174,RUN
221,NCBI,SRR5386172,RUN
222,NCBI,SRR5386170,RUN
223,NCBI,SRR5386168,RUN
224,NCBI,SRR5386167,RUN
225,NCBI,SRR5386165,RUN
226,NCBI,SRR5386164,RUN
227,NCBI,SRR5386163,RUN
228,NCBI,SRR5386161,RUN
229,NCBI,SRR5386160,RUN
230,NCBI,SRR5385537,RUN
231,NCBI,SRR5385536,RUN
232,NCBI,SRR5385535,RUN
233,NCBI,SRR5385534,RUN
234,NCBI,SRR5385533,RUN
235,NCBI,SRR5385532,RUN
236,NCBI,SRR5385530,RUN
237,NCBI,SRR5385529,RUN
238,NCBI,SRR5385528,RUN
239,NCBI,SRR5385527,RUN
240,NCBI,SRR5385526,RUN
241,NCBI,SRR5385525,RUN
242,NCBI,SRR5385524,RUN
243,NCBI,SRR5385522,RUN
244,NCBI,SRR5385521,RUN
245,NCBI,SRR5385520,RUN
246,NCBI,SRR5385519,RUN
247,NCBI,SRR5385518,RUN
248,NCBI,SRR5385517,RUN
249,NCBI,SRR5385516,RUN
250,NCBI,SRR5385514,RUN
251,NCBI,SRR5385513,RUN
252,NCBI,SRR5385512,RUN
253,NCBI,SRR5385511,RUN
254,NCBI,SRR5385510,RUN
255,NCBI,SRR5385509,RUN
256,NCBI,SRR5385508,RUN
257,NCBI,SRR5385506,RUN
258,NCBI,SRR5385505,RUN
259,NCBI,SRR5385504,RUN
260,NCBI,SRR5385503,RUN
261,NCBI,SRR5385502,RUN
262,NCBI,SRR5385500,RUN
263,NCBI,SRR5385499,RUN
264,NCBI,SRR5385498,RUN
265,NCBI,SRR5385497,RUN
266,NCBI,SRR5385496,RUN
267,NCBI,SRR5385494,RUN
268,NCBI,SRR5385493,RUN
269,NCBI,SRR5385492,RUN
270,NCBI,SRR5385490,RUN
271,NCBI,SRR5385489,RUN
272,NCBI,SRR5385488,RUN
273,NCBI,SRR5385487,RUN
274,NCBI,SRR5385486,RUN
275,NCBI,SRR5385485,RUN
276,NCBI,SRR5385482,RUN
277,NCBI,SRR5385481,RUN
278,NCBI,SRR5385480,RUN
279,NCBI,SRR5385478,RUN
280,NCBI,SRR5385477,RUN
281,NCBI,SRR5385476,RUN
282,NCBI,SRR5385475,RUN
283,NCBI,SRR5385473,RUN
284,NCBI,SRR5385472,RUN
285,NCBI,SRR5385469,RUN
286,NCBI,SRR5385467,RUN
287,NCBI,SRR5385466,RUN
288,NCBI,SRR5385465,RUN
289,NCBI,SRR5385464,RUN
290,NCBI,SRR5385463,RUN
291,NCBI,SRR5385462,RUN
292,NCBI,SRR5385461,RUN
293,NCBI,SRR5385460,RUN
294,NCBI,SRR5385459,RUN
295,NCBI,SRR5385458,RUN
296,NCBI,SRR5385457,RUN
297,NCBI,SRR5385456,RUN
298,NCBI,SRR5385454,RUN
299,NCBI,SRR5385453,RUN
300,NCBI,SRR5385452,RUN
301,NCBI,SRR5385450,RUN
302,NCBI,SRR5385448,RUN
303,NCBI,SRR5385446,RUN
304,NCBI,SRR5385444,RUN
305,NCBI,SRR5385443,RUN
306,NCBI,SRR5385442,RUN
307,NCBI,SRR5385440,RUN
308,NCBI,SRR5385438,RUN
