N,Database,Accession,Type
1,NCBI,SRR3295894,RUN
2,NCBI,SRR3295677,RUN
3,NCBI,SRR3295678,RUN
4,NCBI,SRR3295680,RUN
5,NCBI,SRR3295679,RUN
6,NCBI,SRR3295681,RUN
7,NCBI,SRR3295682,RUN
8,NCBI,SRR3295683,RUN
9,NCBI,SRR3295684,RUN
10,NCBI,SRR3295685,RUN
11,NCBI,SRR3295686,RUN
12,NCBI,SRR3295687,RUN
13,NCBI,SRR3295688,RUN
14,NCBI,SRR3295689,RUN
15,NCBI,SRR3295690,RUN
16,NCBI,SRR3295691,RUN
17,NCBI,SRR3295692,RUN
18,NCBI,SRR3295693,RUN
19,NCBI,SRR3295694,RUN
20,NCBI,SRR3295695,RUN
21,NCBI,SRR3295696,RUN
22,NCBI,SRR3295697,RUN
23,NCBI,SRR3295698,RUN
24,NCBI,SRR3295699,RUN
25,NCBI,SRR3295700,RUN
26,NCBI,SRR3295701,RUN
27,NCBI,SRR3295702,RUN
28,NCBI,SRR3295703,RUN
29,NCBI,SRR3295704,RUN
30,NCBI,SRR3295705,RUN
31,NCBI,SRR3295675,RUN
32,NCBI,SRR3295676,RUN
33,NCBI,SRR3295706,RUN
34,NCBI,SRR3295707,RUN
35,NCBI,SRR3295708,RUN
36,NCBI,SRR3295709,RUN
37,NCBI,SRR3295710,RUN
38,NCBI,SRR3295711,RUN
39,NCBI,SRR3295712,RUN
40,NCBI,SRR2188129,RUN
41,NCBI,SRR2188117,RUN
42,NCBI,SRR2188125,RUN
43,NCBI,SRR2239753,RUN
44,NCBI,SRR2239754,RUN
45,NCBI,SRR2239741,RUN
46,NCBI,SRR2239755,RUN
47,NCBI,SRR2239742,RUN
48,NCBI,SRR2239760,RUN
49,NCBI,SRR2239743,RUN
50,NCBI,SRR2239756,RUN
51,NCBI,SRR2239757,RUN
52,NCBI,SRR2239758,RUN
53,NCBI,SRR2239738,RUN
54,NCBI,SRR2239762,RUN
55,NCBI,SRR3115369,RUN
56,NCBI,SRR3115429,RUN
57,NCBI,SRR2228224,RUN
58,NCBI,SRR2228225,RUN
59,NCBI,SRR2188122,RUN
60,NCBI,SRR2188123,RUN
61,NCBI,SRR2188119,RUN
62,NCBI,SRR2188131,RUN
63,NCBI,SRR2188124,RUN
64,NCBI,SRR2188120,RUN
65,NCBI,SRR2188126,RUN
66,NCBI,SRR2188121,RUN
67,NCBI,SRR2188116,RUN
68,NCBI,SRR2188127,RUN
69,NCBI,SRR3062674,RUN
70,NCBI,SRR3062675,RUN
71,NCBI,SRR3062676,RUN
72,NCBI,SRR3000018,RUN
73,NCBI,SRR3062680,RUN
74,NCBI,SRR3062683,RUN
75,NCBI,SRR3062690,RUN
76,NCBI,SRR3062689,RUN
77,NCBI,SRR3056915,RUN
78,NCBI,SRR3056905,RUN
79,NCBI,SRR3056916,RUN
80,NCBI,SRR3056919,RUN
81,NCBI,SRR3056920,RUN
82,NCBI,SRR3062665,RUN
83,NCBI,SRR3056907,RUN
84,NCBI,SRR3056918,RUN
85,NCBI,SRR3056921,RUN
86,NCBI,SRR3000017,RUN
87,NCBI,SRR3062666,RUN
88,NCBI,SRR3000042,RUN
89,NCBI,SRR3000041,RUN
90,NCBI,SRR3000034,RUN
91,NCBI,SRR2227323,RUN
92,NCBI,SRR2226895,RUN
93,NCBI,SRR2226943,RUN
94,NCBI,SRR2226935,RUN
95,NCBI,SRR2227278,RUN
96,NCBI,SRR2226896,RUN
97,NCBI,SRR2227437,RUN
98,NCBI,SRR2227324,RUN
99,NCBI,SRR2226944,RUN
100,NCBI,SRR2227325,RUN
101,NCBI,SRR2226880,RUN
102,NCBI,SRR2226881,RUN
103,NCBI,SRR2226882,RUN
104,NCBI,SRR2227438,RUN
105,NCBI,SRR2227279,RUN
106,NCBI,SRR2226821,RUN
107,NCBI,SRR2227612,RUN
108,NCBI,SRR2227603,RUN
109,NCBI,SRR2227598,RUN
110,NCBI,SRR2227628,RUN
111,NCBI,SRR2227605,RUN
112,NCBI,SRR2227999,RUN
113,NCBI,SRR3062688,RUN
114,NCBI,SRR2228223,RUN
115,NCBI,SRR3098374,RUN
116,NCBI,SRR3062684,RUN
117,NCBI,SRR3098373,RUN
118,NCBI,SRR3098379,RUN
119,NCBI,SRR3062681,RUN
120,NCBI,SRR3000049,RUN
121,NCBI,SRR3000043,RUN
122,NCBI,SRR3000039,RUN
123,NCBI,SRR3000047,RUN
124,NCBI,SRR3000044,RUN
125,NCBI,SRR3000033,RUN
126,NCBI,SRR2939561,RUN
127,NCBI,SRR3148245,RUN
128,NCBI,SRR3148341,RUN
129,NCBI,SRR3000048,RUN
130,NCBI,SRR3148312,RUN
131,NCBI,SRR3000045,RUN
132,NCBI,SRR3000037,RUN
133,NCBI,SRR3148240,RUN
134,NCBI,SRR3148244,RUN
135,NCBI,SRR3000040,RUN
136,NCBI,SRR3000036,RUN
137,NCBI,SRR2973698,RUN
138,NCBI,SRR2973701,RUN
139,NCBI,SRR2973708,RUN
140,NCBI,SRR2239949,RUN
141,NCBI,SRR2239959,RUN
142,NCBI,SRR3031824,RUN
