N,Database,Accession,Type
1,NA,QZXD00000000,CONTIG
2,NA,QZXX00000000,CONTIG
3,NA,QZXN00000000,CONTIG
4,NA,QZXH00000000,CONTIG
5,NA,QZXO00000000,CONTIG
6,NA,QZXP00000000,CONTIG
7,NA,QZXS00000000,CONTIG
8,NA,QZXT00000000,CONTIG
9,NA,QZXV00000000,CONTIG
10,NA,QZXY00000000,CONTIG
11,NA,QZYK00000000,CONTIG
12,NA,QZXZ00000000,CONTIG
13,NA,QZYA00000000,CONTIG
14,NA,QZYB00000000,CONTIG
15,NA,QZYF00000000,CONTIG
16,NA,QZYV00000000,CONTIG
17,NA,QZYP00000000,CONTIG
18,NA,QZYY00000000,CONTIG
19,NA,QZZB00000000,CONTIG
20,NA,QZZC00000000,CONTIG
21,NA,QZZD00000000,CONTIG
22,NA,QZZK00000000,CONTIG
23,NA,QZZI00000000,CONTIG
24,NA,QZZE00000000,CONTIG
25,NA,QZZL00000000,CONTIG
26,NA,QZZM00000000,CONTIG
27,NA,QZZP00000000,CONTIG
28,NA,QZZO00000000,CONTIG
29,NA,QZZN00000000,CONTIG
30,NA,QZZX00000000,CONTIG
31,NA,RAAE00000000,CONTIG
32,NA,RAAF00000000,CONTIG
33,NA,RAAT00000000,CONTIG
34,NA,RAAN00000000,CONTIG
35,NA,QZXC00000000,CONTIG
36,NA,RAAJ00000000,CONTIG
37,NA,RAAO00000000,CONTIG
38,NA,QZXE00000000,CONTIG
39,NA,QZXJ00000000,CONTIG
40,NA,QZXL00000000,CONTIG
41,NA,QZXF00000000,CONTIG
42,NA,QZXG00000000,CONTIG
43,NA,QZXM00000000,CONTIG
44,NA,QZXQ00000000,CONTIG
45,NA,QZXK00000000,CONTIG
46,NA,QZXU00000000,CONTIG
47,NA,QZXR00000000,CONTIG
48,NA,QZYC00000000,CONTIG
49,NA,QZXW00000000,CONTIG
50,NA,QZYD00000000,CONTIG
51,NA,QZYJ00000000,CONTIG
52,NA,QZYE00000000,CONTIG
53,NA,QZYG00000000,CONTIG
54,NA,QZYH00000000,CONTIG
55,NA,QZYI00000000,CONTIG
56,NA,QZYL00000000,CONTIG
57,NA,QZYM00000000,CONTIG
58,NA,QZYN00000000,CONTIG
59,NA,QZYU00000000,CONTIG
60,NA,QZYO00000000,CONTIG
61,NA,QZYQ00000000,CONTIG
62,NA,QZZR00000000,CONTIG
63,NA,QZYR00000000,CONTIG
64,NA,QZYS00000000,CONTIG
65,NA,QZYT00000000,CONTIG
66,NA,QZYX00000000,CONTIG
67,NA,QZYW00000000,CONTIG
68,NA,QZZA00000000,CONTIG
69,NA,QZYZ00000000,CONTIG
70,NA,QZZG00000000,CONTIG
71,NA,QZZF00000000,CONTIG
72,NA,QZZH00000000,CONTIG
73,NA,QZZJ00000000,CONTIG
74,NA,QZZQ00000000,CONTIG
75,NA,QZZS00000000,CONTIG
76,NA,QZZT00000000,CONTIG
77,NA,QZZU00000000,CONTIG
78,NA,QZZV00000000,CONTIG
79,NA,QZZW00000000,CONTIG
80,NA,QZZY00000000,CONTIG
81,NA,RAAD00000000,CONTIG
82,NA,QZZZ00000000,CONTIG
83,NA,RAAA00000000,CONTIG
84,NA,RAAB00000000,CONTIG
85,NA,RAAC00000000,CONTIG
86,NA,RAAG00000000,CONTIG
87,NA,RAAH00000000,CONTIG
88,NA,RAAK00000000,CONTIG
89,NA,RAAM00000000,CONTIG
90,NA,RAAI00000000,CONTIG
91,NA,RAAL00000000,CONTIG
92,NA,RAAQ00000000,CONTIG
93,NA,RAAR00000000,CONTIG
94,NA,RAAP00000000,CONTIG
95,NA,RAAS00000000,CONTIG
96,NA,RAAY00000000,CONTIG
97,NA,RAAU00000000,CONTIG
98,NA,RAAV00000000,CONTIG
99,NA,RAAX00000000,CONTIG
100,NA,RAAW00000000,CONTIG
101,NA,RAAZ00000000,CONTIG
102,NA,RABA00000000,CONTIG
103,NA,RABB00000000,CONTIG
104,NA,RABD00000000,CONTIG
105,NA,RABF00000000,CONTIG
106,NA,RABC00000000,CONTIG
107,NA,RABE00000000,CONTIG
108,NA,RABG00000000,CONTIG
109,NA,RABI00000000,CONTIG
110,NA,RABH00000000,CONTIG
111,NA,RABJ00000000,CONTIG
112,NA,RABK00000000,CONTIG
113,NA,RABO00000000,CONTIG
114,NA,RABL00000000,CONTIG
115,NA,RABM00000000,CONTIG
116,NA,RABN00000000,CONTIG
117,NA,RABP00000000,CONTIG
118,NA,RABS00000000,CONTIG
119,NA,RABU00000000,CONTIG
120,NA,RABR00000000,CONTIG
121,NA,RABQ00000000,CONTIG
122,NA,RABV00000000,CONTIG
123,NA,RABT00000000,CONTIG
124,NA,RABX00000000,CONTIG
125,NA,RABY00000000,CONTIG
126,NA,RACB00000000,CONTIG
127,NA,RABW00000000,CONTIG
128,NA,RACA00000000,CONTIG
129,NA,RABZ00000000,CONTIG
130,NA,RACH00000000,CONTIG
131,NA,RACC00000000,CONTIG
132,NA,RACD00000000,CONTIG
133,NA,RACE00000000,CONTIG
134,NA,RACG00000000,CONTIG
135,NA,RACF00000000,CONTIG
136,NA,RACI00000000,CONTIG
137,NA,RACK00000000,CONTIG
138,NA,RACL00000000,CONTIG
139,NA,RACM00000000,CONTIG
140,NA,RACN00000000,CONTIG
141,NA,RACP00000000,CONTIG
142,NA,RACV00000000,CONTIG
143,NA,RACO00000000,CONTIG
144,NA,RACQ00000000,CONTIG
145,NA,RACR00000000,CONTIG
146,NA,RACS00000000,CONTIG
147,NA,RACT00000000,CONTIG
148,NA,RACU00000000,CONTIG
149,NA,RACW00000000,CONTIG
150,NA,RACY00000000,CONTIG
151,NA,RADB00000000,CONTIG
152,NA,RACZ00000000,CONTIG
153,NA,RADA00000000,CONTIG
154,NA,RADF00000000,CONTIG
155,NA,RADC00000000,CONTIG
156,NA,RADG00000000,CONTIG
157,NA,RADE00000000,CONTIG
158,NA,RADL00000000,CONTIG
159,NA,RADH00000000,CONTIG
160,NA,RADJ00000000,CONTIG
161,NA,RADI00000000,CONTIG
162,NA,RADK00000000,CONTIG
163,NA,RADO00000000,CONTIG
164,NA,RADM00000000,CONTIG
165,NA,RADP00000000,CONTIG
166,NA,RADN00000000,CONTIG
167,NA,RADQ00000000,CONTIG
168,NA,RADT00000000,CONTIG
169,NA,RADR00000000,CONTIG
170,NA,RADS00000000,CONTIG
171,NA,RADW00000000,CONTIG
172,NA,RADU00000000,CONTIG
173,NA,RADV00000000,CONTIG
174,NA,RAEB00000000,CONTIG
175,NA,RADX00000000,CONTIG
176,NA,RADY00000000,CONTIG
177,NA,RADZ00000000,CONTIG
178,NA,RAEA00000000,CONTIG
179,NA,RAED00000000,CONTIG
180,NA,RAEC00000000,CONTIG
181,NA,RAEF00000000,CONTIG
182,NA,RAEE00000000,CONTIG
183,NA,RAEK00000000,CONTIG
184,NA,RAEG00000000,CONTIG
185,NA,RAEI00000000,CONTIG
186,NA,RAEH00000000,CONTIG
187,NA,RAEL00000000,CONTIG
188,NA,RAEJ00000000,CONTIG
189,NA,RAEN00000000,CONTIG
190,NA,RAEO00000000,CONTIG
191,NA,RAEM00000000,CONTIG
192,NA,RAEP00000000,CONTIG
193,NA,RAEQ00000000,CONTIG
194,NA,RAER00000000,CONTIG
195,NA,RAES00000000,CONTIG
196,NA,RAEV00000000,CONTIG
197,NA,RAET00000000,CONTIG
198,NA,RAEW00000000,CONTIG
199,NA,RAEU00000000,CONTIG
200,NA,RAEZ00000000,CONTIG
201,NA,RAEX00000000,CONTIG
202,NA,RAFA00000000,CONTIG
203,NA,RAEY00000000,CONTIG
204,NA,RAFB00000000,CONTIG
205,NA,RAFC00000000,CONTIG
206,NA,RAFD00000000,CONTIG
207,NA,RAFE00000000,CONTIG
208,NA,RAFF00000000,CONTIG
209,NA,RAFM00000000,CONTIG
210,NA,RAFG00000000,CONTIG
211,NA,RAFG00000000,CONTIG
212,NA,RAFH00000000,CONTIG
213,NA,RAFI00000000,CONTIG
214,NA,RAFJ00000000,CONTIG
215,NA,RAFP00000000,CONTIG
216,NA,RAFK00000000,CONTIG
217,NA,RAFL00000000,CONTIG
218,NA,RAFN00000000,CONTIG
219,NA,RAFO00000000,CONTIG
220,NA,RAFR00000000,CONTIG
221,NA,RAFT00000000,CONTIG
222,NA,RAFQ00000000,CONTIG
223,NA,RAFS00000000,CONTIG
224,NA,RAFY00000000,CONTIG
225,NA,RAFU00000000,CONTIG
226,NA,RAFV00000000,CONTIG
227,NA,RAFW00000000,CONTIG
228,NA,RAFX00000000,CONTIG
229,NA,RAGA00000000,CONTIG
230,NA,RAFZ00000000,CONTIG
231,NA,RAGC00000000,CONTIG
232,NA,RAGB00000000,CONTIG
233,NA,RAGD00000000,CONTIG
234,NA,QZXB00000000,CONTIG
235,NA,QZXI00000000,CONTIG
236,NA,RACX00000000,CONTIG
237,NA,RADD00000000,CONTIG
