N,Database,Accession,Type
1,ENA,ERR191730,RUN
2,ENA,ERR191731,RUN
3,ENA,ERR191732,RUN
4,ENA,ERR191733,RUN
5,ENA,ERR191734,RUN
6,ENA,ERR191735,RUN
7,ENA,ERR191736,RUN
8,ENA,ERR191737,RUN
9,ENA,ERR191738,RUN
10,ENA,ERR191739,RUN
11,ENA,ERR191741,RUN
12,ENA,ERR355924,RUN
13,ENA,ERR191743,RUN
14,ENA,ERR355925,RUN
15,ENA,ERR355926,RUN
16,ENA,ERR191746,RUN
17,ENA,ERR191747,RUN
18,ENA,ERR191748,RUN
19,ENA,ERR191749,RUN
20,ENA,ERR191750,RUN
21,ENA,ERR191751,RUN
22,ENA,ERR191752,RUN
23,ENA,ERR191753,RUN
24,ENA,ERR855225,RUN
25,ENA,ERR191755,RUN
26,ENA,ERR191756,RUN
27,ENA,ERR191757,RUN
28,ENA,ERR855226,RUN
29,ENA,ERR191759,RUN
30,ENA,ERR191760,RUN
31,ENA,ERR191761,RUN
32,ENA,ERR191762,RUN
33,ENA,ERR191763,RUN
34,ENA,ERR191764,RUN
35,ENA,ERR191765,RUN
36,ENA,ERR191766,RUN
37,ENA,ERR191767,RUN
38,ENA,ERR191768,RUN
39,ENA,ERR191769,RUN
40,ENA,ERR191770,RUN
41,ENA,ERR191771,RUN
42,ENA,ERR191772,RUN
43,ENA,ERR191773,RUN
44,ENA,ERR191774,RUN
45,ENA,ERR191775,RUN
46,ENA,ERR191776,RUN
47,ENA,ERR191778,RUN
48,ENA,ERR191779,RUN
49,ENA,ERR191780,RUN
50,ENA,ERR191781,RUN
51,ENA,ERR191782,RUN
52,ENA,ERR191783,RUN
53,ENA,ERR191784,RUN
54,ENA,ERR191785,RUN
55,ENA,ERR191786,RUN
56,ENA,ERR191787,RUN
57,ENA,ERR191788,RUN
58,ENA,ERR191789,RUN
59,ENA,ERR855234,RUN
60,ENA,ERR191791,RUN
61,ENA,ERR191792,RUN
62,ENA,ERR191793,RUN
63,ENA,ERR191794,RUN
64,ENA,ERR191795,RUN
65,ENA,ERR191796,RUN
66,ENA,ERR191797,RUN
67,ENA,ERR191798,RUN
68,ENA,ERR191799,RUN
69,ENA,ERR191800,RUN
70,ENA,ERR191801,RUN
71,ENA,ERR191802,RUN
72,ENA,ERR191803,RUN
73,ENA,ERR191804,RUN
74,ENA,ERR191805,RUN
75,ENA,ERR191806,RUN
76,ENA,ERR191807,RUN
77,ENA,ERR191808,RUN
78,ENA,ERR191809,RUN
79,ENA,ERR191810,RUN
80,ENA,ERR191811,RUN
81,ENA,ERR191812,RUN
82,ENA,ERR191813,RUN
83,ENA,ERR191814,RUN
84,ENA,ERR191815,RUN
85,ENA,ERR191816,RUN
86,ENA,ERR191817,RUN
87,ENA,ERR191818,RUN
88,ENA,ERR191819,RUN
89,ENA,ERR191820,RUN
90,ENA,ERR191821,RUN
91,ENA,ERR191822,RUN
92,ENA,ERR191823,RUN
93,ENA,ERR191824,RUN
94,ENA,ERR191825,RUN
95,ENA,ERR223603,RUN
96,ENA,ERR223604,RUN
97,ENA,ERR223605,RUN
98,ENA,ERR223606,RUN
99,ENA,ERR223607,RUN
100,ENA,ERR223608,RUN
101,ENA,ERR223609,RUN
102,ENA,ERR223610,RUN
103,ENA,ERR223611,RUN
104,ENA,ERR223612,RUN
105,ENA,ERR223613,RUN
106,ENA,ERR223614,RUN
107,ENA,ERR223615,RUN
108,ENA,ERR223616,RUN
109,ENA,ERR223617,RUN
110,ENA,ERR355927,RUN
