N,Database,Accession,Type
1,NCBI,SRR8192163,RUN
2,NCBI,SRR8192162,RUN
3,NCBI,SRR8192161,RUN
4,NCBI,SRR8192160,RUN
5,NCBI,SRR8192167,RUN
6,NCBI,SRR8192166,RUN
7,NCBI,SRR8192165,RUN
8,NCBI,SRR8192217,RUN
9,NCBI,SRR8192194,RUN
10,NCBI,SRR8192169,RUN
11,NCBI,SRR8192173,RUN
12,NCBI,SRR8192172,RUN
13,NCBI,SRR8192175,RUN
14,NCBI,SRR8192174,RUN
15,NCBI,SRR8192177,RUN
16,NCBI,SRR8192176,RUN
17,NCBI,SRR6213606,RUN
18,NCBI,SRR6214463,RUN
19,NCBI,SRR6213552,RUN
20,NCBI,SRR8192168,RUN
21,NCBI,SRR6218728,RUN
22,NCBI,SRR6218726,RUN
23,NCBI,SRR6218732,RUN
24,NCBI,SRR8192179,RUN
25,NCBI,SRR6218723,RUN
26,NCBI,SRR6218676,RUN
27,NCBI,SRR6219410,RUN
28,NCBI,SRR6212378,RUN
29,NCBI,SRR6212377,RUN
30,NCBI,SRR6244077,RUN
31,NCBI,SRR6212331,RUN
32,NCBI,SRR6212332,RUN
33,NCBI,SRR6212315,RUN
34,NCBI,SRR6212313,RUN
35,NCBI,SRR8192178,RUN
36,NCBI,SRR6212581,RUN
37,NCBI,SRR6212572,RUN
38,NCBI,SRR6212566,RUN
39,NCBI,SRR6213019,RUN
40,NCBI,SRR6213020,RUN
41,NCBI,SRR6213018,RUN
42,NCBI,SRR3110505,RUN
43,NCBI,SRR3110504,RUN
44,NCBI,SRR3110503,RUN
45,NCBI,SRR3110502,RUN
46,NCBI,SRR8192181,RUN
47,NCBI,SRR3110482,RUN
48,NCBI,SRR3110483,RUN
49,NCBI,SRR3110484,RUN
51,NCBI,SRR3110486,RUN
53,NCBI,SRR3110488,RUN
55,NCBI,SRR3110490,RUN
56,NCBI,SRR3110491,RUN
57,NCBI,SRR8192180,RUN
58,NCBI,SRR3110492,RUN
59,NCBI,SRR3110493,RUN
60,NCBI,SRR3131114,RUN
61,NCBI,SRR3110495,RUN
62,NCBI,SRR3110489,RUN
64,NCBI,SRR3110514,RUN
65,NCBI,SRR3110515,RUN
66,NCBI,SRR3115211,RUN
67,NCBI,SRR3115204,RUN
68,NCBI,SRR8192199,RUN
69,NCBI,SRR3115205,RUN
70,NCBI,SRR3115208,RUN
71,NCBI,SRR3115209,RUN
72,NCBI,SRR3115220,RUN
73,NCBI,SRR3115212,RUN
74,NCBI,SRR3115203,RUN
75,NCBI,SRR3115214,RUN
76,NCBI,SRR3116195,RUN
77,NCBI,SRR3115215,RUN
78,NCBI,SRR3115216,RUN
79,NCBI,SRR8192200,RUN
80,NCBI,SRR3115217,RUN
81,NCBI,SRR3115219,RUN
82,NCBI,SRR3115213,RUN
83,NCBI,SRR3131115,RUN
84,NCBI,SRR3131116,RUN
85,NCBI,SRR3131117,RUN
86,NCBI,SRR3131118,RUN
87,NCBI,SRR3131119,RUN
89,NCBI,SRR3184152,RUN
90,NCBI,SRR8192201,RUN
93,NCBI,SRR3136820,RUN
94,NCBI,SRR3136822,RUN
95,NCBI,SRR8192202,RUN
96,NCBI,SRR8192195,RUN
97,NCBI,SRR8192196,RUN
98,NCBI,SRR8192197,RUN
99,NCBI,SRR8192198,RUN
100,NCBI,SRR8192207,RUN
101,NCBI,SRR8192208,RUN
102,NCBI,SRR8192183,RUN
103,NCBI,SRR8192182,RUN
104,NCBI,SRR8192216,RUN
105,NCBI,SRR8192214,RUN
106,NCBI,SRR8192187,RUN
107,NCBI,SRR8192186,RUN
108,NCBI,SRR5991646,RUN
109,NCBI,SRR5991562,RUN
110,NCBI,SRR5992055,RUN
111,NCBI,SRR8192164,RUN
112,NCBI,SRR5991577,RUN
113,NCBI,SRR5991659,RUN
114,NCBI,SRR5991575,RUN
115,NCBI,SRR5991558,RUN
116,NCBI,SRR5991560,RUN
117,NCBI,SRR8192185,RUN
118,NCBI,SRR8192184,RUN
119,NCBI,SRR5991561,RUN
120,NCBI,SRR6107938,RUN
121,NCBI,SRR6107916,RUN
122,NCBI,SRR6107646,RUN
123,NCBI,SRR8192157,RUN
124,NCBI,SRR6107972,RUN
125,NCBI,SRR6108791,RUN
126,NCBI,SRR6107920,RUN
127,NCBI,SRR6108608,RUN
128,NCBI,SRR6108690,RUN
129,NCBI,SRR8192191,RUN
130,NCBI,SRR6108786,RUN
131,NCBI,SRR8192190,RUN
132,NCBI,SRR6108692,RUN
133,NCBI,SRR6108695,RUN
134,NCBI,SRR6108793,RUN
135,NCBI,SRR6109132,RUN
136,NCBI,SRR6126862,RUN
137,NCBI,SRR6155646,RUN
138,NCBI,SRR6155505,RUN
139,NCBI,SRR6155522,RUN
140,NCBI,SRR8192209,RUN
141,NCBI,SRR6155341,RUN
142,NCBI,SRR8192158,RUN
143,NCBI,SRR6155542,RUN
144,NCBI,SRR8192156,RUN
145,NCBI,SRR8192188,RUN
146,NCBI,SRR6155643,RUN
147,NCBI,SRR6214464,RUN
148,NCBI,SRR6214461,RUN
149,NCBI,SRR6218729,RUN
150,NCBI,SRR8192193,RUN
151,NCBI,SRR8192210,RUN
152,NCBI,SRR6236663,RUN
153,NCBI,SRR6236867,RUN
154,NCBI,SRR6236597,RUN
155,NCBI,SRR6236511,RUN
156,NCBI,SRR6222324,RUN
157,NCBI,SRR8192211,RUN
158,NCBI,SRR8192212,RUN
159,NCBI,SRR8192213,RUN
160,NCBI,SRR6222308,RUN
161,NCBI,SRR6214462,RUN
162,NCBI,SRR8192159,RUN
163,NCBI,SRR6222323,RUN
164,NCBI,SRR6222171,RUN
165,NCBI,SRR6178898,RUN
166,NCBI,SRR6179213,RUN
167,NCBI,SRR6222126,RUN
168,NCBI,SRR6222166,RUN
169,NCBI,SRR6222167,RUN
170,NCBI,SRR6214457,RUN
171,NCBI,SRR6179215,RUN
172,NCBI,SRR6214453,RUN
173,NCBI,SRR8192189,RUN
174,NCBI,SRR6214449,RUN
175,NCBI,SRR8192205,RUN
176,NCBI,SRR8192206,RUN
177,NCBI,SRR8192203,RUN
178,NCBI,SRR8192204,RUN
179,NCBI,SRR8192192,RUN
180,NCBI,SRR8192215,RUN
181,NCBI,SRR8192170,RUN
