N,Database,Accession,Type
1,ENA,ERR1756426,RUN
2,ENA,ERR1453677,RUN
3,ENA,ERR1453633,RUN
4,ENA,ERR433847,RUN
5,ENA,ERR438992,RUN
6,ENA,ERR1453670,RUN
7,ENA,ERR433854,RUN
8,ENA,ERR884465,RUN
9,ENA,ERR884464,RUN
10,ENA,ERR884376,RUN
11,ENA,ERR884433,RUN
12,ENA,ERR884419,RUN
13,ENA,ERR2090910,RUN
14,ENA,ERR1788236,RUN
15,ENA,ERR1788198,RUN
16,ENA,ERR876689,RUN
17,ENA,ERR884441,RUN
18,ENA,ERR876543,RUN
19,ENA,ERR876501,RUN
20,ENA,ERR876499,RUN
21,ENA,ERR845740,RUN
22,ENA,ERR742562,RUN
23,ENA,ERR742553,RUN
24,ENA,ERR714602,RUN
25,ENA,ERR568724,RUN
26,ENA,ERR433559,RUN
27,ENA,ERR1066293,RUN
28,ENA,ERR433945,RUN
29,ENA,ERR1066270,RUN
30,ENA,ERR570472,RUN
31,ENA,ERR1453728,RUN
32,ENA,ERR1453665,RUN
33,ENA,ERR1214514,RUN
34,ENA,ERR1453561,RUN
35,ENA,ERR1214562,RUN
36,ENA,ERR1214557,RUN
37,ENA,ERR1214671,RUN
38,ENA,ERR1453551,RUN
39,ENA,ERR876613,RUN
40,ENA,ERR2667091,RUN
41,ENA,ERR2091260,RUN
42,ENA,ERR2091076,RUN
43,ENA,ERR2091037,RUN
44,ENA,ERR2090739,RUN
45,ENA,ERR2090892,RUN
46,ENA,ERR2089693,RUN
47,ENA,ERR862305,RUN
48,ENA,ERR1453597,RUN
49,ENA,ERR1453721,RUN
50,ENA,ERR742487,RUN
51,ENA,ERR742460,RUN
52,ENA,ERR2089775,RUN
53,ENA,ERR1453607,RUN
54,ENA,ERR1453581,RUN
55,ENA,ERR1453580,RUN
56,ENA,ERR1453579,RUN
57,ENA,ERR876615,RUN
58,ENA,ERR1453614,RUN
59,ENA,ERR1453573,RUN
60,ENA,ERR1453666,RUN
61,ENA,ERR1453601,RUN
62,ENA,ERR1453768,RUN
63,ENA,ERR1214693,RUN
64,ENA,ERR876612,RUN
65,ENA,ERR876609,RUN
66,ENA,ERR876587,RUN
67,ENA,ERR1214515,RUN
68,ENA,ERR884346,RUN
69,ENA,ERR1453647,RUN
70,ENA,ERR1214563,RUN
71,ENA,ERR1214559,RUN
72,ENA,ERR1214556,RUN
73,ENA,ERR1214659,RUN
74,ENA,ERR1214545,RUN
75,ENA,ERR2667083,RUN
76,ENA,ERR1453611,RUN
77,ENA,ERR1453564,RUN
78,ENA,ERR1788155,RUN
79,ENA,ERR774262,RUN
80,ENA,ERR1422677,RUN
81,ENA,ERR876515,RUN
82,ENA,ERR742582,RUN
83,ENA,ERR742506,RUN
84,ENA,ERR742525,RUN
85,ENA,ERR742484,RUN
86,ENA,ERR742378,RUN
87,ENA,ERR506030,RUN
88,ENA,ERR506013,RUN
89,ENA,ERR449260,RUN
90,ENA,ERR449235,RUN
91,ENA,ERR449206,RUN
92,ENA,ERR433903,RUN
93,ENA,ERR433781,RUN
94,ENA,ERR433614,RUN
95,ENA,ERR433542,RUN
96,ENA,ERR425363,RUN
97,ENA,ERR425406,RUN
98,ENA,ERR433851,RUN
99,ENA,ERR1453703,RUN
100,ENA,ERR876522,RUN
101,ENA,ERR449117,RUN
102,ENA,ERR425433,RUN
103,ENA,ERR425360,RUN
104,ENA,ERR1453618,RUN
105,ENA,ERR1453589,RUN
106,ENA,ERR1214625,RUN
107,ENA,ERR1214652,RUN
108,ENA,ERR1214517,RUN
109,ENA,ERR1453637,RUN
110,ENA,ERR1214526,RUN
111,ENA,ERR876598,RUN
112,ENA,ERR1214631,RUN
113,ENA,ERR1453720,RUN
114,ENA,ERR2090734,RUN
115,ENA,ERR742466,RUN
116,ENA,ERR434002,RUN
117,ENA,ERR1453726,RUN
118,ENA,ERR884454,RUN
119,ENA,ERR884415,RUN
120,ENA,ERR884373,RUN
121,ENA,ERR884459,RUN
122,ENA,ERR884422,RUN
123,ENA,ERR1214516,RUN
124,ENA,ERR2089844,RUN
125,ENA,ERR980355,RUN
126,ENA,ERR730430,RUN
127,ENA,ERR742502,RUN
128,ENA,ERR449247,RUN
129,ENA,ERR449156,RUN
130,ENA,ERR449153,RUN
131,ENA,ERR449151,RUN
132,ENA,ERR449150,RUN
133,ENA,ERR433592,RUN
134,ENA,ERR433586,RUN
135,ENA,ERR425424,RUN
136,ENA,ERR425396,RUN
137,ENA,ERR425394,RUN
138,ENA,ERR1214508,RUN
139,ENA,ERR2090845,RUN
140,ENA,ERR730619,RUN
141,ENA,ERR2091187,RUN
142,ENA,ERR600118,RUN
143,ENA,ERR1214624,RUN
144,ENA,ERR876521,RUN
145,ENA,ERR742405,RUN
146,ENA,ERR505987,RUN
147,ENA,ERR449211,RUN
148,ENA,ERR2090950,RUN
149,ENA,ERR2091102,RUN
150,ENA,ERR2090531,RUN
151,ENA,ERR2089779,RUN
152,ENA,ERR1214509,RUN
153,ENA,ERR1422660,RUN
154,ENA,ERR845749,RUN
155,ENA,ERR751190,RUN
156,ENA,ERR751180,RUN
157,ENA,ERR600134,RUN
158,ENA,ERR449116,RUN
159,ENA,ERR425401,RUN
160,ENA,ERR1422692,RUN
161,ENA,ERR1422686,RUN
162,ENA,ERR845739,RUN
163,ENA,ERR751160,RUN
164,ENA,ERR662444,RUN
165,ENA,ERR501467,RUN
166,ENA,ERR501472,RUN
167,ENA,ERR316799,RUN
168,ENA,ERR501564,RUN
169,ENA,ERR1214686,RUN
170,ENA,ERR876682,RUN
171,ENA,ERR751173,RUN
172,ENA,ERR876538,RUN
173,ENA,ERR662356,RUN
174,ENA,ERR433508,RUN
175,ENA,ERR433934,RUN
176,ENA,ERR1214608,RUN
177,ENA,ERR1453687,RUN
178,ENA,ERR1214690,RUN
179,ENA,ERR505819,RUN
180,ENA,ERR449213,RUN
181,ENA,ERR1788204,RUN
182,ENA,ERR433526,RUN
183,ENA,ERR316653,RUN
184,ENA,ERR1202357,RUN
185,ENA,ERR516647,RUN
186,ENA,ERR501523,RUN
187,ENA,ERR501499,RUN
188,ENA,ERR2090788,RUN
189,ENA,ERR2090591,RUN
190,ENA,ERR600160,RUN
191,ENA,ERR1788464,RUN
192,ENA,ERR1788436,RUN
193,ENA,ERR1788412,RUN
194,ENA,ERR2089543,RUN
195,ENA,ERR2089387,RUN
196,ENA,ERR2089524,RUN
197,ENA,ERR1422589,RUN
198,ENA,ERR1788423,RUN
199,ENA,ERR2089536,RUN
200,ENA,ERR2089411,RUN
201,ENA,ERR1795466,RUN
202,ENA,ERR1788445,RUN
203,ENA,ERR1788437,RUN
204,ENA,ERR1788525,RUN
205,ENA,ERR1788362,RUN
206,ENA,ERR1453740,RUN
207,ENA,ERR433878,RUN
208,ENA,ERR1430844,RUN
209,ENA,ERR1430804,RUN
210,ENA,ERR1214598,RUN
211,ENA,ERR876623,RUN
212,ENA,ERR876555,RUN
213,ENA,ERR2089864,RUN
214,ENA,ERR876494,RUN
215,ENA,ERR449165,RUN
216,ENA,ERR433570,RUN
217,ENA,ERR862434,RUN
218,ENA,ERR862277,RUN
219,ENA,ERR774574,RUN
220,ENA,ERR1422514,RUN
221,ENA,ERR1422511,RUN
222,ENA,ERR1422502,RUN
223,ENA,ERR1422491,RUN
224,ENA,ERR1422464,RUN
225,ENA,ERR505729,RUN
226,ENA,ERR505647,RUN
227,ENA,ERR505534,RUN
228,ENA,ERR433893,RUN
229,ENA,ERR425509,RUN
230,ENA,ERR425506,RUN
231,ENA,ERR1214706,RUN
232,ENA,ERR1214699,RUN
233,ENA,ERR1066358,RUN
234,ENA,ERR1065996,RUN
235,ENA,ERR1065879,RUN
236,ENA,ERR1065493,RUN
237,ENA,ERR1065470,RUN
238,ENA,ERR913504,RUN
239,ENA,ERR900692,RUN
240,ENA,ERR900688,RUN
241,ENA,ERR774474,RUN
242,ENA,ERR774374,RUN
243,ENA,ERR774342,RUN
244,ENA,ERR774338,RUN
245,ENA,ERR774323,RUN
246,ENA,ERR774314,RUN
247,ENA,ERR774011,RUN
248,ENA,ERR773992,RUN
249,ENA,ERR773955,RUN
250,ENA,ERR773923,RUN
251,ENA,ERR773874,RUN
252,ENA,ERR730842,RUN
253,ENA,ERR730834,RUN
254,ENA,ERR730750,RUN
255,ENA,ERR730735,RUN
256,ENA,ERR730711,RUN
257,ENA,ERR730692,RUN
258,ENA,ERR730641,RUN
259,ENA,ERR714613,RUN
260,ENA,ERR714535,RUN
261,ENA,ERR714443,RUN
262,ENA,ERR701832,RUN
263,ENA,ERR646559,RUN
264,ENA,ERR633093,RUN
265,ENA,ERR632997,RUN
266,ENA,ERR632985,RUN
267,ENA,ERR600584,RUN
268,ENA,ERR600577,RUN
269,ENA,ERR600560,RUN
270,ENA,ERR600407,RUN
271,ENA,ERR600389,RUN
272,ENA,ERR632908,RUN
273,ENA,ERR570391,RUN
274,ENA,ERR568685,RUN
275,ENA,ERR568521,RUN
276,ENA,ERR505896,RUN
277,ENA,ERR505924,RUN
278,ENA,ERR490776,RUN
279,ENA,ERR490709,RUN
280,ENA,ERR490753,RUN
281,ENA,ERR490748,RUN
282,ENA,ERR490744,RUN
283,ENA,ERR490740,RUN
284,ENA,ERR884366,RUN
285,ENA,ERR742499,RUN
286,ENA,ERR870273,RUN
287,ENA,ERR980087,RUN
288,ENA,ERR742620,RUN
289,ENA,ERR2090736,RUN
290,ENA,ERR2089457,RUN
291,ENA,ERR1788270,RUN
292,ENA,ERR1422690,RUN
293,ENA,ERR742588,RUN
294,ENA,ERR742567,RUN
295,ENA,ERR742537,RUN
296,ENA,ERR742393,RUN
297,ENA,ERR662431,RUN
298,ENA,ERR662368,RUN
299,ENA,ERR600276,RUN
300,ENA,ERR460207,RUN
301,ENA,ERR449147,RUN
302,ENA,ERR1788162,RUN
303,ENA,ERR2091183,RUN
304,ENA,ERR2091144,RUN
305,ENA,ERR2091283,RUN
306,ENA,ERR2090756,RUN
307,ENA,ERR2089701,RUN
308,ENA,ERR2089786,RUN
309,ENA,ERR2089730,RUN
310,ENA,ERR2090858,RUN
311,ENA,ERR2090702,RUN
312,ENA,ERR449214,RUN
313,ENA,ERR1065860,RUN
314,ENA,ERR1065353,RUN
315,ENA,ERR1065127,RUN
316,ENA,ERR908852,RUN
317,ENA,ERR774041,RUN
318,ENA,ERR633022,RUN
319,ENA,ERR632964,RUN
320,ENA,ERR884385,RUN
321,ENA,ERR1422612,RUN
322,ENA,ERR1422518,RUN
323,ENA,ERR568764,RUN
324,ENA,ERR425504,RUN
325,ENA,ERR980337,RUN
326,ENA,ERR980279,RUN
327,ENA,ERR980009,RUN
328,ENA,ERR979984,RUN
329,ENA,ERR1192097,RUN
330,ENA,ERR997639,RUN
331,ENA,ERR997558,RUN
332,ENA,ERR997528,RUN
333,ENA,ERR997486,RUN
334,ENA,ERR997485,RUN
335,ENA,ERR997471,RUN
336,ENA,ERR870314,RUN
337,ENA,ERR714214,RUN
338,ENA,ERR997469,RUN
339,ENA,ERR913305,RUN
340,ENA,ERR913297,RUN
341,ENA,ERR913294,RUN
342,ENA,ERR913291,RUN
343,ENA,ERR913260,RUN
344,ENA,ERR913199,RUN
345,ENA,ERR913154,RUN
346,ENA,ERR913168,RUN
347,ENA,ERR870183,RUN
348,ENA,ERR870053,RUN
349,ENA,ERR862316,RUN
350,ENA,ERR730323,RUN
351,ENA,ERR730255,RUN
352,ENA,ERR714180,RUN
353,ENA,ERR1540704,RUN
354,ENA,ERR1430832,RUN
355,ENA,ERR980027,RUN
356,ENA,ERR600274,RUN
357,ENA,ERR1214414,RUN
358,ENA,ERR1214387,RUN
359,ENA,ERR979957,RUN
