N,Database,Accession,Type
1,NCBI,SRR7296770,RUN
2,NCBI,SRR7296777,RUN
3,NCBI,SRR7296778,RUN
4,NCBI,SRR7296779,RUN
5,NCBI,SRR7296780,RUN
6,NCBI,SRR7296781,RUN
7,NCBI,SRR7296782,RUN
8,NCBI,SRR7296783,RUN
9,NCBI,SRR7296784,RUN
10,NCBI,SRR7296795,RUN
11,NCBI,SRR7296807,RUN
12,NCBI,SRR7296808,RUN
13,NCBI,SRR7296813,RUN
14,NCBI,SRR7296837,RUN
15,NCBI,SRR7296907,RUN
16,NCBI,SRR7296908,RUN
17,NCBI,SRR7296909,RUN
18,NCBI,SRR7296922,RUN
19,NCBI,SRR7296923,RUN
20,NCBI,SRR7296925,RUN
21,NCBI,SRR7296926,RUN
22,NCBI,SRR7296927,RUN
23,NCBI,SRR7296933,RUN
24,NCBI,SRR7296936,RUN
25,NCBI,SRR7296939,RUN
26,NCBI,SRR7296940,RUN
27,NCBI,SRR7296941,RUN
28,NCBI,SRR7296975,RUN
29,NCBI,SRR7297022,RUN
30,NCBI,SRR7297023,RUN
31,NCBI,SRR7297024,RUN
32,NCBI,SRR7297025,RUN
33,NCBI,SRR7297027,RUN
34,NCBI,SRR7297028,RUN
35,NCBI,SRR7297029,RUN
36,NCBI,SRR7297030,RUN
37,NCBI,SRR7297031,RUN
38,NCBI,SRR7297032,RUN
39,NCBI,SRR7297033,RUN
40,NCBI,SRR7297034,RUN
41,NCBI,SRR7297035,RUN
42,NCBI,SRR7297037,RUN
43,NCBI,SRR7297046,RUN
44,NCBI,SRR7297059,RUN
45,NCBI,SRR7297060,RUN
46,NCBI,SRR7297062,RUN
47,NCBI,SRR7297116,RUN
48,NCBI,SRR7297133,RUN
49,NCBI,SRR7297148,RUN
50,NCBI,SRR7297180,RUN
51,NCBI,SRR7297192,RUN
52,NCBI,SRR7297193,RUN
53,NCBI,SRR7297196,RUN
54,NCBI,SRR7297197,RUN
55,NCBI,SRR7297198,RUN
56,NCBI,SRR7297199,RUN
57,NCBI,SRR7297200,RUN
58,NCBI,SRR7297202,RUN
59,NCBI,SRR7297203,RUN
60,NCBI,SRR7297222,RUN
61,NCBI,SRR7297236,RUN
62,NCBI,SRR7297278,RUN
63,NCBI,SRR7297279,RUN
64,NCBI,SRR7297280,RUN
65,NCBI,SRR7297281,RUN
66,NCBI,SRR7297282,RUN
67,NCBI,SRR7297283,RUN
68,NCBI,SRR7297295,RUN
69,NCBI,SRR7297307,RUN
70,NCBI,SRR7297321,RUN
71,NCBI,SRR7297334,RUN
72,NCBI,SRR7297335,RUN
73,NCBI,SRR7297399,RUN
74,NCBI,SRR7297414,RUN
75,NCBI,SRR7297509,RUN
76,NCBI,SRR7297510,RUN
77,NCBI,SRR7297511,RUN
78,NCBI,SRR7297512,RUN
79,NCBI,SRR7297513,RUN
80,NCBI,SRR7297514,RUN
81,NCBI,SRR7297515,RUN
82,NCBI,SRR7297516,RUN
83,NCBI,SRR7297517,RUN
84,NCBI,SRR7297518,RUN
85,NCBI,SRR7297608,RUN
86,NCBI,SRR7297609,RUN
87,NCBI,SRR7297610,RUN
88,NCBI,SRR7297611,RUN
89,NCBI,SRR7297612,RUN
90,NCBI,SRR7297613,RUN
91,NCBI,SRR7297614,RUN
92,NCBI,SRR7297615,RUN
93,NCBI,SRR7297616,RUN
94,NCBI,SRR7297617,RUN
95,NCBI,SRR7297632,RUN
96,NCBI,SRR7297633,RUN
97,NCBI,SRR7297636,RUN
98,NCBI,SRR7297637,RUN
99,NCBI,SRR7297638,RUN
100,NCBI,SRR7297639,RUN
101,NCBI,SRR7297640,RUN
102,NCBI,SRR7297641,RUN
103,NCBI,SRR7297642,RUN
104,NCBI,SRR7297643,RUN
