N,Database,Accession,Type
1,NCBI,SRR7296768,RUN
2,NCBI,SRR7296769,RUN
3,NCBI,SRR7296772,RUN
4,NCBI,SRR7296809,RUN
5,NCBI,SRR7296811,RUN
6,NCBI,SRR7296836,RUN
7,NCBI,SRR7296838,RUN
8,NCBI,SRR7296839,RUN
9,NCBI,SRR7296840,RUN
10,NCBI,SRR7296841,RUN
11,NCBI,SRR7296842,RUN
12,NCBI,SRR7296843,RUN
13,NCBI,SRR7296844,RUN
14,NCBI,SRR7296845,RUN
15,NCBI,SRR7296846,RUN
16,NCBI,SRR7296847,RUN
17,NCBI,SRR7296865,RUN
18,NCBI,SRR7296866,RUN
19,NCBI,SRR7296868,RUN
20,NCBI,SRR7296869,RUN
21,NCBI,SRR7296870,RUN
22,NCBI,SRR7296871,RUN
23,NCBI,SRR7296872,RUN
24,NCBI,SRR7296873,RUN
25,NCBI,SRR7296874,RUN
26,NCBI,SRR7296875,RUN
27,NCBI,SRR7296876,RUN
28,NCBI,SRR7296877,RUN
29,NCBI,SRR7296878,RUN
30,NCBI,SRR7296879,RUN
31,NCBI,SRR7296880,RUN
32,NCBI,SRR7296885,RUN
33,NCBI,SRR7296921,RUN
34,NCBI,SRR7296934,RUN
35,NCBI,SRR7296938,RUN
36,NCBI,SRR7296952,RUN
37,NCBI,SRR7296953,RUN
38,NCBI,SRR7296954,RUN
39,NCBI,SRR7296955,RUN
40,NCBI,SRR7296956,RUN
41,NCBI,SRR7296957,RUN
42,NCBI,SRR7296958,RUN
43,NCBI,SRR7296959,RUN
44,NCBI,SRR7296960,RUN
45,NCBI,SRR7296961,RUN
46,NCBI,SRR7296962,RUN
47,NCBI,SRR7296963,RUN
48,NCBI,SRR7296969,RUN
49,NCBI,SRR7296973,RUN
50,NCBI,SRR7296974,RUN
51,NCBI,SRR7296976,RUN
52,NCBI,SRR7296978,RUN
53,NCBI,SRR7296979,RUN
54,NCBI,SRR7296980,RUN
55,NCBI,SRR7296981,RUN
56,NCBI,SRR7296982,RUN
57,NCBI,SRR7296983,RUN
58,NCBI,SRR7296984,RUN
59,NCBI,SRR7296985,RUN
60,NCBI,SRR7296986,RUN
61,NCBI,SRR7296988,RUN
62,NCBI,SRR7296989,RUN
63,NCBI,SRR7296991,RUN
64,NCBI,SRR7296992,RUN
65,NCBI,SRR7296993,RUN
66,NCBI,SRR7296994,RUN
67,NCBI,SRR7296995,RUN
68,NCBI,SRR7296996,RUN
69,NCBI,SRR7296997,RUN
70,NCBI,SRR7296998,RUN
71,NCBI,SRR7296999,RUN
72,NCBI,SRR7297000,RUN
73,NCBI,SRR7297017,RUN
74,NCBI,SRR7297036,RUN
75,NCBI,SRR7297087,RUN
76,NCBI,SRR7297136,RUN
77,NCBI,SRR7297137,RUN
78,NCBI,SRR7297149,RUN
79,NCBI,SRR7297150,RUN
80,NCBI,SRR7297151,RUN
81,NCBI,SRR7297152,RUN
82,NCBI,SRR7297153,RUN
83,NCBI,SRR7297154,RUN
84,NCBI,SRR7297155,RUN
85,NCBI,SRR7297156,RUN
86,NCBI,SRR7297157,RUN
87,NCBI,SRR7297158,RUN
88,NCBI,SRR7297159,RUN
89,NCBI,SRR7297160,RUN
90,NCBI,SRR7297161,RUN
91,NCBI,SRR7297162,RUN
92,NCBI,SRR7297163,RUN
93,NCBI,SRR7297164,RUN
94,NCBI,SRR7297167,RUN
95,NCBI,SRR7297178,RUN
96,NCBI,SRR7297184,RUN
97,NCBI,SRR7297224,RUN
98,NCBI,SRR7297225,RUN
99,NCBI,SRR7297226,RUN
100,NCBI,SRR7297227,RUN
101,NCBI,SRR7297228,RUN
102,NCBI,SRR7297229,RUN
103,NCBI,SRR7297230,RUN
104,NCBI,SRR7297231,RUN
105,NCBI,SRR7297232,RUN
106,NCBI,SRR7297233,RUN
107,NCBI,SRR7297237,RUN
108,NCBI,SRR7297238,RUN
109,NCBI,SRR7297239,RUN
110,NCBI,SRR7297240,RUN
111,NCBI,SRR7297241,RUN
112,NCBI,SRR7297242,RUN
113,NCBI,SRR7297243,RUN
114,NCBI,SRR7297244,RUN
115,NCBI,SRR7297245,RUN
116,NCBI,SRR7297246,RUN
117,NCBI,SRR7297253,RUN
118,NCBI,SRR7297255,RUN
119,NCBI,SRR7297256,RUN
120,NCBI,SRR7297259,RUN
121,NCBI,SRR7297276,RUN
122,NCBI,SRR7297277,RUN
123,NCBI,SRR7297284,RUN
124,NCBI,SRR7297285,RUN
125,NCBI,SRR7297286,RUN
126,NCBI,SRR7297287,RUN
127,NCBI,SRR7297288,RUN
128,NCBI,SRR7297289,RUN
129,NCBI,SRR7297290,RUN
130,NCBI,SRR7297291,RUN
131,NCBI,SRR7297303,RUN
132,NCBI,SRR7297359,RUN
133,NCBI,SRR7297360,RUN
134,NCBI,SRR7297361,RUN
135,NCBI,SRR7297362,RUN
136,NCBI,SRR7297363,RUN
137,NCBI,SRR7297364,RUN
138,NCBI,SRR7297365,RUN
139,NCBI,SRR7297366,RUN
140,NCBI,SRR7297376,RUN
141,NCBI,SRR7297389,RUN
142,NCBI,SRR7297390,RUN
143,NCBI,SRR7297391,RUN
144,NCBI,SRR7297392,RUN
145,NCBI,SRR7297393,RUN
146,NCBI,SRR7297394,RUN
147,NCBI,SRR7297405,RUN
148,NCBI,SRR7297406,RUN
149,NCBI,SRR7297407,RUN
150,NCBI,SRR7297408,RUN
151,NCBI,SRR7297409,RUN
152,NCBI,SRR7297410,RUN
153,NCBI,SRR7297411,RUN
154,NCBI,SRR7297412,RUN
155,NCBI,SRR7297413,RUN
156,NCBI,SRR7297416,RUN
157,NCBI,SRR7297417,RUN
158,NCBI,SRR7297428,RUN
159,NCBI,SRR7297429,RUN
160,NCBI,SRR7297447,RUN
161,NCBI,SRR7297450,RUN
162,NCBI,SRR7297460,RUN
163,NCBI,SRR7297461,RUN
164,NCBI,SRR7297462,RUN
165,NCBI,SRR7297463,RUN
166,NCBI,SRR7297464,RUN
167,NCBI,SRR7297465,RUN
168,NCBI,SRR7297466,RUN
169,NCBI,SRR7297467,RUN
170,NCBI,SRR7297468,RUN
171,NCBI,SRR7297469,RUN
172,NCBI,SRR7297470,RUN
173,NCBI,SRR7297471,RUN
174,NCBI,SRR7297472,RUN
175,NCBI,SRR7297473,RUN
176,NCBI,SRR7297474,RUN
177,NCBI,SRR7297475,RUN
178,NCBI,SRR7297534,RUN
179,NCBI,SRR7297535,RUN
180,NCBI,SRR7297536,RUN
181,NCBI,SRR7297537,RUN
182,NCBI,SRR7297538,RUN
183,NCBI,SRR7297539,RUN
184,NCBI,SRR7297540,RUN
185,NCBI,SRR7297541,RUN
186,NCBI,SRR7297542,RUN
187,NCBI,SRR7297543,RUN
188,NCBI,SRR7297566,RUN
189,NCBI,SRR7297567,RUN
190,NCBI,SRR7297568,RUN
191,NCBI,SRR7297569,RUN
192,NCBI,SRR7297570,RUN
193,NCBI,SRR7297571,RUN
194,NCBI,SRR7297572,RUN
195,NCBI,SRR7297573,RUN
196,NCBI,SRR7297574,RUN
197,NCBI,SRR7297575,RUN
198,NCBI,SRR7297577,RUN
199,NCBI,SRR7297578,RUN
200,NCBI,SRR7297579,RUN
201,NCBI,SRR7297582,RUN
202,NCBI,SRR7297583,RUN
203,NCBI,SRR7297584,RUN
204,NCBI,SRR7297585,RUN
205,NCBI,SRR7297586,RUN
206,NCBI,SRR7297587,RUN
207,NCBI,SRR7297588,RUN
208,NCBI,SRR7297589,RUN
209,NCBI,SRR7297590,RUN
210,NCBI,SRR7297591,RUN
211,NCBI,SRR7297592,RUN
212,NCBI,SRR7297593,RUN
213,NCBI,SRR7297594,RUN
214,NCBI,SRR7297595,RUN
215,NCBI,SRR7297596,RUN
216,NCBI,SRR7297597,RUN
217,NCBI,SRR7297599,RUN
