N,Database,Accession,Type
1,ENA,ERR1251727,RUN
2,ENA,ERR1251734,RUN
3,ENA,ERR1251774,RUN
4,ENA,ERR1251716,RUN
5,ENA,ERR1251718,RUN
6,ENA,ERR1251785,RUN
7,ENA,ERR1251793,RUN
8,ENA,ERR1251692,RUN
9,ENA,ERR1251693,RUN
10,ENA,ERR1251700,RUN
11,ENA,ERR1251696,RUN
12,ENA,ERR1251673,RUN
13,ENA,ERR1251674,RUN
14,ENA,ERR1251685,RUN
15,ENA,ERR1251683,RUN
16,ENA,ERR1251654,RUN
17,ENA,ERR1251667,RUN
18,ENA,ERR1251661,RUN
19,ENA,ERR1251670,RUN
20,ENA,ERR1251669,RUN
21,ENA,ERR1251639,RUN
22,ENA,ERR1251641,RUN
23,ENA,ERR1251647,RUN
24,ENA,ERR1251618,RUN
25,ENA,ERR1251627,RUN
26,ENA,ERR1251620,RUN
27,ENA,ERR1251623,RUN
28,ENA,ERR1251625,RUN
29,ENA,ERR1251629,RUN
30,ENA,ERR1251604,RUN
31,ENA,ERR1251596,RUN
32,ENA,ERR1251605,RUN
33,ENA,ERR1251598,RUN
34,ENA,ERR1251609,RUN
35,ENA,ERR1251577,RUN
36,ENA,ERR1251579,RUN
37,ENA,ERR1251581,RUN
38,ENA,ERR1251582,RUN
39,ENA,ERR1251584,RUN
40,ENA,ERR1251586,RUN
41,ENA,ERR1251754,RUN
42,ENA,ERR1251770,RUN
43,ENA,ERR1251769,RUN
44,ENA,ERR1251765,RUN
45,ENA,ERR1251767,RUN
46,ENA,ERR1251491,RUN
47,ENA,ERR1251494,RUN
48,ENA,ERR1251495,RUN
49,ENA,ERR1251486,RUN
50,ENA,ERR1251480,RUN
51,ENA,ERR1251481,RUN
52,ENA,ERR1251482,RUN
53,ENA,ERR1251483,RUN
54,ENA,ERR1251484,RUN
55,ENA,ERR1251478,RUN
56,ENA,ERR1251479,RUN
57,ENA,ERR1251512,RUN
58,ENA,ERR1251510,RUN
59,ENA,ERR1251502,RUN
60,ENA,ERR1251504,RUN
61,ENA,ERR1251473,RUN
62,ENA,ERR1251474,RUN
63,ENA,ERR1251467,RUN
64,ENA,ERR1251518,RUN
65,ENA,ERR1251525,RUN
66,ENA,ERR1251528,RUN
67,ENA,ERR1251385,RUN
68,ENA,ERR1251390,RUN
69,ENA,ERR1251396,RUN
70,ENA,ERR1251537,RUN
71,ENA,ERR1251538,RUN
72,ENA,ERR1251542,RUN
73,ENA,ERR1251543,RUN
74,ENA,ERR1251548,RUN
75,ENA,ERR1334874,RUN
76,ENA,ERR1251377,RUN
77,ENA,ERR1251380,RUN
78,ENA,ERR1251381,RUN
79,ENA,ERR1334886,RUN
80,ENA,ERR1334887,RUN
81,ENA,ERR1251740,RUN
82,ENA,ERR1251748,RUN
83,ENA,ERR1251407,RUN
84,ENA,ERR1251408,RUN
85,ENA,ERR1251409,RUN
86,ENA,ERR1251410,RUN
87,ENA,ERR1251420,RUN
88,ENA,ERR1251421,RUN
89,ENA,ERR1251415,RUN
90,ENA,ERR1251416,RUN
91,ENA,ERR1251417,RUN
92,ENA,ERR1251432,RUN
93,ENA,ERR1251442,RUN
94,ENA,ERR1251446,RUN
95,ENA,ERR1251453,RUN
96,ENA,ERR1251458,RUN
97,ENA,ERR1251459,RUN
98,ENA,ERR1251563,RUN
99,ENA,ERR1251565,RUN
100,ENA,ERR1251567,RUN
101,ENA,ERR1251568,RUN
102,ENA,ERR1251575,RUN
