N,Database,Accession,Type
1,NCBI,SRR2911724,RUN
2,NCBI,SRR2911726,RUN
3,NCBI,SRR2911739,RUN
4,NCBI,SRR2911742,RUN
5,NCBI,SRR2916633,RUN
6,NCBI,SRR2916634,RUN
7,NCBI,SRR2916635,RUN
8,NCBI,SRR2916636,RUN
9,NCBI,SRR2916656,RUN
10,NCBI,SRR3130307,RUN
11,NCBI,SRR3130308,RUN
12,NCBI,SRR3130309,RUN
13,NCBI,SRR3130310,RUN
14,NCBI,SRR3130311,RUN
15,NCBI,SRR3131127,RUN
16,NCBI,SRR3131130,RUN
17,NCBI,SRR3131131,RUN
18,NCBI,SRR3131132,RUN
19,NCBI,SRR3131145,RUN
20,NCBI,SRR3131146,RUN
21,NCBI,SRR3131147,RUN
22,NCBI,SRR3131148,RUN
23,NCBI,SRR3131149,RUN
24,NCBI,SRR3131150,RUN
25,NCBI,SRR3131151,RUN
26,NCBI,SRR3131152,RUN
27,NCBI,SRR3131153,RUN
28,NCBI,SRR3131154,RUN
29,NCBI,SRR3131155,RUN
30,NCBI,SRR3131156,RUN
31,NCBI,SRR3131157,RUN
32,NCBI,SRR3131158,RUN
33,NCBI,SRR3131159,RUN
34,NCBI,SRR3131160,RUN
35,NCBI,SRR3131162,RUN
36,NCBI,SRR3131163,RUN
37,NCBI,SRR3131164,RUN
38,NCBI,SRR3131165,RUN
39,NCBI,SRR3131166,RUN
40,NCBI,SRR3131167,RUN
41,NCBI,SRR3131168,RUN
42,NCBI,SRR3131169,RUN
43,NCBI,SRR3131170,RUN
44,NCBI,SRR3131171,RUN
45,NCBI,SRR3131172,RUN
46,NCBI,SRR3131173,RUN
47,NCBI,SRR3131206,RUN
48,NCBI,SRR3131207,RUN
49,NCBI,SRR3131208,RUN
50,NCBI,SRR3131209,RUN
51,NCBI,SRR3131210,RUN
52,NCBI,SRR3131211,RUN
53,NCBI,SRR3131212,RUN
54,NCBI,SRR3131213,RUN
55,NCBI,SRR3131214,RUN
56,NCBI,SRR3131215,RUN
57,NCBI,SRR3131216,RUN
58,NCBI,SRR3131217,RUN
59,NCBI,SRR3131219,RUN
60,NCBI,SRR3131220,RUN
61,NCBI,SRR3131221,RUN
62,NCBI,SRR3131222,RUN
63,NCBI,SRR3131223,RUN
64,NCBI,SRR3131224,RUN
65,NCBI,SRR3131225,RUN
66,NCBI,SRR3131226,RUN
67,NCBI,SRR3131227,RUN
68,NCBI,SRR3131228,RUN
69,NCBI,SRR3131229,RUN
70,NCBI,SRR3131230,RUN
71,NCBI,SRR3131234,RUN
72,NCBI,SRR3131235,RUN
73,NCBI,SRR3131236,RUN
74,NCBI,SRR3131237,RUN
75,NCBI,SRR3131238,RUN
76,NCBI,SRR3131239,RUN
77,NCBI,SRR3131240,RUN
78,NCBI,SRR3133084,RUN
79,NCBI,SRR3133085,RUN
80,NCBI,SRR3133086,RUN
81,NCBI,SRR3133087,RUN
82,NCBI,SRR3133088,RUN
83,NCBI,SRR3133089,RUN
84,NCBI,SRR3133090,RUN
85,NCBI,SRR3133091,RUN
86,NCBI,SRR3133092,RUN
87,NCBI,SRR3133093,RUN
88,NCBI,SRR3133094,RUN
89,NCBI,SRR3133095,RUN
90,NCBI,SRR3133096,RUN
91,NCBI,SRR3133097,RUN
92,NCBI,SRR3133098,RUN
