N,Database,Accession,Type
1,ENA,ERR1204772,RUN
2,ENA,ERR1204773,RUN
3,ENA,ERR1204774,RUN
4,ENA,ERR1204775,RUN
5,ENA,ERR1204776,RUN
6,ENA,ERR1204777,RUN
7,ENA,ERR1204778,RUN
8,ENA,ERR1204779,RUN
9,ENA,ERR1204780,RUN
10,ENA,ERR1204781,RUN
11,ENA,ERR1204782,RUN
12,ENA,ERR1204783,RUN
13,ENA,ERR1204784,RUN
14,ENA,ERR1204785,RUN
15,ENA,ERR1204786,RUN
16,ENA,ERR1204787,RUN
17,ENA,ERR1204788,RUN
18,ENA,ERR1204789,RUN
19,ENA,ERR1204790,RUN
20,ENA,ERR1204791,RUN
21,ENA,ERR1204792,RUN
22,ENA,ERR1204793,RUN
23,ENA,ERR1204794,RUN
24,ENA,ERR1204795,RUN
25,ENA,ERR1204796,RUN
26,ENA,ERR1204797,RUN
27,ENA,ERR1204798,RUN
28,ENA,ERR1204799,RUN
29,ENA,ERR1204800,RUN
30,ENA,ERR1204801,RUN
31,ENA,ERR1204802,RUN
32,ENA,ERR1204803,RUN
33,ENA,ERR1204804,RUN
34,ENA,ERR1204805,RUN
35,ENA,ERR1204806,RUN
36,ENA,ERR1204807,RUN
37,ENA,ERR1204812,RUN
38,ENA,ERR1204813,RUN
39,ENA,ERR1837101,RUN
40,ENA,ERR1837102,RUN
41,ENA,ERR1837103,RUN
42,ENA,ERR1837104,RUN
43,ENA,ERR1837105,RUN
44,ENA,ERR1837106,RUN
45,ENA,ERR1837108,RUN
46,ENA,ERR1837109,RUN
47,ENA,ERR1837110,RUN
48,ENA,ERR1837111,RUN
49,ENA,ERR1837112,RUN
50,ENA,ERR1837113,RUN
51,ENA,ERR1837114,RUN
52,ENA,ERR1837115,RUN
53,ENA,ERR1837116,RUN
54,ENA,ERR1837117,RUN
55,ENA,ERR1837118,RUN
56,ENA,ERR1837119,RUN
57,ENA,ERR1837120,RUN
58,ENA,ERR1837121,RUN
59,ENA,ERR1837122,RUN
60,ENA,ERR1837123,RUN
61,ENA,ERR1837124,RUN
62,ENA,ERR1837125,RUN
63,ENA,ERR1837126,RUN
64,ENA,ERR1837127,RUN
65,ENA,ERR1837128,RUN
66,ENA,ERR1837129,RUN
67,ENA,ERR1837130,RUN
68,ENA,ERR1837131,RUN
69,ENA,ERR1837132,RUN
70,ENA,ERR2631722,RUN
71,ENA,ERR2631723,RUN
72,ENA,ERR2631724,RUN
73,ENA,ERR2631725,RUN
74,ENA,ERR2631727,RUN
75,ENA,ERR2631728,RUN
76,ENA,ERR2631729,RUN
77,ENA,ERR2631731,RUN
78,ENA,ERR2631732,RUN
79,ENA,ERR2631733,RUN
80,ENA,ERR2631734,RUN
81,ENA,ERR2631735,RUN
82,ENA,ERR2631736,RUN
83,ENA,ERR2631737,RUN
84,ENA,ERR2631738,RUN
85,ENA,ERR2631739,RUN
86,ENA,ERR2631740,RUN
87,ENA,ERR2631742,RUN
88,ENA,ERR2631743,RUN
89,ENA,ERR2631744,RUN
90,ENA,ERR2631745,RUN
91,ENA,ERR2631746,RUN
92,ENA,ERR2631747,RUN
93,ENA,ERR2631748,RUN
94,ENA,ERR2631749,RUN
95,ENA,ERR2631750,RUN
96,ENA,ERR2631751,RUN
97,ENA,ERR2631752,RUN
98,ENA,ERR2631753,RUN
99,ENA,ERR2631754,RUN
100,ENA,ERR2631755,RUN
101,ENA,ERR2631756,RUN
102,ENA,ERR2631757,RUN
103,ENA,ERR2631758,RUN
104,ENA,ERR2631759,RUN
105,ENA,ERR2631760,RUN
106,ENA,ERR2631761,RUN
107,ENA,ERR2631762,RUN
108,ENA,ERR2631763,RUN
109,ENA,ERR2631764,RUN
110,ENA,ERR2631765,RUN
111,ENA,ERR2631766,RUN
112,ENA,ERR2631767,RUN
113,ENA,ERR2631768,RUN
114,ENA,ERR2631769,RUN
115,ENA,ERR2631770,RUN
116,ENA,ERR2631771,RUN
117,ENA,ERR2631772,RUN
118,ENA,ERR2631773,RUN
119,ENA,ERR2631774,RUN
120,ENA,ERR2631775,RUN
121,ENA,ERR2631776,RUN
122,ENA,ERR2631777,RUN
123,ENA,ERR2631778,RUN
124,ENA,ERR2631779,RUN
125,ENA,ERR2631780,RUN
126,ENA,ERR2631782,RUN
127,ENA,ERR2631785,RUN
128,ENA,ERR2631786,RUN
129,ENA,ERR2631788,RUN
130,ENA,ERR2631789,RUN
131,ENA,ERR2631790,RUN
132,ENA,ERR2631791,RUN
133,ENA,ERR2631792,RUN
134,ENA,ERR2631793,RUN
135,ENA,ERR2631795,RUN
136,ENA,ERR2631796,RUN
137,ENA,ERR2631797,RUN
138,ENA,ERR2631798,RUN
139,ENA,ERR2631799,RUN
140,ENA,ERR2631800,RUN
141,ENA,ERR2631801,RUN
142,ENA,ERR2631802,RUN
143,ENA,ERR2631803,RUN
144,ENA,ERR2631807,RUN
145,ENA,ERR2631808,RUN
146,ENA,ERR2631809,RUN
147,ENA,ERR2631810,RUN
148,ENA,ERR2631811,RUN
149,ENA,ERR2631812,RUN
150,ENA,ERR2631813,RUN
151,ENA,ERR2631814,RUN
152,ENA,ERR2631815,RUN
153,ENA,ERR2631816,RUN
154,ENA,ERR2631820,RUN
155,ENA,ERR2631821,RUN
156,ENA,ERR2631823,RUN
157,ENA,ERR2631825,RUN
158,ENA,ERR2631827,RUN
159,ENA,ERR2631828,RUN
160,ENA,ERR2631830,RUN
161,ENA,ERR2631831,RUN
162,ENA,ERR2631833,RUN
163,ENA,ERR2631834,RUN
164,ENA,ERR2631835,RUN
165,ENA,ERR2631836,RUN
166,ENA,ERR2631837,RUN
167,ENA,ERR2631840,RUN
168,ENA,ERR2631844,RUN
169,ENA,ERR2631851,RUN
170,ENA,ERR2631853,RUN
171,ENA,ERR2631854,RUN
172,ENA,ERR2631857,RUN
173,ENA,ERR2631858,RUN
174,ENA,ERR2631859,RUN
175,ENA,ERR2631860,RUN
176,ENA,ERR2631861,RUN
177,ENA,ERR2631862,RUN
178,ENA,ERR2631863,RUN
179,ENA,ERR2631864,RUN
180,ENA,ERR2631866,RUN
181,ENA,ERR2631867,RUN
182,ENA,ERR2631868,RUN
183,ENA,ERR2631869,RUN
184,ENA,ERR2631870,RUN
185,ENA,ERR2631871,RUN
186,ENA,ERR2631872,RUN
187,ENA,ERR2631873,RUN
188,ENA,ERR2631874,RUN
189,ENA,ERR2631875,RUN
190,ENA,ERR2631876,RUN
191,ENA,ERR2631877,RUN
192,ENA,ERR2631878,RUN
193,ENA,ERR2631879,RUN
194,ENA,ERR2631880,RUN
195,ENA,ERR2631881,RUN
196,ENA,ERR2631883,RUN
197,ENA,ERR2631884,RUN
198,ENA,ERR2631885,RUN
199,ENA,ERR2631886,RUN
200,ENA,ERR2631887,RUN
201,ENA,ERR2631888,RUN
202,ENA,ERR2631889,RUN
203,ENA,ERR2631890,RUN
204,ENA,ERR2631891,RUN
205,ENA,ERR2631893,RUN
206,ENA,ERR2631894,RUN
207,ENA,ERR2631895,RUN
208,ENA,ERR2631896,RUN
209,ENA,ERR2631897,RUN
210,ENA,ERR2631898,RUN
211,ENA,ERR2631900,RUN
212,ENA,ERR2631901,RUN
213,ENA,ERR2631902,RUN
214,ENA,ERR2631903,RUN
215,ENA,ERR2631904,RUN
216,ENA,ERR2631905,RUN
217,ENA,ERR2631906,RUN
218,ENA,ERR2631907,RUN
219,ENA,ERR2631908,RUN
220,ENA,ERR2631909,RUN
221,ENA,ERR2631910,RUN
222,ENA,ERR2631912,RUN
223,ENA,ERR2631913,RUN
224,ENA,ERR2631914,RUN
225,ENA,ERR2631915,RUN
226,ENA,ERR2631916,RUN
227,ENA,ERR2631917,RUN
228,ENA,ERR2631918,RUN
229,ENA,ERR2631919,RUN
230,ENA,ERR2631920,RUN
231,ENA,ERR2631921,RUN
232,ENA,ERR2631922,RUN
233,ENA,ERR2631923,RUN
234,ENA,ERR2631924,RUN
235,ENA,ERR2631925,RUN
236,ENA,ERR2631926,RUN
237,ENA,ERR2631927,RUN
238,ENA,ERR2631928,RUN
239,ENA,ERR2631929,RUN
240,ENA,ERR2631930,RUN
241,ENA,ERR2631931,RUN
242,ENA,ERR2631932,RUN
243,ENA,ERR2631933,RUN
244,ENA,ERR2631934,RUN
245,ENA,ERR2631936,RUN
246,ENA,ERR2631937,RUN
247,ENA,ERR2631938,RUN
248,ENA,ERR2631939,RUN
249,ENA,ERR2631940,RUN
250,ENA,ERR2631941,RUN
251,ENA,ERR2631942,RUN
252,ENA,ERR2631943,RUN
253,ENA,ERR2631944,RUN
254,ENA,ERR2631945,RUN
255,ENA,ERR2631946,RUN
256,ENA,ERR2631947,RUN
257,ENA,ERR2631949,RUN
258,ENA,ERR2631950,RUN
259,ENA,ERR2631951,RUN
260,ENA,ERR2631952,RUN
261,ENA,ERR2631953,RUN
262,ENA,ERR2631954,RUN
263,ENA,ERR2631955,RUN
264,ENA,ERR2631956,RUN
265,ENA,ERR2631957,RUN
266,ENA,ERR2631958,RUN
267,ENA,ERR2631959,RUN
268,ENA,ERR2631960,RUN
269,ENA,ERR2631962,RUN
270,ENA,ERR2631963,RUN
271,ENA,ERR2631964,RUN
272,ENA,ERR2631965,RUN
273,ENA,ERR2631966,RUN
274,ENA,ERR2631967,RUN
275,ENA,ERR2631968,RUN
276,ENA,ERR2631969,RUN
277,ENA,ERR2631970,RUN
278,ENA,ERR2631971,RUN
279,ENA,ERR2631972,RUN
280,ENA,ERR2631973,RUN
281,ENA,ERR2631974,RUN
282,ENA,ERR2631975,RUN
283,ENA,ERR2631976,RUN
284,ENA,ERR2631977,RUN
285,ENA,ERR2631978,RUN
286,ENA,ERR2631979,RUN
287,ENA,ERR2631980,RUN
288,ENA,ERR2631981,RUN
289,ENA,ERR2631982,RUN
290,ENA,ERR2631983,RUN
291,ENA,ERR2631984,RUN
292,ENA,ERR2631985,RUN
293,ENA,ERR2631986,RUN
294,ENA,ERR2631987,RUN
295,ENA,ERR2631988,RUN
296,ENA,ERR2631989,RUN
297,ENA,ERR2631991,RUN
298,ENA,ERR2631992,RUN
299,ENA,ERR2631993,RUN
300,ENA,ERR2631994,RUN
301,ENA,ERR2631995,RUN
302,ENA,ERR2631996,RUN
303,ENA,ERR2631997,RUN
304,ENA,ERR2631998,RUN
305,ENA,ERR2631999,RUN
306,ENA,ERR2632000,RUN
307,ENA,ERR2632001,RUN
308,ENA,ERR2632002,RUN
309,ENA,ERR2632003,RUN
310,ENA,ERR2632004,RUN
311,ENA,ERR2632005,RUN
312,ENA,ERR2632006,RUN
313,ENA,ERR2632007,RUN
314,ENA,ERR2632008,RUN
315,ENA,ERR2632009,RUN
316,ENA,ERR2632010,RUN
317,ENA,ERR2632011,RUN
318,ENA,ERR2632012,RUN
319,ENA,ERR2632013,RUN
320,ENA,ERR2632014,RUN
321,ENA,ERR2632015,RUN
322,ENA,ERR2632016,RUN
323,ENA,ERR2632017,RUN
324,ENA,ERR2632018,RUN
325,ENA,ERR2632019,RUN
326,ENA,ERR2632020,RUN
327,ENA,ERR2632021,RUN
328,ENA,ERR2632022,RUN
329,ENA,ERR2632023,RUN
330,ENA,ERR2632024,RUN
331,ENA,ERR2632025,RUN
332,ENA,ERR2632026,RUN
333,ENA,ERR2632027,RUN
334,ENA,ERR2632028,RUN
335,ENA,ERR2632029,RUN
336,ENA,ERR2632030,RUN
337,ENA,ERR2632031,RUN
338,ENA,ERR2632032,RUN
339,ENA,ERR2632033,RUN
340,ENA,ERR2632034,RUN
341,ENA,ERR2632035,RUN
342,ENA,ERR2632036,RUN
343,ENA,ERR2632037,RUN
344,ENA,ERR2632038,RUN
345,ENA,ERR2632039,RUN
346,ENA,ERR2632041,RUN
347,ENA,ERR2632043,RUN
348,ENA,ERR2632044,RUN
349,ENA,ERR2632045,RUN
350,ENA,ERR3200812,RUN
351,ENA,ERR3200813,RUN
352,ENA,ERR3200814,RUN
353,ENA,ERR3200815,RUN
354,ENA,ERR3200816,RUN
355,ENA,ERR3200817,RUN
356,ENA,ERR3200818,RUN
357,ENA,ERR3200819,RUN
358,ENA,ERR3200820,RUN
359,ENA,ERR3200821,RUN
360,ENA,ERR3200822,RUN
361,ENA,ERR3200824,RUN
362,ENA,ERR3200825,RUN
363,ENA,ERR3200826,RUN
364,ENA,ERR3200827,RUN
365,ENA,ERR3200828,RUN
366,ENA,ERR3200829,RUN
367,ENA,ERR3200830,RUN
368,ENA,ERR3200831,RUN
369,ENA,ERR3200832,RUN
370,ENA,ERR3200833,RUN
371,ENA,ERR3200834,RUN
372,ENA,ERR3200835,RUN
373,ENA,ERR3200836,RUN
374,ENA,ERR3200837,RUN
375,ENA,ERR3200838,RUN
376,ENA,ERR3200839,RUN
377,ENA,ERR3200840,RUN
378,ENA,ERR3200841,RUN
379,ENA,ERR3200842,RUN
380,ENA,ERR3200844,RUN
381,ENA,ERR3200845,RUN
382,ENA,ERR3200846,RUN
383,ENA,ERR3200847,RUN
384,ENA,ERR3200848,RUN
385,ENA,ERR3200850,RUN
386,ENA,ERR3200851,RUN
387,ENA,ERR3200852,RUN
388,ENA,ERR3200853,RUN
389,ENA,ERR3200854,RUN
390,ENA,ERR3200855,RUN
391,ENA,ERR3200856,RUN
392,ENA,ERR3200857,RUN
393,ENA,ERR3200858,RUN
394,ENA,ERR3200859,RUN
395,ENA,ERR3200860,RUN
396,ENA,ERR3200861,RUN
397,ENA,ERR3200862,RUN
398,ENA,ERR3200863,RUN
399,ENA,ERR3200864,RUN
400,ENA,ERR3200865,RUN
401,ENA,ERR3200866,RUN
402,ENA,ERR3200867,RUN
403,ENA,ERR3200868,RUN
404,ENA,ERR3200869,RUN
405,ENA,ERR3200870,RUN
406,ENA,ERR3200872,RUN
407,ENA,ERR3200873,RUN
408,ENA,ERR3200874,RUN
409,ENA,ERR3200875,RUN
410,ENA,ERR3200876,RUN
411,ENA,ERR3200877,RUN
412,ENA,ERR3200878,RUN
413,ENA,ERR3200879,RUN
414,ENA,ERR3200880,RUN
415,ENA,ERR3200881,RUN
416,ENA,ERR3200882,RUN
417,ENA,ERR3200883,RUN
418,ENA,ERR3200884,RUN
419,ENA,ERR3200885,RUN
