N,Database,Accession,Type
1,NCBI,SRR9971412,RUN
2,NCBI,SRR9971411,RUN
3,NCBI,SRR9971410,RUN
4,NCBI,SRR9971409,RUN
5,NCBI,SRR9971416,RUN
6,NCBI,SRR9971415,RUN
7,NCBI,SRR9971414,RUN
8,NCBI,SRR9971413,RUN
9,NCBI,SRR9971418,RUN
10,NCBI,SRR9971417,RUN
11,NCBI,SRR9971482,RUN
12,NCBI,SRR9971481,RUN
13,NCBI,SRR9971484,RUN
14,NCBI,SRR9971483,RUN
15,NCBI,SRR9971486,RUN
16,NCBI,SRR9971485,RUN
17,NCBI,SRR9971488,RUN
18,NCBI,SRR9971487,RUN
19,NCBI,SRR9971490,RUN
20,NCBI,SRR9971489,RUN
21,NCBI,SRR9971423,RUN
22,NCBI,SRR9971424,RUN
23,NCBI,SRR9971425,RUN
24,NCBI,SRR9971426,RUN
25,NCBI,SRR9971419,RUN
26,NCBI,SRR9971420,RUN
27,NCBI,SRR9971421,RUN
28,NCBI,SRR9971422,RUN
29,NCBI,SRR9971427,RUN
30,NCBI,SRR9971428,RUN
31,NCBI,SRR9971469,RUN
32,NCBI,SRR9971468,RUN
33,NCBI,SRR9971467,RUN
34,NCBI,SRR9971466,RUN
35,NCBI,SRR9971473,RUN
36,NCBI,SRR9971472,RUN
37,NCBI,SRR9971471,RUN
38,NCBI,SRR9971470,RUN
39,NCBI,SRR9971465,RUN
40,NCBI,SRR9971464,RUN
41,NCBI,SRR9971462,RUN
42,NCBI,SRR9971463,RUN
43,NCBI,SRR9971460,RUN
44,NCBI,SRR9971461,RUN
45,NCBI,SRR9971458,RUN
46,NCBI,SRR9971459,RUN
47,NCBI,SRR9971456,RUN
48,NCBI,SRR9971457,RUN
49,NCBI,SRR9971454,RUN
50,NCBI,SRR9971455,RUN
51,NCBI,SRR9971449,RUN
52,NCBI,SRR9971448,RUN
53,NCBI,SRR9971451,RUN
54,NCBI,SRR9971450,RUN
55,NCBI,SRR9971445,RUN
56,NCBI,SRR9971444,RUN
57,NCBI,SRR9971447,RUN
58,NCBI,SRR9971446,RUN
59,NCBI,SRR9971443,RUN
60,NCBI,SRR9971442,RUN
61,NCBI,SRR9971507,RUN
62,NCBI,SRR9971508,RUN
63,NCBI,SRR9971509,RUN
64,NCBI,SRR9971510,RUN
65,NCBI,SRR9971511,RUN
66,NCBI,SRR9971512,RUN
67,NCBI,SRR9971452,RUN
68,NCBI,SRR9971453,RUN
69,NCBI,SRR9971515,RUN
70,NCBI,SRR9971516,RUN
71,NCBI,SRR9971498,RUN
72,NCBI,SRR9971497,RUN
73,NCBI,SRR9971496,RUN
74,NCBI,SRR9971495,RUN
75,NCBI,SRR9971494,RUN
76,NCBI,SRR9971493,RUN
77,NCBI,SRR9971479,RUN
78,NCBI,SRR9971476,RUN
79,NCBI,SRR9971440,RUN
80,NCBI,SRR9971439,RUN
81,NCBI,SRR9971433,RUN
82,NCBI,SRR9971434,RUN
83,NCBI,SRR9971431,RUN
84,NCBI,SRR9971432,RUN
85,NCBI,SRR9971437,RUN
86,NCBI,SRR9971438,RUN
87,NCBI,SRR9971435,RUN
88,NCBI,SRR9971436,RUN
89,NCBI,SRR9971429,RUN
90,NCBI,SRR9971430,RUN
91,NCBI,SRR9971478,RUN
92,NCBI,SRR9971477,RUN
93,NCBI,SRR9971480,RUN
94,NCBI,SRR9971441,RUN
95,NCBI,SRR9971406,RUN
96,NCBI,SRR9971405,RUN
97,NCBI,SRR9971408,RUN
98,NCBI,SRR9971407,RUN
99,NCBI,SRR9971475,RUN
100,NCBI,SRR9971474,RUN
101,NCBI,SRR9971499,RUN
102,NCBI,SRR9971500,RUN
103,NCBI,SRR9971501,RUN
104,NCBI,SRR9971502,RUN
105,NCBI,SRR9971503,RUN
106,NCBI,SRR9971504,RUN
107,NCBI,SRR9971505,RUN
108,NCBI,SRR9971506,RUN
109,NCBI,SRR9971491,RUN
110,NCBI,SRR9971492,RUN
111,NCBI,SRR9971514,RUN
112,NCBI,SRR9971513,RUN
