N,Database,Accession,Type
1,NCBI,SRR671818,RUN
2,NCBI,SRR2100533,RUN
3,ENA,ERR228025,RUN
4,NCBI,SRR671869,RUN
5,NCBI,SRR2100008,RUN
6,NCBI,SRR2100033,RUN
7,NCBI,SRR2101819,RUN
8,NCBI,SRR2099956,RUN
9,ENA,ERR133851,RUN
10,ENA,ERR046913,RUN
11,NCBI,SRR671852,RUN
12,ENA,ERR144574,RUN
13,NCBI,SRR2100111,RUN
14,NCBI,SRR2100467,RUN
15,ENA,ERR072042,RUN
16,ENA,ERR133903,RUN
17,ENA,ERR688049,RUN
18,ENA,ERR137216,RUN
19,NCBI,SRR2101716,RUN
20,NCBI,SRR2101696,RUN
21,NCBI,SRR2101022,RUN
22,NCBI,SRR2100557,RUN
23,NCBI,SRR2100046,RUN
24,ENA,ERR234684,RUN
25,NCBI,SRR671755,RUN
26,ENA,ERR400451,RUN
27,NCBI,SRR2101290,RUN
28,NCBI,SRR2100078,RUN
29,ENA,ERR067740,RUN
30,ENA,ERR040132,RUN
31,ENA,ERR108468,RUN
32,ENA,ERR227983,RUN
33,NCBI,SRR2101262,RUN
34,NCBI,SRR2100884,RUN
35,NCBI,SRR2100390,RUN
36,ENA,ERR133909,RUN
37,NCBI,SRR2101606,RUN
38,ENA,ERR047003,RUN
39,ENA,ERR228058,RUN
40,NCBI,SRR2101749,RUN
41,ENA,ERR072047,RUN
42,NCBI,SRR2100982,RUN
43,ENA,ERR046949,RUN
44,ENA,ERR046945,RUN
45,ENA,ERR108460,RUN
46,ENA,ERR133886,RUN
47,ENA,ERR046838,RUN
48,ENA,ERR144621,RUN
49,ENA,ERR038736,RUN
50,NCBI,SRR671752,RUN
51,NCBI,SRR2101132,RUN
52,ENA,ERR046898,RUN
53,NCBI,SRR2100241,RUN
54,NCBI,SRR2100375,RUN
55,ENA,ERR229987,RUN
56,ENA,ERR108488,RUN
57,NCBI,SRR2101578,RUN
58,ENA,ERR133831,RUN
59,ENA,ERR234561,RUN
60,NCBI,SRR2100969,RUN
61,ENA,ERR117457,RUN
62,ENA,ERR067665,RUN
63,ENA,ERR137251,RUN
64,NCBI,SRR2100248,RUN
65,NCBI,SRR2099937,RUN
66,NCBI,SRR671726,RUN
67,NCBI,SRR2100386,RUN
68,NCBI,SRR2101225,RUN
69,ENA,ERR108456,RUN
70,NCBI,SRR2100338,RUN
71,ENA,ERR230007,RUN
72,NCBI,SRR2100644,RUN
73,ENA,ERR400526,RUN
74,ENA,ERR025843,RUN
75,ENA,ERR158575,RUN
76,NCBI,SRR2100205,RUN
77,NCBI,SRR2101260,RUN
78,NCBI,SRR2100837,RUN
79,NCBI,SRR2100015,RUN
80,NCBI,SRR2100485,RUN
81,NCBI,SRR2100531,RUN
82,NCBI,SRR2100409,RUN
83,ENA,ERR137197,RUN
84,NCBI,SRR2100180,RUN
85,NCBI,SRR2101584,RUN
86,NCBI,SRR2100797,RUN
87,ENA,ERR046768,RUN
88,NCBI,SRR2101543,RUN
89,NCBI,SRR2101169,RUN
90,NCBI,SRR2101318,RUN
91,NCBI,SRR2100298,RUN
92,NCBI,SRR2101024,RUN
93,ENA,ERR046853,RUN
94,NCBI,SRR2100563,RUN
95,ENA,ERR133842,RUN
96,ENA,ERR144625,RUN
97,ENA,ERR038265,RUN
98,NCBI,SRR2100148,RUN
99,ENA,ERR046921,RUN
100,ENA,ERR133919,RUN
101,ENA,ERR234618,RUN
102,ENA,ERR133807,RUN
103,ENA,ERR551419,RUN
104,ENA,ERR144570,RUN
105,ENA,ERR688011,RUN
106,ENA,ERR046799,RUN
107,NCBI,SRR2100661,RUN
108,ENA,ERR046974,RUN
109,ENA,ERR046967,RUN
110,NCBI,SRR2100407,RUN
111,ENA,ERR133898,RUN
112,ENA,ERR400450,RUN
113,ENA,ERR046866,RUN
114,NCBI,SRR2100678,RUN
115,ENA,ERR038743,RUN
116,NCBI,SRR2100816,RUN
117,ENA,ERR229928,RUN
118,ENA,ERR133824,RUN
119,ENA,ERR038284,RUN
120,ENA,ERR046878,RUN
121,NCBI,SRR671781,RUN
122,NCBI,SRR2101320,RUN
123,ENA,ERR117450,RUN
124,NCBI,SRR2101171,RUN
125,ENA,ERR133926,RUN
126,ENA,ERR552261,RUN
127,ENA,ERR137274,RUN
128,ENA,ERR137279,RUN
129,ENA,ERR400519,RUN
130,ENA,ERR137273,RUN
131,ENA,ERR133868,RUN
132,NCBI,SRR2100958,RUN
133,NCBI,SRR2101073,RUN
134,NCBI,SRR2101015,RUN
135,ENA,ERR046882,RUN
136,NCBI,SRR2100912,RUN
137,NCBI,SRR2100299,RUN
138,NCBI,SRR2100369,RUN
139,NCBI,SRR2100153,RUN
140,ENA,ERR133815,RUN
141,ENA,ERR133798,RUN
142,NCBI,SRR2101573,RUN
143,ENA,ERR133827,RUN
144,NCBI,SRR2100322,RUN
145,NCBI,SRR2100005,RUN
146,NCBI,SRR2100823,RUN
147,NCBI,SRR2100592,RUN
148,ENA,ERR400536,RUN
149,ENA,ERR108514,RUN
150,NCBI,SRR2100457,RUN
151,NCBI,SRR2100628,RUN
152,NCBI,SRR2099947,RUN
153,ENA,ERR046932,RUN
154,ENA,ERR688013,RUN
155,NCBI,SRR2100542,RUN
156,NCBI,SRR2101216,RUN
157,NCBI,SRR2100761,RUN
158,NCBI,SRR2100213,RUN
159,ENA,ERR046786,RUN
160,NCBI,SRR2100746,RUN
161,ENA,ERR229990,RUN
162,NCBI,SRR2100600,RUN
163,NCBI,SRR2100231,RUN
164,NCBI,SRR2101528,RUN
165,NCBI,SRR2100623,RUN
166,NCBI,SRR2100434,RUN
167,ENA,ERR047000,RUN
168,NCBI,SRR2101026,RUN
169,NCBI,SRR671754,RUN
170,ENA,ERR227994,RUN
171,ENA,ERR046890,RUN
172,NCBI,SRR2100868,RUN
173,ENA,ERR400429,RUN
174,NCBI,SRR2100289,RUN
175,ENA,ERR552259,RUN
176,NCBI,SRR2099977,RUN
177,NCBI,SRR2101215,RUN
178,NCBI,SRR671833,RUN
179,NCBI,SRR2099941,RUN
180,NCBI,SRR2100366,RUN
181,ENA,ERR137267,RUN
182,ENA,ERR133870,RUN
183,NCBI,SRR2101585,RUN
184,NCBI,SRR2100235,RUN
185,ENA,ERR133937,RUN
186,NCBI,SRR2101465,RUN
187,ENA,ERR046970,RUN
188,ENA,ERR046992,RUN
189,ENA,ERR400427,RUN
190,NCBI,SRR2100780,RUN
191,ENA,ERR067603,RUN
192,ENA,ERR046824,RUN
193,ENA,ERR234645,RUN
194,ENA,ERR108434,RUN
195,NCBI,SRR2100451,RUN
196,ENA,ERR400415,RUN
197,NCBI,SRR2100744,RUN
198,NCBI,SRR671740,RUN
199,NCBI,SRR2100714,RUN
200,ENA,ERR234668,RUN
201,ENA,ERR400460,RUN
202,ENA,ERR067616,RUN
203,ENA,ERR234609,RUN
204,ENA,ERR133812,RUN
205,NCBI,SRR2100024,RUN
206,ENA,ERR067760,RUN
207,NCBI,SRR2100898,RUN
208,ENA,ERR133896,RUN
209,ENA,ERR234598,RUN
210,NCBI,SRR2100718,RUN
211,NCBI,SRR2100932,RUN
212,NCBI,SRR2100900,RUN
213,NCBI,SRR2100573,RUN
214,NCBI,SRR2101744,RUN
215,NCBI,SRR2100450,RUN
216,NCBI,SRR2099983,RUN
217,ENA,ERR400492,RUN
218,ENA,ERR137201,RUN
219,NCBI,SRR2100170,RUN
220,NCBI,SRR2100261,RUN
221,NCBI,SRR671806,RUN
222,ENA,ERR046983,RUN
223,ENA,ERR067743,RUN
224,ENA,ERR400549,RUN
225,NCBI,SRR2100330,RUN
226,NCBI,SRR2101051,RUN
227,ENA,ERR038261,RUN
228,NCBI,SRR2100703,RUN
229,NCBI,SRR2100152,RUN
230,NCBI,SRR2100109,RUN
231,ENA,ERR067613,RUN
232,NCBI,SRR2100284,RUN
233,NCBI,SRR2101430,RUN
234,NCBI,SRR2100552,RUN
235,ENA,ERR551857,RUN
236,ENA,ERR067759,RUN
237,ENA,ERR038255,RUN
238,ENA,ERR550831,RUN
239,NCBI,SRR2101459,RUN
240,NCBI,SRR2100442,RUN
241,ENA,ERR038752,RUN
242,ENA,ERR067605,RUN
243,ENA,ERR234654,RUN
244,NCBI,SRR2101040,RUN
245,ENA,ERR046844,RUN
246,ENA,ERR133913,RUN
247,ENA,ERR046915,RUN
248,ENA,ERR158592,RUN
249,ENA,ERR400339,RUN
250,NCBI,SRR2099998,RUN
251,NCBI,SRR2101145,RUN
252,NCBI,SRR2101139,RUN
253,ENA,ERR046875,RUN
254,ENA,ERR158586,RUN
255,ENA,ERR133958,RUN
256,NCBI,SRR2100240,RUN
257,ENA,ERR067596,RUN
258,ENA,ERR046925,RUN
259,ENA,ERR038744,RUN
260,NCBI,SRR1002690,RUN
261,ENA,ERR400409,RUN
262,NCBI,SRR1002701,RUN
263,NCBI,SRR2100271,RUN
264,ENA,ERR039345,RUN
265,NCBI,SRR2101190,RUN
266,NCBI,SRR2101707,RUN
267,ENA,ERR133966,RUN
268,ENA,ERR133804,RUN
269,ENA,ERR072020,RUN
270,ENA,ERR144626,RUN
271,NCBI,SRR2101161,RUN
272,NCBI,SRR2101771,RUN
273,NCBI,SRR2101464,RUN
274,ENA,ERR551174,RUN
275,NCBI,SRR2100986,RUN
276,NCBI,SRR2101364,RUN
277,NCBI,SRR2100840,RUN
278,NCBI,SRR2100950,RUN
279,NCBI,SRR2100098,RUN
280,NCBI,SRR2101208,RUN
281,ENA,ERR133888,RUN
282,NCBI,SRR2101426,RUN
283,NCBI,SRR2100413,RUN
284,ENA,ERR133970,RUN
285,ENA,ERR137232,RUN
286,NCBI,SRR2100872,RUN
287,NCBI,SRR2100779,RUN
288,ENA,ERR144582,RUN
