N,Database,Accession,Type
1,NCBI,SRR3361307,RUN
2,NCBI,SRR3361308,RUN
3,NCBI,SRR3357011,RUN
4,NCBI,SRR3361310,RUN
5,NCBI,SRR3361311,RUN
6,NCBI,SRR3361312,RUN
7,NCBI,SRR3361313,RUN
8,NCBI,SRR3361314,RUN
9,NCBI,SRR3361315,RUN
10,NCBI,SRR3349518,RUN
11,NCBI,SRR3360913,RUN
12,NCBI,SRR3361317,RUN
13,NCBI,SRR3361318,RUN
14,NCBI,SRR3361320,RUN
15,NCBI,SRR3361321,RUN
16,NCBI,SRR3360917,RUN
17,NCBI,SRR3361322,RUN
18,NCBI,SRR3349526,RUN
19,NCBI,SRR3360921,RUN
20,NCBI,SRR3361324,RUN
21,NCBI,SRR3360924,RUN
22,NCBI,SRR3361325,RUN
23,NCBI,SRR3361326,RUN
24,NCBI,SRR3360926,RUN
25,NCBI,SRR3349538,RUN
26,NCBI,SRR3360930,RUN
27,NCBI,SRR3361328,RUN
28,NCBI,SRR3361332,RUN
29,NCBI,SRR3361333,RUN
30,NCBI,SRR3361336,RUN
31,NCBI,SRR3361337,RUN
32,NCBI,SRR3357028,RUN
33,NCBI,SRR3360936,RUN
34,NCBI,SRR3349544,RUN
35,NCBI,SRR3361338,RUN
36,NCBI,SRR3360939,RUN
37,NCBI,SRR3361340,RUN
38,NCBI,SRR3361341,RUN
39,NCBI,SRR3361342,RUN
40,NCBI,SRR3349546,RUN
41,NCBI,SRR3361343,RUN
42,NCBI,SRR3361344,RUN
43,NCBI,SRR3361345,RUN
44,NCBI,SRR3361346,RUN
45,NCBI,SRR3361347,RUN
46,NCBI,SRR3360943,RUN
47,NCBI,SRR3360944,RUN
48,NCBI,SRR3361349,RUN
49,NCBI,SRR3361350,RUN
50,NCBI,SRR3361351,RUN
51,NCBI,SRR3349554,RUN
52,NCBI,SRR3357077,RUN
53,NCBI,SRR3360947,RUN
54,NCBI,SRR3349557,RUN
55,NCBI,SRR3361352,RUN
56,NCBI,SRR3360949,RUN
57,NCBI,SRR3361353,RUN
58,NCBI,SRR3361354,RUN
59,NCBI,SRR3361355,RUN
60,NCBI,SRR3361356,RUN
61,NCBI,SRR3360605,RUN
62,NCBI,SRR3360606,RUN
63,NCBI,SRR3360950,RUN
64,NCBI,SRR3349563,RUN
65,NCBI,SRR3360607,RUN
66,NCBI,SRR3360953,RUN
67,NCBI,SRR3360608,RUN
68,NCBI,SRR3360609,RUN
69,NCBI,SRR3360610,RUN
70,NCBI,SRR3360612,RUN
71,NCBI,SRR3360613,RUN
72,NCBI,SRR3360614,RUN
73,NCBI,SRR3349568,RUN
74,NCBI,SRR3360615,RUN
75,NCBI,SRR3349573,RUN
76,NCBI,SRR3360616,RUN
77,NCBI,SRR3360617,RUN
78,NCBI,SRR3360618,RUN
79,NCBI,SRR3360619,RUN
80,NCBI,SRR3349577,RUN
81,NCBI,SRR3360622,RUN
82,NCBI,SRR3360964,RUN
83,NCBI,SRR3360624,RUN
84,NCBI,SRR3360625,RUN
85,NCBI,SRR3360967,RUN
86,NCBI,SRR3360970,RUN
87,NCBI,SRR3360627,RUN
88,NCBI,SRR3360628,RUN
89,NCBI,SRR3357157,RUN
90,NCBI,SRR3360629,RUN
91,NCBI,SRR3360630,RUN
92,NCBI,SRR3360632,RUN
93,NCBI,SRR3360980,RUN
94,NCBI,SRR3360633,RUN
95,NCBI,SRR3360634,RUN
96,NCBI,SRR3357160,RUN
97,NCBI,SRR3360981,RUN
98,NCBI,SRR3360982,RUN
99,NCBI,SRR3360983,RUN
100,NCBI,SRR3360635,RUN
101,NCBI,SRR3360984,RUN
102,NCBI,SRR3360636,RUN
103,NCBI,SRR3360637,RUN
104,NCBI,SRR3360638,RUN
105,NCBI,SRR3360639,RUN
106,NCBI,SRR3360991,RUN
107,NCBI,SRR3360640,RUN
108,NCBI,SRR3360641,RUN
109,NCBI,SRR3360642,RUN
110,NCBI,SRR3360993,RUN
111,NCBI,SRR3360644,RUN
112,NCBI,SRR3360645,RUN
113,NCBI,SRR3360646,RUN
114,NCBI,SRR3360647,RUN
115,NCBI,SRR3360648,RUN
116,NCBI,SRR3360649,RUN
117,NCBI,SRR3360650,RUN
118,NCBI,SRR3360651,RUN
119,NCBI,SRR3349601,RUN
120,NCBI,SRR3360652,RUN
121,NCBI,SRR3360766,RUN
122,NCBI,SRR3360653,RUN
123,NCBI,SRR3360654,RUN
124,NCBI,SRR3360771,RUN
125,NCBI,SRR3360772,RUN
126,NCBI,SRR3360774,RUN
127,NCBI,SRR3357181,RUN
128,NCBI,SRR3360658,RUN
129,NCBI,SRR3360659,RUN
130,NCBI,SRR3357186,RUN
131,NCBI,SRR3360810,RUN
132,NCBI,SRR3360811,RUN
133,NCBI,SRR3360661,RUN
134,NCBI,SRR3360662,RUN
135,NCBI,SRR3349615,RUN
136,NCBI,SRR3360813,RUN
137,NCBI,SRR3360663,RUN
138,NCBI,SRR3360664,RUN
139,NCBI,SRR3360665,RUN
140,NCBI,SRR3360667,RUN
141,NCBI,SRR3360669,RUN
142,NCBI,SRR3360670,RUN
143,NCBI,SRR3360671,RUN
144,NCBI,SRR3357191,RUN
145,NCBI,SRR3360672,RUN
146,NCBI,SRR3357192,RUN
147,NCBI,SRR3360674,RUN
148,NCBI,SRR3360827,RUN
149,NCBI,SRR3360829,RUN
150,NCBI,SRR3357194,RUN
151,NCBI,SRR3360675,RUN
152,NCBI,SRR3360832,RUN
153,NCBI,SRR3360677,RUN
154,NCBI,SRR3360678,RUN
155,NCBI,SRR3360679,RUN
156,NCBI,SRR3360680,RUN
157,NCBI,SRR3360681,RUN
158,NCBI,SRR3360836,RUN
159,NCBI,SRR3360683,RUN
160,NCBI,SRR3360684,RUN
161,NCBI,SRR3360685,RUN
162,NCBI,SRR3360686,RUN
163,NCBI,SRR3360687,RUN
164,NCBI,SRR3360688,RUN
165,NCBI,SRR3357229,RUN
166,NCBI,SRR3360689,RUN
167,NCBI,SRR3357246,RUN
168,NCBI,SRR3360690,RUN
169,NCBI,SRR3360691,RUN
170,NCBI,SRR3360692,RUN
171,NCBI,SRR3360846,RUN
172,NCBI,SRR3360694,RUN
173,NCBI,SRR3360696,RUN
174,NCBI,SRR3360697,RUN
175,NCBI,SRR3357252,RUN
176,NCBI,SRR3360698,RUN
177,NCBI,SRR3349658,RUN
178,NCBI,SRR3360700,RUN
179,NCBI,SRR3360851,RUN
180,NCBI,SRR3360701,RUN
181,NCBI,SRR3360702,RUN
182,NCBI,SRR3360703,RUN
183,NCBI,SRR3360854,RUN
184,NCBI,SRR3360704,RUN
185,NCBI,SRR3360705,RUN
186,NCBI,SRR3357260,RUN
187,NCBI,SRR3360706,RUN
188,NCBI,SRR3360707,RUN
189,NCBI,SRR3360708,RUN
190,NCBI,SRR3357263,RUN
191,NCBI,SRR3360709,RUN
192,NCBI,SRR3360710,RUN
193,NCBI,SRR3360711,RUN
194,NCBI,SRR3357264,RUN
195,NCBI,SRR3360712,RUN
196,NCBI,SRR3360713,RUN
197,NCBI,SRR3360714,RUN
198,NCBI,SRR3360867,RUN
199,NCBI,SRR3349673,RUN
200,NCBI,SRR3360715,RUN
201,NCBI,SRR3360716,RUN
202,NCBI,SRR3360717,RUN
203,NCBI,SRR3360718,RUN
204,NCBI,SRR3360872,RUN
205,NCBI,SRR3360719,RUN
206,NCBI,SRR3360720,RUN
207,NCBI,SRR3360721,RUN
208,NCBI,SRR3349688,RUN
209,NCBI,SRR3357288,RUN
210,NCBI,SRR3360722,RUN
211,NCBI,SRR3357289,RUN
212,NCBI,SRR3360876,RUN
213,NCBI,SRR3360723,RUN
214,NCBI,SRR3357305,RUN
215,NCBI,SRR3360883,RUN
216,NCBI,SRR3360725,RUN
217,NCBI,SRR3360726,RUN
218,NCBI,SRR3360727,RUN
219,NCBI,SRR3360728,RUN
220,NCBI,SRR3360729,RUN
221,NCBI,SRR3360730,RUN
222,NCBI,SRR3360731,RUN
223,NCBI,SRR3360889,RUN
224,NCBI,SRR3360733,RUN
225,NCBI,SRR3360734,RUN
226,NCBI,SRR3360735,RUN
227,NCBI,SRR3360736,RUN
228,NCBI,SRR3360890,RUN
229,NCBI,SRR3360737,RUN
230,NCBI,SRR3360738,RUN
231,NCBI,SRR3357314,RUN
232,NCBI,SRR3360893,RUN
233,NCBI,SRR3360743,RUN
234,NCBI,SRR3360745,RUN
235,NCBI,SRR3349726,RUN
236,NCBI,SRR3360746,RUN
237,NCBI,SRR3360747,RUN
238,NCBI,SRR3360748,RUN
239,NCBI,SRR3360749,RUN
240,NCBI,SRR3360750,RUN
241,NCBI,SRR3360751,RUN
