N,Database,Accession,Type
1,NCBI,SRR3241855,RUN
2,NCBI,SRR3578990,RUN
3,NCBI,SRR7230346,RUN
4,NCBI,SRR3241986,RUN
5,NCBI,SRR4788079,RUN
6,NCBI,SRR4897641,RUN
7,NCBI,SRR4787729,RUN
8,NCBI,SRR5023717,RUN
9,NCBI,SRR3240964,RUN
10,NCBI,SRR5023728,RUN
11,NCBI,SRR7286517,RUN
12,NCBI,SRR3241981,RUN
13,NCBI,SRR5023699,RUN
14,NCBI,SRR3240984,RUN
15,NCBI,SRR5023784,RUN
16,NCBI,SRR5023771,RUN
17,NCBI,SRR6008944,RUN
18,NCBI,SRR7184325,RUN
19,NCBI,SRR7401612,RUN
20,NCBI,SRR5018375,RUN
21,NCBI,SRR4897156,RUN
22,NCBI,SRR3578955,RUN
23,NCBI,SRR4786590,RUN
24,NCBI,SRR5023790,RUN
25,NCBI,SRR3530809,RUN
26,NCBI,SRR3581385,RUN
27,NCBI,SRR3579394,RUN
28,NCBI,SRR3581421,RUN
29,NCBI,SRR4184697,RUN
30,NCBI,SRR3578943,RUN
31,NCBI,SRR5024462,RUN
32,NCBI,SRR3579389,RUN
33,NCBI,SRR3581326,RUN
34,NCBI,SRR5005294,RUN
35,NCBI,SRR7204399,RUN
36,NCBI,SRR4787168,RUN
37,NCBI,SRR4897813,RUN
38,NCBI,SRR4787395,RUN
39,NCBI,SRR7249825,RUN
40,NCBI,SRR4787384,RUN
41,NCBI,SRR4788377,RUN
42,NCBI,SRR7223149,RUN
43,NCBI,SRR5006363,RUN
44,NCBI,SRR4786559,RUN
45,NCBI,SRR6009922,RUN
46,NCBI,SRR7265937,RUN
47,NCBI,SRR7249772,RUN
48,NCBI,SRR7186965,RUN
49,NCBI,SRR6009920,RUN
50,NCBI,SRR7184231,RUN
51,NCBI,SRR7184231,RUN
52,NCBI,SRR3578580,RUN
53,NCBI,SRR3581364,RUN
54,NCBI,SRR3581344,RUN
55,NCBI,SRR3579373,RUN
56,NCBI,SRR3574263,RUN
57,NCBI,SRR7286595,RUN
58,NCBI,SRR3578659,RUN
59,NCBI,SRR5023804,RUN
60,NCBI,SRR5023682,RUN
61,NCBI,SRR6375610,RUN
62,NCBI,SRR3241998,RUN
63,NCBI,SRR6375609,RUN
64,NCBI,SRR3241987,RUN
65,NCBI,SRR5023778,RUN
66,NCBI,SRR3240981,RUN
67,NCBI,SRR5023723,RUN
68,NCBI,SRR3240985,RUN
69,NCBI,SRR7286450,RUN
70,NCBI,SRR7215284,RUN
71,NCBI,SRR7283813,RUN
72,NCBI,SRR4181505,RUN
73,NCBI,SRR4181538,RUN
74,NCBI,SRR5005319,RUN
75,NCBI,SRR5029703,RUN
76,NCBI,SRR3581438,RUN
77,NCBI,SRR3579402,RUN
78,NCBI,SRR3581328,RUN
79,NCBI,SRR3581389,RUN
80,NCBI,SRR3578951,RUN
81,NCBI,SRR7191720,RUN
82,NCBI,SRR3574219,RUN
83,NCBI,SRR3574253,RUN
84,NCBI,SRR4897587,RUN
85,NCBI,SRR4897311,RUN
86,NCBI,SRR5005559,RUN
87,NCBI,SRR4787864,RUN
88,NCBI,SRR5006088,RUN
89,NCBI,SRR4897070,RUN
90,NCBI,SRR4787905,RUN
91,NCBI,SRR6009921,RUN
92,NCBI,SRR4787740,RUN
93,NCBI,SRR7249509,RUN
94,NCBI,SRR7285597,RUN
95,NCBI,SRR4897266,RUN
96,NCBI,SRR5005494,RUN
97,NCBI,SRR4787759,RUN
98,NCBI,SRR5006387,RUN
99,NCBI,SRR7367370,RUN
100,NCBI,SRR7291449,RUN
101,NCBI,SRR7163898,RUN
102,NCBI,SRR7163898,RUN
