N,Database,Accession,Type
1,NCBI,SRR5486247,RUN
2,NCBI,SRR5486248,RUN
3,NCBI,SRR5486249,RUN
4,NCBI,SRR5486250,RUN
5,NCBI,SRR5486251,RUN
6,NCBI,SRR5486252,RUN
7,NCBI,SRR5486253,RUN
8,NCBI,SRR5486254,RUN
9,NCBI,SRR5486255,RUN
10,NCBI,SRR5486256,RUN
11,NCBI,SRR5486257,RUN
12,NCBI,SRR5486258,RUN
13,NCBI,SRR5486259,RUN
14,NCBI,SRR5486260,RUN
15,NCBI,SRR5486261,RUN
16,NCBI,SRR5486262,RUN
17,NCBI,SRR5486263,RUN
18,NCBI,SRR5486264,RUN
19,NCBI,SRR5486265,RUN
20,NCBI,SRR5486266,RUN
21,NCBI,SRR5486267,RUN
22,NCBI,SRR5486268,RUN
23,NCBI,SRR5486269,RUN
24,NCBI,SRR5486270,RUN
25,NCBI,SRR5486271,RUN
26,NCBI,SRR5486272,RUN
27,NCBI,SRR5486273,RUN
28,NCBI,SRR5486274,RUN
29,NCBI,SRR5486275,RUN
30,NCBI,SRR5486276,RUN
31,NCBI,SRR5486277,RUN
32,NCBI,SRR5486278,RUN
33,NCBI,SRR5486279,RUN
34,NCBI,SRR5486280,RUN
35,NCBI,SRR5486281,RUN
36,NCBI,SRR5486282,RUN
37,NCBI,SRR5486283,RUN
38,NCBI,SRR5486284,RUN
39,NCBI,SRR5486285,RUN
40,NCBI,SRR5486286,RUN
41,NCBI,SRR5486287,RUN
42,NCBI,SRR5486288,RUN
43,NCBI,SRR5486289,RUN
44,NCBI,SRR5486290,RUN
45,NCBI,SRR5486291,RUN
46,NCBI,SRR5486292,RUN
47,NCBI,SRR5486293,RUN
48,NCBI,SRR5486294,RUN
49,NCBI,SRR5486295,RUN
50,NCBI,SRR5486296,RUN
51,NCBI,SRR5486297,RUN
52,NCBI,SRR5486298,RUN
53,NCBI,SRR5486299,RUN
54,NCBI,SRR5486300,RUN
55,NCBI,SRR5486301,RUN
56,NCBI,SRR5486302,RUN
57,NCBI,SRR5486303,RUN
58,NCBI,SRR5486305,RUN
59,NCBI,SRR5486306,RUN
60,NCBI,SRR5486307,RUN
61,NCBI,SRR5486308,RUN
62,NCBI,SRR5486309,RUN
63,NCBI,SRR5486310,RUN
64,NCBI,SRR5486311,RUN
65,NCBI,SRR5486312,RUN
66,NCBI,SRR5486313,RUN
67,NCBI,SRR5486314,RUN
68,NCBI,SRR5486315,RUN
69,NCBI,SRR5486316,RUN
70,NCBI,SRR5486317,RUN
71,NCBI,SRR5486318,RUN
72,NCBI,SRR5486319,RUN
73,NCBI,SRR5486320,RUN
74,NCBI,SRR5486321,RUN
75,NCBI,SRR5486322,RUN
76,NCBI,SRR5486323,RUN
77,NCBI,SRR5486324,RUN
78,NCBI,SRR5486325,RUN
79,NCBI,SRR5486326,RUN
80,NCBI,SRR5486327,RUN
81,NCBI,SRR5486328,RUN
82,NCBI,SRR5486329,RUN
83,NCBI,SRR5486330,RUN
84,NCBI,SRR5486331,RUN
85,NCBI,SRR5486332,RUN
86,NCBI,SRR5486333,RUN
87,NCBI,SRR5486334,RUN
88,NCBI,SRR5486335,RUN
89,NCBI,SRR5486336,RUN
90,NCBI,SRR5486337,RUN
91,NCBI,SRR5486338,RUN
92,NCBI,SRR5486339,RUN
93,NCBI,SRR5486340,RUN
94,NCBI,SRR5486341,RUN
95,NCBI,SRR5486342,RUN
96,NCBI,SRR5486343,RUN
97,NCBI,SRR5486344,RUN
98,NCBI,SRR5486345,RUN
99,NCBI,SRR5486346,RUN
100,NCBI,SRR5486347,RUN
101,NCBI,SRR5486348,RUN
102,NCBI,SRR5486349,RUN
