N,Database,Accession,Type
1,NA,PHZV00000000,CONTIG
2,NA,PHZT00000000,CONTIG
3,NA,PHZQ00000000,CONTIG
4,NA,PHZP00000000,CONTIG
5,NA,PHZO00000000,CONTIG
6,NA,PHZN00000000,CONTIG
7,NA,PHZM00000000,CONTIG
8,NA,PIBI00000000,CONTIG
9,NA,PIBH00000000,CONTIG
10,NA,PIBG00000000,CONTIG
11,NA,PIBF00000000,CONTIG
12,NA,PIBE00000000,CONTIG
13,NA,PIBD00000000,CONTIG
14,NA,PIBC00000000,CONTIG
15,NA,PIBB00000000,CONTIG
16,NA,PIBA00000000,CONTIG
17,NA,PHZL00000000,CONTIG
18,NA,PHZA00000000,CONTIG
19,NA,PIAZ00000000,CONTIG
20,NA,PIAY00000000,CONTIG
21,NA,PIAX00000000,CONTIG
22,NA,PHZK00000000,CONTIG
23,NA,PHZF00000000,CONTIG
24,NA,PIAV00000000,CONTIG
25,NA,PIAU00000000,CONTIG
26,NA,PIAT00000000,CONTIG
27,NA,PIAS00000000,CONTIG
28,NA,PIAR00000000,CONTIG
29,NA,PIAQ00000000,CONTIG
30,NA,PITT00000000,CONTIG
31,NA,PIAP00000000,CONTIG
32,NA,PIAO00000000,CONTIG
33,NA,PIAN00000000,CONTIG
34,NA,PIAM00000000,CONTIG
35,NA,PHXK00000000,CONTIG
36,NA,PHXJ00000000,CONTIG
37,NA,PIAL00000000,CONTIG
38,NA,PIAK00000000,CONTIG
39,NA,PHXH00000000,CONTIG
40,NA,PIAJ00000000,CONTIG
41,NA,PHYU00000000,CONTIG
42,NA,PHYR00000000,CONTIG
43,NA,PHYQ00000000,CONTIG
44,NA,PHYY00000000,CONTIG
45,NA,PHZE00000000,CONTIG
46,NA,PIAI00000000,CONTIG
47,NA,PIAG00000000,CONTIG
48,NA,PIAF00000000,CONTIG
49,NA,PIAE00000000,CONTIG
50,NA,PIAD00000000,CONTIG
51,NA,PIAC00000000,CONTIG
52,NA,PIAB00000000,CONTIG
53,NA,PIAA00000000,CONTIG
54,NA,PHZZ00000000,CONTIG
55,NA,PHZY00000000,CONTIG
56,NA,PHZX00000000,CONTIG
57,NA,PHZW00000000,CONTIG
58,NA,PHZI00000000,CONTIG
59,NA,PHZH00000000,CONTIG
60,NA,PHZG00000000,CONTIG
61,NA,PHXO00000000,CONTIG
62,NA,PHXN00000000,CONTIG
63,NA,PHXM00000000,CONTIG
64,NA,PHXL00000000,CONTIG
65,NA,PHXI00000000,CONTIG
66,NA,PHXC00000000,CONTIG
67,NA,PHXB00000000,CONTIG
68,NA,PHXA00000000,CONTIG
69,NA,PHYP00000000,CONTIG
70,NA,PHYN00000000,CONTIG
71,NA,PHYM00000000,CONTIG
72,NA,PHYL00000000,CONTIG
73,NA,PHYK00000000,CONTIG
74,NA,PHYJ00000000,CONTIG
75,NA,PHYI00000000,CONTIG
76,NA,PHYH00000000,CONTIG
77,NA,PHYG00000000,CONTIG
78,NA,PHYF00000000,CONTIG
79,NA,PHYE00000000,CONTIG
80,NA,PHYD00000000,CONTIG
81,NA,PHYC00000000,CONTIG
82,NA,PHYB00000000,CONTIG
83,NA,PHXX00000000,CONTIG
84,NA,PHXW00000000,CONTIG
85,NA,PHXV00000000,CONTIG
86,NA,PHXS00000000,CONTIG
87,NA,PHXR00000000,CONTIG
88,NA,PHXP00000000,CONTIG
89,NA,PHXG00000000,CONTIG
90,NA,PHXF00000000,CONTIG
91,NA,PHXE00000000,CONTIG
92,NA,PHXD00000000,CONTIG
93,NA,PITS00000000,CONTIG
94,NA,PHYX00000000,CONTIG
95,NA,PHYT00000000,CONTIG
