N,Database,Accession,Type
1,NCBI,SRR1577810,RUN
2,NCBI,SRR1577821,RUN
3,NCBI,SRR1577808,RUN
4,NCBI,SRR1577811,RUN
5,NCBI,SRR1577809,RUN
6,NCBI,SRR1577806,RUN
7,ENA,ERR551223,RUN
8,ENA,ERR552204,RUN
9,ENA,ERR551085,RUN
10,ENA,ERR551150,RUN
11,ENA,ERR553349,RUN
12,ENA,ERR552113,RUN
13,ENA,ERR552505,RUN
14,ENA,ERR552942,RUN
15,ENA,ERR552440,RUN
16,ENA,ERR550647,RUN
17,ENA,ERR552659,RUN
18,ENA,ERR551858,RUN
19,ENA,ERR498374,RUN
20,ENA,ERR552676,RUN
21,ENA,ERR550975,RUN
22,ENA,ERR551751,RUN
23,ENA,ERR552249,RUN
24,ENA,ERR552232,RUN
25,ENA,ERR552845,RUN
26,ENA,ERR552813,RUN
27,ENA,ERR553054,RUN
28,ENA,ERR551932,RUN
29,ENA,ERR553379,RUN
30,ENA,ERR553296,RUN
31,ENA,ERR550955,RUN
32,ENA,ERR551839,RUN
33,ENA,ERR551652,RUN
34,ENA,ERR552019,RUN
35,ENA,ERR552984,RUN
36,ENA,ERR551507,RUN
37,ENA,ERR553140,RUN
38,ENA,ERR552371,RUN
39,ENA,ERR551276,RUN
40,ENA,ERR551313,RUN
41,ENA,ERR551836,RUN
42,ENA,ERR551508,RUN
43,ENA,ERR551803,RUN
44,ENA,ERR550653,RUN
45,ENA,ERR551257,RUN
46,ENA,ERR552941,RUN
47,ENA,ERR552502,RUN
48,ENA,ERR553196,RUN
49,ENA,ERR552220,RUN
50,ENA,ERR552736,RUN
51,ENA,ERR553076,RUN
52,ENA,ERR550698,RUN
53,ENA,ERR552240,RUN
54,ENA,ERR551178,RUN
55,ENA,ERR551716,RUN
56,ENA,ERR551698,RUN
57,ENA,ERR550886,RUN
58,ENA,ERR552906,RUN
59,ENA,ERR551138,RUN
60,ENA,ERR552051,RUN
61,ENA,ERR553217,RUN
62,ENA,ERR550923,RUN
63,ENA,ERR552200,RUN
64,ENA,ERR551489,RUN
65,ENA,ERR552377,RUN
66,ENA,ERR552104,RUN
67,ENA,ERR551095,RUN
68,ENA,ERR552886,RUN
69,ENA,ERR552898,RUN
70,ENA,ERR552364,RUN
71,ENA,ERR551846,RUN
72,ENA,ERR552050,RUN
73,ENA,ERR551269,RUN
74,ENA,ERR552320,RUN
75,ENA,ERR551538,RUN
76,ENA,ERR552846,RUN
77,ENA,ERR551469,RUN
78,ENA,ERR553138,RUN
79,ENA,ERR552317,RUN
80,ENA,ERR551900,RUN
81,ENA,ERR551462,RUN
82,ENA,ERR553056,RUN
83,ENA,ERR551294,RUN
84,ENA,ERR553195,RUN
85,ENA,ERR553153,RUN
86,ENA,ERR553139,RUN
87,ENA,ERR550650,RUN
88,ENA,ERR551637,RUN
89,ENA,ERR552586,RUN
90,ENA,ERR552983,RUN
91,ENA,ERR552090,RUN
92,ENA,ERR551266,RUN
93,ENA,ERR550997,RUN
94,ENA,ERR552591,RUN
95,ENA,ERR550876,RUN
96,ENA,ERR551479,RUN
97,ENA,ERR552030,RUN
98,ENA,ERR551302,RUN
99,ENA,ERR551856,RUN
100,ENA,ERR551917,RUN
101,ENA,ERR550689,RUN
102,ENA,ERR550878,RUN
103,ENA,ERR550820,RUN
104,ENA,ERR553245,RUN
105,ENA,ERR552608,RUN
106,ENA,ERR553109,RUN
107,ENA,ERR550877,RUN
108,ENA,ERR551476,RUN
109,ENA,ERR551703,RUN
110,ENA,ERR551343,RUN
111,ENA,ERR551131,RUN
112,ENA,ERR550652,RUN
113,ENA,ERR553169,RUN
114,ENA,ERR550742,RUN
115,ENA,ERR552852,RUN
116,ENA,ERR553190,RUN
117,ENA,ERR551691,RUN
118,ENA,ERR551498,RUN
119,ENA,ERR552292,RUN
120,ENA,ERR552334,RUN
121,ENA,ERR553341,RUN
122,ENA,ERR550803,RUN
123,ENA,ERR551355,RUN
124,ENA,ERR553240,RUN
125,ENA,ERR551001,RUN
126,ENA,ERR551163,RUN
127,ENA,ERR551323,RUN
128,ENA,ERR553100,RUN
129,ENA,ERR550702,RUN
130,ENA,ERR551756,RUN
131,ENA,ERR552874,RUN
132,ENA,ERR551473,RUN
133,ENA,ERR553257,RUN
134,ENA,ERR551402,RUN
135,ENA,ERR553008,RUN
136,ENA,ERR550954,RUN
137,ENA,ERR551144,RUN
138,ENA,ERR551669,RUN
139,ENA,ERR550760,RUN
140,ENA,ERR552571,RUN
141,ENA,ERR553331,RUN
142,ENA,ERR552167,RUN
143,ENA,ERR551593,RUN
144,ENA,ERR552012,RUN
145,ENA,ERR552742,RUN
146,ENA,ERR551002,RUN
147,ENA,ERR551046,RUN
148,ENA,ERR551656,RUN
149,ENA,ERR552903,RUN
150,ENA,ERR552338,RUN
151,ENA,ERR552613,RUN
152,ENA,ERR553208,RUN
153,ENA,ERR552438,RUN
154,ENA,ERR550789,RUN
155,ENA,ERR553307,RUN
156,ENA,ERR552525,RUN
157,ENA,ERR552114,RUN
158,ENA,ERR553368,RUN
159,ENA,ERR552384,RUN
160,ENA,ERR552061,RUN
161,ENA,ERR553052,RUN
162,ENA,ERR551660,RUN
163,ENA,ERR552795,RUN
164,ENA,ERR550686,RUN
165,ENA,ERR550925,RUN
166,ENA,ERR551405,RUN
167,ENA,ERR550793,RUN
168,ENA,ERR551234,RUN
169,ENA,ERR552694,RUN
170,ENA,ERR552256,RUN
171,ENA,ERR552266,RUN
172,ENA,ERR552501,RUN
173,ENA,ERR551727,RUN
174,ENA,ERR551923,RUN
175,ENA,ERR551304,RUN
176,ENA,ERR553163,RUN
177,ENA,ERR552709,RUN
178,ENA,ERR550736,RUN
179,ENA,ERR551410,RUN
180,ENA,ERR551268,RUN
181,ENA,ERR551368,RUN
182,ENA,ERR551934,RUN
183,ENA,ERR552062,RUN
184,ENA,ERR552831,RUN
185,ENA,ERR552459,RUN
186,ENA,ERR551327,RUN
187,ENA,ERR553238,RUN
188,ENA,ERR551916,RUN
189,ENA,ERR553065,RUN
190,ENA,ERR552752,RUN
191,ENA,ERR551664,RUN
192,ENA,ERR552063,RUN
193,ENA,ERR551008,RUN
194,ENA,ERR550769,RUN
195,ENA,ERR552773,RUN
196,ENA,ERR551335,RUN
197,ENA,ERR551876,RUN
198,ENA,ERR550790,RUN
199,ENA,ERR551270,RUN
200,ENA,ERR551958,RUN
201,ENA,ERR552092,RUN
202,ENA,ERR550797,RUN
203,ENA,ERR551271,RUN
204,ENA,ERR553336,RUN
205,ENA,ERR552975,RUN
206,ENA,ERR551859,RUN
207,ENA,ERR551394,RUN
208,ENA,ERR551814,RUN
209,ENA,ERR552626,RUN
210,ENA,ERR551781,RUN
211,ENA,ERR550787,RUN
212,ENA,ERR551645,RUN
213,ENA,ERR552214,RUN
214,ENA,ERR552601,RUN
215,ENA,ERR553043,RUN
216,ENA,ERR550986,RUN
217,ENA,ERR552175,RUN
218,ENA,ERR553075,RUN
219,ENA,ERR550710,RUN
220,ENA,ERR551349,RUN
221,ENA,ERR553324,RUN
222,ENA,ERR552268,RUN
223,ENA,ERR552233,RUN
224,ENA,ERR552054,RUN
225,ENA,ERR551783,RUN
226,ENA,ERR550617,RUN
227,ENA,ERR551238,RUN
228,ENA,ERR552027,RUN
229,ENA,ERR551837,RUN
230,ENA,ERR550948,RUN
231,ENA,ERR552948,RUN
232,ENA,ERR553312,RUN
233,ENA,ERR551632,RUN
234,ENA,ERR553219,RUN
235,ENA,ERR551732,RUN
236,ENA,ERR551243,RUN
237,ENA,ERR552183,RUN
238,ENA,ERR550840,RUN
239,ENA,ERR553346,RUN
240,ENA,ERR551598,RUN
241,ENA,ERR553160,RUN
242,ENA,ERR552904,RUN
243,ENA,ERR553303,RUN
244,ENA,ERR551050,RUN
245,ENA,ERR553235,RUN
246,ENA,ERR553255,RUN
247,ENA,ERR551533,RUN
248,ENA,ERR551631,RUN
249,ENA,ERR552581,RUN
250,ENA,ERR552665,RUN
251,ENA,ERR551426,RUN
252,ENA,ERR551483,RUN
253,ENA,ERR552499,RUN
254,ENA,ERR553291,RUN
255,ENA,ERR551714,RUN
256,ENA,ERR551420,RUN
257,ENA,ERR551867,RUN
258,ENA,ERR551795,RUN
259,ENA,ERR550908,RUN
260,ENA,ERR551501,RUN
261,ENA,ERR552165,RUN
262,ENA,ERR552712,RUN
263,ENA,ERR550926,RUN
264,ENA,ERR551741,RUN
265,ENA,ERR553277,RUN
266,ENA,ERR551912,RUN
267,ENA,ERR551357,RUN
268,ENA,ERR552535,RUN
269,ENA,ERR551779,RUN
270,ENA,ERR551633,RUN
271,ENA,ERR551552,RUN
272,ENA,ERR551580,RUN
273,ENA,ERR553301,RUN
274,ENA,ERR552465,RUN
275,ENA,ERR550875,RUN
276,ENA,ERR552130,RUN
277,ENA,ERR552186,RUN
278,ENA,ERR552897,RUN
279,ENA,ERR552099,RUN
280,ENA,ERR551435,RUN
281,ENA,ERR552144,RUN
282,ENA,ERR551381,RUN
283,ENA,ERR551296,RUN
284,ENA,ERR551244,RUN
285,ENA,ERR551690,RUN
286,ENA,ERR553251,RUN
287,ENA,ERR552449,RUN
288,ENA,ERR552881,RUN
289,ENA,ERR552697,RUN
290,ENA,ERR551562,RUN
291,ENA,ERR552920,RUN
292,ENA,ERR553340,RUN
293,ENA,ERR551811,RUN
294,ENA,ERR552816,RUN
295,ENA,ERR552106,RUN
296,ENA,ERR552609,RUN
297,ENA,ERR553237,RUN
298,ENA,ERR552971,RUN
299,ENA,ERR551926,RUN
300,ENA,ERR553137,RUN
301,ENA,ERR551106,RUN
302,ENA,ERR551558,RUN
303,ENA,ERR552447,RUN
304,ENA,ERR552607,RUN
305,ENA,ERR551878,RUN
306,ENA,ERR552951,RUN
307,ENA,ERR552217,RUN
308,ENA,ERR553170,RUN
309,ENA,ERR552123,RUN
310,ENA,ERR551987,RUN
311,ENA,ERR552347,RUN
312,ENA,ERR551429,RUN
313,ENA,ERR551768,RUN
314,ENA,ERR550642,RUN
315,ENA,ERR551884,RUN
316,ENA,ERR552985,RUN
317,ENA,ERR552511,RUN
318,ENA,ERR553112,RUN
319,ENA,ERR553156,RUN
320,ENA,ERR551486,RUN
321,ENA,ERR553079,RUN
322,ENA,ERR552567,RUN
