N,Database,Accession,Type
1,ENA,ERR419131,RUN
2,ENA,ERR419132,RUN
3,ENA,ERR419135,RUN
4,ENA,ERR419136,RUN
5,ENA,ERR419138,RUN
6,ENA,ERR419139,RUN
7,ENA,ERR419140,RUN
8,ENA,ERR419141,RUN
9,ENA,ERR419145,RUN
10,ENA,ERR419146,RUN
11,ENA,ERR419155,RUN
12,ENA,ERR419154,RUN
13,ENA,ERR419156,RUN
14,ENA,ERR419160,RUN
15,ENA,ERR419161,RUN
16,ENA,ERR419162,RUN
17,ENA,ERR419165,RUN
18,ENA,ERR419166,RUN
19,ENA,ERR419167,RUN
20,ENA,ERR419168,RUN
21,ENA,ERR419172,RUN
22,ENA,ERR419175,RUN
23,ENA,ERR419176,RUN
24,ENA,ERR419180,RUN
25,ENA,ERR419183,RUN
26,ENA,ERR419184,RUN
27,ENA,ERR419190,RUN
28,ENA,ERR419191,RUN
29,ENA,ERR419192,RUN
30,ENA,ERR419196,RUN
31,ENA,ERR419200,RUN
32,ENA,ERR419197,RUN
33,ENA,ERR419204,RUN
34,ENA,ERR419206,RUN
35,ENA,ERR419207,RUN
36,ENA,ERR419209,RUN
37,ENA,ERR419210,RUN
38,ENA,ERR419215,RUN
39,ENA,ERR419217,RUN
40,ENA,ERR419221,RUN
41,ENA,ERR419223,RUN
42,ENA,ERR419224,RUN
43,ENA,ERR419226,RUN
44,ENA,ERR419227,RUN
45,ENA,ERR419228,RUN
46,ENA,ERR419229,RUN
47,ENA,ERR419235,RUN
48,ENA,ERR419237,RUN
49,ENA,ERR419239,RUN
50,ENA,ERR419241,RUN
52,ENA,ERR1069919,RUN
338,NCBI,SRR1206476,RUN
339,ENA,ERR418327,RUN
340,ENA,ERR418516,RUN
341,ENA,ERR418522,RUN
342,ENA,ERR418666,RUN
343,ENA,ERR418525,RUN
344,ENA,ERR418777,RUN
345,ENA,ERR418673,RUN
346,ENA,ERR418674,RUN
347,ENA,ERR418395,RUN
348,ENA,ERR418396,RUN
349,ENA,ERR418671,RUN
350,ENA,ERR418394,RUN
351,ENA,ERR418328,RUN
352,ENA,ERR418330,RUN
353,ENA,ERR418331,RUN
354,ENA,ERR418618,RUN
355,ENA,ERR418613,RUN
356,ENA,ERR418614,RUN
357,ENA,ERR418610,RUN
358,ENA,ERR418611,RUN
359,ENA,ERR418489,RUN
360,ENA,ERR418490,RUN
361,ENA,ERR418601,RUN
362,ENA,ERR418596,RUN
363,ENA,ERR418599,RUN
364,ENA,ERR418593,RUN
365,ENA,ERR418592,RUN
366,ENA,ERR418594,RUN
367,ENA,ERR418740,RUN
368,ENA,ERR418741,RUN
369,ENA,ERR418739,RUN
370,ENA,ERR418744,RUN
371,ENA,ERR418745,RUN
372,ENA,ERR418742,RUN
373,ENA,ERR418743,RUN
374,ENA,ERR418746,RUN
375,ENA,ERR418662,RUN
376,ENA,ERR410065,RUN
377,ENA,ERR410069,RUN
378,ENA,ERR410070,RUN
379,ENA,ERR410071,RUN
380,ENA,ERR410072,RUN
381,ENA,ERR410073,RUN
382,ENA,ERR410075,RUN
383,ENA,ERR410078,RUN
384,ENA,ERR410080,RUN
385,ENA,ERR410081,RUN
386,ENA,ERR410085,RUN
387,ENA,ERR410088,RUN
388,ENA,ERR410089,RUN
389,ENA,ERR410090,RUN
390,ENA,ERR410093,RUN
391,ENA,ERR410095,RUN
392,ENA,ERR410097,RUN
393,ENA,ERR410098,RUN
394,ENA,ERR410099,RUN
395,ENA,ERR410102,RUN
396,ENA,ERR410101,RUN
397,ENA,ERR410104,RUN
398,ENA,ERR410107,RUN
399,ENA,ERR410109,RUN
400,ENA,ERR410110,RUN
401,ENA,ERR410111,RUN
402,ENA,ERR410112,RUN
403,ENA,ERR410114,RUN
404,ENA,ERR410118,RUN
405,ENA,ERR410120,RUN
406,ENA,ERR410122,RUN
407,ENA,ERR410123,RUN
408,ENA,ERR410124,RUN
409,ENA,ERR418850,RUN
410,ENA,ERR418851,RUN
411,ENA,ERR418852,RUN
412,ENA,ERR418854,RUN
413,ENA,ERR418855,RUN
414,ENA,ERR418856,RUN
415,ENA,ERR418859,RUN
416,ENA,ERR418864,RUN
417,ENA,ERR418867,RUN
418,ENA,ERR418866,RUN
419,ENA,ERR418870,RUN
420,ENA,ERR418872,RUN
421,ENA,ERR418873,RUN
422,ENA,ERR418874,RUN
423,ENA,ERR418877,RUN
424,ENA,ERR418878,RUN
425,ENA,ERR418879,RUN
426,ENA,ERR418882,RUN
427,ENA,ERR418881,RUN
428,ENA,ERR418885,RUN
429,ENA,ERR418889,RUN
430,ENA,ERR418892,RUN
431,ENA,ERR418897,RUN
432,ENA,ERR418906,RUN
433,ENA,ERR418923,RUN
434,ENA,ERR418925,RUN
435,ENA,ERR418928,RUN
436,ENA,ERR418931,RUN
437,ENA,ERR418932,RUN
438,ENA,ERR418934,RUN
439,ENA,ERR418935,RUN
440,ENA,ERR418936,RUN
441,ENA,ERR418938,RUN
442,ENA,ERR418939,RUN
443,ENA,ERR410126,RUN
444,ENA,ERR410127,RUN
445,ENA,ERR410129,RUN
446,ENA,ERR410130,RUN
447,ENA,ERR410131,RUN
448,ENA,ERR410132,RUN
449,ENA,ERR410135,RUN
450,ENA,ERR410136,RUN
451,ENA,ERR418945,RUN
452,ENA,ERR418948,RUN
453,ENA,ERR418949,RUN
454,ENA,ERR418952,RUN
455,ENA,ERR418954,RUN
456,ENA,ERR418955,RUN
457,ENA,ERR418957,RUN
458,ENA,ERR418958,RUN
459,ENA,ERR418959,RUN
460,ENA,ERR418964,RUN
461,ENA,ERR418967,RUN
462,ENA,ERR418970,RUN
463,ENA,ERR418971,RUN
464,ENA,ERR418973,RUN
465,ENA,ERR418974,RUN
466,ENA,ERR418977,RUN
467,ENA,ERR418978,RUN
468,ENA,ERR418980,RUN
469,ENA,ERR418981,RUN
470,ENA,ERR418982,RUN
471,ENA,ERR418983,RUN
472,ENA,ERR418984,RUN
473,ENA,ERR418985,RUN
474,ENA,ERR418987,RUN
475,ENA,ERR418989,RUN
476,ENA,ERR418990,RUN
477,ENA,ERR418991,RUN
478,ENA,ERR418992,RUN
479,ENA,ERR418993,RUN
480,ENA,ERR418994,RUN
481,ENA,ERR419002,RUN
482,ENA,ERR419003,RUN
483,ENA,ERR419008,RUN
484,ENA,ERR419010,RUN
485,ENA,ERR419011,RUN
486,ENA,ERR419013,RUN
487,ENA,ERR419014,RUN
488,ENA,ERR419016,RUN
489,ENA,ERR419017,RUN
490,ENA,ERR419020,RUN
491,ENA,ERR419021,RUN
492,ENA,ERR419022,RUN
493,ENA,ERR419023,RUN
494,ENA,ERR419024,RUN
495,ENA,ERR419025,RUN
496,ENA,ERR419034,RUN
497,ENA,ERR419035,RUN
498,ENA,ERR419037,RUN
499,ENA,ERR419038,RUN
500,ENA,ERR419039,RUN
501,ENA,ERR419040,RUN
502,ENA,ERR419042,RUN
503,ENA,ERR419043,RUN
504,ENA,ERR419045,RUN
505,ENA,ERR419046,RUN
506,ENA,ERR419047,RUN
507,ENA,ERR419048,RUN
508,ENA,ERR419049,RUN
509,ENA,ERR419050,RUN
510,ENA,ERR419054,RUN
511,ENA,ERR419055,RUN
512,ENA,ERR419056,RUN
513,ENA,ERR419061,RUN
514,ENA,ERR419063,RUN
515,ENA,ERR419064,RUN
516,ENA,ERR419065,RUN
517,ENA,ERR419066,RUN
518,ENA,ERR419067,RUN
519,ENA,ERR419069,RUN
520,ENA,ERR419073,RUN
521,ENA,ERR419074,RUN
522,ENA,ERR419075,RUN
523,ENA,ERR419076,RUN
524,ENA,ERR419078,RUN
525,ENA,ERR419081,RUN
526,ENA,ERR419083,RUN
527,ENA,ERR419084,RUN
528,ENA,ERR419086,RUN
529,ENA,ERR419090,RUN
530,ENA,ERR419091,RUN
531,ENA,ERR419094,RUN
532,ENA,ERR419096,RUN
533,ENA,ERR419097,RUN
534,ENA,ERR419098,RUN
535,ENA,ERR419099,RUN
536,ENA,ERR419100,RUN
537,ENA,ERR419101,RUN
538,ENA,ERR419105,RUN
539,ENA,ERR419107,RUN
540,ENA,ERR419109,RUN
541,ENA,ERR419110,RUN
542,ENA,ERR419112,RUN
543,ENA,ERR419118,RUN
544,ENA,ERR419119,RUN
545,ENA,ERR419120,RUN
546,ENA,ERR419121,RUN
547,ENA,ERR419122,RUN
548,ENA,ERR419123,RUN
549,ENA,ERR419124,RUN
550,ENA,ERR419125,RUN
551,ENA,ERR419126,RUN
552,ENA,ERR419127,RUN
553,NCBI,SRR2101499,RUN
554,ENA,ERR419130,RUN
555,ENA,ERR419133,RUN
556,ENA,ERR419134,RUN
