N,Database,Accession,Type
1,NCBI,SRR1177335,RUN
2,NCBI,SRR1177356,RUN
3,NCBI,SRR1177360,RUN
4,NCBI,SRR1177369,RUN
5,NCBI,SRR1181521,RUN
6,NCBI,SRR1181529,RUN
7,NCBI,SRR1181532,RUN
8,NCBI,SRR1181559,RUN
9,NCBI,SRR1181560,RUN
10,NCBI,SRR1185781,RUN
11,NCBI,SRR1185792,RUN
12,NCBI,SRR1195625,RUN
13,NCBI,SRR1195631,RUN
14,NCBI,SRR1195643,RUN
15,NCBI,SRR1195649,RUN
16,NCBI,SRR1195663,RUN
17,NCBI,SRR1195666,RUN
18,NCBI,SRR1198931,RUN
19,NCBI,SRR1198961,RUN
20,NCBI,SRR1198962,RUN
21,NCBI,SRR1198972,RUN
22,NCBI,SRR1200747,RUN
23,NCBI,SRR1200749,RUN
24,NCBI,SRR1200759,RUN
25,NCBI,SRR1200761,RUN
26,NCBI,SRR1200762,RUN
27,NCBI,SRR1200765,RUN
28,NCBI,SRR1200766,RUN
29,NCBI,SRR1200767,RUN
30,NCBI,SRR1202983,RUN
31,NCBI,SRR1202996,RUN
32,NCBI,SRR1203013,RUN
33,NCBI,SRR1203017,RUN
34,NCBI,SRR1203018,RUN
35,NCBI,SRR1203028,RUN
36,NCBI,SRR1203044,RUN
37,NCBI,SRR1220702,RUN
38,NCBI,SRR1220745,RUN
39,NCBI,SRR1220766,RUN
40,NCBI,SRR1220770,RUN
41,NCBI,SRR1220800,RUN
42,NCBI,SRR1257274,RUN
43,NCBI,SRR1257280,RUN
44,NCBI,SRR1257300,RUN
45,NCBI,SRR1272524,RUN
46,NCBI,SRR1272862,RUN
47,NCBI,SRR1272872,RUN
48,NCBI,SRR1272895,RUN
49,NCBI,SRR1292273,RUN
50,NCBI,SRR1292319,RUN
51,NCBI,SRR1299219,RUN
52,NCBI,SRR1299285,RUN
53,NCBI,SRR1299286,RUN
54,NCBI,SRR1299292,RUN
55,NCBI,SRR1299301,RUN
56,NCBI,SRR1299361,RUN
57,NCBI,SRR1299367,RUN
58,NCBI,SRR1299398,RUN
59,NCBI,SRR1299430,RUN
60,NCBI,SRR1299431,RUN
61,NCBI,SRR1300555,RUN
62,NCBI,SRR1300605,RUN
63,NCBI,SRR1300612,RUN
64,NCBI,SRR1300670,RUN
65,NCBI,SRR1300728,RUN
66,NCBI,SRR1300733,RUN
67,NCBI,SRR1334376,RUN
68,NCBI,SRR1334378,RUN
69,NCBI,SRR1334639,RUN
70,NCBI,SRR1363286,RUN
71,NCBI,SRR1363287,RUN
72,NCBI,SRR1363291,RUN
73,NCBI,SRR1363299,RUN
74,NCBI,SRR1363301,RUN
75,NCBI,SRR1363314,RUN
76,NCBI,SRR1363315,RUN
77,NCBI,SRR1363316,RUN
78,NCBI,SRR1363330,RUN
79,NCBI,SRR1363331,RUN
80,NCBI,SRR1363345,RUN
81,NCBI,SRR1514713,RUN
82,NCBI,SRR1514721,RUN
83,NCBI,SRR1514723,RUN
84,NCBI,SRR1514724,RUN
85,NCBI,SRR1514746,RUN
86,NCBI,SRR1521525,RUN
87,NCBI,SRR1521560,RUN
88,NCBI,SRR1525263,RUN
89,NCBI,SRR1525269,RUN
90,NCBI,SRR1525275,RUN
91,NCBI,SRR1525277,RUN
92,NCBI,SRR1528470,RUN
93,NCBI,SRR1528472,RUN
94,NCBI,SRR1528473,RUN
95,NCBI,SRR1528479,RUN
96,NCBI,SRR1528486,RUN
97,NCBI,SRR1528495,RUN
98,NCBI,SRR1528506,RUN
99,NCBI,SRR1528507,RUN
100,NCBI,SRR1528508,RUN
101,NCBI,SRR1528512,RUN
102,NCBI,SRR1528526,RUN
103,NCBI,SRR1528530,RUN
104,NCBI,SRR1528536,RUN
105,NCBI,SRR1534823,RUN
106,NCBI,SRR1534824,RUN
107,NCBI,SRR1534878,RUN
108,NCBI,SRR1534888,RUN
109,NCBI,SRR1534903,RUN
110,NCBI,SRR1544145,RUN
111,NCBI,SRR1544152,RUN
112,NCBI,SRR1544176,RUN
113,NCBI,SRR1544207,RUN
114,NCBI,SRR1544208,RUN
115,NCBI,SRR1544231,RUN
116,NCBI,SRR1544239,RUN
117,NCBI,SRR1544370,RUN
118,NCBI,SRR1544391,RUN
119,NCBI,SRR1544414,RUN
120,NCBI,SRR1544415,RUN
121,NCBI,SRR1544424,RUN
122,NCBI,SRR1553754,RUN
123,NCBI,SRR1553836,RUN
124,NCBI,SRR1553842,RUN
125,NCBI,SRR1553843,RUN
126,NCBI,SRR1553886,RUN
127,NCBI,SRR1553905,RUN
128,NCBI,SRR1556071,RUN
129,NCBI,SRR1556095,RUN
130,NCBI,SRR1556103,RUN
131,NCBI,SRR1556107,RUN
132,NCBI,SRR1556115,RUN
133,NCBI,SRR1556947,RUN
134,NCBI,SRR1556965,RUN
135,NCBI,SRR1556968,RUN
136,NCBI,SRR1556980,RUN
137,NCBI,SRR1556982,RUN
138,NCBI,SRR1556983,RUN
139,NCBI,SRR1562587,RUN
140,NCBI,SRR1562593,RUN
141,NCBI,SRR1562599,RUN
142,NCBI,SRR1562608,RUN
143,NCBI,SRR1562638,RUN
144,NCBI,SRR1562659,RUN
145,NCBI,SRR1562660,RUN
146,NCBI,SRR1573561,RUN
147,NCBI,SRR1573563,RUN
148,NCBI,SRR1573571,RUN
149,NCBI,SRR1573572,RUN
150,NCBI,SRR1573573,RUN
151,NCBI,SRR1574259,RUN
152,NCBI,SRR1574278,RUN
153,NCBI,SRR1574281,RUN
154,NCBI,SRR1574310,RUN
155,NCBI,SRR1582170,RUN
156,NCBI,SRR1582177,RUN
157,NCBI,SRR1582188,RUN
158,NCBI,SRR1583130,RUN
159,NCBI,SRR1583139,RUN
160,NCBI,SRR1583145,RUN
161,NCBI,SRR1588662,RUN
162,NCBI,SRR1588674,RUN
163,NCBI,SRR1588686,RUN
164,NCBI,SRR1588692,RUN
165,NCBI,SRR1598874,RUN
166,NCBI,SRR1598877,RUN
167,NCBI,SRR1598878,RUN
168,NCBI,SRR1598881,RUN
169,NCBI,SRR1598883,RUN
170,NCBI,SRR1598885,RUN
171,NCBI,SRR1598886,RUN
172,NCBI,SRR1598889,RUN
173,NCBI,SRR1609681,RUN
174,NCBI,SRR1609694,RUN
175,NCBI,SRR1609696,RUN
176,NCBI,SRR1615088,RUN
177,NCBI,SRR1615092,RUN
178,NCBI,SRR1619528,RUN
179,NCBI,SRR1619548,RUN
180,NCBI,SRR1619553,RUN
181,NCBI,SRR1619565,RUN
182,NCBI,SRR1619597,RUN
183,NCBI,SRR1619602,RUN
184,NCBI,SRR1631181,RUN
185,NCBI,SRR1631190,RUN
186,NCBI,SRR1631196,RUN
187,NCBI,SRR1636988,RUN
188,NCBI,SRR1637016,RUN
189,NCBI,SRR1637050,RUN
190,NCBI,SRR1637052,RUN
191,NCBI,SRR1637053,RUN
192,NCBI,SRR1637055,RUN
193,NCBI,SRR1637058,RUN
194,NCBI,SRR1637060,RUN
195,NCBI,SRR1637068,RUN
196,NCBI,SRR1637069,RUN
197,NCBI,SRR1637070,RUN
198,NCBI,SRR1637079,RUN
199,NCBI,SRR1637080,RUN
200,NCBI,SRR1637088,RUN
201,NCBI,SRR1646522,RUN
202,NCBI,SRR1646531,RUN
203,NCBI,SRR1646540,RUN
204,NCBI,SRR1646541,RUN
205,NCBI,SRR1646547,RUN
206,NCBI,SRR1646555,RUN
207,NCBI,SRR1646557,RUN
208,NCBI,SRR1646573,RUN
209,NCBI,SRR1646927,RUN
210,NCBI,SRR1646928,RUN
211,NCBI,SRR1646929,RUN
212,NCBI,SRR1646930,RUN
213,NCBI,SRR1646942,RUN
214,NCBI,SRR1646945,RUN
215,NCBI,SRR1646948,RUN
216,NCBI,SRR1658082,RUN
217,NCBI,SRR1664261,RUN
218,NCBI,SRR1664264,RUN
219,NCBI,SRR1664299,RUN
220,NCBI,SRR1698180,RUN
221,NCBI,SRR1713618,RUN
222,NCBI,SRR1713619,RUN
223,NCBI,SRR1713631,RUN
224,NCBI,SRR1713640,RUN
225,NCBI,SRR1713641,RUN
226,NCBI,SRR1713644,RUN
227,NCBI,SRR1713646,RUN
228,NCBI,SRR1713651,RUN
229,NCBI,SRR1735407,RUN
230,NCBI,SRR1735417,RUN
231,NCBI,SRR1735418,RUN
232,NCBI,SRR1752722,RUN
233,NCBI,SRR1752726,RUN
234,NCBI,SRR1752735,RUN
235,NCBI,SRR1752781,RUN
236,NCBI,SRR1752782,RUN
237,NCBI,SRR1752811,RUN
238,NCBI,SRR1752834,RUN
239,NCBI,SRR1752844,RUN
240,NCBI,SRR1752848,RUN
241,NCBI,SRR1752866,RUN
242,NCBI,SRR1752880,RUN
243,NCBI,SRR1752883,RUN
244,NCBI,SRR1752886,RUN
245,NCBI,SRR1752888,RUN
246,NCBI,SRR1752891,RUN
247,NCBI,SRR1763808,RUN
248,NCBI,SRR1763809,RUN
249,NCBI,SRR1763810,RUN
250,NCBI,SRR1763828,RUN
251,NCBI,SRR1763829,RUN
252,NCBI,SRR1763832,RUN
253,NCBI,SRR1763837,RUN
254,NCBI,SRR1763838,RUN
255,NCBI,SRR1763849,RUN
256,NCBI,SRR1763850,RUN
257,NCBI,SRR1763851,RUN
258,NCBI,SRR1763852,RUN
259,NCBI,SRR1763853,RUN
260,NCBI,SRR1763857,RUN
261,NCBI,SRR1763863,RUN
262,NCBI,SRR1763866,RUN
263,NCBI,SRR1767753,RUN
264,NCBI,SRR1767766,RUN
265,NCBI,SRR1767777,RUN
266,NCBI,SRR1767784,RUN
267,NCBI,SRR1767788,RUN
268,NCBI,SRR1767789,RUN
269,NCBI,SRR1767798,RUN
270,NCBI,SRR1767807,RUN
271,NCBI,SRR1767810,RUN
272,NCBI,SRR1767814,RUN
273,NCBI,SRR1767815,RUN
274,NCBI,SRR1767819,RUN
275,NCBI,SRR1767820,RUN
276,NCBI,SRR1773591,RUN
