N,Database,Accession,Type
1,ENA,ERR2512419,RUN
2,ENA,ERR2512432,RUN
3,ENA,ERR2512444,RUN
4,NCBI,SRR6046861,RUN
5,ENA,ERR2512448,RUN
6,ENA,ERR2512616,RUN
7,ENA,ERR2512464,RUN
8,ENA,ERR2512467,RUN
9,ENA,ERR2512468,RUN
10,NCBI,SRR6046574,RUN
11,ENA,ERR2512481,RUN
12,ENA,ERR2512506,RUN
13,ENA,ERR2512539,RUN
14,NCBI,SRR6045085,RUN
15,ENA,ERR2512542,RUN
16,ENA,ERR2512546,RUN
17,NCBI,SRR6045433,RUN
18,ENA,ERR2512550,RUN
19,ENA,ERR2512552,RUN
20,ENA,ERR2512562,RUN
21,ENA,ERR2512591,RUN
22,ENA,ERR2512592,RUN
23,ENA,ERR2512596,RUN
24,ENA,ERR2512607,RUN
25,NCBI,SRR6046297,RUN
26,ENA,ERR2512635,RUN
27,NCBI,SRR6046243,RUN
28,NCBI,SRR6046269,RUN
29,ENA,ERR2512653,RUN
30,ENA,ERR2513783,RUN
31,ENA,ERR2512681,RUN
32,ENA,ERR2512700,RUN
33,ENA,ERR2512714,RUN
34,ENA,ERR2512718,RUN
35,ENA,ERR2512742,RUN
36,ENA,ERR2512746,RUN
37,ENA,ERR2512748,RUN
38,ENA,ERR2512759,RUN
39,ENA,ERR2512760,RUN
40,ENA,ERR2512777,RUN
41,NCBI,SRR6046901,RUN
42,ENA,ERR2512836,RUN
43,ENA,ERR2512841,RUN
44,ENA,ERR2512851,RUN
45,ENA,ERR2512879,RUN
46,ENA,ERR2512882,RUN
47,ENA,ERR2512914,RUN
48,ENA,ERR2512930,RUN
49,ENA,ERR2512936,RUN
50,ENA,ERR2512939,RUN
51,ENA,ERR2512979,RUN
52,NCBI,SRR6045163,RUN
53,ENA,ERR2512997,RUN
54,ENA,ERR2513010,RUN
55,ENA,ERR2513514,RUN
56,NCBI,SRR6045245,RUN
57,ENA,ERR2513063,RUN
58,NCBI,SRR6046530,RUN
59,ENA,ERR2513072,RUN
60,NCBI,SRR6045520,RUN
61,ENA,ERR2513083,RUN
62,NCBI,SRR6044837,RUN
63,ENA,ERR2513094,RUN
64,ENA,ERR2513100,RUN
65,ENA,ERR2513104,RUN
66,ENA,ERR2513116,RUN
67,ENA,ERR2513120,RUN
68,ENA,ERR2513125,RUN
69,ENA,ERR2513130,RUN
70,ENA,ERR2513149,RUN
71,ENA,ERR2513154,RUN
72,ENA,ERR2513157,RUN
73,ENA,ERR2513161,RUN
74,ENA,ERR2513165,RUN
75,ENA,ERR2513174,RUN
76,ENA,ERR2513184,RUN
77,ENA,ERR2513189,RUN
78,ENA,ERR2513199,RUN
79,ENA,ERR2513200,RUN
80,NCBI,SRR3675285,RUN
81,ENA,ERR2513218,RUN
82,ENA,ERR2512409,RUN
83,ENA,ERR2513240,RUN
84,ENA,ERR2513241,RUN
85,ENA,ERR2513256,RUN
86,ENA,ERR2513260,RUN
87,NCBI,SRR6046632,RUN
88,ENA,ERR2513282,RUN
89,ENA,ERR2513295,RUN
90,ENA,ERR2513307,RUN
91,ENA,ERR2513319,RUN
92,NCBI,SRR6045173,RUN
93,NCBI,SRR6046072,RUN
94,ENA,ERR2513385,RUN
95,ENA,ERR2513388,RUN
96,ENA,ERR2513391,RUN
97,ENA,ERR2513399,RUN
98,ENA,ERR2513405,RUN
99,ENA,ERR2513408,RUN
100,NCBI,SRR6045210,RUN
101,NCBI,SRR6045092,RUN
102,ENA,ERR2513427,RUN
103,ENA,ERR2513434,RUN
104,ENA,ERR2513436,RUN
105,ENA,ERR2513441,RUN
106,ENA,ERR2513447,RUN
107,ENA,ERR2513460,RUN
108,ENA,ERR2513471,RUN
109,ENA,ERR2513516,RUN
110,ENA,ERR2513537,RUN
111,ENA,ERR2513538,RUN
112,ENA,ERR2513566,RUN
113,ENA,ERR2513572,RUN
114,ENA,ERR2512413,RUN
115,NCBI,SRR6046428,RUN
116,ENA,ERR2513612,RUN
117,NCBI,SRR6044883,RUN
118,ENA,ERR2513667,RUN
119,ENA,ERR2513675,RUN
120,ENA,ERR2513697,RUN
121,ENA,ERR2513701,RUN
122,NCBI,SRR6045763,RUN
123,ENA,ERR2513714,RUN
124,NCBI,SRR6046610,RUN
125,ENA,ERR2513765,RUN
126,ENA,ERR2513770,RUN
127,ENA,ERR2513782,RUN
128,ENA,ERR2513786,RUN
129,ENA,ERR2513798,RUN
130,NCBI,SRR6046583,RUN
131,ENA,ERR2513850,RUN
132,ENA,ERR2513852,RUN
133,ENA,ERR2513866,RUN
134,ENA,ERR2513880,RUN
135,ENA,ERR2513888,RUN
136,ENA,ERR2513897,RUN
137,ENA,ERR2513902,RUN
138,NCBI,SRR6045647,RUN
139,NCBI,SRR6045871,RUN
140,NCBI,SRR6044893,RUN
141,ENA,ERR2513935,RUN
142,ENA,ERR2513936,RUN
143,ENA,ERR2513950,RUN
144,ENA,ERR2513951,RUN
145,ENA,ERR2513963,RUN
146,NCBI,SRR6045989,RUN
147,ENA,ERR2513986,RUN
148,ENA,ERR2513987,RUN
149,ENA,ERR2513991,RUN
150,ENA,ERR2513992,RUN
151,ENA,ERR2513993,RUN
152,ENA,ERR2513994,RUN
