N,Database,Accession,Type
1,ENA,ERR119659,RUN
2,ENA,ERR119668,RUN
3,ENA,ERR119664,RUN
4,ENA,ERR119660,RUN
5,ENA,ERR119671,RUN
6,ENA,ERR119670,RUN
7,ENA,ERR119679,RUN
8,ENA,ERR119657,RUN
9,ENA,ERR110082,RUN
10,ENA,ERR110081,RUN
11,ENA,ERR110100,RUN
12,ENA,ERR110102,RUN
13,ENA,ERR110086,RUN
14,ENA,ERR110067,RUN
15,ENA,ERR110098,RUN
16,ENA,ERR249288,RUN
17,ENA,ERR249218,RUN
18,ENA,ERR249297,RUN
19,ENA,ERR249294,RUN
20,ENA,ERR249292,RUN
21,NCBI,SRR067595,RUN
22,NCBI,SRR067597,RUN
23,NCBI,SRR073130,RUN
24,NCBI,SRR067599,RUN
25,NCBI,SRR073131,RUN
26,NCBI,SRR387244,RUN
27,NCBI,SRR387295,RUN
28,NCBI,SRR387297,RUN
29,NCBI,SRR387301,RUN
30,NCBI,SRR387302,RUN
31,NCBI,SRR387303,RUN
32,NCBI,SRR387305,RUN
33,NCBI,SRR387306,RUN
34,NCBI,SRR387307,RUN
35,NCBI,SRR387308,RUN
36,NCBI,SRR387309,RUN
37,NCBI,SRR387310,RUN
38,NCBI,SRR387318,RUN
39,NCBI,SRR387319,RUN
40,NCBI,SRR387323,RUN
41,NCBI,SRR387324,RUN
42,NCBI,SRR387328,RUN
43,NCBI,SRR387330,RUN
44,NCBI,SRR1006421,RUN
45,NCBI,SRR1008836,RUN
46,NCBI,SRR1008837,RUN
47,NCBI,SRR1008838,RUN
48,NCBI,SRR1008839,RUN
49,NCBI,SRR1008840,RUN
50,NCBI,SRR1201010,RUN
51,NCBI,SRR1201011,RUN
52,NCBI,SRR1201012,RUN
53,NCBI,SRR1008841,RUN
54,NCBI,SRR1008842,RUN
55,NCBI,SRR1008843,RUN
56,NCBI,SRR1008844,RUN
57,NCBI,SRR1008845,RUN
58,NCBI,SRR1008846,RUN
59,NCBI,SRR1008847,RUN
60,NCBI,SRR1008848,RUN
61,NCBI,SRR1008849,RUN
62,NCBI,SRR1008850,RUN
63,NCBI,SRR1008851,RUN
64,NCBI,SRR1008852,RUN
65,NCBI,SRR1008853,RUN
66,NCBI,SRR1008854,RUN
67,NCBI,SRR1008855,RUN
68,NCBI,SRR1008856,RUN
69,NCBI,SRR1008857,RUN
70,NCBI,SRR1201013,RUN
71,NCBI,SRR1201014,RUN
72,NCBI,SRR1201015,RUN
73,NCBI,SRR1008858,RUN
74,NCBI,SRR1008859,RUN
75,NCBI,SRR1008861,RUN
76,NCBI,SRR1008862,RUN
77,NCBI,SRR1008863,RUN
78,NCBI,SRR1008864,RUN
79,NCBI,SRR1008865,RUN
80,NCBI,SRR1008866,RUN
81,NCBI,SRR1008867,RUN
82,NCBI,SRR1008868,RUN
83,NCBI,SRR1008869,RUN
84,NCBI,SRR1008870,RUN
85,NCBI,SRR1008872,RUN
86,NCBI,SRR1008873,RUN
87,NCBI,SRR1008874,RUN
88,NCBI,SRR1008875,RUN
89,NCBI,SRR1008876,RUN
90,NCBI,SRR1008877,RUN
91,NCBI,SRR1008878,RUN
92,NCBI,SRR1008879,RUN
93,NCBI,SRR1008882,RUN
94,NCBI,SRR1008883,RUN
95,NCBI,SRR1008884,RUN
96,NCBI,SRR1008885,RUN
97,NCBI,SRR1008886,RUN
98,NCBI,SRR1008887,RUN
99,NCBI,SRR1008888,RUN
100,NCBI,SRR10997021,RUN
101,NCBI,SRR1008889,RUN
102,NCBI,SRR1008890,RUN
103,NCBI,SRR1008891,RUN
104,NCBI,SRR1014895,RUN
105,NCBI,SRR1015203,RUN
106,NCBI,SRR1015204,RUN
107,NCBI,SRR1015205,RUN
108,NCBI,SRR1015206,RUN
109,NCBI,SRR1015207,RUN
110,NCBI,SRR1015230,RUN
111,NCBI,SRR1201007,RUN
112,NCBI,SRR1201008,RUN
113,NCBI,SRR1201009,RUN
114,NCBI,SRR1015231,RUN
115,NCBI,SRR1015232,RUN
116,NCBI,SRR1015233,RUN
117,NCBI,SRR1015234,RUN
118,NCBI,SRR1015235,RUN
119,NCBI,SRR1015236,RUN
120,NCBI,SRR1015238,RUN
121,NCBI,SRR1015239,RUN
122,NCBI,SRR1015242,RUN
123,NCBI,SRR1015243,RUN
124,NCBI,SRR1015246,RUN
125,NCBI,SRR1015247,RUN
126,NCBI,SRR1015248,RUN
127,NCBI,SRR1015249,RUN
128,NCBI,SRR1015250,RUN
129,NCBI,SRR1015262,RUN
130,NCBI,SRR1015263,RUN
131,NCBI,SRR1015264,RUN
132,NCBI,SRR1015266,RUN
133,NCBI,SRR1015267,RUN
134,NCBI,SRR1015268,RUN
135,NCBI,SRR1015270,RUN
136,NCBI,SRR1015272,RUN
137,NCBI,SRR1015273,RUN
138,NCBI,SRR1015274,RUN
139,NCBI,SRR1015275,RUN
140,NCBI,SRR1015281,RUN
141,NCBI,SRR1015283,RUN
142,NCBI,SRR1015284,RUN
143,NCBI,SRR1015287,RUN
144,NCBI,SRR1015288,RUN
145,NCBI,SRR1015289,RUN
146,NCBI,SRR1015290,RUN
147,NCBI,SRR1015291,RUN
148,NCBI,SRR1015292,RUN
149,NCBI,SRR1015295,RUN
150,NCBI,SRR1015296,RUN
151,NCBI,SRR1015297,RUN
152,NCBI,SRR1015299,RUN
153,NCBI,SRR1015318,RUN
154,NCBI,SRR1015319,RUN
155,NCBI,SRR1015320,RUN
156,NCBI,SRR10997019,RUN
157,NCBI,SRR1019231,RUN
158,NCBI,SRR1019232,RUN
159,NCBI,SRR1019233,RUN
160,NCBI,SRR1019234,RUN
161,NCBI,SRR1019243,RUN
162,NCBI,SRR1019244,RUN
163,NCBI,SRR1019245,RUN
164,NCBI,SRR1019246,RUN
165,NCBI,SRR1019249,RUN
166,NCBI,SRR1019250,RUN
167,NCBI,SRR1019251,RUN
168,NCBI,SRR1019252,RUN
169,NCBI,SRR1019253,RUN
170,NCBI,SRR1019256,RUN
171,NCBI,SRR1019260,RUN
172,NCBI,SRR1019263,RUN
173,NCBI,SRR1019264,RUN
174,NCBI,SRR1019268,RUN
175,NCBI,SRR1019269,RUN
176,NCBI,SRR1019273,RUN
177,NCBI,SRR1019274,RUN
178,NCBI,SRR1201286,RUN
179,NCBI,SRR1201287,RUN
180,NCBI,SRR1019287,RUN
181,NCBI,SRR1019288,RUN
182,NCBI,SRR1019293,RUN
183,NCBI,SRR1019298,RUN
184,NCBI,SRR1019301,RUN
185,NCBI,SRR1030397,RUN
186,NCBI,SRR10997018,RUN
187,NCBI,SRR1030398,RUN
188,NCBI,SRR1030399,RUN
189,NCBI,SRR1030400,RUN
190,NCBI,SRR1030401,RUN
191,NCBI,SRR1030402,RUN
192,NCBI,SRR1030403,RUN
193,NCBI,SRR1030404,RUN
194,NCBI,SRR1201016,RUN
195,NCBI,SRR1201017,RUN
196,NCBI,SRR1201018,RUN
197,NCBI,SRR1030405,RUN
198,NCBI,SRR1030406,RUN
199,NCBI,SRR1030410,RUN
200,NCBI,SRR1030411,RUN
201,NCBI,SRR1030412,RUN
202,NCBI,SRR1030413,RUN
203,NCBI,SRR1030418,RUN
