N,Database,Accession,Type
1,ENA,ERR434643,RUN
2,ENA,ERR434259,RUN
3,ENA,ERR434739,RUN
4,ENA,ERR434740,RUN
5,ENA,ERR434835,RUN
6,ENA,ERR434741,RUN
7,ENA,ERR434645,RUN
8,ENA,ERR434742,RUN
9,ENA,ERR434260,RUN
10,ENA,ERR434836,RUN
11,ENA,ERR434837,RUN
12,ENA,ERR439666,RUN
13,ENA,ERR439667,RUN
14,ENA,ERR434261,RUN
15,ENA,ERR434838,RUN
16,ENA,ERR439629,RUN
17,ENA,ERR434839,RUN
18,ENA,ERR434931,RUN
19,ENA,ERR435027,RUN
20,ENA,ERR439668,RUN
21,ENA,ERR434744,RUN
22,ENA,ERR434746,RUN
23,ENA,ERR434646,RUN
24,ENA,ERR434647,RUN
25,ENA,ERR439670,RUN
26,ENA,ERR434747,RUN
27,ENA,ERR439671,RUN
28,ENA,ERR434262,RUN
29,ENA,ERR434748,RUN
30,ENA,ERR434932,RUN
31,ENA,ERR434749,RUN
32,ENA,ERR434933,RUN
33,ENA,ERR434934,RUN
34,ENA,ERR435028,RUN
35,ENA,ERR434840,RUN
36,ENA,ERR434935,RUN
37,ENA,ERR435029,RUN
38,ENA,ERR434750,RUN
39,ENA,ERR434842,RUN
40,ENA,ERR434751,RUN
41,ENA,ERR434843,RUN
42,ENA,ERR434263,RUN
43,ENA,ERR434547,RUN
44,ENA,ERR439672,RUN
45,ENA,ERR434844,RUN
46,ENA,ERR435100,RUN
47,ENA,ERR434846,RUN
48,ENA,ERR435030,RUN
49,ENA,ERR439630,RUN
50,ENA,ERR434936,RUN
51,ENA,ERR439673,RUN
52,ENA,ERR439674,RUN
53,ENA,ERR434937,RUN
54,ENA,ERR434753,RUN
55,ENA,ERR439676,RUN
56,ENA,ERR434648,RUN
57,ENA,ERR434847,RUN
58,ENA,ERR434356,RUN
59,ENA,ERR434848,RUN
60,ENA,ERR434849,RUN
61,ENA,ERR435031,RUN
62,ENA,ERR435032,RUN
63,ENA,ERR434938,RUN
64,ENA,ERR434850,RUN
65,ENA,ERR434939,RUN
66,ENA,ERR435033,RUN
67,ENA,ERR435034,RUN
68,ENA,ERR439677,RUN
69,ENA,ERR439678,RUN
70,ENA,ERR434940,RUN
71,ENA,ERR434851,RUN
72,ENA,ERR439679,RUN
73,ENA,ERR434756,RUN
74,ENA,ERR434941,RUN
75,ENA,ERR434852,RUN
76,ENA,ERR434649,RUN
77,ENA,ERR434853,RUN
78,ENA,ERR439631,RUN
79,ENA,ERR434854,RUN
80,ENA,ERR434757,RUN
81,ENA,ERR434650,RUN
82,ENA,ERR434943,RUN
83,ENA,ERR434651,RUN
84,ENA,ERR434357,RUN
85,ENA,ERR435196,RUN
86,ENA,ERR434758,RUN
87,ENA,ERR434759,RUN
88,ENA,ERR434760,RUN
89,ENA,ERR434761,RUN
90,ENA,ERR435036,RUN
91,ENA,ERR434358,RUN
92,ENA,ERR434763,RUN
93,ENA,ERR434652,RUN
94,ENA,ERR434855,RUN
95,ENA,ERR434944,RUN
96,ENA,ERR434764,RUN
97,ENA,ERR434765,RUN
98,ENA,ERR439632,RUN
99,ENA,ERR434945,RUN
100,ENA,ERR434766,RUN
101,ENA,ERR439680,RUN
102,ENA,ERR434856,RUN
103,ENA,ERR434653,RUN
104,ENA,ERR434767,RUN
105,ENA,ERR434654,RUN
106,ENA,ERR434655,RUN
107,ENA,ERR434857,RUN
108,ENA,ERR434656,RUN
109,ENA,ERR434946,RUN
