N,Database,Accession,Type
1,ENA,ERR486274,RUN
2,ENA,ERR486749,RUN
3,ENA,ERR486284,RUN
4,ENA,ERR486285,RUN
5,ENA,ERR486750,RUN
6,ENA,ERR486288,RUN
7,ENA,ERR486289,RUN
8,ENA,ERR486290,RUN
9,ENA,ERR486751,RUN
10,ENA,ERR486291,RUN
11,ENA,ERR486292,RUN
12,ENA,ERR486294,RUN
13,ENA,ERR486753,RUN
14,ENA,ERR486298,RUN
15,ENA,ERR486299,RUN
16,ENA,ERR486302,RUN
17,ENA,ERR486305,RUN
18,ENA,ERR486310,RUN
19,ENA,ERR486311,RUN
20,ENA,ERR486312,RUN
21,ENA,ERR486316,RUN
22,ENA,ERR486754,RUN
23,ENA,ERR486321,RUN
24,ENA,ERR486322,RUN
25,ENA,ERR486323,RUN
26,ENA,ERR486326,RUN
27,ENA,ERR486328,RUN
28,ENA,ERR486755,RUN
29,ENA,ERR486332,RUN
30,ENA,ERR486333,RUN
31,ENA,ERR486335,RUN
32,ENA,ERR486336,RUN
33,ENA,ERR486756,RUN
34,ENA,ERR486337,RUN
35,ENA,ERR486757,RUN
36,ENA,ERR486758,RUN
37,ENA,ERR486759,RUN
38,ENA,ERR486343,RUN
39,ENA,ERR486345,RUN
40,ENA,ERR486346,RUN
41,ENA,ERR486347,RUN
42,ENA,ERR486349,RUN
43,ENA,ERR486350,RUN
44,ENA,ERR486351,RUN
45,ENA,ERR486352,RUN
46,ENA,ERR486353,RUN
47,ENA,ERR486356,RUN
48,ENA,ERR486358,RUN
49,ENA,ERR486359,RUN
50,ENA,ERR486760,RUN
51,ENA,ERR486360,RUN
52,ENA,ERR486361,RUN
53,ENA,ERR486362,RUN
54,ENA,ERR486365,RUN
55,ENA,ERR486366,RUN
56,ENA,ERR486761,RUN
57,ENA,ERR486367,RUN
58,ENA,ERR486369,RUN
59,ENA,ERR486370,RUN
60,ENA,ERR486762,RUN
61,ENA,ERR486763,RUN
62,ENA,ERR486372,RUN
63,ENA,ERR486374,RUN
64,ENA,ERR486375,RUN
65,ENA,ERR486764,RUN
66,ENA,ERR486376,RUN
67,ENA,ERR486378,RUN
68,ENA,ERR486379,RUN
69,ENA,ERR474467,RUN
70,ENA,ERR486766,RUN
71,ENA,ERR486767,RUN
72,ENA,ERR474468,RUN
73,ENA,ERR474469,RUN
74,ENA,ERR474470,RUN
75,ENA,ERR474474,RUN
76,ENA,ERR474475,RUN
77,ENA,ERR474476,RUN
78,ENA,ERR474477,RUN
79,ENA,ERR486768,RUN
80,ENA,ERR474478,RUN
81,ENA,ERR486769,RUN
82,ENA,ERR474479,RUN
83,ENA,ERR474482,RUN
84,ENA,ERR474483,RUN
85,ENA,ERR474484,RUN
86,ENA,ERR474485,RUN
87,ENA,ERR486770,RUN
88,ENA,ERR474486,RUN
89,ENA,ERR474487,RUN
90,ENA,ERR474489,RUN
91,ENA,ERR486771,RUN
92,ENA,ERR474490,RUN
93,ENA,ERR474492,RUN
94,ENA,ERR474493,RUN
95,ENA,ERR474494,RUN
96,ENA,ERR474496,RUN
97,ENA,ERR474497,RUN
98,ENA,ERR474498,RUN
99,ENA,ERR486772,RUN
100,ENA,ERR486773,RUN
101,ENA,ERR474500,RUN
102,ENA,ERR474501,RUN
103,ENA,ERR474502,RUN
104,ENA,ERR474503,RUN
105,ENA,ERR474504,RUN
106,ENA,ERR486774,RUN
107,ENA,ERR474507,RUN
108,ENA,ERR474508,RUN
109,ENA,ERR474509,RUN
110,ENA,ERR486775,RUN
111,ENA,ERR486776,RUN
112,ENA,ERR474510,RUN
113,ENA,ERR486777,RUN
114,ENA,ERR486778,RUN
115,ENA,ERR474512,RUN
116,ENA,ERR474513,RUN
117,ENA,ERR474514,RUN
118,ENA,ERR474516,RUN
119,ENA,ERR474517,RUN
120,ENA,ERR474518,RUN
121,ENA,ERR474520,RUN
122,ENA,ERR486779,RUN
123,ENA,ERR474522,RUN
124,ENA,ERR486780,RUN
125,ENA,ERR474524,RUN
126,ENA,ERR474525,RUN
127,ENA,ERR474527,RUN
128,ENA,ERR486781,RUN
129,ENA,ERR474530,RUN
130,ENA,ERR486782,RUN
131,ENA,ERR474531,RUN
132,ENA,ERR486783,RUN
133,ENA,ERR486784,RUN
134,ENA,ERR474532,RUN
135,ENA,ERR474534,RUN
136,ENA,ERR474535,RUN
137,ENA,ERR486785,RUN
138,ENA,ERR486786,RUN
139,ENA,ERR486787,RUN
140,ENA,ERR486788,RUN
141,ENA,ERR486789,RUN
142,ENA,ERR474538,RUN
143,ENA,ERR474540,RUN
144,ENA,ERR486790,RUN
145,ENA,ERR486791,RUN
146,ENA,ERR474541,RUN
147,ENA,ERR474543,RUN
148,ENA,ERR474544,RUN
149,ENA,ERR474545,RUN
150,ENA,ERR486792,RUN
151,ENA,ERR486793,RUN
152,ENA,ERR474547,RUN
153,ENA,ERR474548,RUN
154,ENA,ERR486794,RUN
155,ENA,ERR474551,RUN
156,ENA,ERR474552,RUN
157,ENA,ERR474553,RUN
158,ENA,ERR486798,RUN
159,ENA,ERR474559,RUN
160,ENA,ERR486381,RUN
161,ENA,ERR486383,RUN
162,ENA,ERR486799,RUN
163,ENA,ERR486800,RUN
164,ENA,ERR486387,RUN
165,ENA,ERR486388,RUN
166,ENA,ERR486389,RUN
167,ENA,ERR486390,RUN
168,ENA,ERR486391,RUN
169,ENA,ERR486801,RUN
170,ENA,ERR486392,RUN
171,ENA,ERR486802,RUN
172,ENA,ERR486393,RUN
173,ENA,ERR486394,RUN
174,ENA,ERR486396,RUN
175,ENA,ERR486397,RUN
176,ENA,ERR486803,RUN
177,ENA,ERR486804,RUN
178,ENA,ERR486398,RUN
179,ENA,ERR486399,RUN
180,ENA,ERR486400,RUN
181,ENA,ERR486401,RUN
182,ENA,ERR486402,RUN
183,ENA,ERR486403,RUN
184,ENA,ERR486404,RUN
185,ENA,ERR486405,RUN
186,ENA,ERR486406,RUN
187,ENA,ERR486407,RUN
188,ENA,ERR486408,RUN
189,ENA,ERR486409,RUN
190,ENA,ERR486410,RUN
191,ENA,ERR486411,RUN
192,ENA,ERR486412,RUN
193,ENA,ERR486413,RUN
194,ENA,ERR486414,RUN
195,ENA,ERR486415,RUN
196,ENA,ERR486416,RUN
197,ENA,ERR486417,RUN
198,ENA,ERR486418,RUN
199,ENA,ERR486419,RUN
200,ENA,ERR486420,RUN
201,ENA,ERR486421,RUN
202,ENA,ERR486422,RUN
203,ENA,ERR486423,RUN
204,ENA,ERR486424,RUN
205,ENA,ERR486426,RUN
206,ENA,ERR486427,RUN
207,ENA,ERR486428,RUN
208,ENA,ERR486429,RUN
209,ENA,ERR486430,RUN
210,ENA,ERR486431,RUN
