N,Database,Accession,Type
1,NCBI,SRR1014018,RUN
2,NCBI,SRR1014019,RUN
3,NCBI,SRR1014020,RUN
4,NCBI,SRR1014021,RUN
5,NCBI,SRR1014022,RUN
6,NCBI,SRR1014023,RUN
7,NCBI,SRR1014545,RUN
8,NCBI,SRR1014546,RUN
9,NCBI,SRR1014547,RUN
10,NCBI,SRR1014548,RUN
11,NCBI,SRR1014549,RUN
12,NCBI,SRR1014550,RUN
13,NCBI,SRR1014539,RUN
14,NCBI,SRR1014540,RUN
15,NCBI,SRR1014541,RUN
16,NCBI,SRR1014542,RUN
17,NCBI,SRR1014543,RUN
18,NCBI,SRR1014544,RUN
19,NCBI,SRR1014468,RUN
20,NCBI,SRR1014469,RUN
21,NCBI,SRR1014470,RUN
22,NCBI,SRR1014471,RUN
23,NCBI,SRR1014472,RUN
24,NCBI,SRR1014473,RUN
25,NCBI,SRR1014456,RUN
26,NCBI,SRR1014457,RUN
27,NCBI,SRR1014458,RUN
28,NCBI,SRR1014459,RUN
29,NCBI,SRR1014460,RUN
30,NCBI,SRR1014461,RUN
31,NCBI,SRR1014462,RUN
32,NCBI,SRR1014463,RUN
33,NCBI,SRR1014464,RUN
34,NCBI,SRR1014465,RUN
35,NCBI,SRR1014466,RUN
36,NCBI,SRR1014467,RUN
37,NCBI,SRR1014474,RUN
38,NCBI,SRR1014475,RUN
39,NCBI,SRR1014476,RUN
40,NCBI,SRR1014477,RUN
41,NCBI,SRR1014478,RUN
42,NCBI,SRR1014479,RUN
43,NCBI,SRR1014586,RUN
44,NCBI,SRR1014587,RUN
45,NCBI,SRR1014588,RUN
46,NCBI,SRR1014589,RUN
47,NCBI,SRR1014590,RUN
48,NCBI,SRR1014591,RUN
49,NCBI,SRR1014574,RUN
50,NCBI,SRR1014575,RUN
51,NCBI,SRR1014576,RUN
52,NCBI,SRR1014577,RUN
53,NCBI,SRR1014578,RUN
54,NCBI,SRR1014579,RUN
55,NCBI,SRR1014562,RUN
56,NCBI,SRR1014563,RUN
57,NCBI,SRR1014564,RUN
58,NCBI,SRR1014565,RUN
59,NCBI,SRR1014566,RUN
60,NCBI,SRR1014567,RUN
61,NCBI,SRR1014498,RUN
62,NCBI,SRR1014499,RUN
63,NCBI,SRR1014500,RUN
64,NCBI,SRR1014501,RUN
65,NCBI,SRR1014502,RUN
66,NCBI,SRR1014503,RUN
67,NCBI,SRR1014568,RUN
68,NCBI,SRR1014569,RUN
69,NCBI,SRR1014570,RUN
70,NCBI,SRR1014571,RUN
71,NCBI,SRR1014572,RUN
72,NCBI,SRR1014573,RUN
73,NCBI,SRR1014006,RUN
74,NCBI,SRR1014007,RUN
75,NCBI,SRR1014008,RUN
76,NCBI,SRR1014009,RUN
77,NCBI,SRR1014010,RUN
78,NCBI,SRR1014011,RUN
79,NCBI,SRR1014012,RUN
80,NCBI,SRR1014013,RUN
81,NCBI,SRR1014014,RUN
82,NCBI,SRR1014015,RUN
83,NCBI,SRR1014016,RUN
84,NCBI,SRR1014017,RUN
85,NCBI,SRR1014556,RUN
86,NCBI,SRR1014557,RUN
87,NCBI,SRR1014558,RUN
88,NCBI,SRR1014559,RUN
89,NCBI,SRR1014560,RUN
90,NCBI,SRR1014561,RUN
91,NCBI,SRR1014580,RUN
92,NCBI,SRR1014581,RUN
93,NCBI,SRR1014582,RUN
94,NCBI,SRR1014583,RUN
95,NCBI,SRR1014584,RUN
96,NCBI,SRR1014585,RUN
97,NCBI,SRR1014205,RUN
98,NCBI,SRR1014206,RUN
99,NCBI,SRR1014207,RUN
100,NCBI,SRR1014208,RUN
101,NCBI,SRR1014209,RUN
102,NCBI,SRR1014210,RUN
103,NCBI,SRR1014211,RUN
104,NCBI,SRR1014212,RUN
105,NCBI,SRR1014213,RUN
106,NCBI,SRR1014214,RUN
107,NCBI,SRR1014215,RUN
108,NCBI,SRR1014216,RUN
109,NCBI,SRR1014217,RUN
110,NCBI,SRR1014218,RUN
111,NCBI,SRR1014219,RUN
112,NCBI,SRR1014220,RUN
113,NCBI,SRR1014221,RUN
114,NCBI,SRR1014222,RUN
115,NCBI,SRR1014223,RUN
116,NCBI,SRR1014224,RUN
117,NCBI,SRR1014225,RUN
118,NCBI,SRR1014226,RUN
119,NCBI,SRR1014227,RUN
120,NCBI,SRR1014228,RUN
121,NCBI,SRR1014235,RUN
122,NCBI,SRR1014236,RUN
123,NCBI,SRR1014237,RUN
124,NCBI,SRR1014238,RUN
125,NCBI,SRR1014239,RUN
126,NCBI,SRR1014240,RUN
127,NCBI,SRR1014241,RUN
128,NCBI,SRR1014242,RUN
129,NCBI,SRR1014243,RUN
130,NCBI,SRR1014244,RUN
131,NCBI,SRR1014245,RUN
132,NCBI,SRR1014246,RUN
133,NCBI,SRR1014248,RUN
134,NCBI,SRR1014249,RUN
135,NCBI,SRR1014250,RUN
136,NCBI,SRR1014251,RUN
137,NCBI,SRR1014252,RUN
138,NCBI,SRR1014253,RUN
139,NCBI,SRR1014264,RUN
140,NCBI,SRR1014265,RUN
141,NCBI,SRR1014266,RUN
142,NCBI,SRR1014274,RUN
143,NCBI,SRR1014282,RUN
144,NCBI,SRR1014283,RUN
145,NCBI,SRR1014285,RUN
146,NCBI,SRR1014286,RUN
147,NCBI,SRR1014287,RUN
148,NCBI,SRR1014288,RUN
149,NCBI,SRR1014289,RUN
