N,Database,Accession,Type
1,NCBI,SRR7439415,RUN
2,NCBI,SRR7131298,RUN
3,NCBI,SRR7131297,RUN
4,NCBI,SRR7131296,RUN
5,NCBI,SRR7131295,RUN
6,NCBI,SRR7131294,RUN
7,NCBI,SRR7131293,RUN
8,NCBI,SRR7131292,RUN
9,NCBI,SRR7131291,RUN
10,NCBI,SRR7131290,RUN
11,NCBI,SRR7131289,RUN
12,NCBI,SRR7131288,RUN
13,NCBI,SRR7131287,RUN
14,NCBI,SRR7131286,RUN
15,NCBI,SRR7131285,RUN
16,NCBI,SRR7131284,RUN
17,NCBI,SRR7131283,RUN
18,NCBI,SRR7131282,RUN
19,NCBI,SRR7131281,RUN
20,NCBI,SRR7131280,RUN
21,NCBI,SRR7131279,RUN
22,NCBI,SRR7131277,RUN
23,NCBI,SRR7131276,RUN
24,NCBI,SRR7131275,RUN
25,NCBI,SRR7131274,RUN
26,NCBI,SRR7131273,RUN
27,NCBI,SRR7131272,RUN
28,NCBI,SRR7131271,RUN
29,NCBI,SRR7131270,RUN
30,NCBI,SRR7131269,RUN
31,NCBI,SRR7131268,RUN
32,NCBI,SRR7131267,RUN
33,NCBI,SRR7131266,RUN
34,NCBI,SRR7131264,RUN
35,NCBI,SRR7131263,RUN
36,NCBI,SRR7131262,RUN
37,NCBI,SRR7131261,RUN
38,NCBI,SRR7131260,RUN
39,NCBI,SRR7131259,RUN
40,NCBI,SRR7131258,RUN
41,NCBI,SRR7131256,RUN
42,NCBI,SRR7131255,RUN
43,NCBI,SRR7131254,RUN
44,NCBI,SRR7131253,RUN
45,NCBI,SRR7131251,RUN
46,NCBI,SRR7131250,RUN
47,NCBI,SRR7131249,RUN
48,NCBI,SRR7131248,RUN
49,NCBI,SRR7131247,RUN
50,NCBI,SRR7131246,RUN
51,NCBI,SRR7131245,RUN
52,NCBI,SRR7131244,RUN
53,NCBI,SRR7131243,RUN
54,NCBI,SRR7131242,RUN
55,NCBI,SRR7131241,RUN
56,NCBI,SRR7131240,RUN
57,NCBI,SRR7131239,RUN
58,NCBI,SRR7131238,RUN
59,NCBI,SRR7131237,RUN
60,NCBI,SRR7131236,RUN
61,NCBI,SRR7131235,RUN
62,NCBI,SRR7131234,RUN
63,NCBI,SRR7131233,RUN
64,NCBI,SRR7131232,RUN
65,NCBI,SRR7131231,RUN
66,NCBI,SRR7131230,RUN
67,NCBI,SRR7131229,RUN
68,NCBI,SRR7131228,RUN
69,NCBI,SRR7131227,RUN
70,NCBI,SRR7131226,RUN
71,NCBI,SRR7131225,RUN
72,NCBI,SRR7131224,RUN
73,NCBI,SRR7131223,RUN
74,NCBI,SRR7131222,RUN
75,NCBI,SRR7131221,RUN
76,NCBI,SRR7131220,RUN
77,NCBI,SRR7131219,RUN
78,NCBI,SRR7131218,RUN
79,NCBI,SRR7131217,RUN
80,NCBI,SRR7131216,RUN
81,NCBI,SRR7131215,RUN
82,NCBI,SRR7131214,RUN
83,NCBI,SRR7131213,RUN
84,NCBI,SRR7131212,RUN
85,NCBI,SRR7131211,RUN
86,NCBI,SRR7131210,RUN
87,NCBI,SRR7131209,RUN
88,NCBI,SRR7131208,RUN
89,NCBI,SRR7131207,RUN
90,NCBI,SRR7131206,RUN
91,NCBI,SRR7131205,RUN
92,NCBI,SRR7131204,RUN
93,NCBI,SRR7131203,RUN
94,NCBI,SRR7131202,RUN
95,NCBI,SRR7131201,RUN
96,NCBI,SRR7131200,RUN
97,NCBI,SRR7131199,RUN
98,NCBI,SRR7131198,RUN
99,NCBI,SRR7131197,RUN
100,NCBI,SRR7131196,RUN
101,NCBI,SRR7131195,RUN
102,NCBI,SRR7131194,RUN
103,NCBI,SRR7131193,RUN
104,NCBI,SRR7131192,RUN
105,NCBI,SRR7131191,RUN
106,NCBI,SRR7131190,RUN
107,NCBI,SRR7131188,RUN
108,NCBI,SRR7131187,RUN
109,NCBI,SRR7131186,RUN
110,NCBI,SRR7131185,RUN
111,NCBI,SRR7131184,RUN
112,NCBI,SRR7131183,RUN
113,NCBI,SRR7131182,RUN
114,NCBI,SRR7131181,RUN
115,NCBI,SRR7131180,RUN
116,NCBI,SRR7131178,RUN
117,NCBI,SRR7131177,RUN
118,NCBI,SRR7131176,RUN
119,NCBI,SRR7131175,RUN
120,NCBI,SRR7131174,RUN
121,NCBI,SRR7131173,RUN
122,NCBI,SRR7131172,RUN
123,NCBI,SRR7131171,RUN
124,NCBI,SRR7131170,RUN
125,NCBI,SRR7131169,RUN
126,NCBI,SRR7131168,RUN
127,NCBI,SRR7131167,RUN
128,NCBI,SRR7131166,RUN
129,NCBI,SRR7131165,RUN
130,NCBI,SRR7131164,RUN
131,NCBI,SRR7131163,RUN
132,NCBI,SRR7131162,RUN
133,NCBI,SRR7131161,RUN
134,NCBI,SRR7131160,RUN
135,NCBI,SRR7131159,RUN
136,NCBI,SRR7131158,RUN
137,NCBI,SRR7131157,RUN
138,NCBI,SRR7131156,RUN
139,NCBI,SRR7131155,RUN
140,NCBI,SRR7131154,RUN
141,NCBI,SRR7131153,RUN
142,NCBI,SRR7131152,RUN
143,NCBI,SRR7131151,RUN
144,NCBI,SRR7131150,RUN
145,NCBI,SRR7131149,RUN
146,NCBI,SRR7131148,RUN
147,NCBI,SRR7131147,RUN
148,NCBI,SRR7131146,RUN
149,NCBI,SRR7131145,RUN
150,NCBI,SRR7131144,RUN
151,NCBI,SRR7131143,RUN
152,NCBI,SRR7131140,RUN
153,NCBI,SRR7131139,RUN
154,NCBI,SRR7131138,RUN
155,NCBI,SRR7131136,RUN
156,NCBI,SRR7131134,RUN
157,NCBI,SRR7131133,RUN
158,NCBI,SRR7131132,RUN
159,NCBI,SRR7131131,RUN
160,NCBI,SRR7131130,RUN
161,NCBI,SRR7131129,RUN
162,NCBI,SRR7131128,RUN
163,NCBI,SRR7131125,RUN
164,NCBI,SRR7131124,RUN
165,NCBI,SRR7131123,RUN
166,NCBI,SRR7131122,RUN
167,NCBI,SRR7131121,RUN
168,NCBI,SRR7131120,RUN
169,NCBI,SRR7131118,RUN
170,NCBI,SRR7131116,RUN
171,NCBI,SRR7131115,RUN
172,NCBI,SRR7131114,RUN
173,NCBI,SRR7131113,RUN
174,NCBI,SRR7131112,RUN
175,NCBI,SRR7131111,RUN
176,NCBI,SRR7131109,RUN
177,NCBI,SRR7131108,RUN
178,NCBI,SRR7131107,RUN
179,NCBI,SRR7131106,RUN
180,NCBI,SRR7131105,RUN
181,NCBI,SRR7131104,RUN
182,NCBI,SRR7131103,RUN
183,NCBI,SRR7131102,RUN
184,NCBI,SRR7131101,RUN
185,NCBI,SRR7131100,RUN
186,NCBI,SRR7131099,RUN
187,NCBI,SRR7131098,RUN
188,NCBI,SRR7131097,RUN
189,NCBI,SRR7131096,RUN
190,NCBI,SRR7131095,RUN
