N,Database,Accession,Type
1,ENA,ERR1788354,RUN
2,ENA,ERR1788355,RUN
3,ENA,ERR1788356,RUN
4,ENA,ERR1788359,RUN
5,ENA,ERR1788360,RUN
6,ENA,ERR1788361,RUN
7,ENA,ERR1788362,RUN
8,ENA,ERR1788363,RUN
9,ENA,ERR1788367,RUN
10,ENA,ERR1788368,RUN
11,ENA,ERR1788369,RUN
12,ENA,ERR1788370,RUN
13,ENA,ERR1788371,RUN
14,ENA,ERR1788372,RUN
15,ENA,ERR1788375,RUN
16,ENA,ERR1788376,RUN
17,ENA,ERR1788378,RUN
18,ENA,ERR1788379,RUN
19,ENA,ERR1788380,RUN
20,ENA,ERR1788381,RUN
21,ENA,ERR1788382,RUN
22,ENA,ERR1788383,RUN
23,ENA,ERR1788386,RUN
24,ENA,ERR1788387,RUN
25,ENA,ERR1788396,RUN
26,ENA,ERR1788485,RUN
27,ENA,ERR1788486,RUN
28,ENA,ERR1788487,RUN
29,ENA,ERR1788488,RUN
30,ENA,ERR1788489,RUN
31,ENA,ERR1788490,RUN
32,ENA,ERR1788491,RUN
33,ENA,ERR1788492,RUN
34,ENA,ERR1788493,RUN
35,ENA,ERR1788494,RUN
36,ENA,ERR1788397,RUN
37,ENA,ERR1788495,RUN
38,ENA,ERR1788496,RUN
39,ENA,ERR1788497,RUN
40,ENA,ERR1788498,RUN
41,ENA,ERR1788499,RUN
42,ENA,ERR1788500,RUN
43,ENA,ERR1788501,RUN
44,ENA,ERR1788502,RUN
45,ENA,ERR1788503,RUN
46,ENA,ERR1788504,RUN
47,ENA,ERR1788398,RUN
48,ENA,ERR1788505,RUN
49,ENA,ERR1788506,RUN
50,ENA,ERR1788507,RUN
51,ENA,ERR1788508,RUN
52,ENA,ERR1788511,RUN
53,ENA,ERR1788512,RUN
54,ENA,ERR1788513,RUN
55,ENA,ERR1788514,RUN
56,ENA,ERR1788399,RUN
57,ENA,ERR1788515,RUN
58,ENA,ERR1788516,RUN
59,ENA,ERR1788517,RUN
60,ENA,ERR1788519,RUN
61,ENA,ERR1788521,RUN
62,ENA,ERR1788522,RUN
63,ENA,ERR1788523,RUN
64,ENA,ERR1788524,RUN
65,ENA,ERR1788525,RUN
66,ENA,ERR1788526,RUN
67,ENA,ERR1788527,RUN
68,ENA,ERR1788528,RUN
69,ENA,ERR1788529,RUN
70,ENA,ERR1788530,RUN
71,ENA,ERR1788531,RUN
72,ENA,ERR1788533,RUN
73,ENA,ERR1788534,RUN
74,ENA,ERR1788535,RUN
75,ENA,ERR1788537,RUN
76,ENA,ERR1788538,RUN
77,ENA,ERR1788539,RUN
78,ENA,ERR1788540,RUN
79,ENA,ERR1788541,RUN
80,ENA,ERR1788542,RUN
81,ENA,ERR1788543,RUN
82,ENA,ERR1788402,RUN
83,ENA,ERR1788545,RUN
84,ENA,ERR1788546,RUN
85,ENA,ERR1788547,RUN
86,ENA,ERR1788549,RUN
87,ENA,ERR1788550,RUN
88,ENA,ERR1788551,RUN
89,ENA,ERR1788552,RUN
90,ENA,ERR1788553,RUN
91,ENA,ERR1788554,RUN
92,ENA,ERR1788403,RUN
93,ENA,ERR1788555,RUN
94,ENA,ERR1788556,RUN
95,ENA,ERR1788558,RUN
96,ENA,ERR1788559,RUN
97,ENA,ERR1788560,RUN
98,ENA,ERR1788561,RUN
99,ENA,ERR1788562,RUN
100,ENA,ERR1788563,RUN
101,ENA,ERR1788564,RUN
102,ENA,ERR1788404,RUN
103,ENA,ERR1788566,RUN
104,ENA,ERR1788567,RUN
105,ENA,ERR1788568,RUN
106,ENA,ERR1788569,RUN
107,ENA,ERR1788570,RUN
108,ENA,ERR1788571,RUN
109,ENA,ERR1788572,RUN
110,ENA,ERR1788573,RUN
111,ENA,ERR1788574,RUN
112,ENA,ERR1788388,RUN
113,ENA,ERR1788407,RUN
114,ENA,ERR1788408,RUN
115,ENA,ERR1788409,RUN
116,ENA,ERR1788410,RUN
117,ENA,ERR1788411,RUN
118,ENA,ERR1788412,RUN
119,ENA,ERR1788415,RUN
120,ENA,ERR1788417,RUN
121,ENA,ERR1788418,RUN
122,ENA,ERR1788419,RUN
123,ENA,ERR1788421,RUN
124,ENA,ERR1788423,RUN
125,ENA,ERR1788390,RUN
126,ENA,ERR1788426,RUN
127,ENA,ERR1788427,RUN
128,ENA,ERR1788428,RUN
129,ENA,ERR1788429,RUN
130,ENA,ERR1788430,RUN
131,ENA,ERR1788431,RUN
132,ENA,ERR1788432,RUN
133,ENA,ERR1788433,RUN
134,ENA,ERR1788434,RUN
135,ENA,ERR1788391,RUN
136,ENA,ERR1788435,RUN
137,ENA,ERR1788436,RUN
138,ENA,ERR1788437,RUN
139,ENA,ERR1788438,RUN
140,ENA,ERR1788439,RUN
141,ENA,ERR1788440,RUN
142,ENA,ERR1788441,RUN
143,ENA,ERR1788442,RUN
144,ENA,ERR1788443,RUN
145,ENA,ERR1788444,RUN
146,ENA,ERR1788445,RUN
147,ENA,ERR1788446,RUN
148,ENA,ERR1788447,RUN
149,ENA,ERR1788448,RUN
150,ENA,ERR1788449,RUN
151,ENA,ERR1788451,RUN
152,ENA,ERR1788452,RUN
153,ENA,ERR1788453,RUN
154,ENA,ERR1788454,RUN
155,ENA,ERR1788393,RUN
156,ENA,ERR1788455,RUN
157,ENA,ERR1788456,RUN
158,ENA,ERR1788457,RUN
159,ENA,ERR1788458,RUN
160,ENA,ERR1788459,RUN
161,ENA,ERR1788460,RUN
162,ENA,ERR1788461,RUN
163,ENA,ERR1788462,RUN
164,ENA,ERR1788463,RUN
165,ENA,ERR1788464,RUN
166,ENA,ERR1788394,RUN
167,ENA,ERR1788465,RUN
168,ENA,ERR1788466,RUN
169,ENA,ERR1788467,RUN
