N,Database,Accession,Type
440,ENA,ERR065287,RUN
441,ENA,ERR065288,RUN
442,ENA,ERR065289,RUN
443,ENA,ERR065290,RUN
444,ENA,ERR065291,RUN
445,ENA,ERR065292,RUN
446,ENA,ERR065293,RUN
447,ENA,ERR065294,RUN
448,ENA,ERR065295,RUN
449,ENA,ERR065296,RUN
450,ENA,ERR065297,RUN
451,ENA,ERR065298,RUN
452,ENA,ERR065299,RUN
453,ENA,ERR065300,RUN
454,ENA,ERR065301,RUN
455,ENA,ERR065302,RUN
456,ENA,ERR065303,RUN
457,ENA,ERR065304,RUN
458,ENA,ERR065305,RUN
459,ENA,ERR065306,RUN
460,ENA,ERR065307,RUN
461,ENA,ERR065308,RUN
462,ENA,ERR065309,RUN
463,ENA,ERR065310,RUN
464,ENA,ERR065311,RUN
465,ENA,ERR065312,RUN
466,ENA,ERR065313,RUN
467,ENA,ERR065314,RUN
468,ENA,ERR065315,RUN
469,ENA,ERR065316,RUN
470,ENA,ERR065317,RUN
471,ENA,ERR065318,RUN
472,ENA,ERR065319,RUN
473,ENA,ERR065320,RUN
474,ENA,ERR065321,RUN
475,ENA,ERR065322,RUN
476,ENA,ERR065323,RUN
477,ENA,ERR065324,RUN
478,ENA,ERR065325,RUN
479,ENA,ERR065326,RUN
480,ENA,ERR065327,RUN
481,ENA,ERR065328,RUN
482,ENA,ERR065329,RUN
483,ENA,ERR065330,RUN
484,ENA,ERR065331,RUN
485,ENA,ERR065332,RUN
486,ENA,ERR065337,RUN
487,ENA,ERR065338,RUN
488,ENA,ERR065339,RUN
489,ENA,ERR065340,RUN
490,ENA,ERR065341,RUN
491,ENA,ERR065342,RUN
492,ENA,ERR065343,RUN
493,ENA,ERR065344,RUN
494,ENA,ERR065345,RUN
495,ENA,ERR065346,RUN
496,ENA,ERR065347,RUN
497,ENA,ERR065348,RUN
498,ENA,ERR065349,RUN
499,ENA,ERR065350,RUN
500,ENA,ERR065351,RUN
501,ENA,ERR065352,RUN
502,ENA,ERR065353,RUN
503,ENA,ERR065354,RUN
504,ENA,ERR065355,RUN
505,ENA,ERR065953,RUN
506,ENA,ERR065955,RUN
507,ENA,ERR065956,RUN
508,ENA,ERR065957,RUN
509,ENA,ERR065958,RUN
510,ENA,ERR065959,RUN
511,ENA,ERR065960,RUN
512,ENA,ERR065962,RUN
513,ENA,ERR065963,RUN
514,ENA,ERR065964,RUN
515,ENA,ERR065965,RUN
516,ENA,ERR065966,RUN
