N,Database,Accession,Type
1,NCBI,SRR3224237,RUN
2,NCBI,SRR2916657,RUN
3,NCBI,SRR2916658,RUN
4,NCBI,SRR1180875,RUN
5,NCBI,SRR1180930,RUN
6,NCBI,SRR1187769,RUN
7,NCBI,SRR1187804,RUN
8,NCBI,SRR3112302,RUN
9,NCBI,SRR3666032,RUN
10,NCBI,SRR3112304,RUN
11,NCBI,SRR3886555,RUN
12,NCBI,SRR3886578,RUN
13,NCBI,SRR3886579,RUN
14,NCBI,SRR3112305,RUN
15,NCBI,SRR3666034,RUN
16,NCBI,SRR3112306,RUN
17,NCBI,SRR3666029,RUN
18,NCBI,SRR3112313,RUN
19,NCBI,SRR3666035,RUN
20,NCBI,SRR3242007,RUN
21,NCBI,SRR6807653,RUN
22,NCBI,SRR6807654,RUN
23,NCBI,SRR6807655,RUN
24,NCBI,SRR3242008,RUN
25,NCBI,SRR6703120,RUN
26,NCBI,SRR6799415,RUN
27,NCBI,SRR6799416,RUN
28,NCBI,SRR3242011,RUN
29,NCBI,SRR6703157,RUN
30,NCBI,SRR6703158,RUN
31,NCBI,SRR3242013,RUN
32,NCBI,SRR6799410,RUN
33,NCBI,SRR6799411,RUN
34,NCBI,SRR6799412,RUN
35,NCBI,SRR3242016,RUN
36,NCBI,SRR6703494,RUN
37,NCBI,SRR3242017,RUN
38,NCBI,SRR6818604,RUN
39,NCBI,SRR3242022,RUN
40,NCBI,SRR6818605,RUN
41,NCBI,SRR3242026,RUN
42,NCBI,SRR6818793,RUN
43,NCBI,SRR6818794,RUN
44,NCBI,SRR3242027,RUN
45,NCBI,SRR6818823,RUN
46,NCBI,SRR6818824,RUN
47,NCBI,SRR2911725,RUN
48,NCBI,SRR2911726,RUN
49,NCBI,SRR2911739,RUN
50,NCBI,SRR2911742,RUN
51,NCBI,SRR2911724,RUN
52,NCBI,SRR2954965,RUN
53,NCBI,SRR2916656,RUN
54,NCBI,SRR2916633,RUN
55,NCBI,SRR2916634,RUN
56,NCBI,SRR2916635,RUN
57,NCBI,SRR2916636,RUN
58,NCBI,SRR4417583,RUN
59,NCBI,SRR5477439,RUN
60,NCBI,SRR5477437,RUN
61,NCBI,SRR5477438,RUN
62,NCBI,SRR5477436,RUN
63,NCBI,SRR5477435,RUN
64,NCBI,SRR5477433,RUN
65,NCBI,SRR5477432,RUN
66,NCBI,SRR5477440,RUN
67,NCBI,SRR5511183,RUN
68,NCBI,SRR5511086,RUN
69,NCBI,SRR5511179,RUN
70,NCBI,SRR5511084,RUN
71,NCBI,SRR5511002,RUN
72,NCBI,SRR5511003,RUN
73,NCBI,SRR5511001,RUN
74,NCBI,SRR5511083,RUN
75,NCBI,SRR5511082,RUN
76,NCBI,SRR5511079,RUN
77,NCBI,SRR5511080,RUN
78,NCBI,SRR5511077,RUN
79,NCBI,SRR5511081,RUN
80,NCBI,SRR5511051,RUN
81,NCBI,SRR5511050,RUN
82,NCBI,SRR5511049,RUN
83,NCBI,SRR5511047,RUN
84,NCBI,SRR5511048,RUN
85,NCBI,SRR5511035,RUN
86,NCBI,SRR5511034,RUN
87,NCBI,SRR5511029,RUN
88,NCBI,SRR5511031,RUN
89,NCBI,SRR5511028,RUN
90,NCBI,SRR5511027,RUN
91,NCBI,SRR5511025,RUN
92,NCBI,SRR5511005,RUN
93,NCBI,SRR5511008,RUN
94,NCBI,SRR5511006,RUN
95,NCBI,SRR5511007,RUN
96,NCBI,SRR5511222,RUN
97,NCBI,SRR5511223,RUN
98,NCBI,SRR5511220,RUN
99,NCBI,SRR5511217,RUN
100,NCBI,SRR5511219,RUN
101,NCBI,SRR5511218,RUN
102,NCBI,SRR5511213,RUN
103,NCBI,SRR5511216,RUN
104,NCBI,SRR5511215,RUN
105,NCBI,SRR5511209,RUN
106,NCBI,SRR5511212,RUN
107,NCBI,SRR5511210,RUN
108,NCBI,SRR5511211,RUN
109,NCBI,SRR5511181,RUN
110,NCBI,SRR5511182,RUN
111,NCBI,SRR5511232,RUN
112,NCBI,SRR5511235,RUN
113,NCBI,SRR5511233,RUN
114,NCBI,SRR5511227,RUN
115,NCBI,SRR5511231,RUN
116,NCBI,SRR5511288,RUN
117,NCBI,SRR5511289,RUN
118,NCBI,SRR5511286,RUN
119,NCBI,SRR5511284,RUN
120,NCBI,SRR5511285,RUN
121,NCBI,SRR5511287,RUN
122,NCBI,SRR5511250,RUN
123,NCBI,SRR5511249,RUN
124,NCBI,SRR5511247,RUN
125,NCBI,SRR5511248,RUN
126,NCBI,SRR5511243,RUN
127,NCBI,SRR5511246,RUN
128,NCBI,SRR5511244,RUN
129,NCBI,SRR5511242,RUN
130,NCBI,SRR5511241,RUN
131,NCBI,SRR5511240,RUN
132,NCBI,SRR5511237,RUN
133,NCBI,SRR5511238,RUN
134,NCBI,SRR5511239,RUN
135,NCBI,SRR5511236,RUN
136,NCBI,SRR5511234,RUN
137,NCBI,SRR5519761,RUN
138,NCBI,SRR5519760,RUN
139,NCBI,SRR5519763,RUN
140,NCBI,SRR5519645,RUN
141,NCBI,SRR5519647,RUN
142,NCBI,SRR5519638,RUN
143,NCBI,SRR5519634,RUN
144,NCBI,SRR5519632,RUN
145,NCBI,SRR5519633,RUN
146,NCBI,SRR5519636,RUN
147,NCBI,SRR5519721,RUN
148,NCBI,SRR5519720,RUN
149,NCBI,SRR5519722,RUN
150,NCBI,SRR5519716,RUN
151,NCBI,SRR5519723,RUN
152,NCBI,SRR5519714,RUN
153,NCBI,SRR5519713,RUN
154,NCBI,SRR5519674,RUN
155,NCBI,SRR5519711,RUN
156,NCBI,SRR5519712,RUN
157,NCBI,SRR5519669,RUN
158,NCBI,SRR5519672,RUN
159,NCBI,SRR5519673,RUN
160,NCBI,SRR5519667,RUN
161,NCBI,SRR5519668,RUN
162,NCBI,SRR5519665,RUN
163,NCBI,SRR5519657,RUN
164,NCBI,SRR5519654,RUN
165,NCBI,SRR5519656,RUN
166,NCBI,SRR5519650,RUN
167,NCBI,SRR5519653,RUN
168,NCBI,SRR5519758,RUN
169,NCBI,SRR5519757,RUN
170,NCBI,SRR5519759,RUN
171,NCBI,SRR5519756,RUN
172,NCBI,SRR5519748,RUN
173,NCBI,SRR5519747,RUN
174,NCBI,SRR5519746,RUN
175,NCBI,SRR5519744,RUN
176,NCBI,SRR5519742,RUN
177,NCBI,SRR5519741,RUN
178,NCBI,SRR5519739,RUN
179,NCBI,SRR5519740,RUN
180,NCBI,SRR5519735,RUN
181,NCBI,SRR5519734,RUN
182,NCBI,SRR5519736,RUN
183,NCBI,SRR5519737,RUN
184,NCBI,SRR5519733,RUN
185,NCBI,SRR5519732,RUN
186,NCBI,SRR5519730,RUN
187,NCBI,SRR5519731,RUN
188,NCBI,SRR5519727,RUN
189,NCBI,SRR5519728,RUN
190,NCBI,SRR5519725,RUN
191,NCBI,SRR5519726,RUN
192,NCBI,SRR5519899,RUN
193,NCBI,SRR5519872,RUN
194,NCBI,SRR5519871,RUN
195,NCBI,SRR5519812,RUN
196,NCBI,SRR5519810,RUN
197,NCBI,SRR5519809,RUN
198,NCBI,SRR5519811,RUN
199,NCBI,SRR5519808,RUN
200,NCBI,SRR5519806,RUN
201,NCBI,SRR5519804,RUN
202,NCBI,SRR5519805,RUN
203,NCBI,SRR5519764,RUN
204,NCBI,SRR5519767,RUN
205,NCBI,SRR5519766,RUN
206,NCBI,SRR5519768,RUN
207,NCBI,SRR5519765,RUN
208,NCBI,SRR5519762,RUN
209,NCBI,SRR5660177,RUN
210,NCBI,SRR5660183,RUN
211,NCBI,SRR5660181,RUN
212,NCBI,SRR5660178,RUN
213,NCBI,SRR5891495,RUN
214,NCBI,SRR5891496,RUN
215,NCBI,SRR5943613,RUN
216,NCBI,SRR5943612,RUN
217,NCBI,SRR5943611,RUN
218,NCBI,SRR5943610,RUN
219,NCBI,SRR5943600,RUN
220,NCBI,SRR5943601,RUN
221,NCBI,SRR5943597,RUN
222,NCBI,SRR5943599,RUN
223,NCBI,SRR5943598,RUN
224,NCBI,SRR5943596,RUN
225,NCBI,SRR5943594,RUN
226,NCBI,SRR5943595,RUN
227,NCBI,SRR5943593,RUN
228,NCBI,SRR5943622,RUN
229,NCBI,SRR5943620,RUN
230,NCBI,SRR5943621,RUN
231,NCBI,SRR5943619,RUN
232,NCBI,SRR5943618,RUN
233,NCBI,SRR5943617,RUN
234,NCBI,SRR5943615,RUN
235,NCBI,SRR5943616,RUN
236,NCBI,SRR5943614,RUN
237,NCBI,SRR6037662,RUN
238,NCBI,SRR6037664,RUN
239,NCBI,SRR8204826,RUN
240,NCBI,SRR2075860,RUN
241,NCBI,SRR2075876,RUN
242,NCBI,SRR2075877,RUN
243,NCBI,SRR2075878,RUN
244,NCBI,SRR2075879,RUN
245,NCBI,SRR2075880,RUN
246,NCBI,SRR2075881,RUN
247,NCBI,SRR2075883,RUN
248,NCBI,SRR2075884,RUN
249,NCBI,SRR2075885,RUN
250,NCBI,SRR2075887,RUN
251,NCBI,SRR2075890,RUN
252,NCBI,SRR2075891,RUN
253,NCBI,SRR2075893,RUN
254,NCBI,SRR2075895,RUN
255,NCBI,SRR2075896,RUN
256,NCBI,SRR2075897,RUN
257,NCBI,SRR2075899,RUN
258,NCBI,SRR2075900,RUN
259,NCBI,SRR2075902,RUN
260,NCBI,SRR2075903,RUN
261,NCBI,SRR2075906,RUN
262,NCBI,SRR2075907,RUN
263,NCBI,SRR2075948,RUN
264,NCBI,SRR2075950,RUN
265,NCBI,SRR2075951,RUN
266,NCBI,SRR2976831,RUN
267,NCBI,SRR3057118,RUN
268,NCBI,SRR3130307,RUN
269,NCBI,SRR3130308,RUN
270,NCBI,SRR3130309,RUN
271,NCBI,SRR3130310,RUN
272,NCBI,SRR3130311,RUN
273,NCBI,SRR3131127,RUN
274,NCBI,SRR3131130,RUN
275,NCBI,SRR3131131,RUN
276,NCBI,SRR3131132,RUN
277,NCBI,SRR3131145,RUN
278,NCBI,SRR3131146,RUN
279,NCBI,SRR3131148,RUN
280,NCBI,SRR3131149,RUN
281,NCBI,SRR3131150,RUN
282,NCBI,SRR3131151,RUN
283,NCBI,SRR3131152,RUN
284,NCBI,SRR3131155,RUN
285,NCBI,SRR3131156,RUN
286,NCBI,SRR3131157,RUN
287,NCBI,SRR3131158,RUN
288,NCBI,SRR3131159,RUN
289,NCBI,SRR3131162,RUN
290,NCBI,SRR3131163,RUN
291,NCBI,SRR3131164,RUN
292,NCBI,SRR3131165,RUN
293,NCBI,SRR3131166,RUN
294,NCBI,SRR3131167,RUN
295,NCBI,SRR3131168,RUN
296,NCBI,SRR3131169,RUN
297,NCBI,SRR3131170,RUN
298,NCBI,SRR3131171,RUN
299,NCBI,SRR3131172,RUN
300,NCBI,SRR3131173,RUN
301,NCBI,SRR3131206,RUN
302,NCBI,SRR3131207,RUN
303,NCBI,SRR3131208,RUN
304,NCBI,SRR3131209,RUN
305,NCBI,SRR3131210,RUN
306,NCBI,SRR3131211,RUN
307,NCBI,SRR3131212,RUN
308,NCBI,SRR3131213,RUN
309,NCBI,SRR3131215,RUN
310,NCBI,SRR3131216,RUN
311,NCBI,SRR3131240,RUN
312,NCBI,SRR3131217,RUN
313,NCBI,SRR3131219,RUN
314,NCBI,SRR3131220,RUN
315,NCBI,SRR3131221,RUN
316,NCBI,SRR3131222,RUN
317,NCBI,SRR3131223,RUN
318,NCBI,SRR3131224,RUN
319,NCBI,SRR3131225,RUN
320,NCBI,SRR3131226,RUN
321,NCBI,SRR3131227,RUN
322,NCBI,SRR3131228,RUN
323,NCBI,SRR3131229,RUN
324,NCBI,SRR3131230,RUN
325,NCBI,SRR3131234,RUN
326,NCBI,SRR3131235,RUN
327,NCBI,SRR3131236,RUN
328,NCBI,SRR3131237,RUN
329,NCBI,SRR3131238,RUN
330,NCBI,SRR3131239,RUN
331,NCBI,SRR3133084,RUN
332,NCBI,SRR3133086,RUN
333,NCBI,SRR3133087,RUN
334,NCBI,SRR3133088,RUN
335,NCBI,SRR3133089,RUN
336,NCBI,SRR3133090,RUN
337,NCBI,SRR3133091,RUN
338,NCBI,SRR3133092,RUN
339,NCBI,SRR3133093,RUN
340,NCBI,SRR3133094,RUN
341,NCBI,SRR3133095,RUN
342,NCBI,SRR3133096,RUN
343,NCBI,SRR3133097,RUN
344,NCBI,SRR3133098,RUN
345,NCBI,SRR3133099,RUN
346,NCBI,SRR3133100,RUN
347,NCBI,SRR3133101,RUN
348,NCBI,SRR3133102,RUN
349,NCBI,SRR3133103,RUN
350,NCBI,SRR3133104,RUN
351,NCBI,SRR3133105,RUN
352,NCBI,SRR3133106,RUN
353,NCBI,SRR3133107,RUN
354,NCBI,SRR3135171,RUN
355,NCBI,SRR3135275,RUN
356,NCBI,SRR3137567,RUN
357,NCBI,SRR3137568,RUN
358,NCBI,SRR3137569,RUN
359,NCBI,SRR3137570,RUN
360,NCBI,SRR3137571,RUN
361,NCBI,SRR3137572,RUN
362,NCBI,SRR3137574,RUN
363,NCBI,SRR3137575,RUN
364,NCBI,SRR3137579,RUN
365,NCBI,SRR3137580,RUN
366,NCBI,SRR3137581,RUN
367,NCBI,SRR3137582,RUN
368,NCBI,SRR3137583,RUN
369,NCBI,SRR3137584,RUN
370,NCBI,SRR3137585,RUN
371,NCBI,SRR3137586,RUN
372,NCBI,SRR3137587,RUN
373,NCBI,SRR3137588,RUN
374,NCBI,SRR3137589,RUN
375,NCBI,SRR3137590,RUN
376,NCBI,SRR3168640,RUN
377,NCBI,SRR3146378,RUN
378,NCBI,SRR3146379,RUN
379,NCBI,SRR3146380,RUN
380,NCBI,SRR3146381,RUN
381,NCBI,SRR3146382,RUN
382,NCBI,SRR3146383,RUN
383,NCBI,SRR3146384,RUN
384,NCBI,SRR3146385,RUN
385,NCBI,SRR3146387,RUN
386,NCBI,SRR3151889,RUN
387,NCBI,SRR3151890,RUN
388,NCBI,SRR3152160,RUN
389,NCBI,SRR3152492,RUN
390,NCBI,SRR3152495,RUN
391,NCBI,SRR3152496,RUN
392,NCBI,SRR3152500,RUN
393,NCBI,SRR3152503,RUN
