N,Database,Accession,Type
1,NCBI,SRR1010879,RUN
2,NCBI,SRR1010880,RUN
3,NCBI,SRR999475,RUN
4,NCBI,SRR999476,RUN
5,NCBI,SRR850714,RUN
6,NCBI,SRR850715,RUN
7,NCBI,SRR9901953,RUN
8,NCBI,SRR850737,RUN
9,NCBI,SRR850738,RUN
10,NCBI,SRR12492532,RUN
11,NCBI,SRR850772,RUN
12,NCBI,SRR850773,RUN
13,NCBI,SRR850774,RUN
14,NCBI,SRR850775,RUN
15,NCBI,SRR850776,RUN
16,NCBI,SRR850777,RUN
17,NCBI,SRR850778,RUN
18,NCBI,SRR850779,RUN
19,NCBI,SRR9901952,RUN
20,NCBI,SRR12492531,RUN
21,NCBI,SRR850780,RUN
22,NCBI,SRR850781,RUN
23,NCBI,SRR1185111,RUN
24,NCBI,SRR1185218,RUN
25,NCBI,SRR1185241,RUN
26,NCBI,SRR1185273,RUN
27,NCBI,SRR1185295,RUN
28,NCBI,SRR850782,RUN
29,NCBI,SRR850783,RUN
30,NCBI,SRR850784,RUN
31,NCBI,SRR850785,RUN
32,NCBI,SRR850695,RUN
33,NCBI,SRR850696,RUN
34,NCBI,SRR1180836,RUN
35,NCBI,SRR1180956,RUN
36,NCBI,SRR1187749,RUN
37,NCBI,SRR1187832,RUN
38,NCBI,SRR850697,RUN
39,NCBI,SRR850698,RUN
40,NCBI,SRR850699,RUN
41,NCBI,SRR850700,RUN
42,NCBI,SRR850701,RUN
43,NCBI,SRR867698,RUN
44,NCBI,SRR960872,RUN
45,NCBI,SRR850702,RUN
46,NCBI,SRR850703,RUN
47,NCBI,SRR1185266,RUN
48,NCBI,SRR1185271,RUN
49,NCBI,SRR1185297,RUN
50,NCBI,SRR1185307,RUN
51,NCBI,SRR1185315,RUN
52,NCBI,SRR12492533,RUN
53,NCBI,SRR850704,RUN
54,NCBI,SRR850705,RUN
55,NCBI,SRR850706,RUN
56,NCBI,SRR850707,RUN
57,NCBI,SRR850708,RUN
58,NCBI,SRR850709,RUN
59,NCBI,SRR9901957,RUN
60,NCBI,SRR850710,RUN
61,NCBI,SRR850711,RUN
62,NCBI,SRR850712,RUN
63,NCBI,SRR850713,RUN
64,NCBI,SRR850716,RUN
65,NCBI,SRR850717,RUN
66,NCBI,SRR850718,RUN
67,NCBI,SRR850719,RUN
68,NCBI,SRR850720,RUN
69,NCBI,SRR850721,RUN
70,NCBI,SRR850722,RUN
71,NCBI,SRR850723,RUN
72,NCBI,SRR850724,RUN
73,NCBI,SRR850725,RUN
74,NCBI,SRR850726,RUN
75,NCBI,SRR850727,RUN
76,NCBI,SRR850728,RUN
77,NCBI,SRR850729,RUN
78,NCBI,SRR850730,RUN
79,NCBI,SRR850731,RUN
80,NCBI,SRR850733,RUN
81,NCBI,SRR850734,RUN
82,NCBI,SRR850735,RUN
83,NCBI,SRR850736,RUN
84,NCBI,SRR850739,RUN
85,NCBI,SRR850740,RUN
86,NCBI,SRR850741,RUN
87,NCBI,SRR850742,RUN
88,NCBI,SRR850743,RUN
89,NCBI,SRR850744,RUN
90,NCBI,SRR850745,RUN
91,NCBI,SRR850746,RUN
92,NCBI,SRR850764,RUN
93,NCBI,SRR850765,RUN
94,NCBI,SRR850766,RUN
95,NCBI,SRR850767,RUN
96,NCBI,SRR9901956,RUN
97,NCBI,SRR850768,RUN
98,NCBI,SRR850769,RUN
99,NCBI,SRR850770,RUN
100,NCBI,SRR850771,RUN
101,NCBI,SRR1165447,RUN
102,NCBI,SRR1165879,RUN
103,NCBI,SRR854572,RUN
104,NCBI,SRR854573,RUN
105,NCBI,SRR9901960,RUN
106,NCBI,SRR850687,RUN
107,NCBI,SRR850688,RUN
108,NCBI,SRR850689,RUN
109,NCBI,SRR850690,RUN
110,NCBI,SRR9901958,RUN
111,NCBI,SRR850616,RUN
112,NCBI,SRR850617,RUN
113,NCBI,SRR850663,RUN
114,NCBI,SRR850664,RUN
115,NCBI,SRR850665,RUN
116,NCBI,SRR850666,RUN
117,NCBI,SRR850667,RUN
118,NCBI,SRR850668,RUN
119,NCBI,SRR850669,RUN
120,NCBI,SRR850670,RUN
121,NCBI,SRR850671,RUN
122,NCBI,SRR850672,RUN
123,NCBI,SRR850673,RUN
124,NCBI,SRR850674,RUN
125,NCBI,SRR850675,RUN
126,NCBI,SRR850676,RUN
127,NCBI,SRR850677,RUN
128,NCBI,SRR850678,RUN
129,NCBI,SRR850679,RUN
130,NCBI,SRR850680,RUN
131,NCBI,SRR850681,RUN
132,NCBI,SRR850682,RUN
133,NCBI,SRR850927,RUN
134,NCBI,SRR850928,RUN
135,NCBI,SRR850929,RUN
136,NCBI,SRR850930,RUN
137,NCBI,SRR1010871,RUN
138,NCBI,SRR1010872,RUN
139,NCBI,SRR999465,RUN
140,NCBI,SRR999466,RUN
141,NCBI,SRR1010873,RUN
142,NCBI,SRR1010874,RUN
143,NCBI,SRR999467,RUN
144,NCBI,SRR999468,RUN
145,NCBI,SRR1103487,RUN
146,NCBI,SRR1103635,RUN
147,NCBI,SRR1180689,RUN
148,NCBI,SRR1183662,RUN
149,NCBI,SRR1187706,RUN
150,NCBI,SRR1187816,RUN
151,NCBI,SRR999469,RUN
152,NCBI,SRR999470,RUN
153,NCBI,SRR1010875,RUN
154,NCBI,SRR1010876,RUN
155,NCBI,SRR999471,RUN
156,NCBI,SRR999472,RUN
157,NCBI,SRR1010881,RUN
158,NCBI,SRR1010882,RUN
159,NCBI,SRR999477,RUN
160,NCBI,SRR999478,RUN
161,NCBI,SRR1010885,RUN
162,NCBI,SRR1010886,RUN
163,NCBI,SRR999481,RUN
164,NCBI,SRR999482,RUN
165,NCBI,SRR1010887,RUN
166,NCBI,SRR1010888,RUN
167,NCBI,SRR999483,RUN
168,NCBI,SRR999484,RUN
169,NCBI,SRR1180908,RUN
170,NCBI,SRR1180917,RUN
171,NCBI,SRR1187818,RUN
172,NCBI,SRR1187833,RUN
173,NCBI,SRR1180905,RUN
174,NCBI,SRR1181027,RUN
175,NCBI,SRR1187721,RUN
176,NCBI,SRR1187756,RUN
177,NCBI,SRR1196828,RUN
178,NCBI,SRR1196975,RUN
179,NCBI,SRR1203976,RUN
180,NCBI,SRR1204024,RUN
181,NCBI,SRR1196770,RUN
182,NCBI,SRR1197664,RUN
183,NCBI,SRR1203936,RUN
184,NCBI,SRR1204015,RUN
185,NCBI,SRR4025841,RUN
186,NCBI,SRR5146438,RUN
187,NCBI,SRR5146439,RUN
188,NCBI,SRR5146440,RUN
189,NCBI,SRR5146441,RUN
190,NCBI,SRR3242004,RUN
191,NCBI,SRR6985634,RUN
192,NCBI,SRR6985635,RUN
193,NCBI,SRR3242005,RUN
194,NCBI,SRR6994963,RUN
195,NCBI,SRR6994964,RUN
196,NCBI,SRR4025852,RUN
197,NCBI,SRR5167854,RUN
198,NCBI,SRR5167855,RUN
199,NCBI,SRR5740325,RUN
200,NCBI,SRR5740326,RUN
201,NCBI,SRR4025853,RUN
202,NCBI,SRR5167856,RUN
203,NCBI,SRR5167857,RUN
204,NCBI,SRR5740335,RUN
205,NCBI,SRR5740336,RUN
206,NCBI,SRR3112317,RUN
207,NCBI,SRR6703154,RUN
208,NCBI,SRR4025858,RUN
209,NCBI,SRR5168219,RUN
210,NCBI,SRR5168220,RUN
211,NCBI,SRR5740793,RUN
212,NCBI,SRR5740794,RUN
213,NCBI,SRR3290651,RUN
214,NCBI,SRR6702940,RUN
215,NCBI,SRR6702941,RUN
216,NCBI,SRR3242024,RUN
217,NCBI,SRR6818706,RUN
218,NCBI,SRR3112290,RUN
219,NCBI,SRR6818846,RUN
220,NCBI,SRR4025988,RUN
221,NCBI,SRR5168476,RUN
222,NCBI,SRR5168477,RUN
223,NCBI,SRR5753141,RUN
224,NCBI,SRR3112297,RUN
225,NCBI,SRR7253630,RUN
226,NCBI,SRR4026006,RUN
227,NCBI,SRR5168524,RUN
228,NCBI,SRR5168525,RUN
229,NCBI,SRR5746754,RUN
230,NCBI,SRR5746755,RUN
231,NCBI,SRR3112301,RUN
232,NCBI,SRR7013053,RUN
233,NCBI,SRR7013054,RUN
234,NCBI,SRR2544781,RUN
235,NCBI,SRR3135340,RUN
236,NCBI,SRR3135341,RUN
237,NCBI,SRR3137245,RUN
238,NCBI,SRR3137246,RUN
239,NCBI,SRR3137814,RUN
240,NCBI,SRR3137815,RUN
241,NCBI,SRR3168645,RUN
242,NCBI,SRR4019402,RUN
243,NCBI,SRR6807647,RUN
244,NCBI,SRR6807648,RUN
245,NCBI,SRR6799395,RUN
246,NCBI,SRR6799396,RUN
247,NCBI,SRR6799398,RUN
248,NCBI,SRR6799399,RUN
249,NCBI,SRR6985735,RUN
250,NCBI,SRR6985736,RUN
251,NCBI,SRR6985687,RUN
252,NCBI,SRR6985688,RUN
253,ENA,ERR474276,RUN
254,ENA,ERR474277,RUN
255,ENA,ERR486101,RUN
256,ENA,ERR486103,RUN
257,ENA,ERR486104,RUN
258,ENA,ERR486106,RUN
259,ENA,ERR486107,RUN
260,ENA,ERR486112,RUN
261,ENA,ERR486113,RUN
262,ENA,ERR486114,RUN
263,ENA,ERR486115,RUN
264,ENA,ERR486116,RUN
265,ENA,ERR486117,RUN
266,ENA,ERR486118,RUN
267,ENA,ERR486119,RUN
268,ENA,ERR486120,RUN
269,ENA,ERR486720,RUN
270,ENA,ERR486121,RUN
271,ENA,ERR486122,RUN
272,ENA,ERR486721,RUN
273,ENA,ERR486124,RUN
274,ENA,ERR486125,RUN
275,ENA,ERR486126,RUN
276,ENA,ERR486127,RUN
277,ENA,ERR486128,RUN
278,ENA,ERR486129,RUN
279,ENA,ERR486130,RUN
280,ENA,ERR486132,RUN
281,ENA,ERR486133,RUN
282,ENA,ERR486135,RUN
283,ENA,ERR486136,RUN
284,ENA,ERR486137,RUN
285,ENA,ERR486138,RUN
286,ENA,ERR486140,RUN
287,ENA,ERR486142,RUN
288,ENA,ERR486143,RUN
289,ENA,ERR486144,RUN
290,ENA,ERR486145,RUN
291,ENA,ERR486149,RUN
292,ENA,ERR486150,RUN
293,ENA,ERR486151,RUN
294,ENA,ERR486152,RUN
295,ENA,ERR486723,RUN
296,ENA,ERR486724,RUN
297,ENA,ERR486153,RUN
298,ENA,ERR486154,RUN
299,ENA,ERR486155,RUN
300,ENA,ERR486157,RUN
301,ENA,ERR486158,RUN
302,ENA,ERR486159,RUN
303,ENA,ERR486160,RUN
304,ENA,ERR486161,RUN
305,ENA,ERR486163,RUN
306,ENA,ERR486164,RUN
307,ENA,ERR486165,RUN
308,ENA,ERR486166,RUN
309,ENA,ERR486168,RUN
310,ENA,ERR486169,RUN
311,ENA,ERR486170,RUN
312,ENA,ERR486171,RUN
313,ENA,ERR486172,RUN
314,ENA,ERR486173,RUN
315,ENA,ERR486174,RUN
316,ENA,ERR486175,RUN
317,ENA,ERR486176,RUN
318,ENA,ERR486177,RUN
319,ENA,ERR486178,RUN
320,ENA,ERR486179,RUN
321,ENA,ERR486180,RUN
322,ENA,ERR486725,RUN
323,ENA,ERR486183,RUN
324,ENA,ERR486189,RUN
325,ENA,ERR486190,RUN
326,ENA,ERR486192,RUN
327,ENA,ERR486193,RUN
328,ENA,ERR474376,RUN
329,ENA,ERR474377,RUN
330,ENA,ERR474378,RUN
331,ENA,ERR474379,RUN
332,ENA,ERR474380,RUN
333,ENA,ERR474381,RUN
334,ENA,ERR474382,RUN
335,ENA,ERR474384,RUN
336,ENA,ERR474385,RUN
337,ENA,ERR474386,RUN
338,ENA,ERR474387,RUN
339,ENA,ERR474388,RUN
340,ENA,ERR474389,RUN
341,ENA,ERR474390,RUN
342,ENA,ERR474392,RUN
343,ENA,ERR474393,RUN
344,ENA,ERR474394,RUN
345,ENA,ERR474395,RUN
346,ENA,ERR474396,RUN
347,ENA,ERR486726,RUN
348,ENA,ERR474398,RUN
349,ENA,ERR474399,RUN
350,ENA,ERR474400,RUN
351,ENA,ERR474402,RUN
352,ENA,ERR474404,RUN
353,ENA,ERR474405,RUN
354,ENA,ERR474406,RUN
355,ENA,ERR474407,RUN
356,ENA,ERR474408,RUN
357,ENA,ERR474409,RUN
358,ENA,ERR474411,RUN
359,ENA,ERR474412,RUN
360,ENA,ERR474413,RUN
361,ENA,ERR474414,RUN
362,ENA,ERR474415,RUN
363,ENA,ERR474416,RUN
364,ENA,ERR474417,RUN
365,ENA,ERR474418,RUN
366,ENA,ERR474421,RUN
367,ENA,ERR474423,RUN
368,ENA,ERR474424,RUN
369,ENA,ERR474425,RUN
370,ENA,ERR474427,RUN
371,ENA,ERR474431,RUN
372,ENA,ERR474432,RUN
373,ENA,ERR474433,RUN
374,ENA,ERR474437,RUN
375,ENA,ERR474438,RUN
376,ENA,ERR474441,RUN
377,ENA,ERR474442,RUN
378,ENA,ERR474443,RUN
379,ENA,ERR474444,RUN
380,ENA,ERR474446,RUN
381,ENA,ERR474447,RUN
382,ENA,ERR474448,RUN
383,ENA,ERR474451,RUN
384,ENA,ERR474452,RUN
385,ENA,ERR474453,RUN
386,ENA,ERR474456,RUN
387,ENA,ERR474457,RUN
388,ENA,ERR474459,RUN
389,ENA,ERR474460,RUN
390,ENA,ERR474462,RUN
391,ENA,ERR474463,RUN
392,ENA,ERR474464,RUN
393,ENA,ERR474466,RUN
394,ENA,ERR474281,RUN
395,ENA,ERR474282,RUN
396,ENA,ERR474283,RUN
397,ENA,ERR486727,RUN
398,ENA,ERR474288,RUN
399,ENA,ERR474289,RUN
400,ENA,ERR474290,RUN
401,ENA,ERR474291,RUN
402,ENA,ERR474292,RUN
403,ENA,ERR474293,RUN
404,ENA,ERR474294,RUN
405,ENA,ERR474296,RUN
406,ENA,ERR486728,RUN
407,ENA,ERR474297,RUN
408,ENA,ERR474298,RUN
409,ENA,ERR474299,RUN
410,ENA,ERR474300,RUN
411,ENA,ERR474301,RUN
412,ENA,ERR474302,RUN
413,ENA,ERR474303,RUN
414,ENA,ERR474305,RUN
415,ENA,ERR474306,RUN
416,ENA,ERR474309,RUN
417,ENA,ERR474310,RUN
418,ENA,ERR474311,RUN
419,ENA,ERR474314,RUN
420,ENA,ERR474315,RUN
421,ENA,ERR474318,RUN
422,ENA,ERR474320,RUN
423,ENA,ERR474321,RUN
424,ENA,ERR474322,RUN
425,ENA,ERR474324,RUN
426,ENA,ERR474325,RUN
427,ENA,ERR474327,RUN
428,ENA,ERR474328,RUN
429,ENA,ERR474329,RUN
430,ENA,ERR486729,RUN
431,ENA,ERR474330,RUN
432,ENA,ERR474333,RUN
433,ENA,ERR474335,RUN
434,ENA,ERR474337,RUN
435,ENA,ERR474338,RUN
436,ENA,ERR474341,RUN
437,ENA,ERR474342,RUN
438,ENA,ERR474343,RUN
439,ENA,ERR486730,RUN
440,ENA,ERR474344,RUN
441,ENA,ERR474348,RUN
442,ENA,ERR474349,RUN
443,ENA,ERR474351,RUN
444,ENA,ERR474352,RUN
445,ENA,ERR474353,RUN
446,ENA,ERR474354,RUN
447,ENA,ERR474355,RUN
448,ENA,ERR474357,RUN
449,ENA,ERR486732,RUN
450,ENA,ERR474359,RUN
451,ENA,ERR474360,RUN
452,ENA,ERR474361,RUN
453,ENA,ERR474363,RUN
454,ENA,ERR474365,RUN
455,ENA,ERR474366,RUN
456,ENA,ERR474367,RUN
457,ENA,ERR474368,RUN
458,ENA,ERR474369,RUN
459,ENA,ERR474371,RUN
460,ENA,ERR474372,RUN
461,ENA,ERR474373,RUN
462,ENA,ERR486194,RUN
463,ENA,ERR486195,RUN
464,ENA,ERR486734,RUN
465,ENA,ERR486735,RUN
466,ENA,ERR486736,RUN
467,ENA,ERR486198,RUN
468,ENA,ERR486199,RUN
469,ENA,ERR486200,RUN
470,ENA,ERR486201,RUN
471,ENA,ERR486202,RUN
472,ENA,ERR486203,RUN
473,ENA,ERR486204,RUN
474,ENA,ERR486206,RUN
475,ENA,ERR486207,RUN
476,ENA,ERR486208,RUN
477,ENA,ERR486209,RUN
