N,Database,Accession,Type
1,NCBI,SRR850839,RUN
2,NCBI,SRR850840,RUN
3,NCBI,SRR850841,RUN
4,NCBI,SRR850842,RUN
5,NCBI,SRR850843,RUN
6,NCBI,SRR850844,RUN
7,NCBI,SRR850845,RUN
8,NCBI,SRR850846,RUN
9,NCBI,SRR850826,RUN
10,NCBI,SRR850827,RUN
11,NCBI,SRR850830,RUN
12,NCBI,SRR850831,RUN
13,NCBI,SRR850787,RUN
14,NCBI,SRR850788,RUN
15,NCBI,SRR850789,RUN
16,NCBI,SRR850790,RUN
17,NCBI,SRR850791,RUN
18,NCBI,SRR850792,RUN
19,NCBI,SRR850794,RUN
20,NCBI,SRR850795,RUN
21,NCBI,SRR9901959,RUN
22,NCBI,SRR850796,RUN
23,NCBI,SRR850797,RUN
24,NCBI,SRR1185267,RUN
25,NCBI,SRR1185268,RUN
26,NCBI,SRR1185288,RUN
27,NCBI,SRR1185289,RUN
28,NCBI,SRR1185294,RUN
29,NCBI,SRR850798,RUN
30,NCBI,SRR850799,RUN
31,NCBI,SRR850800,RUN
32,NCBI,SRR850801,RUN
33,NCBI,SRR850814,RUN
34,NCBI,SRR850815,RUN
35,NCBI,SRR850816,RUN
36,NCBI,SRR850817,RUN
37,NCBI,SRR850818,RUN
38,NCBI,SRR850819,RUN
39,NCBI,SRR850820,RUN
40,NCBI,SRR850821,RUN
41,NCBI,SRR850822,RUN
42,NCBI,SRR850823,RUN
43,NCBI,SRR850824,RUN
44,NCBI,SRR850825,RUN
45,NCBI,SRR1010889,RUN
46,NCBI,SRR1010890,RUN
47,NCBI,SRR999485,RUN
48,NCBI,SRR999486,RUN
49,NCBI,SRR1010891,RUN
50,NCBI,SRR1010892,RUN
51,NCBI,SRR999487,RUN
52,NCBI,SRR999488,RUN
53,NCBI,SRR1010893,RUN
54,NCBI,SRR1010894,RUN
55,NCBI,SRR999494,RUN
56,NCBI,SRR999495,RUN
57,NCBI,SRR1180851,RUN
58,NCBI,SRR1180961,RUN
59,NCBI,SRR1187773,RUN
