N,Database,Accession,Type
1,NCBI,SRR850980,RUN
2,NCBI,SRR850981,RUN
3,NCBI,SRR850982,RUN
4,NCBI,SRR850983,RUN
5,NCBI,SRR850984,RUN
6,NCBI,SRR850985,RUN
7,NCBI,SRR850986,RUN
8,NCBI,SRR850987,RUN
9,NCBI,SRR850988,RUN
10,NCBI,SRR850989,RUN
11,NCBI,SRR850990,RUN
12,NCBI,SRR850991,RUN
13,NCBI,SRR850996,RUN
14,NCBI,SRR850997,RUN
15,NCBI,SRR850998,RUN
16,NCBI,SRR850999,RUN
17,NCBI,SRR851000,RUN
18,NCBI,SRR851001,RUN
19,NCBI,SRR851002,RUN
20,NCBI,SRR851003,RUN
21,NCBI,SRR851005,RUN
22,NCBI,SRR851006,RUN
23,NCBI,SRR851007,RUN
24,NCBI,SRR851008,RUN
25,NCBI,SRR3955791,RUN
26,NCBI,SRR3955792,RUN
27,NCBI,SRR851009,RUN
28,NCBI,SRR851010,RUN
29,NCBI,SRR851011,RUN
30,NCBI,SRR851012,RUN
31,NCBI,SRR851013,RUN
32,NCBI,SRR851014,RUN
33,NCBI,SRR851015,RUN
34,NCBI,SRR851016,RUN
35,NCBI,SRR851021,RUN
36,NCBI,SRR851022,RUN
37,NCBI,SRR851023,RUN
38,NCBI,SRR851024,RUN
39,NCBI,SRR12492530,RUN
40,NCBI,SRR851025,RUN
41,NCBI,SRR851026,RUN
42,NCBI,SRR851027,RUN
43,NCBI,SRR851028,RUN
44,NCBI,SRR851034,RUN
45,NCBI,SRR851035,RUN
46,NCBI,SRR851036,RUN
47,NCBI,SRR851037,RUN
48,NCBI,SRR9901955,RUN
49,NCBI,SRR851049,RUN
50,NCBI,SRR851050,RUN
51,NCBI,SRR851051,RUN
52,NCBI,SRR851052,RUN
53,NCBI,SRR851053,RUN
54,NCBI,SRR851054,RUN
55,NCBI,SRR851055,RUN
56,NCBI,SRR851056,RUN
57,NCBI,SRR851057,RUN
58,NCBI,SRR851058,RUN
59,NCBI,SRR851059,RUN
60,NCBI,SRR851060,RUN
61,NCBI,SRR851061,RUN
62,NCBI,SRR851062,RUN
63,NCBI,SRR851063,RUN
64,NCBI,SRR851064,RUN
65,NCBI,SRR850967,RUN
66,NCBI,SRR850968,RUN
67,NCBI,SRR850959,RUN
68,NCBI,SRR850960,RUN
69,NCBI,SRR850973,RUN
70,NCBI,SRR850974,RUN
71,NCBI,SRR850975,RUN
72,NCBI,SRR850976,RUN
73,NCBI,SRR1103629,RUN
74,NCBI,SRR850977,RUN
75,NCBI,SRR850978,RUN
76,NCBI,SRR850979,RUN
77,NCBI,SRR960875,RUN
78,NCBI,SRR960876,RUN
79,NCBI,SRR850898,RUN
80,NCBI,SRR850899,RUN
81,NCBI,SRR850920,RUN
82,NCBI,SRR850921,RUN
83,NCBI,SRR850951,RUN
84,NCBI,SRR850952,RUN
85,NCBI,SRR850953,RUN
86,NCBI,SRR850954,RUN
87,NCBI,SRR850955,RUN
88,NCBI,SRR850956,RUN
89,NCBI,SRR850957,RUN
90,NCBI,SRR850958,RUN
91,NCBI,SRR850871,RUN
92,NCBI,SRR850872,RUN
93,NCBI,SRR850873,RUN
94,NCBI,SRR850874,RUN
95,NCBI,SRR867700,RUN
96,NCBI,SRR960874,RUN
97,NCBI,SRR1185109,RUN
98,NCBI,SRR1185272,RUN
99,NCBI,SRR1185274,RUN
100,NCBI,SRR1185276,RUN
101,NCBI,SRR1185316,RUN
102,NCBI,SRR850875,RUN
103,NCBI,SRR850876,RUN
104,NCBI,SRR850882,RUN
105,NCBI,SRR850883,RUN
106,NCBI,SRR1185225,RUN
107,NCBI,SRR1185230,RUN
108,NCBI,SRR1185257,RUN
109,NCBI,SRR1185270,RUN
110,NCBI,SRR1185296,RUN
111,NCBI,SRR850884,RUN
112,NCBI,SRR850885,RUN
113,NCBI,SRR850886,RUN
114,NCBI,SRR850887,RUN
115,NCBI,SRR1180805,RUN
116,NCBI,SRR1181006,RUN
117,NCBI,SRR1187713,RUN
118,NCBI,SRR1187743,RUN
119,NCBI,SRR850888,RUN
120,NCBI,SRR850889,RUN
121,NCBI,SRR850890,RUN
122,NCBI,SRR1185237,RUN
123,NCBI,SRR1185261,RUN
124,NCBI,SRR1185290,RUN
125,NCBI,SRR1185292,RUN
126,NCBI,SRR1185305,RUN
127,NCBI,SRR850891,RUN
128,NCBI,SRR850892,RUN
129,NCBI,SRR850893,RUN
130,NCBI,SRR850894,RUN
131,NCBI,SRR850895,RUN
132,NCBI,SRR960952,RUN
133,NCBI,SRR850896,RUN
134,NCBI,SRR850897,RUN
135,NCBI,SRR850900,RUN
136,NCBI,SRR850901,RUN
137,NCBI,SRR850902,RUN
138,NCBI,SRR850903,RUN
139,NCBI,SRR850904,RUN
140,NCBI,SRR850905,RUN
141,NCBI,SRR850906,RUN
142,NCBI,SRR850907,RUN
143,NCBI,SRR850908,RUN
144,NCBI,SRR850909,RUN
145,NCBI,SRR850910,RUN
146,NCBI,SRR850911,RUN
147,NCBI,SRR850912,RUN
148,NCBI,SRR850913,RUN
149,NCBI,SRR850914,RUN
150,NCBI,SRR850915,RUN
151,NCBI,SRR850916,RUN
152,NCBI,SRR850917,RUN
153,NCBI,SRR850918,RUN
154,NCBI,SRR850919,RUN
155,NCBI,SRR850847,RUN
156,NCBI,SRR850848,RUN
157,NCBI,SRR850849,RUN
158,NCBI,SRR850850,RUN
159,NCBI,SRR850923,RUN
160,NCBI,SRR850924,RUN
161,NCBI,SRR850925,RUN
162,NCBI,SRR850926,RUN
163,NCBI,SRR850931,RUN
164,NCBI,SRR850932,RUN
165,NCBI,SRR850933,RUN
166,NCBI,SRR850934,RUN
167,NCBI,SRR5658729,RUN
168,NCBI,SRR5659146,RUN
169,NCBI,SRR850935,RUN
170,NCBI,SRR850936,RUN
171,NCBI,SRR850937,RUN
172,NCBI,SRR850938,RUN
173,NCBI,SRR850939,RUN
174,NCBI,SRR850940,RUN
175,NCBI,SRR850941,RUN
176,NCBI,SRR850942,RUN
177,NCBI,SRR850943,RUN
178,NCBI,SRR850944,RUN
179,NCBI,SRR850945,RUN
180,NCBI,SRR850946,RUN
181,NCBI,SRR850947,RUN
182,NCBI,SRR850948,RUN
183,NCBI,SRR850949,RUN
184,NCBI,SRR850950,RUN
185,NCBI,SRR848923,RUN
186,NCBI,SRR896011,RUN
187,NCBI,SRR849527,RUN
188,NCBI,SRR900141,RUN
189,NCBI,SRR849528,RUN
190,NCBI,SRR900163,RUN
191,NCBI,SRR849529,RUN
192,NCBI,SRR900164,RUN
193,NCBI,SRR849530,RUN
194,NCBI,SRR900165,RUN
195,NCBI,SRR849531,RUN
196,NCBI,SRR900166,RUN
197,NCBI,SRR849532,RUN
198,NCBI,SRR900153,RUN
199,NCBI,SRR2080956,RUN
200,NCBI,SRR2080958,RUN
201,NCBI,SRR2080959,RUN
202,NCBI,SRR2080960,RUN
203,NCBI,SRR849533,RUN
204,NCBI,SRR900154,RUN
205,NCBI,SRR849534,RUN
206,NCBI,SRR900155,RUN
207,NCBI,SRR849535,RUN
208,NCBI,SRR900157,RUN
209,NCBI,SRR849536,RUN
210,NCBI,SRR900156,RUN
211,NCBI,SRR849537,RUN
212,NCBI,SRR900158,RUN
213,NCBI,SRR849538,RUN
214,NCBI,SRR900160,RUN
215,NCBI,SRR849539,RUN
216,NCBI,SRR900161,RUN
217,NCBI,SRR849540,RUN
218,NCBI,SRR900162,RUN
219,NCBI,SRR849541,RUN
220,NCBI,SRR900138,RUN
221,NCBI,SRR2080783,RUN
222,NCBI,SRR2080784,RUN
223,NCBI,SRR2080785,RUN
224,NCBI,SRR2080786,RUN
225,NCBI,SRR849542,RUN
226,NCBI,SRR900139,RUN
227,NCBI,SRR849543,RUN
228,NCBI,SRR900140,RUN
229,NCBI,SRR849544,RUN
230,NCBI,SRR900142,RUN
231,NCBI,SRR849545,RUN
232,NCBI,SRR900143,RUN
233,NCBI,SRR849546,RUN
234,NCBI,SRR900144,RUN
235,NCBI,SRR849547,RUN
236,NCBI,SRR900151,RUN
237,NCBI,SRR849548,RUN
238,NCBI,SRR863639,RUN
239,NCBI,SRR900152,RUN
240,NCBI,SRR849549,RUN
241,NCBI,SRR900124,RUN
242,NCBI,SRR849550,RUN
243,NCBI,SRR857263,RUN
244,NCBI,SRR900125,RUN
245,NCBI,SRR849551,RUN
246,NCBI,SRR900126,RUN
247,NCBI,SRR849552,RUN
248,NCBI,SRR900127,RUN
249,NCBI,SRR849553,RUN
250,NCBI,SRR900132,RUN
251,NCBI,SRR2080787,RUN
252,NCBI,SRR2080788,RUN
253,NCBI,SRR2080789,RUN
254,NCBI,SRR2080790,RUN
255,NCBI,SRR849554,RUN
256,NCBI,SRR900133,RUN
257,NCBI,SRR849555,RUN
258,NCBI,SRR900134,RUN
259,NCBI,SRR849556,RUN
260,NCBI,SRR900135,RUN
261,NCBI,SRR849557,RUN
262,NCBI,SRR863638,RUN
263,NCBI,SRR900208,RUN
264,NCBI,SRR849597,RUN
265,NCBI,SRR900167,RUN
266,NCBI,SRR849598,RUN
267,NCBI,SRR863640,RUN
268,NCBI,SRR900168,RUN
269,NCBI,SRR2080778,RUN
270,NCBI,SRR2080779,RUN
271,NCBI,SRR2080780,RUN
272,NCBI,SRR2080781,RUN
273,NCBI,SRR2080782,RUN
274,NCBI,SRR849600,RUN
275,NCBI,SRR900169,RUN
276,NCBI,SRR849602,RUN
277,NCBI,SRR900178,RUN
278,NCBI,SRR849650,RUN
279,NCBI,SRR863641,RUN
280,NCBI,SRR900179,RUN
281,NCBI,SRR849679,RUN
282,NCBI,SRR900180,RUN
283,NCBI,SRR849681,RUN
284,NCBI,SRR863642,RUN
285,NCBI,SRR900181,RUN
286,NCBI,SRR849682,RUN
287,NCBI,SRR863643,RUN
288,NCBI,SRR921382,RUN
289,NCBI,SRR849782,RUN
290,NCBI,SRR863644,RUN
291,NCBI,SRR900182,RUN
292,NCBI,SRR849784,RUN
293,NCBI,SRR900183,RUN
294,NCBI,SRR849786,RUN
295,NCBI,SRR900184,RUN
296,NCBI,SRR849787,RUN
297,NCBI,SRR900187,RUN
298,NCBI,SRR849802,RUN
299,NCBI,SRR900188,RUN
300,NCBI,SRR849803,RUN
301,NCBI,SRR900189,RUN
302,NCBI,SRR849804,RUN
303,NCBI,SRR900190,RUN
304,NCBI,SRR849805,RUN
305,NCBI,SRR900191,RUN
306,NCBI,SRR849806,RUN
