N,Database,Accession,Type
1,NCBI,SRR3112316,RUN
2,NCBI,SRR3886564,RUN
3,NCBI,SRR3886584,RUN
4,NCBI,SRR3290649,RUN
5,NCBI,SRR3666066,RUN
6,NCBI,SRR3112335,RUN
7,NCBI,SRR3886562,RUN
8,NCBI,SRR3886563,RUN
9,NCBI,SRR3886565,RUN
10,NCBI,SRR3112336,RUN
11,NCBI,SRR3666068,RUN
12,NCBI,SRR3112337,RUN
13,NCBI,SRR3886583,RUN
14,NCBI,SRR3242025,RUN
15,NCBI,SRR6818871,RUN
16,NCBI,SRR6818872,RUN
17,NCBI,SRR6818873,RUN
18,NCBI,SRR6818874,RUN
19,NCBI,SRR6818875,RUN
20,NCBI,SRR3112340,RUN
21,NCBI,SRR3666031,RUN
22,NCBI,SRR3112341,RUN
23,NCBI,SRR3666049,RUN
24,NCBI,SRR3112342,RUN
25,NCBI,SRR3666069,RUN
26,NCBI,SRR3112345,RUN
27,NCBI,SRR7252691,RUN
28,NCBI,SRR3112346,RUN
29,NCBI,SRR7818938,RUN
30,NCBI,SRR4417531,RUN
31,NCBI,SRR6807658,RUN
32,NCBI,SRR6807659,RUN
33,NCBI,SRR6807660,RUN
34,NCBI,SRR5122324,RUN
35,NCBI,SRR6985658,RUN
36,NCBI,SRR6985659,RUN
37,NCBI,SRR6799221,RUN
38,NCBI,SRR6799222,RUN
39,NCBI,SRR6799223,RUN
40,NCBI,SRR6985662,RUN
41,NCBI,SRR6985663,RUN
42,NCBI,SRR6799371,RUN
43,NCBI,SRR6799372,RUN
44,NCBI,SRR6799373,RUN
45,NCBI,SRR6799375,RUN
46,NCBI,SRR6799376,RUN
47,NCBI,SRR6799377,RUN
48,NCBI,SRR6799378,RUN
49,NCBI,SRR6799380,RUN
50,NCBI,SRR6799381,RUN
51,NCBI,SRR6799382,RUN
52,NCBI,SRR6799383,RUN
53,NCBI,SRR6799387,RUN
54,NCBI,SRR6799388,RUN
55,NCBI,SRR6799389,RUN
56,NCBI,SRR6799390,RUN
57,NCBI,SRR6994985,RUN
58,NCBI,SRR6994986,RUN
59,NCBI,SRR6994987,RUN
60,NCBI,SRR6994988,RUN
61,NCBI,SRR6985679,RUN
62,NCBI,SRR6985680,RUN
63,NCBI,SRR6994989,RUN
64,NCBI,SRR6994990,RUN
65,NCBI,SRR6985681,RUN
66,NCBI,SRR6985682,RUN
67,NCBI,SRR6985683,RUN
68,NCBI,SRR6985684,RUN
69,NCBI,SRR6985685,RUN
70,NCBI,SRR6985686,RUN
71,NCBI,SRR6994991,RUN
72,NCBI,SRR6994992,RUN
73,NCBI,SRR6985731,RUN
74,NCBI,SRR6985732,RUN
75,NCBI,SRR6985689,RUN
76,NCBI,SRR6985690,RUN
77,NCBI,SRR6985691,RUN
78,NCBI,SRR6985695,RUN
79,NCBI,SRR6985696,RUN
80,NCBI,SRR6994997,RUN
81,NCBI,SRR6994998,RUN
82,NCBI,SRR6985697,RUN
83,NCBI,SRR6985698,RUN
84,NCBI,SRR6985699,RUN
85,NCBI,SRR6994999,RUN
86,NCBI,SRR6995000,RUN
87,NCBI,SRR6995003,RUN
88,NCBI,SRR6995004,RUN
89,NCBI,SRR6037658,RUN
90,NCBI,SRR6037663,RUN
91,NA,JUAZ00000000,CONTIG
92,NA,JUAY00000000,CONTIG
93,NA,JUAX00000000,CONTIG
94,NA,JUAW00000000,CONTIG
95,NA,JUAV00000000,CONTIG
96,NA,JUAU00000000,CONTIG
97,NA,JUAT00000000,CONTIG
98,NA,JUAR00000000,CONTIG
99,NA,JUAQ00000000,CONTIG
100,NA,JUAP00000000,CONTIG
101,NA,JUAO00000000,CONTIG
102,NA,JUAN00000000,CONTIG
103,NA,JUAM00000000,CONTIG
104,NA,JUAL00000000,CONTIG
105,NA,JUAJ00000000,CONTIG
106,NA,JUAI00000000,CONTIG
107,NA,JUAH00000000,CONTIG
108,NA,JUAG00000000,CONTIG
109,NA,JUAF00000000,CONTIG
110,NA,JUAE00000000,CONTIG
111,NA,JUAD00000000,CONTIG
112,NA,JUAC00000000,CONTIG
113,NA,JUAB00000000,CONTIG
114,NA,JUAA00000000,CONTIG
115,NA,JTZZ00000000,CONTIG
116,NA,JTZY00000000,CONTIG
117,NA,JTZX00000000,CONTIG
118,NA,JTZW00000000,CONTIG
119,NA,JTZV00000000,CONTIG
120,NA,JTZU00000000,CONTIG
121,NA,JTZT00000000,CONTIG
122,NA,JTZS00000000,CONTIG
123,NA,JTZR00000000,CONTIG
124,NA,JTZQ00000000,CONTIG
125,NA,JTZP00000000,CONTIG
126,NA,JTZO00000000,CONTIG
127,NA,JTZN00000000,CONTIG
128,NA,JTZM00000000,CONTIG
129,NA,JTZL00000000,CONTIG
130,NA,JTZK00000000,CONTIG
131,NA,JTZJ00000000,CONTIG
132,NA,JTZI00000000,CONTIG
133,NA,JTZH00000000,CONTIG
134,NA,JTZG00000000,CONTIG
135,NA,JTZF00000000,CONTIG
136,NA,JTZE00000000,CONTIG
137,NA,JTZD00000000,CONTIG
138,NA,JTZC00000000,CONTIG
139,NA,JTZB00000000,CONTIG
140,NA,JTZA00000000,CONTIG
141,NA,JTYZ00000000,CONTIG
142,NA,JTYY00000000,CONTIG
143,NA,JTYX00000000,CONTIG
144,NA,JTYW00000000,CONTIG
145,NA,JTYV00000000,CONTIG
146,NA,JTYU00000000,CONTIG
147,NA,JTYT00000000,CONTIG
