N,Database,Accession,Type
1,NCBI,SRR1010950,RUN
2,NCBI,SRR1010951,RUN
3,NCBI,SRR999549,RUN
4,NCBI,SRR999550,RUN
5,NCBI,SRR1010952,RUN
6,NCBI,SRR1010953,RUN
7,NCBI,SRR999551,RUN
8,NCBI,SRR999552,RUN
9,NCBI,SRR1172925,RUN
10,NCBI,SRR1172936,RUN
11,NCBI,SRR1172725,RUN
12,NCBI,SRR1173017,RUN
13,NCBI,SRR3112277,RUN
14,NCBI,SRR6703111,RUN
15,NCBI,SRR3242023,RUN
16,NCBI,SRR6818689,RUN
17,NCBI,SRR3290654,RUN
18,NCBI,SRR6818717,RUN
19,NCBI,SRR6818718,RUN
20,NCBI,SRR3112284,RUN
21,NCBI,SRR7252692,RUN
22,NCBI,SRR3112285,RUN
23,NCBI,SRR7012901,RUN
24,NCBI,SRR3112286,RUN
25,NCBI,SRR7012980,RUN
26,NCBI,SRR3112288,RUN
27,NCBI,SRR7012982,RUN
28,NCBI,SRR7012983,RUN
29,NCBI,SRR3112289,RUN
30,NCBI,SRR7253212,RUN
31,NCBI,SRR7253213,RUN
32,NCBI,SRR5237395,RUN
33,ENA,ERR486520,RUN
34,ENA,ERR486521,RUN
35,ENA,ERR486522,RUN
36,ENA,ERR486524,RUN
37,ENA,ERR486525,RUN
38,ENA,ERR486526,RUN
39,ENA,ERR486527,RUN
40,ENA,ERR486528,RUN
41,ENA,ERR486529,RUN
42,ENA,ERR486530,RUN
43,ENA,ERR486531,RUN
44,ENA,ERR486532,RUN
45,ENA,ERR486533,RUN
46,ENA,ERR486534,RUN
47,ENA,ERR486535,RUN
48,ENA,ERR486536,RUN
49,ENA,ERR486537,RUN
50,ENA,ERR486538,RUN
51,ENA,ERR486806,RUN
52,ENA,ERR486539,RUN
53,ENA,ERR486540,RUN
54,ENA,ERR486542,RUN
55,ENA,ERR486543,RUN
56,ENA,ERR486545,RUN
57,ENA,ERR486546,RUN
58,ENA,ERR486547,RUN
59,ENA,ERR486549,RUN
60,ENA,ERR486550,RUN
61,ENA,ERR486552,RUN
62,ENA,ERR486553,RUN
63,ENA,ERR486554,RUN
64,ENA,ERR486555,RUN
65,ENA,ERR486807,RUN
66,ENA,ERR486557,RUN
67,ENA,ERR486558,RUN
68,ENA,ERR486559,RUN
69,ENA,ERR486560,RUN
70,ENA,ERR486561,RUN
71,ENA,ERR486562,RUN
72,ENA,ERR486563,RUN
73,ENA,ERR486564,RUN
74,ENA,ERR486565,RUN
75,ENA,ERR486566,RUN
76,ENA,ERR486567,RUN
77,ENA,ERR486568,RUN
78,ENA,ERR486569,RUN
79,ENA,ERR486570,RUN
80,ENA,ERR486571,RUN
81,ENA,ERR486572,RUN
82,ENA,ERR486573,RUN
83,ENA,ERR486808,RUN
84,ENA,ERR486574,RUN
85,ENA,ERR486575,RUN
86,ENA,ERR486809,RUN
87,ENA,ERR486576,RUN
88,ENA,ERR486577,RUN
89,ENA,ERR486578,RUN
90,ENA,ERR486579,RUN
91,ENA,ERR486580,RUN
92,ENA,ERR486581,RUN
93,ENA,ERR486582,RUN
94,ENA,ERR486583,RUN
95,ENA,ERR486586,RUN
96,ENA,ERR486587,RUN
97,ENA,ERR486588,RUN
98,ENA,ERR486589,RUN
99,ENA,ERR486590,RUN
100,ENA,ERR486591,RUN
101,ENA,ERR486592,RUN
102,ENA,ERR486595,RUN
103,ENA,ERR486596,RUN
104,ENA,ERR486810,RUN
105,ENA,ERR486597,RUN
106,ENA,ERR486598,RUN
107,ENA,ERR486599,RUN
108,ENA,ERR486600,RUN
109,ENA,ERR486602,RUN
110,ENA,ERR486603,RUN
111,ENA,ERR486604,RUN
112,ENA,ERR486606,RUN
113,ENA,ERR486811,RUN
114,ENA,ERR486609,RUN
115,ENA,ERR486812,RUN
116,ENA,ERR486813,RUN
117,ENA,ERR486610,RUN
118,ENA,ERR486612,RUN
119,ENA,ERR486613,RUN
120,ENA,ERR486614,RUN
121,ENA,ERR486616,RUN
122,ENA,ERR486815,RUN
123,ENA,ERR486617,RUN
124,ENA,ERR486619,RUN
125,ENA,ERR486816,RUN
126,ENA,ERR486621,RUN
127,ENA,ERR486622,RUN
128,ENA,ERR486623,RUN
129,ENA,ERR486626,RUN
130,ENA,ERR486627,RUN
131,ENA,ERR486628,RUN
132,ENA,ERR486817,RUN
133,ENA,ERR486629,RUN
134,ENA,ERR486631,RUN
135,ENA,ERR486632,RUN
136,ENA,ERR486818,RUN
137,ENA,ERR486633,RUN
138,ENA,ERR486819,RUN
139,ENA,ERR486820,RUN
140,ENA,ERR486635,RUN
141,ENA,ERR486636,RUN
142,ENA,ERR486637,RUN
143,ENA,ERR486638,RUN
144,ENA,ERR486640,RUN
145,ENA,ERR486641,RUN
146,ENA,ERR486642,RUN
147,ENA,ERR486643,RUN
148,ENA,ERR486644,RUN
149,ENA,ERR486645,RUN
150,ENA,ERR486646,RUN
151,ENA,ERR486647,RUN
152,ENA,ERR486648,RUN
153,ENA,ERR486649,RUN
154,ENA,ERR486650,RUN
155,ENA,ERR486651,RUN
156,ENA,ERR486652,RUN
157,ENA,ERR486653,RUN
158,ENA,ERR486654,RUN
159,ENA,ERR486655,RUN
160,ENA,ERR486656,RUN
161,ENA,ERR486658,RUN
162,ENA,ERR486659,RUN
163,ENA,ERR486821,RUN
164,ENA,ERR486661,RUN
165,ENA,ERR486662,RUN
166,ENA,ERR486663,RUN
167,ENA,ERR486664,RUN
168,ENA,ERR486665,RUN
169,ENA,ERR486666,RUN
170,ENA,ERR486667,RUN
171,ENA,ERR486668,RUN
172,ENA,ERR486669,RUN
173,ENA,ERR486670,RUN
174,ENA,ERR486671,RUN
175,ENA,ERR486822,RUN
176,ENA,ERR486673,RUN
177,ENA,ERR486674,RUN
178,ENA,ERR486676,RUN
179,ENA,ERR486677,RUN
180,ENA,ERR486678,RUN
181,ENA,ERR486679,RUN
182,ENA,ERR486680,RUN
183,ENA,ERR486823,RUN
184,ENA,ERR486681,RUN
185,ENA,ERR486682,RUN
186,ENA,ERR486684,RUN
187,ENA,ERR486474,RUN
188,ENA,ERR486475,RUN
189,ENA,ERR486476,RUN
190,ENA,ERR486477,RUN
191,ENA,ERR486478,RUN
192,ENA,ERR486479,RUN
193,ENA,ERR486480,RUN
194,ENA,ERR486481,RUN
195,ENA,ERR486825,RUN
196,ENA,ERR486482,RUN
197,ENA,ERR486483,RUN
198,ENA,ERR486484,RUN
199,ENA,ERR486485,RUN
200,ENA,ERR486486,RUN
201,ENA,ERR486487,RUN
202,ENA,ERR486489,RUN
203,ENA,ERR486490,RUN
204,ENA,ERR486826,RUN
205,ENA,ERR486492,RUN
206,ENA,ERR486493,RUN
207,ENA,ERR486494,RUN
208,ENA,ERR486495,RUN
209,ENA,ERR486496,RUN
210,ENA,ERR486497,RUN
211,ENA,ERR486498,RUN
212,ENA,ERR486499,RUN
213,NCBI,SRR3112283,RUN
214,NCBI,SRR7012900,RUN
215,NCBI,SRR2225896,RUN
216,NCBI,SRR2225897,RUN
217,NCBI,SRR5237396,RUN
218,NCBI,SRR5237394,RUN
219,NCBI,SRR5862471,RUN
220,ENA,ERR486541,RUN
221,ENA,ERR486548,RUN
222,ENA,ERR486551,RUN
223,ENA,ERR486556,RUN
224,ENA,ERR486584,RUN
225,ENA,ERR486601,RUN
226,ENA,ERR486605,RUN
227,ENA,ERR486608,RUN
228,ENA,ERR486611,RUN
229,ENA,ERR486814,RUN
230,ENA,ERR486618,RUN
231,ENA,ERR486620,RUN
232,ENA,ERR486624,RUN
233,ENA,ERR486625,RUN
234,ENA,ERR486634,RUN
235,ENA,ERR486639,RUN
236,ENA,ERR486660,RUN
237,ENA,ERR486672,RUN
238,ENA,ERR486675,RUN
239,ENA,ERR486824,RUN
240,ENA,ERR486683,RUN
241,ENA,ERR486473,RUN
242,ENA,ERR486488,RUN
