N,Database,Accession,Type
1,ENA,ERR053013,RUN
2,ENA,ERR053015,RUN
3,ENA,ERR053034,RUN
4,ENA,ERR053014,RUN
5,ENA,ERR053033,RUN
6,ENA,ERR053017,RUN
7,ENA,ERR053032,RUN
8,ENA,ERR053016,RUN
9,ENA,ERR053031,RUN
10,ENA,ERR053020,RUN
11,ENA,ERR053029,RUN
12,ENA,ERR053018,RUN
13,ENA,ERR053042,RUN
14,ENA,ERR053027,RUN
15,ENA,ERR053041,RUN
16,ENA,ERR053046,RUN
17,ENA,ERR053026,RUN
18,ENA,ERR053025,RUN
19,ENA,ERR053044,RUN
20,ENA,ERR053024,RUN
21,ENA,ERR053043,RUN
22,ENA,ERR053037,RUN
23,ENA,ERR053008,RUN
24,ENA,ERR053023,RUN
25,ENA,ERR053009,RUN
26,ENA,ERR053036,RUN
27,ENA,ERR053010,RUN
28,ENA,ERR053035,RUN
29,ENA,ERR053021,RUN
30,ENA,ERR053011,RUN
31,ENA,ERR053039,RUN
32,ENA,ERR053022,RUN
33,ENA,ERR053038,RUN
34,ENA,ERR053012,RUN
35,ENA,ERR410034,RUN
36,ENA,ERR410036,RUN
37,ENA,ERR410037,RUN
38,ENA,ERR410038,RUN
39,ENA,ERR410039,RUN
40,ENA,ERR410040,RUN
41,ENA,ERR410041,RUN
42,ENA,ERR410042,RUN
43,ENA,ERR410043,RUN
44,ENA,ERR410044,RUN
45,ENA,ERR410045,RUN
46,ENA,ERR410046,RUN
47,ENA,ERR410048,RUN
48,ENA,ERR410050,RUN
49,ENA,ERR410051,RUN
50,ENA,ERR410052,RUN
51,ENA,ERR410053,RUN
52,ENA,ERR410055,RUN
53,ENA,ERR410056,RUN
54,ENA,ERR410057,RUN
55,ENA,ERR410058,RUN
56,ENA,ERR410059,RUN
57,ENA,ERR410060,RUN
58,ENA,ERR410061,RUN
59,ENA,ERR410062,RUN
60,ENA,ERR410063,RUN
61,ENA,ERR410064,RUN
62,ENA,ERR410065,RUN
63,ENA,ERR410066,RUN
64,ENA,ERR410067,RUN
65,ENA,ERR410068,RUN
66,ENA,ERR410069,RUN
67,ENA,ERR410070,RUN
68,ENA,ERR410071,RUN
69,ENA,ERR410072,RUN
70,ENA,ERR410073,RUN
71,ENA,ERR410075,RUN
72,ENA,ERR410076,RUN
73,ENA,ERR410077,RUN
74,ENA,ERR410079,RUN
75,ENA,ERR410080,RUN
76,ENA,ERR410081,RUN
77,ENA,ERR410082,RUN
78,ENA,ERR410083,RUN
79,ENA,ERR410085,RUN
80,ENA,ERR410086,RUN
81,ENA,ERR410087,RUN
82,ENA,ERR410088,RUN
83,ENA,ERR410089,RUN
84,ENA,ERR410091,RUN
85,ENA,ERR410092,RUN
86,ENA,ERR410093,RUN
87,ENA,ERR410094,RUN
88,ENA,ERR410095,RUN
89,ENA,ERR410096,RUN
90,ENA,ERR410097,RUN
91,ENA,ERR410098,RUN
92,ENA,ERR410099,RUN
93,ENA,ERR410100,RUN
94,ENA,ERR410101,RUN
95,ENA,ERR410103,RUN
96,ENA,ERR410104,RUN
97,ENA,ERR410105,RUN
98,ENA,ERR410106,RUN
99,ENA,ERR410107,RUN
100,ENA,ERR410108,RUN
101,ENA,ERR410109,RUN
102,ENA,ERR410110,RUN
103,ENA,ERR410112,RUN
104,ENA,ERR410113,RUN
105,ENA,ERR410114,RUN
106,ENA,ERR410115,RUN
107,ENA,ERR410116,RUN
108,ENA,ERR410117,RUN
109,ENA,ERR410118,RUN
110,ENA,ERR410119,RUN
111,ENA,ERR410120,RUN
112,ENA,ERR410121,RUN
113,ENA,ERR410123,RUN
114,ENA,ERR410124,RUN
115,ENA,ERR410126,RUN
116,ENA,ERR410127,RUN
117,ENA,ERR410128,RUN
118,ENA,ERR410129,RUN
119,ENA,ERR410130,RUN
120,ENA,ERR410131,RUN
121,ENA,ERR410132,RUN
122,ENA,ERR410133,RUN
123,ENA,ERR410134,RUN
124,ENA,ERR410135,RUN
125,ENA,ERR418318,RUN
126,ENA,ERR418319,RUN
127,ENA,ERR418320,RUN
128,ENA,ERR418322,RUN
129,ENA,ERR418323,RUN
130,ENA,ERR418324,RUN
131,ENA,ERR418326,RUN
132,ENA,ERR418327,RUN
133,ENA,ERR418328,RUN
134,ENA,ERR418329,RUN
135,ENA,ERR418330,RUN
136,ENA,ERR418331,RUN
