N,Database,Accession,Type
1,ENA,ERR6358705,RUN
2,ENA,ERR6358706,RUN
3,ENA,ERR6358707,RUN
4,ENA,ERR6358708,RUN
5,ENA,ERR6358709,RUN
6,ENA,ERR6358710,RUN
7,ENA,ERR6358711,RUN
8,ENA,ERR6358712,RUN
9,ENA,ERR6358713,RUN
10,ENA,ERR6358714,RUN
11,ENA,ERR6358715,RUN
12,ENA,ERR6358716,RUN
13,ENA,ERR6358717,RUN
14,ENA,ERR6358718,RUN
15,ENA,ERR6358719,RUN
16,ENA,ERR6358720,RUN
17,ENA,ERR6358721,RUN
18,ENA,ERR6358722,RUN
19,ENA,ERR6358723,RUN
20,ENA,ERR6358724,RUN
21,ENA,ERR6358725,RUN
22,ENA,ERR6358726,RUN
23,ENA,ERR6358727,RUN
24,ENA,ERR6358728,RUN
25,ENA,ERR6358729,RUN
26,ENA,ERR6358730,RUN
27,ENA,ERR6358731,RUN
28,ENA,ERR6358732,RUN
29,ENA,ERR6358733,RUN
30,ENA,ERR6358734,RUN
31,ENA,ERR6358735,RUN
32,ENA,ERR6358736,RUN
33,ENA,ERR6358737,RUN
34,ENA,ERR6358738,RUN
35,ENA,ERR6358739,RUN
36,ENA,ERR6358740,RUN
37,ENA,ERR6358741,RUN
38,ENA,ERR6358742,RUN
39,ENA,ERR6358743,RUN
40,ENA,ERR6358744,RUN
41,ENA,ERR6358745,RUN
42,ENA,ERR6358746,RUN
43,ENA,ERR6358747,RUN
44,ENA,ERR6358748,RUN
45,ENA,ERR6358749,RUN
46,ENA,ERR6358750,RUN
47,ENA,ERR6358751,RUN
48,ENA,ERR6358752,RUN
49,ENA,ERR6358753,RUN
50,ENA,ERR6358754,RUN
51,ENA,ERR6358755,RUN
52,ENA,ERR6358756,RUN
53,ENA,ERR6358757,RUN
54,ENA,ERR6358758,RUN
55,ENA,ERR6358759,RUN
56,ENA,ERR6358760,RUN
57,ENA,ERR6358761,RUN
58,ENA,ERR6358762,RUN
59,ENA,ERR6358763,RUN
60,ENA,ERR6358764,RUN
61,ENA,ERR6358765,RUN
62,ENA,ERR6358766,RUN
63,ENA,ERR6358767,RUN
64,ENA,ERR6358768,RUN
65,ENA,ERR6358769,RUN
66,ENA,ERR6358770,RUN
67,ENA,ERR6358771,RUN
68,ENA,ERR6358772,RUN
69,ENA,ERR6358773,RUN
70,ENA,ERR6358774,RUN
71,ENA,ERR6358775,RUN
72,ENA,ERR6358776,RUN
73,ENA,ERR6358777,RUN
74,ENA,ERR6358778,RUN
75,ENA,ERR6358779,RUN
76,ENA,ERR6358780,RUN
77,ENA,ERR6358781,RUN
78,ENA,ERR6358782,RUN
79,ENA,ERR6358783,RUN
80,ENA,ERR6358784,RUN
81,ENA,ERR6358785,RUN
82,ENA,ERR6358786,RUN
83,ENA,ERR6358787,RUN
84,ENA,ERR6358788,RUN
85,ENA,ERR6358789,RUN
86,ENA,ERR6358790,RUN
87,ENA,ERR6358791,RUN
88,ENA,ERR6358792,RUN
89,ENA,ERR6358793,RUN
90,ENA,ERR6358794,RUN
91,ENA,ERR6358795,RUN
92,ENA,ERR6358796,RUN
93,ENA,ERR6358797,RUN
94,ENA,ERR6358798,RUN
95,ENA,ERR6358799,RUN
96,ENA,ERR6358800,RUN
97,ENA,ERR6358801,RUN
98,ENA,ERR6358802,RUN
99,ENA,ERR6358803,RUN
100,ENA,ERR6358804,RUN
101,ENA,ERR6358805,RUN
102,ENA,ERR6358806,RUN
103,ENA,ERR6358807,RUN
104,ENA,ERR6358808,RUN
105,ENA,ERR6358809,RUN
106,ENA,ERR6358810,RUN
107,ENA,ERR6358811,RUN
108,ENA,ERR6358812,RUN
109,ENA,ERR6358813,RUN
110,ENA,ERR6358814,RUN
111,ENA,ERR6358815,RUN
112,ENA,ERR6358816,RUN
113,ENA,ERR6358817,RUN
114,ENA,ERR6358818,RUN
115,ENA,ERR6358819,RUN
116,ENA,ERR6358820,RUN
117,ENA,ERR6358821,RUN
118,ENA,ERR6358822,RUN
119,ENA,ERR6358823,RUN
120,ENA,ERR6358824,RUN
121,ENA,ERR6358825,RUN
122,ENA,ERR6358826,RUN
123,ENA,ERR6358827,RUN
124,ENA,ERR6358828,RUN
125,ENA,ERR6358829,RUN
126,ENA,ERR6358830,RUN
127,ENA,ERR6358831,RUN
128,ENA,ERR6358832,RUN
129,ENA,ERR6358833,RUN
130,ENA,ERR6358834,RUN
131,ENA,ERR6358835,RUN
132,ENA,ERR6358836,RUN
