N,Database,Accession,Type
1,ENA,ERR4013380,RUN
2,ENA,ERR4013381,RUN
3,ENA,ERR4013382,RUN
4,ENA,ERR4013383,RUN
5,ENA,ERR4013384,RUN
6,ENA,ERR4013385,RUN
7,ENA,ERR4013386,RUN
8,ENA,ERR4013387,RUN
9,ENA,ERR4013388,RUN
10,ENA,ERR4013389,RUN
11,ENA,ERR4013390,RUN
12,ENA,ERR4013391,RUN
13,ENA,ERR4013393,RUN
14,ENA,ERR4013394,RUN
15,ENA,ERR4013396,RUN
16,ENA,ERR4013397,RUN
17,ENA,ERR4013398,RUN
18,ENA,ERR4013399,RUN
19,ENA,ERR4013400,RUN
20,ENA,ERR4013401,RUN
21,ENA,ERR4013402,RUN
22,ENA,ERR4013403,RUN
23,ENA,ERR4013404,RUN
24,ENA,ERR4013405,RUN
25,ENA,ERR4013406,RUN
26,ENA,ERR4013407,RUN
27,ENA,ERR4013408,RUN
28,ENA,ERR4013409,RUN
29,ENA,ERR4013410,RUN
30,ENA,ERR4013411,RUN
31,ENA,ERR4013412,RUN
32,ENA,ERR4013413,RUN
33,ENA,ERR4013414,RUN
34,ENA,ERR4013415,RUN
35,ENA,ERR4013416,RUN
36,ENA,ERR4013417,RUN
37,ENA,ERR4013418,RUN
38,ENA,ERR4013419,RUN
39,ENA,ERR4013420,RUN
40,ENA,ERR4013421,RUN
41,ENA,ERR4013422,RUN
42,ENA,ERR4013423,RUN
43,ENA,ERR4013424,RUN
44,ENA,ERR4013425,RUN
45,ENA,ERR4013426,RUN
46,ENA,ERR4013427,RUN
47,ENA,ERR4013428,RUN
48,ENA,ERR4013429,RUN
49,ENA,ERR4013430,RUN
50,ENA,ERR4013431,RUN
51,ENA,ERR4013432,RUN
52,ENA,ERR4013433,RUN
53,ENA,ERR4013434,RUN
54,ENA,ERR4013435,RUN
55,ENA,ERR4013436,RUN
56,ENA,ERR4013437,RUN
57,ENA,ERR4013438,RUN
58,ENA,ERR4013439,RUN
59,ENA,ERR4013440,RUN
60,ENA,ERR4013441,RUN
61,ENA,ERR4013442,RUN
62,ENA,ERR4013443,RUN
63,ENA,ERR4013444,RUN
64,ENA,ERR4013445,RUN
65,ENA,ERR4013446,RUN
66,ENA,ERR4013447,RUN
67,ENA,ERR4013448,RUN
68,ENA,ERR4013449,RUN
69,ENA,ERR4013450,RUN
70,ENA,ERR4013451,RUN
71,ENA,ERR4013452,RUN
72,ENA,ERR4013453,RUN
73,ENA,ERR4013454,RUN
74,ENA,ERR4013455,RUN
75,ENA,ERR4013456,RUN
76,ENA,ERR4013457,RUN
77,ENA,ERR4013458,RUN
78,ENA,ERR4013459,RUN
79,ENA,ERR4013460,RUN
80,ENA,ERR4013461,RUN
81,ENA,ERR4013462,RUN
82,ENA,ERR4013463,RUN
83,ENA,ERR4013464,RUN
84,ENA,ERR4013465,RUN
85,ENA,ERR4013466,RUN
86,ENA,ERR4013467,RUN
87,ENA,ERR4013468,RUN
88,ENA,ERR4013469,RUN
89,ENA,ERR4013470,RUN
90,ENA,ERR4013471,RUN
91,ENA,ERR4013472,RUN
92,ENA,ERR4013473,RUN
93,ENA,ERR4013474,RUN
94,ENA,ERR4013475,RUN
95,ENA,ERR4013476,RUN
96,ENA,ERR4013477,RUN
97,ENA,ERR4013478,RUN
98,ENA,ERR4013479,RUN
99,ENA,ERR4013480,RUN
100,ENA,ERR4013481,RUN
101,ENA,ERR4013482,RUN
102,ENA,ERR4013483,RUN
103,ENA,ERR4013484,RUN
104,ENA,ERR4013485,RUN
105,ENA,ERR4013486,RUN
106,ENA,ERR4013487,RUN
107,ENA,ERR4013488,RUN
108,ENA,ERR4013489,RUN
109,ENA,ERR4013490,RUN
110,ENA,ERR4013491,RUN
111,ENA,ERR4013492,RUN
112,ENA,ERR4013493,RUN
113,ENA,ERR4013494,RUN
114,ENA,ERR4013495,RUN
115,ENA,ERR4013496,RUN
116,ENA,ERR4013497,RUN
117,ENA,ERR4013498,RUN
118,ENA,ERR4013499,RUN
119,ENA,ERR4013500,RUN
120,ENA,ERR4013501,RUN
121,ENA,ERR4013502,RUN
122,ENA,ERR4013503,RUN
123,ENA,ERR4013504,RUN
124,ENA,ERR4013505,RUN
125,ENA,ERR4013506,RUN
126,ENA,ERR4013507,RUN
127,ENA,ERR4013508,RUN
128,ENA,ERR4013509,RUN
129,ENA,ERR4013510,RUN
130,ENA,ERR4013511,RUN
131,ENA,ERR4013512,RUN
132,ENA,ERR4013513,RUN
133,ENA,ERR4013514,RUN
134,ENA,ERR4013515,RUN
135,ENA,ERR4013516,RUN
136,ENA,ERR4013517,RUN
137,ENA,ERR4013518,RUN
138,ENA,ERR4013519,RUN
139,ENA,ERR4013520,RUN
140,ENA,ERR4013521,RUN
141,ENA,ERR4013522,RUN
142,ENA,ERR4013523,RUN
143,ENA,ERR4013524,RUN
144,ENA,ERR4013525,RUN
145,ENA,ERR4013526,RUN
146,ENA,ERR4013527,RUN
147,ENA,ERR4013528,RUN
148,ENA,ERR4013529,RUN
149,ENA,ERR4013530,RUN
150,ENA,ERR4013531,RUN
151,ENA,ERR4013532,RUN
152,ENA,ERR4013533,RUN
153,ENA,ERR4013534,RUN
154,ENA,ERR4013535,RUN
155,ENA,ERR4013536,RUN
156,ENA,ERR4013537,RUN
157,ENA,ERR4013538,RUN
158,ENA,ERR4013539,RUN
159,ENA,ERR4013540,RUN
160,ENA,ERR4013541,RUN
161,ENA,ERR4013542,RUN
162,ENA,ERR4013543,RUN
163,ENA,ERR4013544,RUN
164,ENA,ERR4013545,RUN
165,ENA,ERR4013546,RUN
166,ENA,ERR4013547,RUN
167,ENA,ERR4013548,RUN
168,ENA,ERR4013549,RUN
169,ENA,ERR4013550,RUN
170,ENA,ERR4013643,RUN
171,ENA,ERR4013834,RUN
