N,Database,Accession,Type
1,ENA,ERR4013642,RUN
2,ENA,ERR4013644,RUN
3,ENA,ERR4013645,RUN
4,ENA,ERR4013646,RUN
5,ENA,ERR4013647,RUN
6,ENA,ERR4013648,RUN
7,ENA,ERR4013649,RUN
8,ENA,ERR4013650,RUN
9,ENA,ERR4013651,RUN
10,ENA,ERR4013652,RUN
11,ENA,ERR4013653,RUN
12,ENA,ERR4013654,RUN
13,ENA,ERR4013655,RUN
14,ENA,ERR4013656,RUN
15,ENA,ERR4013657,RUN
16,ENA,ERR4013658,RUN
17,ENA,ERR4013659,RUN
18,ENA,ERR4013660,RUN
19,ENA,ERR4013661,RUN
20,ENA,ERR4013662,RUN
21,ENA,ERR4013663,RUN
22,ENA,ERR4013664,RUN
23,ENA,ERR4013665,RUN
24,ENA,ERR4013666,RUN
25,ENA,ERR4013667,RUN
26,ENA,ERR4013668,RUN
27,ENA,ERR4013669,RUN
28,ENA,ERR4013670,RUN
29,ENA,ERR4013671,RUN
30,ENA,ERR4013672,RUN
31,ENA,ERR4013673,RUN
32,ENA,ERR4013674,RUN
33,ENA,ERR4013675,RUN
34,ENA,ERR4013676,RUN
35,ENA,ERR4013677,RUN
36,ENA,ERR4013678,RUN
37,ENA,ERR4013679,RUN
38,ENA,ERR4013680,RUN
39,ENA,ERR4013681,RUN
40,ENA,ERR4013682,RUN
41,ENA,ERR4013683,RUN
42,ENA,ERR4013684,RUN
43,ENA,ERR4013685,RUN
44,ENA,ERR4013686,RUN
45,ENA,ERR4013687,RUN
46,ENA,ERR4013688,RUN
47,ENA,ERR4013689,RUN
48,ENA,ERR4013690,RUN
49,ENA,ERR4013691,RUN
50,ENA,ERR4013692,RUN
51,ENA,ERR4013693,RUN
52,ENA,ERR4013694,RUN
53,ENA,ERR4013695,RUN
54,ENA,ERR4013696,RUN
55,ENA,ERR4013697,RUN
56,ENA,ERR4013698,RUN
57,ENA,ERR4013699,RUN
58,ENA,ERR4013700,RUN
59,ENA,ERR4013701,RUN
60,ENA,ERR4013702,RUN
61,ENA,ERR4013703,RUN
62,ENA,ERR4013704,RUN
63,ENA,ERR4013705,RUN
64,ENA,ERR4013706,RUN
65,ENA,ERR4013707,RUN
66,ENA,ERR4013708,RUN
67,ENA,ERR4013709,RUN
68,ENA,ERR4013710,RUN
69,ENA,ERR4013711,RUN
70,ENA,ERR4013712,RUN
71,ENA,ERR4013713,RUN
72,ENA,ERR4013714,RUN
73,ENA,ERR4013715,RUN
74,ENA,ERR4013716,RUN
75,ENA,ERR4013717,RUN
76,ENA,ERR4013718,RUN
77,ENA,ERR4013719,RUN
78,ENA,ERR4013720,RUN
79,ENA,ERR4013721,RUN
80,ENA,ERR4013722,RUN
81,ENA,ERR4013723,RUN
82,ENA,ERR4013724,RUN
83,ENA,ERR4013725,RUN
84,ENA,ERR4013726,RUN
85,ENA,ERR4013727,RUN
86,ENA,ERR4013728,RUN
87,ENA,ERR4013729,RUN
88,ENA,ERR4013730,RUN
89,ENA,ERR4013731,RUN
90,ENA,ERR4013732,RUN
91,ENA,ERR4013734,RUN
92,ENA,ERR4013735,RUN
93,ENA,ERR4013736,RUN
94,ENA,ERR4013737,RUN
95,ENA,ERR4013738,RUN
96,ENA,ERR4013739,RUN
97,ENA,ERR4013740,RUN
98,ENA,ERR4013741,RUN
99,ENA,ERR4013742,RUN
100,ENA,ERR4013743,RUN
101,ENA,ERR4013744,RUN
102,ENA,ERR4013746,RUN
103,ENA,ERR4013747,RUN
104,ENA,ERR4013748,RUN
105,ENA,ERR4013749,RUN
106,ENA,ERR4013750,RUN
107,ENA,ERR4013751,RUN
108,ENA,ERR4013752,RUN
109,ENA,ERR4013753,RUN
110,ENA,ERR4013754,RUN
111,ENA,ERR4013755,RUN
112,ENA,ERR4013756,RUN
113,ENA,ERR4013757,RUN
114,ENA,ERR4013758,RUN
115,ENA,ERR4013759,RUN
116,ENA,ERR4013760,RUN
117,ENA,ERR4013761,RUN
118,ENA,ERR4013762,RUN
119,ENA,ERR4013763,RUN
120,ENA,ERR4013764,RUN
121,ENA,ERR4013765,RUN
122,ENA,ERR4013766,RUN
123,ENA,ERR4013767,RUN
124,ENA,ERR4013768,RUN
125,ENA,ERR4013769,RUN
126,ENA,ERR4076736,RUN
127,ENA,ERR4013770,RUN
128,ENA,ERR4013771,RUN
129,ENA,ERR4013772,RUN
130,ENA,ERR4013773,RUN
131,ENA,ERR4013775,RUN
132,ENA,ERR4013776,RUN
133,ENA,ERR4013777,RUN
134,ENA,ERR4013778,RUN
135,ENA,ERR4013779,RUN
136,ENA,ERR4013780,RUN
137,ENA,ERR4013781,RUN
138,ENA,ERR4013782,RUN
139,ENA,ERR4013783,RUN
140,ENA,ERR4013784,RUN
141,ENA,ERR4013785,RUN
142,ENA,ERR4013786,RUN
143,ENA,ERR4013787,RUN
144,ENA,ERR4013788,RUN
145,ENA,ERR4013789,RUN
146,ENA,ERR4013790,RUN
147,ENA,ERR4013791,RUN
148,ENA,ERR4013792,RUN
149,ENA,ERR4013793,RUN
150,ENA,ERR4013795,RUN
151,ENA,ERR4013796,RUN
152,ENA,ERR4013797,RUN
153,ENA,ERR4013798,RUN
154,ENA,ERR4013799,RUN
155,ENA,ERR4013800,RUN
156,ENA,ERR4013801,RUN
157,ENA,ERR4013802,RUN
158,ENA,ERR4013803,RUN
