N,Database,Accession,Type
1,ENA,ERR2612114,RUN
2,ENA,ERR2612115,RUN
3,ENA,ERR2612116,RUN
4,ENA,ERR2612117,RUN
5,ENA,ERR2612118,RUN
6,ENA,ERR2612119,RUN
7,ENA,ERR2612120,RUN
8,ENA,ERR2612121,RUN
9,ENA,ERR2612122,RUN
10,ENA,ERR2612123,RUN
11,ENA,ERR2612124,RUN
12,ENA,ERR2612125,RUN
13,ENA,ERR2612126,RUN
14,ENA,ERR2612127,RUN
15,ENA,ERR2680550,RUN
16,ENA,ERR2680649,RUN
17,ENA,ERR2680650,RUN
18,ENA,ERR2680651,RUN
19,ENA,ERR2680652,RUN
20,ENA,ERR2680653,RUN
21,ENA,ERR2680655,RUN
22,ENA,ERR2680656,RUN
23,ENA,ERR2680657,RUN
24,ENA,ERR2680658,RUN
25,ENA,ERR2680659,RUN
26,ENA,ERR2680660,RUN
27,ENA,ERR2680661,RUN
28,ENA,ERR2680662,RUN
29,ENA,ERR2680663,RUN
30,ENA,ERR2680664,RUN
31,ENA,ERR2680665,RUN
32,ENA,ERR2680666,RUN
33,ENA,ERR2680667,RUN
34,ENA,ERR2680668,RUN
35,ENA,ERR2680669,RUN
36,ENA,ERR2680670,RUN
37,ENA,ERR2680671,RUN
38,ENA,ERR2680672,RUN
39,ENA,ERR2680673,RUN
40,ENA,ERR2680674,RUN
41,ENA,ERR2680675,RUN
42,ENA,ERR2680676,RUN
43,ENA,ERR2680677,RUN
44,ENA,ERR2680678,RUN
45,ENA,ERR2680679,RUN
46,ENA,ERR2680680,RUN
47,ENA,ERR2680681,RUN
48,ENA,ERR2680682,RUN
49,ENA,ERR2680683,RUN
50,ENA,ERR2680684,RUN
51,ENA,ERR2680685,RUN
52,ENA,ERR2680686,RUN
53,ENA,ERR2680687,RUN
54,ENA,ERR2680688,RUN
55,ENA,ERR2680689,RUN
56,ENA,ERR2680690,RUN
57,ENA,ERR2680691,RUN
58,ENA,ERR2680692,RUN
59,ENA,ERR2680693,RUN
60,ENA,ERR2680694,RUN
61,ENA,ERR2680695,RUN
62,ENA,ERR2680696,RUN
63,ENA,ERR2680697,RUN
64,ENA,ERR2680698,RUN
65,ENA,ERR2680699,RUN
66,ENA,ERR2680700,RUN
67,ENA,ERR2680701,RUN
68,ENA,ERR2680702,RUN
69,ENA,ERR2680703,RUN
70,ENA,ERR2680704,RUN
71,ENA,ERR2680705,RUN
72,ENA,ERR2680706,RUN
73,ENA,ERR2680707,RUN
74,ENA,ERR2680708,RUN
75,ENA,ERR2680709,RUN
76,ENA,ERR2680710,RUN
77,ENA,ERR2680711,RUN
78,ENA,ERR2680712,RUN
79,ENA,ERR2680713,RUN
80,ENA,ERR2680714,RUN
81,ENA,ERR2680715,RUN
82,ENA,ERR2680716,RUN
83,ENA,ERR2680717,RUN
84,ENA,ERR2680718,RUN
85,ENA,ERR2680719,RUN
86,ENA,ERR2680720,RUN
87,ENA,ERR2680721,RUN
88,ENA,ERR2680722,RUN
89,ENA,ERR2680723,RUN
90,ENA,ERR2680724,RUN
91,ENA,ERR2680725,RUN
92,ENA,ERR2680726,RUN
93,ENA,ERR2680727,RUN
94,ENA,ERR2680728,RUN
95,ENA,ERR2680729,RUN
96,ENA,ERR2680730,RUN
97,ENA,ERR2680731,RUN
98,ENA,ERR2680732,RUN
99,ENA,ERR2680733,RUN
100,ENA,ERR2680734,RUN
101,ENA,ERR2680735,RUN
102,ENA,ERR2680736,RUN
103,ENA,ERR2680737,RUN
104,ENA,ERR2680738,RUN
105,ENA,ERR2680739,RUN
106,ENA,ERR2680740,RUN
107,ENA,ERR2680741,RUN
108,ENA,ERR2680551,RUN
109,ENA,ERR2680552,RUN
110,ENA,ERR2680553,RUN
111,ENA,ERR2680597,RUN
112,ENA,ERR2680598,RUN
113,ENA,ERR2680599,RUN
114,ENA,ERR2680600,RUN
115,ENA,ERR2680601,RUN
116,ENA,ERR2680603,RUN
117,ENA,ERR2680604,RUN
118,ENA,ERR2680605,RUN
119,ENA,ERR2680606,RUN
120,ENA,ERR2680607,RUN
121,ENA,ERR2680608,RUN
122,ENA,ERR2680609,RUN
123,ENA,ERR2680610,RUN
124,ENA,ERR2680611,RUN
125,ENA,ERR2680612,RUN
126,ENA,ERR2680613,RUN
127,ENA,ERR2680614,RUN
128,ENA,ERR2680615,RUN
129,ENA,ERR2680616,RUN
130,ENA,ERR2680617,RUN
131,ENA,ERR2680618,RUN
132,ENA,ERR2680619,RUN
133,ENA,ERR2680620,RUN
134,ENA,ERR2680621,RUN
135,ENA,ERR2680622,RUN
136,ENA,ERR2680623,RUN
137,ENA,ERR2680624,RUN
138,ENA,ERR2680625,RUN
139,ENA,ERR2680626,RUN
140,ENA,ERR2680627,RUN
141,ENA,ERR2680628,RUN
142,ENA,ERR2680629,RUN
143,ENA,ERR2680630,RUN
144,ENA,ERR2680631,RUN
145,ENA,ERR2680632,RUN
146,ENA,ERR2680633,RUN
147,ENA,ERR2680634,RUN
148,ENA,ERR2680635,RUN
149,ENA,ERR2680636,RUN
150,ENA,ERR2680637,RUN
151,ENA,ERR2680638,RUN
152,ENA,ERR2680639,RUN
153,ENA,ERR2680640,RUN
154,ENA,ERR2680641,RUN
155,ENA,ERR2680642,RUN
156,ENA,ERR2680643,RUN
157,ENA,ERR2680644,RUN
158,ENA,ERR2680645,RUN
159,ENA,ERR2680646,RUN
160,ENA,ERR2680647,RUN
161,ENA,ERR2680648,RUN
162,ENA,ERR2680742,RUN
163,ENA,ERR2680841,RUN
164,ENA,ERR2680842,RUN
165,ENA,ERR2680843,RUN
166,ENA,ERR2680844,RUN
167,ENA,ERR2680845,RUN
168,ENA,ERR2680846,RUN
