N,Database,Accession,Type
1,ENA,ERR7910843,RUN
2,ENA,ERR7910844,RUN
3,ENA,ERR7910845,RUN
4,ENA,ERR7910846,RUN
5,ENA,ERR7910847,RUN
6,ENA,ERR7910848,RUN
7,ENA,ERR7910849,RUN
8,ENA,ERR7910850,RUN
9,ENA,ERR7910851,RUN
10,ENA,ERR7910852,RUN
11,ENA,ERR7910853,RUN
12,ENA,ERR7910854,RUN
13,ENA,ERR7910855,RUN
14,ENA,ERR7910856,RUN
15,ENA,ERR7910857,RUN
16,ENA,ERR7910858,RUN
17,ENA,ERR7910859,RUN
18,ENA,ERR7910860,RUN
19,ENA,ERR7910861,RUN
20,ENA,ERR7910862,RUN
21,ENA,ERR7910863,RUN
22,ENA,ERR7910864,RUN
23,ENA,ERR7910865,RUN
24,ENA,ERR7910866,RUN
25,ENA,ERR7910867,RUN
26,ENA,ERR7910868,RUN
27,ENA,ERR7910869,RUN
28,ENA,ERR7910870,RUN
29,ENA,ERR7910871,RUN
30,ENA,ERR7910872,RUN
31,ENA,ERR7910873,RUN
32,ENA,ERR7910874,RUN
33,ENA,ERR7910875,RUN
34,ENA,ERR7910876,RUN
35,ENA,ERR7910877,RUN
36,ENA,ERR7910878,RUN
37,ENA,ERR7910879,RUN
38,ENA,ERR7910880,RUN
39,ENA,ERR7910881,RUN
40,ENA,ERR7910882,RUN
41,ENA,ERR7910883,RUN
42,ENA,ERR7910884,RUN
43,ENA,ERR7910885,RUN
44,ENA,ERR7910886,RUN
45,ENA,ERR7910887,RUN
46,ENA,ERR7910888,RUN
47,ENA,ERR7910889,RUN
48,ENA,ERR7910890,RUN
49,ENA,ERR7910891,RUN
50,ENA,ERR7910892,RUN
51,ENA,ERR7910893,RUN
52,ENA,ERR7910894,RUN
53,ENA,ERR7910895,RUN
54,ENA,ERR7910896,RUN
55,ENA,ERR7910897,RUN
56,ENA,ERR7910898,RUN
57,ENA,ERR7910899,RUN
58,ENA,ERR7910900,RUN
59,ENA,ERR7910901,RUN
60,ENA,ERR7910902,RUN
61,ENA,ERR7910903,RUN
62,ENA,ERR7910904,RUN
63,ENA,ERR7910905,RUN
64,ENA,ERR7910906,RUN
65,ENA,ERR7910907,RUN
66,ENA,ERR7910908,RUN
67,ENA,ERR7910909,RUN
68,ENA,ERR7910910,RUN
69,ENA,ERR7910911,RUN
70,ENA,ERR7910912,RUN
71,ENA,ERR7910913,RUN
72,ENA,ERR7910914,RUN
73,ENA,ERR7910915,RUN
74,ENA,ERR7910916,RUN
75,ENA,ERR7910917,RUN
76,ENA,ERR7910918,RUN
77,ENA,ERR7910919,RUN
78,ENA,ERR7910920,RUN
79,ENA,ERR7910921,RUN
80,ENA,ERR7910922,RUN
81,ENA,ERR7910923,RUN
82,ENA,ERR7910924,RUN
83,ENA,ERR7910925,RUN
84,ENA,ERR7910926,RUN
85,ENA,ERR7910927,RUN
86,ENA,ERR7910928,RUN
87,ENA,ERR7910929,RUN
88,ENA,ERR7910930,RUN
89,ENA,ERR7910931,RUN
90,ENA,ERR7910932,RUN
91,ENA,ERR7910933,RUN
92,ENA,ERR7910934,RUN
93,ENA,ERR7910935,RUN
94,ENA,ERR7910936,RUN
95,ENA,ERR7910937,RUN
96,ENA,ERR7910938,RUN
97,ENA,ERR7910939,RUN
98,ENA,ERR7910940,RUN
99,ENA,ERR7910941,RUN
100,ENA,ERR7910942,RUN
101,ENA,ERR7910943,RUN
102,ENA,ERR7910944,RUN
103,ENA,ERR7910945,RUN
104,ENA,ERR7910946,RUN
105,ENA,ERR7910947,RUN
106,ENA,ERR7910948,RUN
107,ENA,ERR7910949,RUN
108,ENA,ERR7910950,RUN
109,ENA,ERR7910951,RUN
110,ENA,ERR7910952,RUN
111,ENA,ERR7910953,RUN
112,ENA,ERR7910954,RUN
113,ENA,ERR7910955,RUN
114,ENA,ERR7910956,RUN
115,ENA,ERR7910957,RUN
116,ENA,ERR7910958,RUN
117,ENA,ERR7910959,RUN
118,ENA,ERR7910960,RUN
119,ENA,ERR7910961,RUN
120,ENA,ERR7910962,RUN
121,ENA,ERR7910963,RUN
122,ENA,ERR7910964,RUN
123,ENA,ERR7910965,RUN
124,ENA,ERR7910966,RUN
125,ENA,ERR7910967,RUN
126,ENA,ERR7910968,RUN
127,ENA,ERR7910969,RUN
128,ENA,ERR7910970,RUN
129,ENA,ERR7910971,RUN
130,ENA,ERR7910972,RUN
131,ENA,ERR7910973,RUN
132,ENA,ERR7910974,RUN
133,ENA,ERR7910975,RUN
134,ENA,ERR7910976,RUN
135,ENA,ERR7910977,RUN
136,ENA,ERR7910978,RUN
137,ENA,ERR7910979,RUN
138,ENA,ERR7910980,RUN
139,ENA,ERR7910981,RUN
140,ENA,ERR7910982,RUN
141,ENA,ERR7910983,RUN
142,ENA,ERR7910984,RUN
143,ENA,ERR7910985,RUN
144,ENA,ERR7910986,RUN
145,ENA,ERR7910987,RUN
146,ENA,ERR7910988,RUN
147,ENA,ERR7910989,RUN
148,ENA,ERR7910990,RUN
149,ENA,ERR7910991,RUN
150,ENA,ERR7910992,RUN
151,ENA,ERR7910993,RUN
152,ENA,ERR7910994,RUN
153,ENA,ERR7910995,RUN
154,ENA,ERR7910996,RUN
155,ENA,ERR7910997,RUN
156,ENA,ERR7910998,RUN
157,ENA,ERR7910999,RUN
158,ENA,ERR7911000,RUN
159,ENA,ERR7911001,RUN
160,ENA,ERR7911002,RUN
161,ENA,ERR7911003,RUN
162,ENA,ERR7911004,RUN
163,ENA,ERR7911005,RUN
164,ENA,ERR7911006,RUN
165,ENA,ERR7911007,RUN
166,ENA,ERR7911008,RUN
167,ENA,ERR7911009,RUN
168,ENA,ERR7911010,RUN
169,ENA,ERR7911011,RUN
170,ENA,ERR7911012,RUN
171,ENA,ERR7911013,RUN
172,ENA,ERR7911014,RUN
173,ENA,ERR7911015,RUN
174,ENA,ERR7911016,RUN
175,ENA,ERR7911017,RUN
176,ENA,ERR7911018,RUN
177,ENA,ERR7911019,RUN
178,ENA,ERR7911020,RUN
179,ENA,ERR7911021,RUN
180,ENA,ERR7911022,RUN
181,ENA,ERR7911023,RUN
182,ENA,ERR7911024,RUN
183,ENA,ERR7911025,RUN
184,ENA,ERR7911026,RUN
185,ENA,ERR7911027,RUN
186,ENA,ERR7911028,RUN
187,ENA,ERR7911029,RUN
188,ENA,ERR7911030,RUN
189,ENA,ERR7911031,RUN
190,ENA,ERR7911032,RUN
191,ENA,ERR7911033,RUN
192,ENA,ERR7911034,RUN
193,ENA,ERR7911035,RUN
194,ENA,ERR7911036,RUN
195,ENA,ERR7911037,RUN
196,ENA,ERR7911038,RUN
197,ENA,ERR7911039,RUN
198,ENA,ERR7911040,RUN
199,ENA,ERR7911041,RUN
200,ENA,ERR7911042,RUN
201,ENA,ERR7911043,RUN
202,ENA,ERR7911044,RUN
203,ENA,ERR7911045,RUN
204,ENA,ERR7911046,RUN
205,ENA,ERR7911047,RUN
206,ENA,ERR7911048,RUN
207,ENA,ERR7911049,RUN
208,ENA,ERR7911050,RUN
209,ENA,ERR7911051,RUN
210,ENA,ERR7911052,RUN
211,ENA,ERR7911053,RUN
212,ENA,ERR7911054,RUN
213,ENA,ERR7911055,RUN
214,ENA,ERR7911056,RUN
215,ENA,ERR7911057,RUN
216,ENA,ERR7911058,RUN
217,ENA,ERR7911059,RUN
218,ENA,ERR7911060,RUN
219,ENA,ERR7911061,RUN
220,ENA,ERR7911062,RUN
221,ENA,ERR7911063,RUN
222,ENA,ERR7911064,RUN
223,ENA,ERR7911065,RUN
224,ENA,ERR7911066,RUN
225,ENA,ERR7911067,RUN
226,ENA,ERR7911068,RUN
227,ENA,ERR7911069,RUN
228,ENA,ERR7911070,RUN
229,ENA,ERR7911071,RUN
230,ENA,ERR7911072,RUN
231,ENA,ERR7911073,RUN
232,ENA,ERR7911074,RUN
233,ENA,ERR7911075,RUN
234,ENA,ERR7911076,RUN
235,ENA,ERR7911077,RUN
236,ENA,ERR7911078,RUN
237,ENA,ERR7911079,RUN
238,ENA,ERR7911080,RUN
239,ENA,ERR7911081,RUN
