N,Database,Accession,Type
1,NCBI,SRR7687425,RUN
2,NCBI,SRR7687424,RUN
3,ENA,ERR271780,RUN
4,ENA,ERR051886,RUN
5,ENA,ERR051858,RUN
6,ENA,ERR051867,RUN
7,ENA,ERR051871,RUN
8,ENA,ERR051872,RUN
9,ENA,ERR051877,RUN
10,ENA,ERR051878,RUN
11,ENA,ERR051905,RUN
12,ENA,ERR052002,RUN
13,ENA,ERR051794,RUN
14,ENA,ERR051917,RUN
15,ENA,ERR051798,RUN
16,ENA,ERR051801,RUN
17,ENA,ERR505472,RUN
18,ENA,ERR1400557,RUN
19,ENA,ERR1400077,RUN
20,ENA,ERR1400591,RUN
21,ENA,ERR1400163,RUN
22,ENA,ERR028718,RUN
23,ENA,ERR025257,RUN
24,ENA,ERR025276,RUN
25,ENA,ERR1947178,RUN
26,ENA,ERR1947193,RUN
27,ENA,ERR1947249,RUN
28,ENA,ERR1947274,RUN
29,ENA,ERR1947311,RUN
30,ENA,ERR1947409,RUN
31,ENA,ERR1947436,RUN
32,ENA,ERR1947438,RUN
33,ENA,ERR1947447,RUN
34,ENA,ERR1947465,RUN
35,ENA,ERR1947475,RUN
36,ENA,ERR1947490,RUN
37,ENA,ERR1947522,RUN
38,ENA,ERR1947557,RUN
39,ENA,ERR1947610,RUN
40,ENA,ERR1947687,RUN
41,ENA,ERR1947752,RUN
42,ENA,ERR1947879,RUN
43,ENA,ERR1947883,RUN
44,ENA,ERR2305059,RUN
45,ENA,ERR2305143,RUN
46,ENA,ERR2305172,RUN
47,ENA,ERR2305176,RUN
48,ENA,ERR2305217,RUN
49,ENA,ERR2305228,RUN
50,ENA,ERR2305245,RUN
51,ENA,ERR2305255,RUN
52,ENA,ERR2305267,RUN
53,ENA,ERR2305268,RUN
54,ENA,ERR2305277,RUN
55,ENA,ERR2305279,RUN
56,ENA,ERR2305295,RUN
57,ENA,ERR2305369,RUN
58,ENA,ERR2305378,RUN
59,ENA,ERR2305389,RUN
60,ENA,ERR2305414,RUN
61,ENA,ERR2305445,RUN
62,ENA,ERR2305458,RUN
63,ENA,ERR2305460,RUN
64,ENA,ERR2305505,RUN
65,ENA,ERR2305517,RUN
66,ENA,ERR2305518,RUN
67,ENA,ERR2305519,RUN
68,ENA,ERR2305546,RUN
69,ENA,ERR2305554,RUN
70,ENA,ERR2305621,RUN
71,ENA,ERR2305622,RUN
72,ENA,ERR1400103,RUN
73,ENA,ERR1400233,RUN
74,ENA,ERR1399941,RUN
75,ENA,ERR1400294,RUN
76,ENA,ERR1400314,RUN
77,ENA,ERR1400098,RUN
78,ENA,ERR1400261,RUN
79,ENA,ERR1400330,RUN
80,ENA,ERR1400392,RUN
81,ENA,ERR1400515,RUN
82,ENA,ERR1400415,RUN
83,ENA,ERR1400472,RUN
84,ENA,ERR1400501,RUN
85,ENA,ERR1399890,RUN
86,ENA,ERR1399957,RUN
87,ENA,ERR1399960,RUN
88,ENA,ERR1400137,RUN
89,ENA,ERR1400140,RUN
90,ENA,ERR1400169,RUN
91,ENA,ERR1400257,RUN
92,ENA,ERR1400360,RUN
93,ENA,ERR505846,RUN
