N,Database,Accession,Type
1,ENA,ERR1228258,RUN
2,ENA,ERR1228300,RUN
3,ENA,ERR1217210,RUN
4,ENA,ERR1541557,RUN
5,ENA,ERR1217198,RUN
6,ENA,ERR1204870,RUN
7,ENA,ERR1228252,RUN
8,ENA,ERR1334581,RUN
9,ENA,ERR1541392,RUN
10,ENA,ERR1541371,RUN
11,ENA,ERR1217180,RUN
12,ENA,ERR1205067,RUN
13,ENA,ERR1334633,RUN
14,ENA,ERR1228224,RUN
15,ENA,ERR1228363,RUN
16,ENA,ERR1289802,RUN
17,ENA,ERR1374899,RUN
18,ENA,ERR1415751,RUN
19,ENA,ERR1217156,RUN
20,ENA,ERR1374975,RUN
21,ENA,ERR1374908,RUN
22,ENA,ERR1541435,RUN
23,ENA,ERR1541521,RUN
24,ENA,ERR1415611,RUN
25,ENA,ERR1541282,RUN
26,ENA,ERR1541494,RUN
27,ENA,ERR1217418,RUN
28,ENA,ERR1415573,RUN
29,ENA,ERR1228259,RUN
30,ENA,ERR1217041,RUN
31,ENA,ERR1205073,RUN
32,ENA,ERR1514852,RUN
33,ENA,ERR1514890,RUN
34,ENA,ERR1217456,RUN
35,ENA,ERR1228227,RUN
36,ENA,ERR1374960,RUN
37,ENA,ERR1514877,RUN
38,ENA,ERR1217349,RUN
39,ENA,ERR1374900,RUN
40,ENA,ERR1204872,RUN
41,ENA,ERR1334442,RUN
42,ENA,ERR1228280,RUN
43,ENA,ERR1334574,RUN
44,ENA,ERR1289789,RUN
45,ENA,ERR1217027,RUN
46,ENA,ERR1228262,RUN
47,ENA,ERR1415658,RUN
48,ENA,ERR1541261,RUN
49,ENA,ERR1415766,RUN
50,ENA,ERR1217245,RUN
51,ENA,ERR1541352,RUN
52,ENA,ERR1228208,RUN
53,ENA,ERR1514897,RUN
54,ENA,ERR1334509,RUN
55,ENA,ERR1374995,RUN
56,ENA,ERR1217355,RUN
57,ENA,ERR1334599,RUN
58,ENA,ERR1228299,RUN
59,ENA,ERR1374890,RUN
60,ENA,ERR1415777,RUN
61,ENA,ERR1541449,RUN
62,ENA,ERR1541260,RUN
